      #Energy        TDOS-UP        TDOS-DOWN
     -25.05500       0.00000       0.00000
     -25.02300       0.00000       0.00000
     -24.99100       0.00000       0.00000
     -24.95900       0.00000       0.00000
     -24.92700       0.00000       0.00000
     -24.89500       0.00000       0.00000
     -24.86200       0.00000       0.00000
     -24.83000       0.00000       0.00000
     -24.79800       0.00000       0.00000
     -24.76600       0.00000       0.00000
     -24.73400       0.00000       0.00000
     -24.70200       0.00000       0.00000
     -24.66900       0.00000       0.00000
     -24.63700       0.00000       0.00000
     -24.60500       0.00000       0.00000
     -24.57300       0.00000       0.00000
     -24.54100       0.00000       0.00000
     -24.50900       0.00000       0.00000
     -24.47600       0.00000       0.00000
     -24.44400       0.00000       0.00000
     -24.41200       0.00000       0.00000
     -24.38000       0.00000       0.00000
     -24.34800       0.00000       0.00000
     -24.31600       0.00000       0.00000
     -24.28300       0.00000       0.00000
     -24.25100       0.00000       0.00000
     -24.21900       0.00000       0.00000
     -24.18700       0.00000       0.00000
     -24.15500       0.00000       0.00000
     -24.12300       0.00000       0.00000
     -24.09000       0.00000       0.00000
     -24.05800       0.00000       0.00000
     -24.02600       0.00000       0.00000
     -23.99400       0.00000       0.00000
     -23.96200       0.00000       0.00000
     -23.93000       0.00000       0.00000
     -23.89700       0.00000       0.00000
     -23.86500       0.00000      -0.00000
     -23.83300       0.00000      -0.00000
     -23.80100       0.00000      -0.00000
     -23.76900       0.00000      -0.00000
     -23.73700       0.00006      -0.00006
     -23.70400       0.00198      -0.00198
     -23.67200       0.03024      -0.03024
     -23.64000       0.22875      -0.22875
     -23.60800       0.92694      -0.92694
     -23.57600       2.27990      -2.27990
     -23.54400       4.01003      -4.01003
     -23.51100       5.89890      -5.89890
     -23.47900       7.91242      -7.91242
     -23.44700       9.87286      -9.87286
     -23.41500      11.56841     -11.56841
     -23.38300      13.11743     -13.11743
     -23.35100      14.73947     -14.73947
     -23.31800      16.39256     -16.39256
     -23.28600      17.98227     -17.98227
     -23.25400      19.21943     -19.21943
