#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 484
# Band-Index    1
   0.00000    -22.313378    -22.313378
   0.01681    -22.313356    -22.313356
   0.03361    -22.313293    -22.313293
   0.05042    -22.313193    -22.313193
   0.06722    -22.313063    -22.313063
   0.08403    -22.312912    -22.312912
   0.10083    -22.312753    -22.312753
   0.11764    -22.312608    -22.312608
   0.13444    -22.312501    -22.312501
   0.15125    -22.312460    -22.312460
   0.15125    -22.312460    -22.312460
   0.15671    -22.312460    -22.312460
   0.16217    -22.312462    -22.312462
   0.16763    -22.312465    -22.312465
   0.17309    -22.312468    -22.312468
   0.17855    -22.312472    -22.312472
   0.18401    -22.312476    -22.312476
   0.18947    -22.312481    -22.312481
   0.19493    -22.312488    -22.312488
   0.20039    -22.312496    -22.312496
   0.20039    -22.312496    -22.312496
   0.21469    -22.312587    -22.312587
   0.22898    -22.312711    -22.312711
   0.24328    -22.312852    -22.312852
   0.25758    -22.312989    -22.312989
   0.27187    -22.313115    -22.313115
   0.28617    -22.313222    -22.313222
   0.30046    -22.313302    -22.313302
   0.31476    -22.313352    -22.313352
   0.32905    -22.313369    -22.313369
   0.32905    -22.313369    -22.313369
   0.34335    -22.313352    -22.313352
   0.35764    -22.313302    -22.313302
   0.37194    -22.313222    -22.313222
   0.38624    -22.313115    -22.313115
   0.40053    -22.312989    -22.312989
   0.41483    -22.312852    -22.312852
   0.42912    -22.312711    -22.312711
   0.44342    -22.312587    -22.312587
   0.45771    -22.312496    -22.312496
   0.45771    -22.312496    -22.312496
   0.46317    -22.312488    -22.312488
   0.46863    -22.312481    -22.312481
   0.47409    -22.312476    -22.312476
   0.47956    -22.312472    -22.312472
   0.48502    -22.312468    -22.312468
   0.49048    -22.312465    -22.312465
   0.49594    -22.312462    -22.312462
   0.50140    -22.312460    -22.312460
   0.50686    -22.312460    -22.312460
   0.50686    -22.312460    -22.312460
   0.52366    -22.312501    -22.312501
   0.54047    -22.312609    -22.312609
   0.55727    -22.312753    -22.312753
   0.57408    -22.312912    -22.312912
   0.59088    -22.313063    -22.313063
   0.60769    -22.313193    -22.313193
   0.62450    -22.313293    -22.313293
   0.64130    -22.313356    -22.313356
   0.65811    -22.313378    -22.313378
 
 
# Band-Index    2
   0.65811    -22.310543    -22.310543
   0.64130    -22.310555    -22.310555
   0.62450    -22.310589    -22.310589
   0.60769    -22.310646    -22.310646
   0.59088    -22.310725    -22.310725
   0.57408    -22.310822    -22.310822
   0.55727    -22.310928    -22.310928
   0.54047    -22.311031    -22.311031
   0.52366    -22.311110    -22.311110
   0.50686    -22.311141    -22.311141
   0.50686    -22.311141    -22.311141
   0.50140    -22.311140    -22.311140
   0.49594    -22.311139    -22.311139
   0.49048    -22.311138    -22.311138
   0.48502    -22.311136    -22.311136
   0.47956    -22.311133    -22.311133
   0.47409    -22.311128    -22.311128
   0.46863    -22.311123    -22.311123
   0.46317    -22.311117    -22.311117
   0.45771    -22.311112    -22.311112
   0.45771    -22.311112    -22.311112
   0.44342    -22.311045    -22.311045
   0.42912    -22.310956    -22.310956
   0.41483    -22.310860    -22.310860
   0.40053    -22.310768    -22.310768
   0.38624    -22.310689    -22.310689
   0.37194    -22.310625    -22.310625
   0.35764    -22.310577    -22.310577
   0.34335    -22.310548    -22.310548
   0.32905    -22.310539    -22.310539
   0.32905    -22.310539    -22.310539
   0.31476    -22.310548    -22.310548
   0.30046    -22.310577    -22.310577
   0.28617    -22.310625    -22.310625
   0.27187    -22.310689    -22.310689
   0.25758    -22.310768    -22.310768
   0.24328    -22.310860    -22.310860
   0.22898    -22.310956    -22.310956
   0.21469    -22.311045    -22.311045
   0.20039    -22.311112    -22.311112
   0.20039    -22.311112    -22.311112
   0.19493    -22.311117    -22.311117
   0.18947    -22.311123    -22.311123
   0.18401    -22.311128    -22.311128
   0.17855    -22.311133    -22.311133
   0.17309    -22.311136    -22.311136
   0.16763    -22.311138    -22.311138
   0.16217    -22.311139    -22.311139
   0.15671    -22.311140    -22.311140
   0.15125    -22.311141    -22.311141
   0.15125    -22.311141    -22.311141
   0.13444    -22.311110    -22.311110
   0.11764    -22.311031    -22.311031
   0.10083    -22.310928    -22.310928
   0.08403    -22.310822    -22.310822
   0.06722    -22.310725    -22.310725
   0.05042    -22.310646    -22.310646
   0.03361    -22.310589    -22.310589
   0.01681    -22.310555    -22.310555
   0.00000    -22.310543    -22.310543
 
 
# Band-Index    3
   0.00000    -22.269884    -22.269884
   0.01681    -22.269882    -22.269882
   0.03361    -22.269876    -22.269876
   0.05042    -22.269866    -22.269866
   0.06722    -22.269852    -22.269852
   0.08403    -22.269834    -22.269834
   0.10083    -22.269814    -22.269814
   0.11764    -22.269794    -22.269794
   0.13444    -22.269779    -22.269779
   0.15125    -22.269775    -22.269775
   0.15125    -22.269775    -22.269775
   0.15671    -22.269775    -22.269775
   0.16217    -22.269775    -22.269775
   0.16763    -22.269776    -22.269776
   0.17309    -22.269776    -22.269776
   0.17855    -22.269778    -22.269778
   0.18401    -22.269778    -22.269778
   0.18947    -22.269779    -22.269779
   0.19493    -22.269779    -22.269779
   0.20039    -22.269780    -22.269780
   0.20039    -22.269780    -22.269780
   0.21469    -22.269792    -22.269792
   0.22898    -22.269810    -22.269810
   0.24328    -22.269827    -22.269827
   0.25758    -22.269842    -22.269842
   0.27187    -22.269857    -22.269857
   0.28617    -22.269868    -22.269868
   0.30046    -22.269876    -22.269876
   0.31476    -22.269877    -22.269877
   0.32905    -22.269879    -22.269879
   0.32905    -22.269879    -22.269879
   0.34335    -22.269877    -22.269877
   0.35764    -22.269876    -22.269876
   0.37194    -22.269868    -22.269868
   0.38624    -22.269857    -22.269857
   0.40053    -22.269842    -22.269842
   0.41483    -22.269827    -22.269827
   0.42912    -22.269810    -22.269810
   0.44342    -22.269792    -22.269792
   0.45771    -22.269780    -22.269780
   0.45771    -22.269780    -22.269780
   0.46317    -22.269779    -22.269779
   0.46863    -22.269779    -22.269779
   0.47409    -22.269778    -22.269778
   0.47956    -22.269778    -22.269778
   0.48502    -22.269776    -22.269776
   0.49048    -22.269776    -22.269776
   0.49594    -22.269775    -22.269775
   0.50140    -22.269775    -22.269775
   0.50686    -22.269775    -22.269775
   0.50686    -22.269775    -22.269775
   0.52366    -22.269779    -22.269779
   0.54047    -22.269794    -22.269794
   0.55727    -22.269814    -22.269814
   0.57408    -22.269834    -22.269834
   0.59088    -22.269852    -22.269852
   0.60769    -22.269866    -22.269866
   0.62450    -22.269876    -22.269876
   0.64130    -22.269882    -22.269882
   0.65811    -22.269884    -22.269884
 
 
# Band-Index    4
   0.65811    -22.267664    -22.267664
   0.64130    -22.267678    -22.267678
   0.62450    -22.267719    -22.267719
   0.60769    -22.267786    -22.267786
   0.59088    -22.267871    -22.267871
   0.57408    -22.267965    -22.267965
   0.55727    -22.268056    -22.268056
   0.54047    -22.268133    -22.268133
   0.52366    -22.268185    -22.268185
   0.50686    -22.268204    -22.268204
   0.50686    -22.268204    -22.268204
   0.50140    -22.268204    -22.268204
   0.49594    -22.268203    -22.268203
   0.49048    -22.268203    -22.268203
   0.48502    -22.268201    -22.268201
   0.47956    -22.268200    -22.268200
   0.47409    -22.268198    -22.268198
   0.46863    -22.268195    -22.268195
   0.46317    -22.268191    -22.268191
   0.45771    -22.268188    -22.268188
   0.45771    -22.268188    -22.268188
   0.44342    -22.268143    -22.268143
   0.42912    -22.268077    -22.268077
   0.41483    -22.267998    -22.267998
   0.40053    -22.267913    -22.267913
   0.38624    -22.267831    -22.267831
   0.37194    -22.267761    -22.267761
   0.35764    -22.267706    -22.267706
   0.34335    -22.267670    -22.267670
   0.32905    -22.267658    -22.267658
   0.32905    -22.267658    -22.267658
   0.31476    -22.267670    -22.267670
   0.30046    -22.267706    -22.267706
   0.28617    -22.267761    -22.267761
   0.27187    -22.267831    -22.267831
   0.25758    -22.267913    -22.267913
   0.24328    -22.267998    -22.267998
   0.22898    -22.268077    -22.268077
   0.21469    -22.268143    -22.268143
   0.20039    -22.268188    -22.268188
   0.20039    -22.268188    -22.268188
   0.19493    -22.268191    -22.268191
   0.18947    -22.268195    -22.268195
   0.18401    -22.268198    -22.268198
   0.17855    -22.268200    -22.268200
   0.17309    -22.268201    -22.268201
   0.16763    -22.268203    -22.268203
