      #Energy        TDOS-UP        TDOS-DOWN
     -23.70600       0.00000       0.00000
     -23.67600       0.00000       0.00000
     -23.64500       0.00000       0.00000
     -23.61400       0.00000       0.00000
     -23.58400       0.00000       0.00000
     -23.55300       0.00000       0.00000
     -23.52200       0.00000       0.00000
     -23.49200       0.00000       0.00000
     -23.46100       0.00000       0.00000
     -23.43000       0.00000       0.00000
     -23.40000       0.00000       0.00000
     -23.36900       0.00000       0.00000
     -23.33800       0.00000       0.00000
     -23.30800       0.00000       0.00000
     -23.27700       0.00000       0.00000
     -23.24600       0.00000       0.00000
     -23.21600       0.00000       0.00000
     -23.18500       0.00000       0.00000
     -23.15400       0.00000       0.00000
     -23.12300       0.00000       0.00000
     -23.09300       0.00000       0.00000
     -23.06200       0.00000       0.00000
     -23.03100       0.00000       0.00000
     -23.00100       0.00000       0.00000
     -22.97000       0.00000       0.00000
     -22.93900       0.00000       0.00000
     -22.90900       0.00000       0.00000
     -22.87800       0.00000       0.00000
     -22.84700       0.00000       0.00000
     -22.81700       0.00000       0.00000
     -22.78600       0.00000       0.00000
     -22.75500       0.00000       0.00000
     -22.72500       0.00000       0.00000
     -22.69400       0.00000       0.00000
     -22.66300       0.00000       0.00000
     -22.63300       0.00000       0.00000
     -22.60200       0.00000      -0.00000
     -22.57100       0.00000      -0.00000
     -22.54100       0.00000      -0.00000
     -22.51000       0.00000      -0.00000
     -22.47900       0.00000      -0.00000
     -22.44900       0.00011      -0.00011
     -22.41800       0.00284      -0.00284
     -22.38700       0.03651      -0.03651
     -22.35700       0.25270      -0.25270
     -22.32600       1.01651      -1.01651
     -22.29500       2.61515      -2.61515
     -22.26500       4.73420      -4.73420
     -22.23400       6.57578      -6.57578
     -22.20300       7.67472      -7.67472
     -22.17300       8.38961      -8.38961
     -22.14200       9.36784      -9.36784
     -22.11100      10.62737     -10.62737
     -22.08100      11.73382     -11.73382
     -22.05000      12.86068     -12.86068
     -22.01900      14.66408     -14.66408
     -21.98800      16.99509     -16.99509
     -21.95800      18.85462     -18.85462
     -21.92700      19.72886     -19.72886
