      #Energy        TDOS-UP        TDOS-DOWN
     -23.70600       0.00000       0.00000
     -23.67600       0.00000       0.00000
     -23.64500       0.00000       0.00000
     -23.61400       0.00000       0.00000
     -23.58400       0.00000       0.00000
     -23.55300       0.00000       0.00000
     -23.52200       0.00000       0.00000
     -23.49200       0.00000       0.00000
     -23.46100       0.00000       0.00000
     -23.43000       0.00000       0.00000
     -23.40000       0.00000       0.00000
     -23.36900       0.00000       0.00000
     -23.33800       0.00000       0.00000
     -23.30800       0.00000       0.00000
     -23.27700       0.00000       0.00000
     -23.24600       0.00000       0.00000
     -23.21600       0.00000       0.00000
     -23.18500       0.00000       0.00000
     -23.15400       0.00000       0.00000
     -23.12300       0.00000       0.00000
     -23.09300       0.00000       0.00000
     -23.06200       0.00000       0.00000
     -23.03100       0.00000       0.00000
     -23.00100       0.00000       0.00000
     -22.97000       0.00000       0.00000
     -22.93900       0.00000       0.00000
     -22.90900       0.00000       0.00000
     -22.87800       0.00000       0.00000
     -22.84700       0.00000       0.00000
     -22.81700       0.00000       0.00000
     -22.78600       0.00000       0.00000
     -22.75500       0.00000       0.00000
     -22.72500       0.00000       0.00000
     -22.69400       0.00000       0.00000
     -22.66300       0.00000       0.00000
     -22.63300       0.00000       0.00000
     -22.60200       0.00000      -0.00000
     -22.57100       0.00000      -0.00000
     -22.54100       0.00000      -0.00000
     -22.51000       0.00000      -0.00000
     -22.47900       0.00014      -0.00014
     -22.44900       0.00707      -0.00707
     -22.41800       0.17060      -0.17060
     -22.38700       2.02500      -2.02500
     -22.35700      12.07000     -12.07000
     -22.32600      37.73000     -37.73000
     -22.29500      66.50000     -66.50000
     -22.26500      71.66000     -71.66000
     -22.23400      48.41000     -48.41000
     -22.20300      23.24000     -23.24000
     -22.17300      23.37000     -23.37000
     -22.14200      40.41000     -40.41000
     -22.11100      41.71000     -41.71000
     -22.08100      30.43000     -30.43000
     -22.05000      43.04000     -43.04000
     -22.01900      74.54000     -74.54000
     -21.98800      77.44000     -77.44000
     -21.95800      43.80000     -43.80000
     -21.92700      13.20000     -13.20000
