      #Energy        TDOS-UP        TDOS-DOWN
     -23.71600       0.00000       0.00000
     -23.68500       0.00000       0.00000
     -23.65400       0.00000       0.00000
     -23.62400       0.00000       0.00000
     -23.59300       0.00000       0.00000
     -23.56200       0.00000       0.00000
     -23.53200       0.00000       0.00000
     -23.50100       0.00000       0.00000
     -23.47000       0.00000       0.00000
     -23.44000       0.00000       0.00000
     -23.40900       0.00000       0.00000
     -23.37800       0.00000       0.00000
     -23.34700       0.00000       0.00000
     -23.31700       0.00000       0.00000
     -23.28600       0.00000       0.00000
     -23.25500       0.00000       0.00000
     -23.22500       0.00000       0.00000
     -23.19400       0.00000       0.00000
     -23.16300       0.00000       0.00000
     -23.13300       0.00000       0.00000
     -23.10200       0.00000       0.00000
     -23.07100       0.00000       0.00000
     -23.04100       0.00000       0.00000
     -23.01000       0.00000       0.00000
     -22.97900       0.00000       0.00000
     -22.94800       0.00000       0.00000
     -22.91800       0.00000       0.00000
     -22.88700       0.00000       0.00000
     -22.85600       0.00000       0.00000
     -22.82600       0.00000       0.00000
     -22.79500       0.00000       0.00000
     -22.76400       0.00000       0.00000
     -22.73400       0.00000       0.00000
     -22.70300       0.00000       0.00000
     -22.67200       0.00000       0.00000
     -22.64200       0.00000       0.00000
     -22.61100       0.00000       0.00000
     -22.58000       0.00000      -0.00000
     -22.55000       0.00000      -0.00000
     -22.51900       0.00000      -0.00000
     -22.48800       0.00014      -0.00002
     -22.45700       0.00701      -0.00132
     -22.42700       0.16910      -0.04413
     -22.39600       1.99200      -0.72040
     -22.36500      11.65000      -5.82500
     -22.33500      35.17000     -24.05000
     -22.30400      60.14000     -53.95000
     -22.27300      67.41000     -72.16000
     -22.24300      54.22000     -61.37000
     -22.21200      37.00000     -32.40000
     -22.18100      39.22000     -13.72000
     -22.15100      45.21000     -20.45000
     -22.12000      34.75000     -40.31000
     -22.08900      34.25000     -45.82000
     -22.05800      57.69000     -41.97000
     -22.02800      74.46000     -50.87000
     -21.99700      60.39000     -60.09000
     -21.96600      29.10000     -59.00000
     -21.93600       7.70500     -44.02000
     -21.90500       1.05400     -19.72000
     -21.87400       0.07183      -4.60600
     -21.84400       0.00240      -0.53440
     -21.81300       0.00004      -0.03031
     -21.78200       0.00000      -0.00083
     -21.75200       0.00000      -0.00001
     -21.72100       0.00000      -0.00000
     -21.69000       0.00000      -0.00000
     -21.65900       0.00000      -0.00000
     -21.62900       0.00000       0.00000
     -21.59800       0.00000      -0.00000
     -21.56700       0.00000      -0.00000
     -21.53700       0.00000      -0.00000
     -21.50600       0.00008      -0.00001
     -21.47500       0.00425      -0.00077
     -21.44500       0.11330      -0.02828
     -21.41400       1.46800      -0.50670
     -21.38300       9.33300      -4.44300
     -21.35300      29.68000     -19.34000
     -21.32200      49.93000     -43.37000
     -21.29100      53.10000     -55.93000
     -21.26100      48.60000     -53.06000
     -21.23000      39.15000     -44.07000
     -21.19900      21.40000     -27.23000
     -21.16800       8.02900     -10.69000
     -21.13800       9.60800      -5.97200
     -21.10700      27.06000     -17.16000
     -21.07600      42.86000     -37.46000
     -21.04600      34.08000     -41.42000
     -21.01500      13.58000     -22.97000
     -20.98400       2.72800      -6.39700
     -20.95400       0.52080      -1.01300
     -20.92300       2.07500      -1.25100
     -20.89200       9.28400      -6.27000
     -20.86200      23.88000     -18.75000
     -20.83100      36.35000     -33.23000
     -20.80000      33.44000     -35.82000
     -20.76900      20.11000     -24.07000
     -20.73900      16.39000     -13.99000
     -20.70800      31.07000     -21.34000
     -20.67700      43.19000     -39.34000
     -20.64700      31.14000     -39.99000
     -20.61600      11.27000     -20.55000
     -20.58500       2.03100      -5.28000
     -20.55500       0.18090      -0.67340
     -20.52400       0.00791      -0.04232
     -20.49300       0.00017      -0.00130
     -20.46300       0.00000      -0.00002
     -20.43200       0.00000      -0.00000
     -20.40100       0.00000      -0.00000
