#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 464
# Band-Index    1
   0.00000    -23.606752    -23.606752
   0.01681    -23.606752    -23.606752
   0.03361    -23.606752    -23.606752
   0.05042    -23.606751    -23.606751
   0.06722    -23.606750    -23.606750
   0.08403    -23.606750    -23.606750
   0.10083    -23.606748    -23.606748
   0.11764    -23.606748    -23.606748
   0.13444    -23.606746    -23.606746
   0.15125    -23.606747    -23.606747
   0.15125    -23.606747    -23.606747
   0.15671    -23.606747    -23.606747
   0.16217    -23.606747    -23.606747
   0.16763    -23.606748    -23.606748
   0.17309    -23.606748    -23.606748
   0.17855    -23.606748    -23.606748
   0.18401    -23.606747    -23.606747
   0.18947    -23.606746    -23.606746
   0.19493    -23.606746    -23.606746
   0.20039    -23.606747    -23.606747
   0.20039    -23.606747    -23.606747
   0.21469    -23.606747    -23.606747
   0.22898    -23.606748    -23.606748
   0.24328    -23.606750    -23.606750
   0.25758    -23.606750    -23.606750
   0.27187    -23.606749    -23.606749
   0.28617    -23.606749    -23.606749
   0.30046    -23.606748    -23.606748
   0.31476    -23.606747    -23.606747
   0.32905    -23.606747    -23.606747
   0.32905    -23.606747    -23.606747
   0.34335    -23.606747    -23.606747
   0.35764    -23.606748    -23.606748
   0.37194    -23.606749    -23.606749
   0.38624    -23.606749    -23.606749
   0.40053    -23.606750    -23.606750
   0.41483    -23.606750    -23.606750
   0.42912    -23.606748    -23.606748
   0.44342    -23.606747    -23.606747
   0.45771    -23.606747    -23.606747
   0.45771    -23.606747    -23.606747
   0.46317    -23.606746    -23.606746
   0.46863    -23.606746    -23.606746
   0.47409    -23.606747    -23.606747
   0.47956    -23.606748    -23.606748
   0.48502    -23.606748    -23.606748
   0.49048    -23.606748    -23.606748
   0.49594    -23.606747    -23.606747
   0.50140    -23.606747    -23.606747
   0.50686    -23.606747    -23.606747
   0.50686    -23.606747    -23.606747
   0.52366    -23.606746    -23.606746
   0.54047    -23.606748    -23.606748
   0.55727    -23.606748    -23.606748
   0.57408    -23.606750    -23.606750
   0.59088    -23.606750    -23.606750
   0.60769    -23.606751    -23.606751
   0.62450    -23.606752    -23.606752
   0.64130    -23.606752    -23.606752
   0.65811    -23.606752    -23.606752
 
 
# Band-Index    2
   0.65811    -23.605073    -23.605073
   0.64130    -23.605073    -23.605073
   0.62450    -23.605073    -23.605073
   0.60769    -23.605072    -23.605072
   0.59088    -23.605071    -23.605071
   0.57408    -23.605071    -23.605071
   0.55727    -23.605069    -23.605069
   0.54047    -23.605069    -23.605069
   0.52366    -23.605067    -23.605067
   0.50686    -23.605068    -23.605068
   0.50686    -23.605068    -23.605068
   0.50140    -23.605068    -23.605068
   0.49594    -23.605068    -23.605068
   0.49048    -23.605069    -23.605069
   0.48502    -23.605069    -23.605069
   0.47956    -23.605069    -23.605069
   0.47409    -23.605068    -23.605068
   0.46863    -23.605067    -23.605067
   0.46317    -23.605067    -23.605067
   0.45771    -23.605068    -23.605068
   0.45771    -23.605068    -23.605068
   0.44342    -23.605068    -23.605068
   0.42912    -23.605069    -23.605069
   0.41483    -23.605071    -23.605071
   0.40053    -23.605071    -23.605071
   0.38624    -23.605070    -23.605070
   0.37194    -23.605070    -23.605070
   0.35764    -23.605069    -23.605069
   0.34335    -23.605068    -23.605068
   0.32905    -23.605068    -23.605068
   0.32905    -23.605068    -23.605068
   0.31476    -23.605068    -23.605068
   0.30046    -23.605069    -23.605069
   0.28617    -23.605070    -23.605070
   0.27187    -23.605070    -23.605070
   0.25758    -23.605071    -23.605071
   0.24328    -23.605071    -23.605071
   0.22898    -23.605069    -23.605069
