      #Energy        TDOS-UP        TDOS-DOWN
     -25.05400       0.00000       0.00000
     -25.02200       0.00000       0.00000
     -24.99000       0.00000       0.00000
     -24.95800       0.00000       0.00000
     -24.92600       0.00000       0.00000
     -24.89500       0.00000       0.00000
     -24.86300       0.00000       0.00000
     -24.83100       0.00000       0.00000
     -24.79900       0.00000       0.00000
     -24.76700       0.00000       0.00000
     -24.73500       0.00000       0.00000
     -24.70300       0.00000       0.00000
     -24.67100       0.00000       0.00000
     -24.64000       0.00000       0.00000
     -24.60800       0.00000       0.00000
     -24.57600       0.00000       0.00000
     -24.54400       0.00000       0.00000
     -24.51200       0.00000       0.00000
     -24.48000       0.00000       0.00000
     -24.44800       0.00000       0.00000
     -24.41700       0.00000       0.00000
     -24.38500       0.00000       0.00000
     -24.35300       0.00000       0.00000
     -24.32100       0.00000       0.00000
     -24.28900       0.00000       0.00000
     -24.25700       0.00000       0.00000
     -24.22500       0.00000       0.00000
     -24.19300       0.00000       0.00000
     -24.16200       0.00000       0.00000
     -24.13000       0.00000       0.00000
     -24.09800       0.00000       0.00000
     -24.06600       0.00000       0.00000
     -24.03400       0.00000       0.00000
     -24.00200       0.00000       0.00000
     -23.97000       0.00000       0.00000
     -23.93800       0.00000       0.00000
     -23.90700       0.00000       0.00000
     -23.87500       0.00000      -0.00000
     -23.84300       0.00000      -0.00000
     -23.81100       0.00000      -0.00000
     -23.77900       0.00000      -0.00000
     -23.74700       0.00007      -0.00007
     -23.71500       0.00203      -0.00203
     -23.68400       0.03028      -0.03028
     -23.65200       0.22794      -0.22794
     -23.62000       0.94199      -0.94199
     -23.58800       2.42107      -2.42107
     -23.55600       4.47939      -4.47939
     -23.52400       6.77849      -6.77849
     -23.49200       9.01767      -9.01767
     -23.46000      10.79139     -10.79139
     -23.42900      12.02013     -12.02013
     -23.39700      13.47483     -13.47483
     -23.36500      15.79337     -15.79337
     -23.33300      18.17947     -18.17947
     -23.30100      19.53155     -19.53155
     -23.26900      19.93487     -19.93487
     -23.23700      19.99557     -19.99557
     -23.20500      20.00002     -20.00002
     -23.17400      20.00017     -20.00017
     -23.14200      20.00017     -20.00017
     -23.11000      20.00017     -20.00017
     -23.07800      20.00017     -20.00017
     -23.04600      20.00017     -20.00017
     -23.01400      20.00017     -20.00017
     -22.98200      20.00017     -20.00017
     -22.95100      20.00017     -20.00017
     -22.91900      20.00017     -20.00017
     -22.88700      20.00017     -20.00017
     -22.85500      20.00017     -20.00017
     -22.82300      20.00017     -20.00017
     -22.79100      20.00017     -20.00017
     -22.75900      20.00017     -20.00017
     -22.72700      20.00017     -20.00017
     -22.69600      20.00017     -20.00017
     -22.66400      20.00017     -20.00017
     -22.63200      20.00017     -20.00017
     -22.60000      20.00017     -20.00017
     -22.56800      20.00017     -20.00017
     -22.53600      20.00017     -20.00017
     -22.50400      20.00017     -20.00017
     -22.47200      20.00017     -20.00017
     -22.44100      20.00017     -20.00017
     -22.40900      20.00017     -20.00017
     -22.37700      20.00017     -20.00017
     -22.34500      20.00017     -20.00017
     -22.31300      20.00017     -20.00017
     -22.28100      20.00017     -20.00017
     -22.24900      20.00017     -20.00017
     -22.21800      20.00017     -20.00017
     -22.18600      20.00017     -20.00017
     -22.15400      20.00017     -20.00017
     -22.12200      20.00017     -20.00017
     -22.09000      20.00017     -20.00017
     -22.05800      20.00017     -20.00017
     -22.02600      20.00017     -20.00017
     -21.99400      20.00017     -20.00017
     -21.96300      20.00017     -20.00017
     -21.93100      20.00017     -20.00017
     -21.89900      20.00017     -20.00017
     -21.86700      20.00017     -20.00017
     -21.83500      20.00017     -20.00017
     -21.80300      20.00017     -20.00017
     -21.77100      20.00017     -20.00017
     -21.73900      20.00017     -20.00017
     -21.70800      20.00017     -20.00017
     -21.67600      20.00017     -20.00017
     -21.64400      20.00017     -20.00017
     -21.61200      20.00017     -20.00017
     -21.58000      20.00017     -20.00017
     -21.54800      20.00017     -20.00017
     -21.51600      20.00017     -20.00017
     -21.48500      20.00017     -20.00017
     -21.45300      20.00017     -20.00017
     -21.42100      20.00017     -20.00017
     -21.38900      20.00017     -20.00017
     -21.35700      20.00017     -20.00017
     -21.32500      20.00017     -20.00017
     -21.29300      20.00017     -20.00017
     -21.26100      20.00017     -20.00017
     -21.23000      20.00017     -20.00017
     -21.19800      20.00017     -20.00017
     -21.16600      20.00017     -20.00017
     -21.13400      20.00017     -20.00017
     -21.10200      20.00017     -20.00017
     -21.07000      20.00017     -20.00017
     -21.03800      20.00018     -20.00018
     -21.00600      20.00052     -20.00052
     -20.97500      20.00777     -20.00777
     -20.94300      20.08173     -20.08173
     -20.91100      20.45440     -20.45440
     -20.87900      21.44508     -21.44508
     -20.84700      23.01164     -23.01164
     -20.81500      24.78011     -24.78011
     -20.78300      26.38890     -26.38890
     -20.75100      27.46068     -27.46068
     -20.72000      27.89530     -27.89530
     -20.68800      27.98968     -27.98968
     -20.65600      27.99991     -27.99991
     -20.62400      28.00045     -28.00045
     -20.59200      28.00046     -28.00046
     -20.56000      28.00046     -28.00046
     -20.52800      28.00048     -28.00048
     -20.49700      28.00131     -28.00131
     -20.46500      28.01571     -28.01571
     -20.43300      28.13669     -28.13669
