      #Energy        TDOS-UP        TDOS-DOWN
     -25.04400       0.00000       0.00000
     -25.01200       0.00000       0.00000
     -24.98000       0.00000       0.00000
     -24.94800       0.00000       0.00000
     -24.91600       0.00000       0.00000
     -24.88400       0.00000       0.00000
     -24.85300       0.00000       0.00000
     -24.82100       0.00000       0.00000
     -24.78900       0.00000       0.00000
     -24.75700       0.00000       0.00000
     -24.72500       0.00000       0.00000
     -24.69300       0.00000       0.00000
     -24.66100       0.00000       0.00000
     -24.63000       0.00000       0.00000
     -24.59800       0.00000       0.00000
     -24.56600       0.00000       0.00000
     -24.53400       0.00000       0.00000
     -24.50200       0.00000       0.00000
     -24.47000       0.00000       0.00000
     -24.43800       0.00000       0.00000
     -24.40700       0.00000       0.00000
     -24.37500       0.00000       0.00000
     -24.34300       0.00000       0.00000
     -24.31100       0.00000       0.00000
     -24.27900       0.00000       0.00000
     -24.24700       0.00000       0.00000
     -24.21500       0.00000       0.00000
     -24.18400       0.00000       0.00000
     -24.15200       0.00000       0.00000
     -24.12000       0.00000       0.00000
     -24.08800       0.00000       0.00000
     -24.05600       0.00000       0.00000
     -24.02400       0.00000       0.00000
     -23.99200       0.00000       0.00000
     -23.96100       0.00000       0.00000
     -23.92900       0.00000       0.00000
     -23.89700       0.00000       0.00000
     -23.86500       0.00000      -0.00000
     -23.83300       0.00000      -0.00000
     -23.80100       0.00000      -0.00000
     -23.76900       0.00000      -0.00000
     -23.73800       0.00007      -0.00003
     -23.70600       0.00210      -0.00112
     -23.67400       0.03106      -0.01918
     -23.64200       0.23184      -0.16284
     -23.61000       0.95086      -0.74219
     -23.57800       2.43174      -2.04770
     -23.54600       4.50468      -3.99768
     -23.51500       6.86801      -6.37056
     -23.48300       9.17749      -8.84427
     -23.45100      10.93633     -10.78548
     -23.41900      12.11504     -12.01230
     -23.38700      13.59306     -13.39841
     -23.35500      15.96068     -15.68671
     -23.32300      18.31556     -18.10865
     -23.29200      19.58873     -19.50814
     -23.26000      19.94687     -19.93083
     -23.22800      19.99704     -19.99469
     -23.19600      20.00041     -19.99934
     -23.16400      20.00052     -19.99950
     -23.13200      20.00052     -19.99950
     -23.10000      20.00052     -19.99950
     -23.06900      20.00052     -19.99950
     -23.03700      20.00052     -19.99950
     -23.00500      20.00052     -19.99950
     -22.97300      20.00052     -19.99950
     -22.94100      20.00052     -19.99950
     -22.90900      20.00052     -19.99950
     -22.87700      20.00052     -19.99950
     -22.84600      20.00052     -19.99950
     -22.81400      20.00052     -19.99950
     -22.78200      20.00052     -19.99950
     -22.75000      20.00052     -19.99950
     -22.71800      20.00052     -19.99950
