#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 500
# Band-Index    1
   0.00000    -22.209922    -22.209922
   0.01681    -22.209901    -22.209901
   0.03361    -22.209840    -22.209840
   0.05042    -22.209742    -22.209742
   0.06722    -22.209616    -22.209616
   0.08403    -22.209475    -22.209475
   0.10083    -22.209330    -22.209330
   0.11764    -22.209203    -22.209203
   0.13444    -22.209112    -22.209112
   0.15125    -22.209079    -22.209079
   0.15125    -22.209079    -22.209079
   0.15671    -22.209079    -22.209079
   0.16217    -22.209077    -22.209077
   0.16763    -22.209075    -22.209075
   0.17309    -22.209071    -22.209071
   0.17855    -22.209068    -22.209068
   0.18401    -22.209062    -22.209062
   0.18947    -22.209057    -22.209057
   0.19493    -22.209054    -22.209054
   0.20039    -22.209053    -22.209053
   0.20039    -22.209053    -22.209053
   0.21469    -22.209069    -22.209069
   0.22898    -22.209120    -22.209120
   0.24328    -22.209194    -22.209194
   0.25758    -22.209278    -22.209278
   0.27187    -22.209364    -22.209364
   0.28617    -22.209441    -22.209441
   0.30046    -22.209500    -22.209500
   0.31476    -22.209537    -22.209537
   0.32905    -22.209551    -22.209551
   0.32905    -22.209551    -22.209551
   0.34335    -22.209537    -22.209537
   0.35764    -22.209500    -22.209500
   0.37194    -22.209441    -22.209441
   0.38624    -22.209364    -22.209364
   0.40053    -22.209278    -22.209278
   0.41483    -22.209194    -22.209194
   0.42912    -22.209120    -22.209120
   0.44342    -22.209069    -22.209069
   0.45771    -22.209053    -22.209053
   0.45771    -22.209053    -22.209053
   0.46317    -22.209054    -22.209054
   0.46863    -22.209056    -22.209056
   0.47409    -22.209060    -22.209060
   0.47956    -22.209066    -22.209066
   0.48502    -22.209070    -22.209070
   0.49048    -22.209073    -22.209073
   0.49594    -22.209075    -22.209075
   0.50140    -22.209077    -22.209077
   0.50686    -22.209077    -22.209077
   0.50686    -22.209077    -22.209077
   0.52366    -22.209110    -22.209110
   0.54047    -22.209201    -22.209201
   0.55727    -22.209329    -22.209329
   0.57408    -22.209474    -22.209474
   0.59088    -22.209616    -22.209616
   0.60769    -22.209741    -22.209741
   0.62450    -22.209839    -22.209839
   0.64130    -22.209901    -22.209901
   0.65811    -22.209922    -22.209922
 
 
# Band-Index    2
   0.65811    -22.206689    -22.206689
   0.64130    -22.206699    -22.206699
   0.62450    -22.206730    -22.206730
   0.60769    -22.206784    -22.206784
   0.59088    -22.206855    -22.206855
   0.57408    -22.206940    -22.206940
   0.55727    -22.207030    -22.207030
   0.54047    -22.207114    -22.207114
   0.52366    -22.207173    -22.207173
   0.50686    -22.207195    -22.207195
   0.50686    -22.207195    -22.207195
   0.50140    -22.207196    -22.207196
   0.49594    -22.207199    -22.207199
