      #Energy        TDOS-UP        TDOS-DOWN
     -23.60100       0.00000       0.00000
     -23.57100       0.00000       0.00000
     -23.54000       0.00000       0.00000
     -23.50900       0.00000       0.00000
     -23.47900       0.00000       0.00000
     -23.44800       0.00000       0.00000
     -23.41800       0.00000       0.00000
     -23.38700       0.00000       0.00000
     -23.35600       0.00000       0.00000
     -23.32600       0.00000       0.00000
     -23.29500       0.00000       0.00000
     -23.26400       0.00000       0.00000
     -23.23400       0.00000       0.00000
     -23.20300       0.00000       0.00000
     -23.17200       0.00000       0.00000
     -23.14200       0.00000       0.00000
     -23.11100       0.00000       0.00000
     -23.08000       0.00000       0.00000
     -23.05000       0.00000       0.00000
     -23.01900       0.00000       0.00000
     -22.98900       0.00000       0.00000
     -22.95800       0.00000       0.00000
     -22.92700       0.00000       0.00000
     -22.89700       0.00000       0.00000
     -22.86600       0.00000       0.00000
     -22.83500       0.00000       0.00000
     -22.80500       0.00000       0.00000
     -22.77400       0.00000       0.00000
     -22.74300       0.00000       0.00000
     -22.71300       0.00000       0.00000
     -22.68200       0.00000       0.00000
     -22.65100       0.00000       0.00000
     -22.62100       0.00000       0.00000
     -22.59000       0.00000       0.00000
     -22.56000       0.00000       0.00000
     -22.52900       0.00000       0.00000
     -22.49800       0.00000      -0.00000
     -22.46800       0.00000      -0.00000
     -22.43700       0.00000      -0.00000
     -22.40600       0.00000      -0.00000
     -22.37600       0.00014      -0.00014
     -22.34500       0.00701      -0.00701
     -22.31400       0.16790      -0.16790
     -22.28400       1.96000      -1.96000
     -22.25300      11.24000     -11.24000
     -22.22200      32.26000     -32.26000
     -22.19200      50.89000     -50.89000
     -22.16100      62.99000     -62.99000
     -22.13100      85.05000     -85.05000
     -22.10000      85.73000     -85.73000
     -22.06900      47.30000     -47.30000
     -22.03900      18.28000     -18.28000
     -22.00800      28.68000     -28.68000
     -21.97700      67.03000     -67.03000
     -21.94700      84.77000     -84.77000
     -21.91600      54.89000     -54.89000
     -21.88500      18.12000     -18.12000
     -21.85500       3.02900      -3.02900
     -21.82400       0.25420      -0.25420
     -21.79300       0.01061      -0.01061
     -21.76300       0.00022      -0.00022
     -21.73200       0.00000      -0.00000
     -21.70200       0.00000      -0.00000
     -21.67100       0.00000      -0.00000
     -21.64000       0.00000      -0.00000
     -21.61000       0.00000       0.00000
     -21.57900       0.00000       0.00000
     -21.54800       0.00000      -0.00000
     -21.51800       0.00000      -0.00000
     -21.48700       0.00000      -0.00000
     -21.45600       0.00001      -0.00001
     -21.42600       0.00082      -0.00082
     -21.39500       0.02973      -0.02973
     -21.36400       0.52210      -0.52210
     -21.33400       4.48400      -4.48400
     -21.30300      18.93000     -18.93000
     -21.27300      39.42000     -39.42000
     -21.24200      40.66000     -40.66000
     -21.21100      21.47000     -21.47000
     -21.18100      10.41000     -10.41000
     -21.15000      19.82000     -19.82000
     -21.11900      41.65000     -41.65000
     -21.08900      56.82000     -56.82000
     -21.05800      54.76000     -54.76000
     -21.02700      49.52000     -49.52000
     -20.99700      47.55000     -47.55000
     -20.96600      33.82000     -33.82000
     -20.93500      13.74000     -13.74000
     -20.90500       2.94200      -2.94200
     -20.87400       0.32500      -0.32500
     -20.84300       0.07317      -0.07317
     -20.81300       0.68170      -0.68170
     -20.78200       4.52600      -4.52600
     -20.75200      16.98000     -16.98000
     -20.72100      37.71000     -37.71000
     -20.69000      52.93000     -52.93000
     -20.66000      54.51000     -54.51000
     -20.62900      53.54000     -53.54000
     -20.59800      51.69000     -51.69000
     -20.56800      35.88000     -35.88000
     -20.53700      14.38000     -14.38000
     -20.50600       3.09100      -3.09100
     -20.47600       0.34890      -0.34890
     -20.44500       0.02049      -0.02049
     -20.41400       0.00062      -0.00062
     -20.38400       0.00001      -0.00001
     -20.35300       0.00000      -0.00000
     -20.32300       0.00000      -0.00000
     -20.29200       0.00000      -0.00000
     -20.26100       0.00000       0.00000
     -20.23100       0.00000       0.00000
     -20.20000       0.00000       0.00000
     -20.16900       0.00000       0.00000
     -20.13900       0.00000       0.00000
     -20.10800       0.00000       0.00000
     -20.07700       0.00000       0.00000
     -20.04700       0.00000       0.00000
     -20.01600       0.00000       0.00000
     -19.98500       0.00000       0.00000
     -19.95500       0.00000       0.00000
     -19.92400       0.00000       0.00000
     -19.89400       0.00000      -0.00000
     -19.86300       0.00000      -0.00000
     -19.83200       0.00000      -0.00000
     -19.80200       0.00000      -0.00000
     -19.77100       0.00020      -0.00020
     -19.74000       0.00812      -0.00812
     -19.71000       0.16380      -0.16380
     -19.67900       1.63700      -1.63700
     -19.64800       8.28700      -8.28700
     -19.61800      22.25000     -22.25000
     -19.58700      34.45000     -34.45000
     -19.55600      35.43000     -35.43000
     -19.52600      32.20000     -32.20000
     -19.49500      37.76000     -37.76000
     -19.46500      46.51000     -46.51000
     -19.43400      44.98000     -44.98000
     -19.40300      34.72000     -34.72000
     -19.37300      19.74000     -19.74000
     -19.34200       6.81400      -6.81400
     -19.31100       1.27100      -1.27100
     -19.28100       0.33880      -0.33880
     -19.25000       2.55000      -2.55000
     -19.21900      15.40000     -15.40000
     -19.18900      48.95000     -48.95000
     -19.15800      82.08000     -82.08000
     -19.12700      75.16000     -75.16000
     -19.09700      51.84000     -51.84000
     -19.06600      60.63000     -60.63000
     -19.03600      81.66000     -81.66000
     -19.00500      77.45000     -77.45000
     -18.97400      61.72000     -61.72000
     -18.94400      50.08000     -50.08000
     -18.91300      32.83000     -32.83000
     -18.88200      19.94000     -19.94000
     -18.85200      27.59000     -27.59000
     -18.82100      40.64000     -40.64000
     -18.79000      34.44000     -34.44000
     -18.76000      15.73000     -15.73000
     -18.72900       4.31400      -4.31400
     -18.69800       3.22700      -3.22700
     -18.66800       8.58100      -8.58100
     -18.63700      17.31000     -17.31000
     -18.60700      26.32000     -26.32000
     -18.57600      33.44000     -33.44000
     -18.54500      37.03000     -37.03000
     -18.51500      33.52000     -33.52000
     -18.48400      21.93000     -21.93000
     -18.45300      10.06000     -10.06000
     -18.42300       3.41600      -3.41600
     -18.39200       0.81960      -0.81960
     -18.36100       0.13690      -0.13690
     -18.33100       0.31480      -0.31480
     -18.30000       2.56500      -2.56500
     -18.26900      10.82000     -10.82000
     -18.23900      23.57000     -23.57000
     -18.20800      28.33000     -28.33000
     -18.17800      22.68000     -22.68000
     -18.14700      18.40000     -18.40000
     -18.11600      20.68000     -20.68000
     -18.08600      27.72000     -27.72000
     -18.05500      36.64000     -36.64000
     -18.02400      39.17000     -39.17000
     -17.99400      28.41000     -28.41000
     -17.96300      15.77000     -15.77000
     -17.93200      14.15000     -14.15000
     -17.90200      21.70000     -21.70000
     -17.87100      30.70000     -30.70000
     -17.84000      39.12000     -39.12000
     -17.81000      47.15000     -47.15000
     -17.77900      54.22000     -54.22000
     -17.74900      58.41000     -58.41000
     -17.71800      49.18000     -49.18000
     -17.68700      30.82000     -30.82000
     -17.65700      20.89000     -20.89000
     -17.62600      23.84000     -23.84000
     -17.59500      31.86000     -31.86000
     -17.56500      35.71000     -35.71000
     -17.53400      35.60000     -35.60000
     -17.50300      36.14000     -36.14000
     -17.47300      38.92000     -38.92000
     -17.44200      40.59000     -40.59000
     -17.41100      39.63000     -39.63000
     -17.38100      36.28000     -36.28000
     -17.35000      32.78000     -32.78000
     -17.31900      33.93000     -33.93000
     -17.28900      36.91000     -36.91000
     -17.25800      37.49000     -37.49000
     -17.22800      36.58000     -36.58000
     -17.19700      36.02000     -36.02000
     -17.16600      35.70000     -35.70000
     -17.13600      32.99000     -32.99000
     -17.10500      27.69000     -27.69000
     -17.07400      25.19000     -25.19000
     -17.04400      27.76000     -27.76000
     -17.01300      31.12000     -31.12000
     -16.98200      33.82000     -33.82000
     -16.95200      38.89000     -38.89000
     -16.92100      46.20000     -46.20000
     -16.89000      45.93000     -45.93000
     -16.86000      31.12000     -31.12000
     -16.82900      12.85000     -12.85000
     -16.79900       3.03300      -3.03300
     -16.76800       0.39020      -0.39020
     -16.73700       0.02634      -0.02634
     -16.70700       0.00091      -0.00091
     -16.67600       0.00002      -0.00002
     -16.64500       0.00000      -0.00000
     -16.61500       0.00015      -0.00015
     -16.58400       0.00584      -0.00584
     -16.55300       0.11090      -0.11090
     -16.52300       1.05100      -1.05100
     -16.49200       5.06000      -5.06000
     -16.46100      12.87000     -12.87000
     -16.43100      19.33000     -19.33000
     -16.40000      22.13000     -22.13000
     -16.37000      24.81000     -24.81000
     -16.33900      28.15000     -28.15000
     -16.30800      32.09000     -32.09000
     -16.27800      32.51000     -32.51000
     -16.24700      26.22000     -26.22000
     -16.21600      18.93000     -18.93000
     -16.18600      15.06000     -15.06000
     -16.15500      12.17000     -12.17000
     -16.12400      10.15000     -10.15000
     -16.09400      13.38000     -13.38000
     -16.06300      19.57000     -19.57000
     -16.03200      20.07000     -20.07000
     -16.00200      15.59000     -15.59000
     -15.97100      14.37000     -14.37000
     -15.94100      20.68000     -20.68000
     -15.91000      31.06000     -31.06000
     -15.87900      36.64000     -36.64000
     -15.84900      37.73000     -37.73000
