      #Energy        TDOS-UP        TDOS-DOWN
     -23.62700       0.00000       0.00000
     -23.59600       0.00000       0.00000
     -23.56600       0.00000       0.00000
     -23.53500       0.00000       0.00000
     -23.50400       0.00000       0.00000
     -23.47400       0.00000       0.00000
     -23.44300       0.00000       0.00000
     -23.41200       0.00000       0.00000
     -23.38200       0.00000       0.00000
     -23.35100       0.00000       0.00000
     -23.32000       0.00000       0.00000
     -23.29000       0.00000       0.00000
     -23.25900       0.00000       0.00000
     -23.22800       0.00000       0.00000
     -23.19800       0.00000       0.00000
     -23.16700       0.00000       0.00000
     -23.13600       0.00000       0.00000
     -23.10600       0.00000       0.00000
     -23.07500       0.00000       0.00000
     -23.04400       0.00000       0.00000
     -23.01300       0.00000       0.00000
     -22.98300       0.00000       0.00000
     -22.95200       0.00000       0.00000
     -22.92100       0.00000       0.00000
     -22.89100       0.00000       0.00000
     -22.86000       0.00000       0.00000
     -22.82900       0.00000       0.00000
     -22.79900       0.00000       0.00000
     -22.76800       0.00000       0.00000
     -22.73700       0.00000       0.00000
     -22.70700       0.00000       0.00000
     -22.67600       0.00000       0.00000
     -22.64500       0.00000       0.00000
     -22.61500       0.00000       0.00000
     -22.58400       0.00000       0.00000
     -22.55300       0.00000       0.00000
     -22.52300       0.00000       0.00000
     -22.49200       0.00000      -0.00000
     -22.46100       0.00000      -0.00000
     -22.43100       0.00000      -0.00000
     -22.40000       0.00000      -0.00000
     -22.36900       0.00011      -0.00000
     -22.33900       0.00282      -0.00008
     -22.30800       0.03574      -0.00218
     -22.27700       0.23935      -0.02928
     -22.24700       0.90493      -0.20735
     -22.21600       2.14377      -0.82516
     -22.18500       3.74853      -2.04851
     -22.15500       5.80079      -3.71660
     -22.12400       8.35163      -5.83328
     -22.09300      10.56032      -8.36433
     -22.06300      11.75867     -10.52869
     -22.03200      12.52593     -11.70957
     -22.00100      13.86215     -12.42974
     -21.97100      15.99294     -13.68898
     -21.94000      18.12387     -15.81087
     -21.90900      19.42314     -18.01818
     -21.87900      19.89289     -19.38998
     -21.84800      19.98888     -19.88768
     -21.81700      19.99940     -19.98895
     -21.78700      19.99999     -19.99999
     -21.75600      20.00001     -20.00061
     -21.72500      20.00001     -20.00062
     -21.69500      20.00001     -20.00062
     -21.66400      20.00001     -20.00062
     -21.63300      20.00001     -20.00062
     -21.60300      20.00001     -20.00062
     -21.57200      20.00001     -20.00062
     -21.54100      20.00001     -20.00062
     -21.51100      20.00001     -20.00062
     -21.48000      20.00001     -20.00062
     -21.44900      20.00001     -20.00062
     -21.41900      20.00009     -20.00064
     -21.38800      20.00206     -20.00132
     -21.35700      20.02788     -20.01256
     -21.32700      20.19934     -20.10719
     -21.29600      20.79422     -20.51865
     -21.26500      21.91083     -21.47500
     -21.23500      23.07729     -22.70112
     -21.20400      23.78182     -23.58616
     -21.17300      24.16323     -23.99943
     -21.14200      24.75965     -24.37958
