      #Energy        TDOS-UP        TDOS-DOWN
     -23.62700       0.00000       0.00000
     -23.59600       0.00000       0.00000
     -23.56600       0.00000       0.00000
     -23.53500       0.00000       0.00000
     -23.50400       0.00000       0.00000
     -23.47400       0.00000       0.00000
     -23.44300       0.00000       0.00000
     -23.41200       0.00000       0.00000
     -23.38200       0.00000       0.00000
     -23.35100       0.00000       0.00000
     -23.32000       0.00000       0.00000
     -23.29000       0.00000       0.00000
     -23.25900       0.00000       0.00000
     -23.22800       0.00000       0.00000
     -23.19800       0.00000       0.00000
     -23.16700       0.00000       0.00000
     -23.13600       0.00000       0.00000
     -23.10600       0.00000       0.00000
     -23.07500       0.00000       0.00000
     -23.04400       0.00000       0.00000
     -23.01300       0.00000       0.00000
     -22.98300       0.00000       0.00000
     -22.95200       0.00000       0.00000
     -22.92100       0.00000       0.00000
     -22.89100       0.00000       0.00000
     -22.86000       0.00000       0.00000
     -22.82900       0.00000       0.00000
     -22.79900       0.00000       0.00000
     -22.76800       0.00000       0.00000
     -22.73700       0.00000       0.00000
     -22.70700       0.00000       0.00000
     -22.67600       0.00000       0.00000
     -22.64500       0.00000       0.00000
     -22.61500       0.00000       0.00000
     -22.58400       0.00000       0.00000
     -22.55300       0.00000       0.00000
     -22.52300       0.00000       0.00000
     -22.49200       0.00000      -0.00000
     -22.46100       0.00000      -0.00000
     -22.43100       0.00000      -0.00000
     -22.40000       0.00014      -0.00000
     -22.36900       0.00706      -0.00010
     -22.33900       0.16940      -0.00513
     -22.30800       1.97700      -0.13140
     -22.27700      11.30000      -1.63600
     -22.24700      32.10000      -9.97500
     -22.21600      48.68000     -30.31000
     -22.18500      55.96000     -49.46000
     -22.15500      77.86000     -59.31000
     -22.12400      88.47000     -78.71000
     -22.09300      55.55000     -86.33000
     -22.06300      22.59000     -54.80000
     -22.03200      27.44000     -22.20000
     -22.00100      59.69000     -24.76000
     -21.97100      79.25000     -57.35000
     -21.94000      59.70000     -81.01000
     -21.90900      25.02000     -62.92000
     -21.87900       5.61100     -26.53000
     -21.84800       0.64830      -5.92300
     -21.81700       0.03750      -0.68050
     -21.78700       0.00107      -0.03926
     -21.75600       0.00001      -0.00112
     -21.72500       0.00000      -0.00002
     -21.69500       0.00000      -0.00000
     -21.66400       0.00000      -0.00000
     -21.63300       0.00000      -0.00000
     -21.60300       0.00000       0.00000
     -21.57200       0.00000       0.00000
     -21.54100       0.00000      -0.00000
     -21.51100       0.00000      -0.00000
     -21.48000       0.00000      -0.00000
     -21.44900       0.00009      -0.00002
     -21.41900       0.00478      -0.00127
     -21.38800       0.12380      -0.04250
     -21.35700       1.56000      -0.69050
     -21.32700       9.62000      -5.48000
     -21.29600      29.17000     -21.35000
     -21.26500      43.64000     -41.01000
     -21.23500      32.42000     -38.94000
     -21.20400      13.52000     -18.77000
     -21.17300      11.35000      -8.17800
     -21.14200      27.54000     -16.61000
