      #Energy        TDOS-UP        TDOS-DOWN
     -23.55000       0.00000       0.00000
     -23.52000       0.00000       0.00000
     -23.48900       0.00000       0.00000
     -23.45800       0.00000       0.00000
     -23.42700       0.00000       0.00000
     -23.39700       0.00000       0.00000
     -23.36600       0.00000       0.00000
     -23.33500       0.00000       0.00000
     -23.30400       0.00000       0.00000
     -23.27400       0.00000       0.00000
     -23.24300       0.00000       0.00000
     -23.21200       0.00000       0.00000
     -23.18100       0.00000       0.00000
     -23.15100       0.00000       0.00000
     -23.12000       0.00000       0.00000
     -23.08900       0.00000       0.00000
     -23.05900       0.00000       0.00000
     -23.02800       0.00000       0.00000
     -22.99700       0.00000       0.00000
     -22.96600       0.00000       0.00000
     -22.93600       0.00000       0.00000
     -22.90500       0.00000       0.00000
     -22.87400       0.00000       0.00000
     -22.84300       0.00000       0.00000
     -22.81300       0.00000       0.00000
     -22.78200       0.00000       0.00000
     -22.75100       0.00000       0.00000
     -22.72000       0.00000       0.00000
     -22.69000       0.00000       0.00000
     -22.65900       0.00000       0.00000
     -22.62800       0.00000       0.00000
     -22.59700       0.00000       0.00000
     -22.56700       0.00000       0.00000
     -22.53600       0.00000       0.00000
     -22.50500       0.00000       0.00000
     -22.47400       0.00000       0.00000
     -22.44400       0.00000      -0.00000
     -22.41300       0.00000      -0.00000
     -22.38200       0.00000      -0.00000
     -22.35100       0.00000      -0.00000
     -22.32100       0.00000      -0.00000
     -22.29000       0.00013      -0.00013
     -22.25900       0.00315      -0.00315
     -22.22800       0.03911      -0.03911
     -22.19800       0.25617      -0.25617
     -22.16700       0.94130      -0.94130
     -22.13600       2.11310      -2.11310
     -22.10500       3.22510      -3.22510
     -22.07500       3.80898      -3.80898
     -22.04400       3.97407      -3.97407
     -22.01300       3.99834      -3.99834
     -21.98200       4.00014      -4.00014
     -21.95200       4.00021      -4.00021
     -21.92100       4.00021      -4.00021
     -21.89000       4.00021      -4.00021
     -21.86000       4.00021      -4.00021
     -21.82900       4.00021      -4.00021
     -21.79800       4.00021      -4.00021
     -21.76700       4.00021      -4.00021
     -21.73700       4.00021      -4.00021
     -21.70600       4.00021      -4.00021
     -21.67500       4.00021      -4.00021
     -21.64400       4.00021      -4.00021
     -21.61400       4.00021      -4.00021
     -21.58300       4.00021      -4.00021
     -21.55200       4.00021      -4.00021
     -21.52100       4.00021      -4.00021
     -21.49100       4.00021      -4.00021
     -21.46000       4.00025      -4.00025
     -21.42900       4.00122      -4.00122
     -21.39800       4.01480      -4.01480
     -21.36800       4.11402      -4.11402
     -21.33700       4.51005      -4.51005
     -21.30600       5.42559      -5.42559
     -21.27500       6.78478      -6.78478
     -21.24500       8.34579      -8.34579
     -21.21400      10.07236     -10.07236
     -21.18300      11.97263     -11.97263
     -21.15200      13.78497     -13.78497
     -21.12200      15.14569     -15.14569
     -21.09100      16.04386     -16.04386
     -21.06000      16.82491     -16.82491
     -21.02900      17.69834     -17.69834
     -20.99900      18.65109     -18.65109
     -20.96800      19.73941     -19.73941
     -20.93700      21.02235     -21.02235
