#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -22.172675    -22.153730
   0.01681    -22.172676    -22.153731
   0.03361    -22.172674    -22.153729
   0.05042    -22.172672    -22.153727
   0.06722    -22.172671    -22.153726
   0.08403    -22.172669    -22.153724
   0.10083    -22.172667    -22.153722
   0.11764    -22.172667    -22.153722
   0.13444    -22.172665    -22.153721
   0.15125    -22.172666    -22.153721
   0.15125    -22.172666    -22.153721
   0.15671    -22.172666    -22.153722
   0.16217    -22.172666    -22.153722
   0.16763    -22.172667    -22.153722
   0.17309    -22.172667    -22.153722
   0.17855    -22.172668    -22.153723
   0.18401    -22.172667    -22.153722
   0.18947    -22.172667    -22.153722
   0.19493    -22.172667    -22.153722
   0.20039    -22.172667    -22.153722
   0.20039    -22.172667    -22.153722
   0.21469    -22.172667    -22.153722
   0.22898    -22.172668    -22.153723
   0.24328    -22.172669    -22.153724
   0.25758    -22.172670    -22.153725
   0.27187    -22.172671    -22.153726
   0.28617    -22.172671    -22.153726
   0.30046    -22.172671    -22.153726
   0.31476    -22.172671    -22.153726
   0.32905    -22.172671    -22.153726
   0.32905    -22.172671    -22.153726
   0.34335    -22.172671    -22.153726
   0.35764    -22.172671    -22.153726
   0.37194    -22.172671    -22.153726
   0.38624    -22.172671    -22.153726
   0.40053    -22.172670    -22.153725
   0.41483    -22.172669    -22.153724
   0.42912    -22.172668    -22.153723
   0.44342    -22.172667    -22.153722
   0.45771    -22.172667    -22.153722
   0.45771    -22.172667    -22.153722
   0.46317    -22.172667    -22.153722
   0.46863    -22.172667    -22.153722
   0.47409    -22.172667    -22.153722
   0.47956    -22.172668    -22.153723
   0.48502    -22.172667    -22.153722
   0.49048    -22.172667    -22.153722
   0.49594    -22.172666    -22.153722
   0.50140    -22.172666    -22.153722
   0.50686    -22.172666    -22.153721
   0.50686    -22.172666    -22.153721
   0.52366    -22.172665    -22.153721
   0.54047    -22.172667    -22.153722
   0.55727    -22.172667    -22.153722
   0.57408    -22.172669    -22.153724
   0.59088    -22.172671    -22.153726
   0.60769    -22.172672    -22.153727
   0.62450    -22.172674    -22.153729
   0.64130    -22.172676    -22.153731
   0.65811    -22.172675    -22.153730
 
 
# Band-Index    2
   0.65811    -22.171738    -22.152834
   0.64130    -22.171739    -22.152835
   0.62450    -22.171737    -22.152833
   0.60769    -22.171735    -22.152831
   0.59088    -22.171734    -22.152830
   0.57408    -22.171732    -22.152829
   0.55727    -22.171730    -22.152826
   0.54047    -22.171730    -22.152826
   0.52366    -22.171728    -22.152825
   0.50686    -22.171729    -22.152826
   0.50686    -22.171729    -22.152826
   0.50140    -22.171729    -22.152826
   0.49594    -22.171729    -22.152826
   0.49048    -22.171730    -22.152826
   0.48502    -22.171730    -22.152826
   0.47956    -22.171730    -22.152827
   0.47409    -22.171730    -22.152826
   0.46863    -22.171730    -22.152826
   0.46317    -22.171730    -22.152826
   0.45771    -22.171729    -22.152826
   0.45771    -22.171729    -22.152826
   0.44342    -22.171730    -22.152826
   0.42912    -22.171731    -22.152827
   0.41483    -22.171732    -22.152828
   0.40053    -22.171732    -22.152829
   0.38624    -22.171733    -22.152830
   0.37194    -22.171734    -22.152830
   0.35764    -22.171734    -22.152830
   0.34335    -22.171734    -22.152830
   0.32905    -22.171734    -22.152831
   0.32905    -22.171734    -22.152831
   0.31476    -22.171734    -22.152830
   0.30046    -22.171734    -22.152830
   0.28617    -22.171734    -22.152830
   0.27187    -22.171733    -22.152830
   0.25758    -22.171732    -22.152829
   0.24328    -22.171732    -22.152828
   0.22898    -22.171731    -22.152827
   0.21469    -22.171730    -22.152826
   0.20039    -22.171729    -22.152826
