#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -20.641949    -20.641949
   0.01681    -20.641948    -20.641948
   0.03361    -20.641947    -20.641947
   0.05042    -20.641946    -20.641946
   0.06722    -20.641945    -20.641945
   0.08403    -20.641944    -20.641944
   0.10083    -20.641943    -20.641943
   0.11764    -20.641942    -20.641942
   0.13444    -20.641940    -20.641940
   0.15125    -20.641940    -20.641940
   0.15125    -20.641940    -20.641940
   0.15671    -20.641940    -20.641940
   0.16217    -20.641940    -20.641940
   0.16763    -20.641942    -20.641942
   0.17309    -20.641942    -20.641942
   0.17855    -20.641942    -20.641942
   0.18401    -20.641940    -20.641940
   0.18947    -20.641940    -20.641940
   0.19493    -20.641939    -20.641939
   0.20039    -20.641940    -20.641940
   0.20039    -20.641940    -20.641940
   0.21469    -20.641941    -20.641941
   0.22898    -20.641943    -20.641943
   0.24328    -20.641944    -20.641944
   0.25758    -20.641945    -20.641945
   0.27187    -20.641945    -20.641945
   0.28617    -20.641946    -20.641946
   0.30046    -20.641944    -20.641944
   0.31476    -20.641943    -20.641943
   0.32905    -20.641944    -20.641944
   0.32905    -20.641944    -20.641944
   0.34335    -20.641943    -20.641943
   0.35764    -20.641944    -20.641944
   0.37194    -20.641946    -20.641946
   0.38624    -20.641945    -20.641945
   0.40053    -20.641945    -20.641945
   0.41483    -20.641944    -20.641944
   0.42912    -20.641943    -20.641943
   0.44342    -20.641941    -20.641941
   0.45771    -20.641940    -20.641940
   0.45771    -20.641940    -20.641940
   0.46317    -20.641939    -20.641939
   0.46863    -20.641940    -20.641940
   0.47409    -20.641940    -20.641940
   0.47956    -20.641942    -20.641942
   0.48502    -20.641941    -20.641941
   0.49048    -20.641942    -20.641942
   0.49594    -20.641940    -20.641940
   0.50140    -20.641940    -20.641940
   0.50686    -20.641940    -20.641940
   0.50686    -20.641940    -20.641940
   0.52366    -20.641940    -20.641940
   0.54047    -20.641942    -20.641942
   0.55727    -20.641943    -20.641943
   0.57408    -20.641944    -20.641944
   0.59088    -20.641945    -20.641945
   0.60769    -20.641946    -20.641946
   0.62450    -20.641947    -20.641947
   0.64130    -20.641948    -20.641948
   0.65811    -20.641949    -20.641949
 
 
# Band-Index    2
   0.65811    -20.640195    -20.640195
   0.64130    -20.640195    -20.640195
   0.62450    -20.640194    -20.640194
   0.60769    -20.640193    -20.640193
   0.59088    -20.640193    -20.640193
   0.57408    -20.640191    -20.640191
   0.55727    -20.640190    -20.640190
   0.54047    -20.640190    -20.640190
   0.52366    -20.640187    -20.640187
   0.50686    -20.640187    -20.640187
   0.50686    -20.640187    -20.640187
   0.50140    -20.640188    -20.640188
   0.49594    -20.640188    -20.640188
   0.49048    -20.640189    -20.640189
   0.48502    -20.640189    -20.640189
   0.47956    -20.640190    -20.640190
   0.47409    -20.640187    -20.640187
   0.46863    -20.640187    -20.640187
   0.46317    -20.640187    -20.640187
   0.45771    -20.640187    -20.640187
   0.45771    -20.640187    -20.640187
   0.44342    -20.640188    -20.640188
   0.42912    -20.640190    -20.640190
   0.41483    -20.640191    -20.640191
   0.40053    -20.640192    -20.640192
   0.38624    -20.640193    -20.640193
   0.37194    -20.640193    -20.640193
   0.35764    -20.640192    -20.640192
   0.34335    -20.640191    -20.640191
   0.32905    -20.640191    -20.640191
   0.32905    -20.640191    -20.640191
   0.31476    -20.640191    -20.640191
   0.30046    -20.640192    -20.640192
   0.28617    -20.640193    -20.640193
   0.27187    -20.640193    -20.640193
   0.25758    -20.640192    -20.640192
   0.24328    -20.640191    -20.640191
   0.22898    -20.640190    -20.640190
   0.21469    -20.640188    -20.640188
   0.20039    -20.640187    -20.640187
   0.20039    -20.640187    -20.640187
   0.19493    -20.640187    -20.640187
   0.18947    -20.640187    -20.640187
   0.18401    -20.640187    -20.640187
   0.17855    -20.640190    -20.640190
   0.17309    -20.640189    -20.640189
   0.16763    -20.640189    -20.640189
   0.16217    -20.640188    -20.640188
   0.15671    -20.640188    -20.640188
   0.15125    -20.640187    -20.640187
   0.15125    -20.640187    -20.640187
   0.13444    -20.640187    -20.640187
   0.11764    -20.640190    -20.640190
   0.10083    -20.640190    -20.640190
   0.08403    -20.640191    -20.640191
   0.06722    -20.640193    -20.640193
   0.05042    -20.640193    -20.640193
   0.03361    -20.640194    -20.640194
   0.01681    -20.640195    -20.640195
   0.00000    -20.640195    -20.640195
 
 
# Band-Index    3
   0.00000    -20.585001    -20.585001
   0.01681    -20.585000    -20.585000
   0.03361    -20.584998    -20.584998
   0.05042    -20.584997    -20.584997
   0.06722    -20.584995    -20.584995
   0.08403    -20.584993    -20.584993
   0.10083    -20.584991    -20.584991
   0.11764    -20.584991    -20.584991
   0.13444    -20.584992    -20.584992
   0.15125    -20.584993    -20.584993
   0.15125    -20.584993    -20.584993
   0.15671    -20.584993    -20.584993
   0.16217    -20.584993    -20.584993
   0.16763    -20.584993    -20.584993
   0.17309    -20.584993    -20.584993
   0.17855    -20.584994    -20.584994
