      #Energy        TDOS-UP        TDOS-DOWN
     -24.81500       0.00000       0.00000
     -24.78300       0.00000       0.00000
     -24.75100       0.00000       0.00000
     -24.71800       0.00000       0.00000
     -24.68600       0.00000       0.00000
     -24.65400       0.00000       0.00000
     -24.62200       0.00000       0.00000
     -24.59000       0.00000       0.00000
     -24.55800       0.00000       0.00000
     -24.52600       0.00000       0.00000
     -24.49400       0.00000       0.00000
     -24.46200       0.00000       0.00000
     -24.42900       0.00000       0.00000
     -24.39700       0.00000       0.00000
     -24.36500       0.00000       0.00000
     -24.33300       0.00000       0.00000
     -24.30100       0.00000       0.00000
     -24.26900       0.00000       0.00000
     -24.23700       0.00000       0.00000
     -24.20500       0.00000       0.00000
     -24.17300       0.00000       0.00000
     -24.14000       0.00000       0.00000
     -24.10800       0.00000       0.00000
     -24.07600       0.00000       0.00000
     -24.04400       0.00000       0.00000
     -24.01200       0.00000       0.00000
     -23.98000       0.00000       0.00000
     -23.94800       0.00000       0.00000
     -23.91600       0.00000       0.00000
     -23.88400       0.00000       0.00000
     -23.85100       0.00000       0.00000
     -23.81900       0.00000       0.00000
     -23.78700       0.00000       0.00000
     -23.75500       0.00000       0.00000
     -23.72300       0.00000       0.00000
     -23.69100       0.00000       0.00000
     -23.65900       0.00000       0.00000
     -23.62700       0.00000      -0.00000
     -23.59500       0.00000      -0.00000
     -23.56200       0.00000      -0.00000
     -23.53000       0.00000      -0.00000
     -23.49800       0.00006      -0.00000
     -23.46600       0.00200      -0.00017
     -23.43400       0.03042      -0.00454
     -23.40200       0.22875      -0.05661
     -23.37000       0.92154      -0.35589
     -23.33800       2.26425      -1.24006
     -23.30600       4.10178      -2.78089
     -23.27300       6.50381      -4.85813
     -23.24100       9.30129      -7.48526
     -23.20900      11.85553     -10.21386
     -23.17700      14.38601     -12.61220
     -23.14500      17.51712     -15.28734
     -23.11300      20.71325     -18.61528
     -23.08100      22.87269     -21.63368
     -23.04900      23.76392     -23.33827
     -23.01700      23.97230     -23.89413
     -22.98400      23.99787     -23.99150
     -22.95200      23.99942     -24.00012
     -22.92000      23.99947     -24.00048
     -22.88800      23.99947     -24.00049
     -22.85600      23.99947     -24.00049
     -22.82400      23.99947     -24.00049
     -22.79200      23.99947     -24.00049
     -22.76000      23.99947     -24.00049
     -22.72800      23.99947     -24.00049
     -22.69500      23.99947     -24.00049
     -22.66300      23.99947     -24.00049
     -22.63100      23.99947     -24.00049
     -22.59900      23.99947     -24.00049
     -22.56700      23.99947     -24.00049
     -22.53500      23.99947     -24.00049
     -22.50300      23.99947     -24.00049
     -22.47100      23.99947     -24.00049
     -22.43900      23.99947     -24.00049
     -22.40600      23.99947     -24.00049
     -22.37400      23.99947     -24.00049
     -22.34200      23.99947     -24.00049
     -22.31000      23.99947     -24.00049
     -22.27800      23.99947     -24.00049
     -22.24600      23.99947     -24.00049
     -22.21400      23.99947     -24.00049
     -22.18200      23.99947     -24.00049
     -22.15000      23.99947     -24.00049
     -22.11700      23.99947     -24.00049
     -22.08500      23.99947     -24.00049
     -22.05300      23.99947     -24.00049
     -22.02100      23.99947     -24.00049
     -21.98900      23.99947     -24.00049
     -21.95700      23.99947     -24.00049
     -21.92500      23.99947     -24.00049
     -21.89300      23.99947     -24.00049
     -21.86100      23.99947     -24.00049
     -21.82800      23.99947     -24.00049
     -21.79600      23.99947     -24.00049
     -21.76400      23.99947     -24.00049
     -21.73200      23.99947     -24.00049
     -21.70000      23.99947     -24.00049
     -21.66800      23.99947     -24.00049
     -21.63600      23.99947     -24.00049
     -21.60400      23.99947     -24.00049
     -21.57200      23.99947     -24.00049
     -21.53900      23.99947     -24.00049
     -21.50700      23.99947     -24.00049
     -21.47500      23.99947     -24.00049
     -21.44300      23.99947     -24.00049
     -21.41100      23.99947     -24.00049
     -21.37900      23.99947     -24.00049
     -21.34700      23.99947     -24.00049
     -21.31500      23.99947     -24.00049
     -21.28300      23.99947     -24.00049
     -21.25000      23.99947     -24.00049
     -21.21800      23.99947     -24.00049
     -21.18600      23.99947     -24.00049
     -21.15400      23.99947     -24.00049
     -21.12200      23.99947     -24.00049
     -21.09000      23.99947     -24.00049
     -21.05800      23.99947     -24.00049
     -21.02600      23.99947     -24.00049
     -20.99400      23.99947     -24.00049
     -20.96100      23.99947     -24.00049
     -20.92900      23.99947     -24.00049
     -20.89700      23.99948     -24.00050
     -20.86500      24.00000     -24.00064
     -20.83300      24.00986     -24.00428
     -20.80100      24.10441     -24.04934
     -20.76900      24.59068     -24.34169
     -20.73700      26.03437     -25.40230
     -20.70500      28.71304     -27.71924
     -20.67200      32.05897     -31.00850
     -20.64000      35.02695     -34.24412
     -20.60800      36.91474     -36.50905
     -20.57600      37.74207     -37.60322
     -20.54400      38.01658     -37.96123
     -20.51200      38.29768     -38.16437
     -20.48000      38.99464     -38.66887
     -20.44800      40.19028     -39.70701
     -20.41600      41.57617     -41.11490
     -20.38300      42.77535     -42.46916
     -20.35100      43.55836     -43.41434
     -20.31900      43.90089     -43.85821
     -20.28700      43.98704     -43.98161
     -20.25500      43.99818     -43.99973
