#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 500
# Band-Index    1
   0.00000    -22.488751    -22.488751
   0.01681    -22.488746    -22.488746
   0.03361    -22.488728    -22.488728
   0.05042    -22.488702    -22.488702
   0.06722    -22.488670    -22.488670
   0.08403    -22.488636    -22.488636
   0.10083    -22.488603    -22.488603
   0.11764    -22.488578    -22.488578
   0.13444    -22.488561    -22.488561
   0.15125    -22.488556    -22.488556
   0.15125    -22.488556    -22.488556
   0.15671    -22.488556    -22.488556
   0.16217    -22.488556    -22.488556
   0.16763    -22.488557    -22.488557
   0.17309    -22.488557    -22.488557
   0.17855    -22.488559    -22.488559
   0.18401    -22.488559    -22.488559
   0.18947    -22.488559    -22.488559
   0.19493    -22.488560    -22.488560
   0.20039    -22.488561    -22.488561
   0.20039    -22.488561    -22.488561
   0.21469    -22.488575    -22.488575
   0.22898    -22.488597    -22.488597
   0.24328    -22.488624    -22.488624
   0.25758    -22.488653    -22.488653
   0.27187    -22.488683    -22.488683
   0.28617    -22.488709    -22.488709
   0.30046    -22.488729    -22.488729
   0.31476    -22.488742    -22.488742
   0.32905    -22.488747    -22.488747
   0.32905    -22.488747    -22.488747
   0.34335    -22.488742    -22.488742
   0.35764    -22.488729    -22.488729
   0.37194    -22.488709    -22.488709
   0.38624    -22.488683    -22.488683
   0.40053    -22.488653    -22.488653
   0.41483    -22.488624    -22.488624
   0.42912    -22.488597    -22.488597
   0.44342    -22.488575    -22.488575
   0.45771    -22.488561    -22.488561
   0.45771    -22.488561    -22.488561
   0.46317    -22.488560    -22.488560
   0.46863    -22.488559    -22.488559
   0.47409    -22.488559    -22.488559
   0.47956    -22.488559    -22.488559
   0.48502    -22.488557    -22.488557
   0.49048    -22.488557    -22.488557
   0.49594    -22.488556    -22.488556
   0.50140    -22.488556    -22.488556
   0.50686    -22.488556    -22.488556
   0.50686    -22.488556    -22.488556
   0.52366    -22.488561    -22.488561
   0.54047    -22.488578    -22.488578
   0.55727    -22.488603    -22.488603
   0.57408    -22.488636    -22.488636
   0.59088    -22.488670    -22.488670
   0.60769    -22.488702    -22.488702
   0.62450    -22.488728    -22.488728
   0.64130    -22.488746    -22.488746
   0.65811    -22.488751    -22.488751
 
 
# Band-Index    2
   0.65811    -22.484959    -22.484959
   0.64130    -22.484953    -22.484953
   0.62450    -22.484934    -22.484934
   0.60769    -22.484906    -22.484906
   0.59088    -22.484872    -22.484872
   0.57408    -22.484835    -22.484835
   0.55727    -22.484800    -22.484800
   0.54047    -22.484773    -22.484773
   0.52366    -22.484755    -22.484755
   0.50686    -22.484749    -22.484749
   0.50686    -22.484749    -22.484749
   0.50140    -22.484750    -22.484750
   0.49594    -22.484750    -22.484750
   0.49048    -22.484751    -22.484751
   0.48502    -22.484751    -22.484751
   0.47956    -22.484752    -22.484752
   0.47409    -22.484752    -22.484752
   0.46863    -22.484753    -22.484753
   0.46317    -22.484754    -22.484754
   0.45771    -22.484755    -22.484755
   0.45771    -22.484755    -22.484755
   0.44342    -22.484770    -22.484770
   0.42912    -22.484794    -22.484794
   0.41483    -22.484823    -22.484823
   0.40053    -22.484854    -22.484854
   0.38624    -22.484886    -22.484886
   0.37194    -22.484914    -22.484914
   0.35764    -22.484935    -22.484935
   0.34335    -22.484949    -22.484949
   0.32905    -22.484954    -22.484954
   0.32905    -22.484954    -22.484954
   0.31476    -22.484949    -22.484949
   0.30046    -22.484935    -22.484935
   0.28617    -22.484914    -22.484914
   0.27187    -22.484886    -22.484886
   0.25758    -22.484854    -22.484854
   0.24328    -22.484823    -22.484823
   0.22898    -22.484794    -22.484794
   0.21469    -22.484770    -22.484770
   0.20039    -22.484755    -22.484755
   0.20039    -22.484755    -22.484755
   0.19493    -22.484754    -22.484754
   0.18947    -22.484753    -22.484753
   0.18401    -22.484752    -22.484752
   0.17855    -22.484752    -22.484752
   0.17309    -22.484751    -22.484751
   0.16763    -22.484751    -22.484751
   0.16217    -22.484750    -22.484750
   0.15671    -22.484750    -22.484750
   0.15125    -22.484749    -22.484749
   0.15125    -22.484749    -22.484749
   0.13444    -22.484755    -22.484755
   0.11764    -22.484773    -22.484773
   0.10083    -22.484800    -22.484800
   0.08403    -22.484835    -22.484835
   0.06722    -22.484872    -22.484872
   0.05042    -22.484906    -22.484906
   0.03361    -22.484934    -22.484934
   0.01681    -22.484953    -22.484953
   0.00000    -22.484959    -22.484959
 
 
# Band-Index    3
   0.00000    -22.345871    -22.345871
   0.01681    -22.345885    -22.345885
   0.03361    -22.345925    -22.345925
   0.05042    -22.345979    -22.345979
   0.06722    -22.346036    -22.346036
   0.08403    -22.346078    -22.346078
   0.10083    -22.346087    -22.346087
   0.11764    -22.346054    -22.346054
   0.13444    -22.345985    -22.345985
   0.15125    -22.345934    -22.345934
   0.15125    -22.345934    -22.345934
   0.15671    -22.345931    -22.345931
   0.16217    -22.345923    -22.345923
   0.16763    -22.345911    -22.345911
   0.17309    -22.345893    -22.345893
   0.17855    -22.345871    -22.345871
   0.18401    -22.345843    -22.345843
   0.18947    -22.345814    -22.345814
   0.19493    -22.345787    -22.345787
   0.20039    -22.345765    -22.345765
   0.20039    -22.345765    -22.345765
   0.21469    -22.345722    -22.345722
   0.22898    -22.345737    -22.345737
   0.24328    -22.345722    -22.345722
   0.25758    -22.345677    -22.345677
   0.27187    -22.345616    -22.345616
   0.28617    -22.345553    -22.345553
   0.30046    -22.345497    -22.345497
   0.31476    -22.345458    -22.345458
   0.32905    -22.345446    -22.345446
   0.32905    -22.345446    -22.345446
   0.34335    -22.345458    -22.345458
   0.35764    -22.345497    -22.345497
   0.37194    -22.345553    -22.345553
   0.38624    -22.345616    -22.345616
   0.40053    -22.345677    -22.345677
   0.41483    -22.345722    -22.345722
   0.42912    -22.345737    -22.345737
   0.44342    -22.345722    -22.345722
   0.45771    -22.345765    -22.345765
   0.45771    -22.345765    -22.345765
   0.46317    -22.345788    -22.345788
   0.46863    -22.345815    -22.345815
   0.47409    -22.345845    -22.345845
   0.47956    -22.345873    -22.345873
   0.48502    -22.345895    -22.345895
   0.49048    -22.345912    -22.345912
   0.49594    -22.345925    -22.345925
   0.50140    -22.345933    -22.345933
   0.50686    -22.345936    -22.345936
   0.50686    -22.345936    -22.345936
   0.52366    -22.345986    -22.345986
   0.54047    -22.346055    -22.346055
   0.55727    -22.346087    -22.346087
   0.57408    -22.346078    -22.346078
   0.59088    -22.346036    -22.346036
   0.60769    -22.345979    -22.345979
   0.62450    -22.345925    -22.345925
   0.64130    -22.345885    -22.345885
   0.65811    -22.345871    -22.345871
 
 
# Band-Index    4
   0.65811    -22.343314    -22.343314
   0.64130    -22.343366    -22.343366
   0.62450    -22.343520    -22.343520
   0.60769    -22.343763    -22.343763
   0.59088    -22.344070    -22.344070
   0.57408    -22.344415    -22.344415
   0.55727    -22.344765    -22.344765
   0.54047    -22.345090    -22.345090
   0.52366    -22.345347    -22.345347
   0.50686    -22.345463    -22.345463
   0.50686    -22.345463    -22.345463
   0.50140    -22.345465    -22.345465
   0.49594    -22.345472    -22.345472
   0.49048    -22.345483    -22.345483
   0.48502    -22.345496    -22.345496
   0.47956    -22.345512    -22.345512
   0.47409    -22.345529    -22.345529
   0.46863    -22.345548    -22.345548
   0.46317    -22.345565    -22.345565
   0.45771    -22.345577    -22.345577
   0.45771    -22.345577    -22.345577
   0.44342    -22.345462    -22.345462
   0.42912    -22.345207    -22.345207
   0.41483    -22.344918    -22.344918
   0.40053    -22.344625    -22.344625
   0.38624    -22.344346    -22.344346
   0.37194    -22.344106    -22.344106
   0.35764    -22.343916    -22.343916
   0.34335    -22.343797    -22.343797
   0.32905    -22.343757    -22.343757
   0.32905    -22.343757    -22.343757
   0.31476    -22.343797    -22.343797
   0.30046    -22.343916    -22.343916
   0.28617    -22.344106    -22.344106
   0.27187    -22.344346    -22.344346
   0.25758    -22.344625    -22.344625
   0.24328    -22.344918    -22.344918
   0.22898    -22.345207    -22.345207
   0.21469    -22.345462    -22.345462
   0.20039    -22.345577    -22.345577
   0.20039    -22.345577    -22.345577
   0.19493    -22.345566    -22.345566
   0.18947    -22.345550    -22.345550
   0.18401    -22.345531    -22.345531
   0.17855    -22.345514    -22.345514
   0.17309    -22.345498    -22.345498
   0.16763    -22.345484    -22.345484
   0.16217    -22.345474    -22.345474
   0.15671    -22.345467    -22.345467
   0.15125    -22.345465    -22.345465
   0.15125    -22.345465    -22.345465
   0.13444    -22.345349    -22.345349
   0.11764    -22.345091    -22.345091
   0.10083    -22.344765    -22.344765
   0.08403    -22.344415    -22.344415
   0.06722    -22.344071    -22.344071
   0.05042    -22.343763    -22.343763
   0.03361    -22.343520    -22.343520
   0.01681    -22.343366    -22.343366
   0.00000    -22.343314    -22.343314
 
 
# Band-Index    5
   0.00000    -22.268694    -22.268694
   0.01681    -22.268645    -22.268645
   0.03361    -22.268498    -22.268498
   0.05042    -22.268276    -22.268276
   0.06722    -22.268001    -22.268001
   0.08403    -22.267704    -22.267704
   0.10083    -22.267416    -22.267416
   0.11764    -22.267167    -22.267167
   0.13444    -22.266987    -22.266987
   0.15125    -22.266914    -22.266914
   0.15125    -22.266914    -22.266914
   0.15671    -22.266916    -22.266916
   0.16217    -22.266919    -22.266919
   0.16763    -22.266926    -22.266926
   0.17309    -22.266933    -22.266933
   0.17855    -22.266942    -22.266942
   0.18401    -22.266953    -22.266953
   0.18947    -22.266965    -22.266965
   0.19493    -22.266978    -22.266978
   0.20039    -22.266992    -22.266992
   0.20039    -22.266992    -22.266992
   0.21469    -22.267145    -22.267145
   0.22898    -22.267357    -22.267357
   0.24328    -22.267606    -22.267606
   0.25758    -22.267868    -22.267868
   0.27187    -22.268127    -22.268127
   0.28617    -22.268359    -22.268359
   0.30046    -22.268539    -22.268539
   0.31476    -22.268653    -22.268653
   0.32905    -22.268694    -22.268694
   0.32905    -22.268694    -22.268694
   0.34335    -22.268653    -22.268653
   0.35764    -22.268539    -22.268539
   0.37194    -22.268359    -22.268359
   0.38624    -22.268127    -22.268127
   0.40053    -22.267868    -22.267868
   0.41483    -22.267606    -22.267606
   0.42912    -22.267357    -22.267357
   0.44342    -22.267145    -22.267145
   0.45771    -22.266992    -22.266992
   0.45771    -22.266992    -22.266992
   0.46317    -22.266979    -22.266979
   0.46863    -22.266967    -22.266967
   0.47409    -22.266956    -22.266956
   0.47956    -22.266947    -22.266947
   0.48502    -22.266939    -22.266939
   0.49048    -22.266932    -22.266932
   0.49594    -22.266927    -22.266927
   0.50140    -22.266924    -22.266924
   0.50686    -22.266922    -22.266922
   0.50686    -22.266922    -22.266922
   0.52366    -22.266992    -22.266992
   0.54047    -22.267171    -22.267171
   0.55727    -22.267418    -22.267418
   0.57408    -22.267705    -22.267705
   0.59088    -22.268001    -22.268001
   0.60769    -22.268277    -22.268277
   0.62450    -22.268498    -22.268498
   0.64130    -22.268645    -22.268645
   0.65811    -22.268694    -22.268694
 
 
# Band-Index    6
   0.65811    -22.267545    -22.267545
   0.64130    -22.267517    -22.267517
   0.62450    -22.267441    -22.267441
   0.60769    -22.267326    -22.267326
   0.59088    -22.267185    -22.267185
   0.57408    -22.267038    -22.267038
   0.55727    -22.266906    -22.266906
   0.54047    -22.266807    -22.266807
   0.52366    -22.266759    -22.266759
   0.50686    -22.266751    -22.266751
   0.50686    -22.266751    -22.266751
   0.50140    -22.266752    -22.266752
   0.49594    -22.266752    -22.266752
   0.49048    -22.266752    -22.266752
   0.48502    -22.266751    -22.266751
   0.47956    -22.266752    -22.266752
   0.47409    -22.266752    -22.266752
   0.46863    -22.266752    -22.266752
   0.46317    -22.266752    -22.266752
   0.45771    -22.266754    -22.266754
   0.45771    -22.266754    -22.266754
   0.44342    -22.266786    -22.266786
   0.42912    -22.266861    -22.266861
   0.41483    -22.266971    -22.266971
   0.40053    -22.267099    -22.267099
   0.38624    -22.267231    -22.267231
   0.37194    -22.267352    -22.267352
   0.35764    -22.267451    -22.267451
   0.34335    -22.267512    -22.267512
   0.32905    -22.267533    -22.267533
   0.32905    -22.267533    -22.267533
   0.31476    -22.267512    -22.267512
   0.30046    -22.267451    -22.267451
   0.28617    -22.267352    -22.267352
   0.27187    -22.267231    -22.267231
   0.25758    -22.267099    -22.267099
   0.24328    -22.266971    -22.266971
   0.22898    -22.266861    -22.266861
   0.21469    -22.266786    -22.266786
   0.20039    -22.266754    -22.266754
   0.20039    -22.266754    -22.266754
   0.19493    -22.266754    -22.266754
   0.18947    -22.266755    -22.266755
   0.18401    -22.266756    -22.266756
   0.17855    -22.266758    -22.266758
   0.17309    -22.266759    -22.266759
   0.16763    -22.266761    -22.266761
   0.16217    -22.266762    -22.266762
   0.15671    -22.266763    -22.266763
   0.15125    -22.266762    -22.266762
   0.15125    -22.266762    -22.266762
   0.13444    -22.266767    -22.266767
   0.11764    -22.266813    -22.266813
   0.10083    -22.266909    -22.266909
   0.08403    -22.267041    -22.267041
   0.06722    -22.267187    -22.267187
   0.05042    -22.267327    -22.267327
   0.03361    -22.267441    -22.267441
   0.01681    -22.267517    -22.267517
   0.00000    -22.267545    -22.267545
 
 
# Band-Index    7
   0.00000    -22.259051    -22.259051
   0.01681    -22.259038    -22.259038
   0.03361    -22.258999    -22.258999
   0.05042    -22.258938    -22.258938
   0.06722    -22.258863    -22.258863
   0.08403    -22.258779    -22.258779
   0.10083    -22.258696    -22.258696
   0.11764    -22.258626    -22.258626
   0.13444    -22.258579    -22.258579
   0.15125    -22.258562    -22.258562
   0.15125    -22.258562    -22.258562
   0.15671    -22.258560    -22.258560
   0.16217    -22.258554    -22.258554
   0.16763    -22.258547    -22.258547
   0.17309    -22.258536    -22.258536
   0.17855    -22.258524    -22.258524
   0.18401    -22.258509    -22.258509
   0.18947    -22.258494    -22.258494
   0.19493    -22.258480    -22.258480
