      #Energy        TDOS-UP        TDOS-DOWN
     -23.89400       0.00000       0.00000
     -23.86300       0.00000       0.00000
     -23.83200       0.00000       0.00000
     -23.80100       0.00000       0.00000
     -23.77000       0.00000       0.00000
     -23.73900       0.00000       0.00000
     -23.70800       0.00000       0.00000
     -23.67700       0.00000       0.00000
     -23.64600       0.00000       0.00000
     -23.61500       0.00000       0.00000
     -23.58400       0.00000       0.00000
     -23.55300       0.00000       0.00000
     -23.52200       0.00000       0.00000
     -23.49200       0.00000       0.00000
     -23.46100       0.00000       0.00000
     -23.43000       0.00000       0.00000
     -23.39900       0.00000       0.00000
     -23.36800       0.00000       0.00000
     -23.33700       0.00000       0.00000
     -23.30600       0.00000       0.00000
     -23.27500       0.00000       0.00000
     -23.24400       0.00000       0.00000
     -23.21300       0.00000       0.00000
     -23.18200       0.00000       0.00000
     -23.15100       0.00000       0.00000
     -23.12000       0.00000       0.00000
     -23.08900       0.00000       0.00000
     -23.05800       0.00000       0.00000
     -23.02700       0.00000       0.00000
     -22.99600       0.00000       0.00000
     -22.96600       0.00000       0.00000
     -22.93500       0.00000       0.00000
     -22.90400       0.00000       0.00000
     -22.87300       0.00000       0.00000
     -22.84200       0.00000       0.00000
     -22.81100       0.00000       0.00000
     -22.78000       0.00000      -0.00000
     -22.74900       0.00000      -0.00000
     -22.71800       0.00000      -0.00000
     -22.68700       0.00000      -0.00000
     -22.65600       0.00000      -0.00000
     -22.62500       0.00009      -0.00009
     -22.59400       0.00249      -0.00249
     -22.56300       0.03298      -0.03298
     -22.53200       0.22809      -0.22809
     -22.50100       0.87582      -0.87582
     -22.47000       2.03253      -2.03253
     -22.44000       3.17934      -3.17934
     -22.40900       3.87133      -3.87133
     -22.37800       4.40706      -4.40706
     -22.34700       5.36575      -5.36575
     -22.31600       6.87209      -6.87209
     -22.28500       8.84222      -8.84222
     -22.25400      11.34561     -11.34561
     -22.22300      13.83617     -13.83617
     -22.19200      15.40315     -15.40315
     -22.16100      16.17975     -16.17975
     -22.13000      17.23034     -17.23034
     -22.09900      19.24750     -19.24750
     -22.06800      21.63440     -21.63440
     -22.03700      23.24857     -23.24857
     -22.00600      23.85963     -23.85963
     -21.97500      23.98496     -23.98496
     -21.94400      23.99841     -23.99841
     -21.91400      23.99914     -23.99914
     -21.88300      23.99916     -23.99916
     -21.85200      23.99916     -23.99916
     -21.82100      23.99916     -23.99916
     -21.79000      23.99916     -23.99916
     -21.75900      23.99916     -23.99916
     -21.72800      23.99916     -23.99916
     -21.69700      23.99916     -23.99916
     -21.66600      23.99916     -23.99916
     -21.63500      23.99916     -23.99916
     -21.60400      23.99916     -23.99916
     -21.57300      23.99916     -23.99916
     -21.54200      23.99916     -23.99916
     -21.51100      23.99916     -23.99916
     -21.48000      23.99916     -23.99916
     -21.44900      23.99916     -23.99916
     -21.41800      23.99916     -23.99916
     -21.38800      23.99922     -23.99922
     -21.35700      24.00071     -24.00071
     -21.32600      24.01933     -24.01933
     -21.29500      24.14487     -24.14487
     -21.26400      24.62652     -24.62652
     -21.23300      25.73744     -25.73744
     -21.20200      27.34263     -27.34263
     -21.17100      28.83458     -28.83458
     -21.14000      29.83334     -29.83334
     -21.10900      30.69225     -30.69225
     -21.07800      31.95369     -31.95369
     -21.04700      33.64923     -33.64923
