      #Energy        TDOS-UP        TDOS-DOWN
     -26.94900       0.00000       0.00000
     -26.91500       0.00000       0.00000
     -26.88100       0.00000       0.00000
     -26.84600       0.00000       0.00000
     -26.81200       0.00000       0.00000
     -26.77700       0.00000       0.00000
     -26.74300       0.00000       0.00000
     -26.70900       0.00000       0.00000
     -26.67400       0.00000       0.00000
     -26.64000       0.00000       0.00000
     -26.60500       0.00000       0.00000
     -26.57100       0.00000       0.00000
     -26.53600       0.00000       0.00000
     -26.50200       0.00000       0.00000
     -26.46800       0.00000       0.00000
     -26.43300       0.00000       0.00000
     -26.39900       0.00000       0.00000
     -26.36400       0.00000       0.00000
     -26.33000       0.00000       0.00000
     -26.29600       0.00000       0.00000
     -26.26100       0.00000       0.00000
     -26.22700       0.00000       0.00000
     -26.19200       0.00000       0.00000
     -26.15800       0.00000       0.00000
     -26.12400       0.00000       0.00000
     -26.08900       0.00000       0.00000
     -26.05500       0.00000       0.00000
     -26.02000       0.00000       0.00000
     -25.98600       0.00000       0.00000
     -25.95200       0.00000       0.00000
     -25.91700       0.00000       0.00000
     -25.88300       0.00000       0.00000
     -25.84800       0.00000       0.00000
     -25.81400       0.00000       0.00000
     -25.78000       0.00000       0.00000
     -25.74500       0.00000       0.00000
     -25.71100       0.00000       0.00000
     -25.67600       0.00000      -0.00000
     -25.64200       0.00000      -0.00000
     -25.60700       0.00000      -0.00000
     -25.57300       0.00000      -0.00000
     -25.53900       0.00001      -0.00001
     -25.50400       0.00073      -0.00073
     -25.47000       0.01661      -0.01661
     -25.43500       0.16556      -0.16556
     -25.40100       0.78794      -0.78794
     -25.36700       2.02284      -2.02284
     -25.33200       3.26857      -3.26857
     -25.29800       4.08215      -4.08215
     -25.26300       5.06088      -5.06088
     -25.22900       6.85371      -6.85371
     -25.19500       9.11310      -9.11310
     -25.16000      10.90317     -10.90317
     -25.12600      11.75477     -11.75477
     -25.09100      11.97254     -11.97254
     -25.05700      11.99901     -11.99901
     -25.02300      12.00150     -12.00150
     -24.98800      12.02681     -12.02681
     -24.95400      12.27828     -12.27828
     -24.91900      13.39791     -13.39791
     -24.88500      15.76758     -15.76758
     -24.85000      18.27850     -18.27850
     -24.81600      19.61680     -19.61680
     -24.78200      19.95905     -19.95905
     -24.74700      19.99854     -19.99854
     -24.71300      20.00050     -20.00050
     -24.67800      20.00054     -20.00054
     -24.64400      20.00054     -20.00054
     -24.61000      20.00054     -20.00054
     -24.57500      20.00054     -20.00054
     -24.54100      20.00054     -20.00054
     -24.50600      20.00054     -20.00054
     -24.47200      20.00054     -20.00054
     -24.43800      20.00054     -20.00054
     -24.40300      20.00054     -20.00054
     -24.36900      20.00054     -20.00054
     -24.33400      20.00054     -20.00054
     -24.30000      20.00054     -20.00054
     -24.26600      20.00054     -20.00054
     -24.23100      20.00054     -20.00054
     -24.19700      20.00054     -20.00054
     -24.16200      20.00054     -20.00054
     -24.12800      20.00054     -20.00054
     -24.09400      20.00054     -20.00054
     -24.05900      20.00054     -20.00054
     -24.02500      20.00054     -20.00054
     -23.99000      20.00054     -20.00054
     -23.95600      20.00054     -20.00054
     -23.92100      20.00054     -20.00054
