#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 492
# Band-Index    1
   0.00000    -18.280768    -18.281228
   0.01681    -18.280767    -18.281228
   0.03361    -18.280763    -18.281224
   0.05042    -18.280757    -18.281218
   0.06722    -18.280752    -18.281212
   0.08403    -18.280745    -18.281206
   0.10083    -18.280738    -18.281199
   0.11764    -18.280733    -18.281194
   0.13444    -18.280730    -18.281191
   0.15125    -18.280728    -18.281190
   0.15125    -18.280728    -18.281190
   0.15671    -18.280729    -18.281190
   0.16217    -18.280730    -18.281191
   0.16763    -18.280731    -18.281192
   0.17309    -18.280731    -18.281192
   0.17855    -18.280731    -18.281192
   0.18401    -18.280731    -18.281192
   0.18947    -18.280731    -18.281192
   0.19493    -18.280730    -18.281192
   0.20039    -18.280731    -18.281192
   0.20039    -18.280731    -18.281192
   0.21469    -18.280733    -18.281194
   0.22898    -18.280738    -18.281199
   0.24328    -18.280743    -18.281204
   0.25758    -18.280747    -18.281208
   0.27187    -18.280752    -18.281213
   0.28617    -18.280757    -18.281218
   0.30046    -18.280761    -18.281222
   0.31476    -18.280764    -18.281224
   0.32905    -18.280764    -18.281225
   0.32905    -18.280764    -18.281225
   0.34335    -18.280764    -18.281224
   0.35764    -18.280761    -18.281222
   0.37194    -18.280757    -18.281218
   0.38624    -18.280752    -18.281213
   0.40053    -18.280747    -18.281208
   0.41483    -18.280743    -18.281204
   0.42912    -18.280738    -18.281199
   0.44342    -18.280733    -18.281194
   0.45771    -18.280731    -18.281192
   0.45771    -18.280731    -18.281192
   0.46317    -18.280730    -18.281192
   0.46863    -18.280731    -18.281192
   0.47409    -18.280731    -18.281192
   0.47956    -18.280731    -18.281192
   0.48502    -18.280731    -18.281192
   0.49048    -18.280731    -18.281192
   0.49594    -18.280730    -18.281191
   0.50140    -18.280729    -18.281190
   0.50686    -18.280728    -18.281190
   0.50686    -18.280728    -18.281190
   0.52366    -18.280730    -18.281191
   0.54047    -18.280733    -18.281194
   0.55727    -18.280738    -18.281199
   0.57408    -18.280745    -18.281206
