#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -21.661601    -21.661601
   0.01681    -21.661593    -21.661593
   0.03361    -21.661574    -21.661574
   0.05042    -21.661547    -21.661547
   0.06722    -21.661514    -21.661514
   0.08403    -21.661478    -21.661478
   0.10083    -21.661444    -21.661444
   0.11764    -21.661417    -21.661417
   0.13444    -21.661397    -21.661397
   0.15125    -21.661390    -21.661390
   0.15125    -21.661390    -21.661390
   0.15671    -21.661391    -21.661391
   0.16217    -21.661391    -21.661391
   0.16763    -21.661393    -21.661393
   0.17309    -21.661393    -21.661393
   0.17855    -21.661394    -21.661394
   0.18401    -21.661393    -21.661393
   0.18947    -21.661394    -21.661394
   0.19493    -21.661395    -21.661395
   0.20039    -21.661396    -21.661396
   0.20039    -21.661396    -21.661396
   0.21469    -21.661402    -21.661402
   0.22898    -21.661416    -21.661416
   0.24328    -21.661433    -21.661433
   0.25758    -21.661452    -21.661452
   0.27187    -21.661472    -21.661472
   0.28617    -21.661490    -21.661490
   0.30046    -21.661503    -21.661503
   0.31476    -21.661512    -21.661512
   0.32905    -21.661515    -21.661515
   0.32905    -21.661515    -21.661515
   0.34335    -21.661512    -21.661512
   0.35764    -21.661503    -21.661503
   0.37194    -21.661490    -21.661490
   0.38624    -21.661472    -21.661472
   0.40053    -21.661452    -21.661452
   0.41483    -21.661433    -21.661433
   0.42912    -21.661416    -21.661416
   0.44342    -21.661402    -21.661402
   0.45771    -21.661396    -21.661396
   0.45771    -21.661396    -21.661396
   0.46317    -21.661398    -21.661398
   0.46863    -21.661399    -21.661399
   0.47409    -21.661400    -21.661400
   0.47956    -21.661403    -21.661403
   0.48502    -21.661404    -21.661404
   0.49048    -21.661405    -21.661405
   0.49594    -21.661404    -21.661404
   0.50140    -21.661405    -21.661405
   0.50686    -21.661404    -21.661404
   0.50686    -21.661404    -21.661404
   0.52366    -21.661411    -21.661411
   0.54047    -21.661429    -21.661429
   0.55727    -21.661454    -21.661454
   0.57408    -21.661485    -21.661485
   0.59088    -21.661519    -21.661519
   0.60769    -21.661550    -21.661550
   0.62450    -21.661575    -21.661575
   0.64130    -21.661594    -21.661594
   0.65811    -21.661601    -21.661601
 
 
# Band-Index    2
   0.65811    -21.659893    -21.659893
   0.64130    -21.659892    -21.659892
   0.62450    -21.659893    -21.659893
   0.60769    -21.659894    -21.659894
   0.59088    -21.659898    -21.659898
   0.57408    -21.659903    -21.659903
   0.55727    -21.659909    -21.659909
   0.54047    -21.659916    -21.659916
   0.52366    -21.659919    -21.659919
   0.50686    -21.659921    -21.659921
   0.50686    -21.659921    -21.659921
   0.50140    -21.659922    -21.659922
   0.49594    -21.659923    -21.659923
   0.49048    -21.659926    -21.659926
   0.48502    -21.659927    -21.659927
   0.47956    -21.659930    -21.659930
   0.47409    -21.659931    -21.659931
   0.46863    -21.659933    -21.659933
   0.46317    -21.659936    -21.659936
   0.45771    -21.659939    -21.659939
   0.45771    -21.659939    -21.659939
   0.44342    -21.659945    -21.659945
   0.42912    -21.659952    -21.659952
   0.41483    -21.659957    -21.659957
   0.40053    -21.659961    -21.659961
   0.38624    -21.659964    -21.659964
   0.37194    -21.659968    -21.659968
   0.35764    -21.659969    -21.659969
   0.34335    -21.659969    -21.659969
   0.32905    -21.659969    -21.659969
   0.32905    -21.659969    -21.659969
   0.31476    -21.659969    -21.659969
   0.30046    -21.659969    -21.659969
   0.28617    -21.659968    -21.659968
   0.27187    -21.659964    -21.659964
   0.25758    -21.659961    -21.659961
   0.24328    -21.659957    -21.659957
   0.22898    -21.659952    -21.659952
   0.21469    -21.659945    -21.659945
   0.20039    -21.659939    -21.659939
   0.20039    -21.659939    -21.659939
   0.19493    -21.659940    -21.659940
   0.18947    -21.659940    -21.659940
   0.18401    -21.659940    -21.659940
   0.17855    -21.659941    -21.659941
   0.17309    -21.659941    -21.659941
   0.16763    -21.659941    -21.659941
   0.16217    -21.659939    -21.659939
   0.15671    -21.659939    -21.659939
   0.15125    -21.659938    -21.659938
   0.15125    -21.659938    -21.659938
   0.13444    -21.659937    -21.659937
   0.11764    -21.659932    -21.659932
   0.10083    -21.659923    -21.659923
   0.08403    -21.659913    -21.659913
   0.06722    -21.659905    -21.659905
   0.05042    -21.659898    -21.659898
   0.03361    -21.659895    -21.659895
   0.01681    -21.659893    -21.659893
   0.00000    -21.659893    -21.659893
 
 
