#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 492
# Band-Index    1
   0.00000    -21.109701    -21.066454
   0.01681    -21.109653    -21.066366
   0.03361    -21.109513    -21.066103
   0.05042    -21.109294    -21.065685
   0.06722    -21.109021    -21.065143
   0.08403    -21.108724    -21.064523
   0.10083    -21.108438    -21.063889
   0.11764    -21.108199    -21.063327
   0.13444    -21.108041    -21.062931
   0.15125    -21.107986    -21.062789
   0.15125    -21.107986    -21.062789
   0.15671    -21.107986    -21.062791
   0.16217    -21.107989    -21.062796
   0.16763    -21.107992    -21.062804
   0.17309    -21.107996    -21.062815
   0.17855    -21.108002    -21.062830
   0.18401    -21.108008    -21.062846
   0.18947    -21.108016    -21.062867
   0.19493    -21.108025    -21.062890
   0.20039    -21.108036    -21.062917
   0.20039    -21.108036    -21.062917
   0.21469    -21.108168    -21.063248
   0.22898    -21.108370    -21.063725
   0.24328    -21.108616    -21.064280
   0.25758    -21.108881    -21.064845
   0.27187    -21.109140    -21.065372
   0.28617    -21.109369    -21.065819
   0.30046    -21.109546    -21.066157
   0.31476    -21.109659    -21.066366
   0.32905    -21.109698    -21.066438
   0.32905    -21.109698    -21.066438
   0.34335    -21.109659    -21.066366
   0.35764    -21.109546    -21.066157
   0.37194    -21.109369    -21.065819
   0.38624    -21.109140    -21.065372
   0.40053    -21.108881    -21.064845
   0.41483    -21.108616    -21.064280
   0.42912    -21.108370    -21.063725
   0.44342    -21.108168    -21.063248
   0.45771    -21.108036    -21.062917
   0.45771    -21.108036    -21.062917
   0.46317    -21.108025    -21.062890
   0.46863    -21.108016    -21.062867
   0.47409    -21.108008    -21.062846
   0.47956    -21.108002    -21.062830
   0.48502    -21.107997    -21.062815
   0.49048    -21.107992    -21.062804
   0.49594    -21.107989    -21.062796
   0.50140    -21.107986    -21.062791
   0.50686    -21.107985    -21.062790
   0.50686    -21.107985    -21.062790
   0.52366    -21.108041    -21.062932
   0.54047    -21.108199    -21.063327
   0.55727    -21.108438    -21.063890
   0.57408    -21.108724    -21.064523
   0.59088    -21.109021    -21.065143
   0.60769    -21.109294    -21.065685
   0.62450    -21.109513    -21.066103
   0.64130    -21.109653    -21.066366
   0.65811    -21.109701    -21.066454
 
 
# Band-Index    2
   0.65811    -21.106801    -21.063416
   0.64130    -21.106744    -21.063339
   0.62450    -21.106576    -21.063113
   0.60769    -21.106312    -21.062756
   0.59088    -21.105981    -21.062299
   0.57408    -21.105616    -21.061787
   0.55727    -21.105261    -21.061277
   0.54047    -21.104963    -21.060836
   0.52366    -21.104764    -21.060534
   0.50686    -21.104694    -21.060428
   0.50686    -21.104694    -21.060428
   0.50140    -21.104695    -21.060429
   0.49594    -21.104697    -21.060433
   0.49048    -21.104702    -21.060440
   0.48502    -21.104707    -21.060448
   0.47956    -21.104715    -21.060460
   0.47409    -21.104722    -21.060472
   0.46863    -21.104732    -21.060489
   0.46317    -21.104744    -21.060507
   0.45771    -21.104757    -21.060527
   0.45771    -21.104757    -21.060527
   0.44342    -21.104924    -21.060783
   0.42912    -21.105177    -21.061158
   0.41483    -21.105482    -21.061604
   0.40053    -21.105809    -21.062068
   0.38624    -21.106125    -21.062509
   0.37194    -21.106403    -21.062890
   0.35764    -21.106617    -21.063180
   0.34335    -21.106753    -21.063362
   0.32905    -21.106799    -21.063424
   0.32905    -21.106799    -21.063424
   0.31476    -21.106753    -21.063362
   0.30046    -21.106617    -21.063180
   0.28617    -21.106403    -21.062890
   0.27187    -21.106125    -21.062509
   0.25758    -21.105809    -21.062068
   0.24328    -21.105482    -21.061604
   0.22898    -21.105177    -21.061158
   0.21469    -21.104924    -21.060783
   0.20039    -21.104757    -21.060527
   0.20039    -21.104757    -21.060527
   0.19493    -21.104744    -21.060507
   0.18947    -21.104732    -21.060489
   0.18401    -21.104722    -21.060473
   0.17855    -21.104715    -21.060460
   0.17309    -21.104707    -21.060449
   0.16763    -21.104702    -21.060440
   0.16217    -21.104697    -21.060433
   0.15671    -21.104695    -21.060429
   0.15125    -21.104694    -21.060428
   0.15125    -21.104694    -21.060428
   0.13444    -21.104764    -21.060534
   0.11764    -21.104963    -21.060836
   0.10083    -21.105261    -21.061277
   0.08403    -21.105616    -21.061787
   0.06722    -21.105981    -21.062299
   0.05042    -21.106312    -21.062756
   0.03361    -21.106576    -21.063113
   0.01681    -21.106744    -21.063339
   0.00000    -21.106801    -21.063416
 
 
# Band-Index    3
   0.00000    -21.076647    -21.043039
   0.01681    -21.076730    -21.043163
   0.03361    -21.076971    -21.043527
   0.05042    -21.077346    -21.044100
   0.06722    -21.077815    -21.044832
   0.08403    -21.078326    -21.045654
   0.10083    -21.078817    -21.046474
   0.11764    -21.079226    -21.047188
   0.13444    -21.079497    -21.047680
   0.15125    -21.079593    -21.047857
   0.15125    -21.079593    -21.047857
   0.15671    -21.079592    -21.047856
   0.16217    -21.079589    -21.047850
   0.16763    -21.079584    -21.047840
   0.17309    -21.079576    -21.047826
   0.17855    -21.079567    -21.047809
   0.18401    -21.079554    -21.047786
   0.18947    -21.079540    -21.047760
   0.19493    -21.079523    -21.047731
   0.20039    -21.079505    -21.047698
   0.20039    -21.079505    -21.047698
   0.21469    -21.079274    -21.047282
   0.22898    -21.078926    -21.046676
   0.24328    -21.078500    -21.045960
   0.25758    -21.078039    -21.045214
   0.27187    -21.077590    -21.044507
   0.28617    -21.077193    -21.043898
   0.30046    -21.076882    -21.043430
   0.31476    -21.076685    -21.043136
   0.32905    -21.076617    -21.043036
   0.32905    -21.076617    -21.043036
   0.34335    -21.076685    -21.043136
   0.35764    -21.076882    -21.043430
   0.37194    -21.077193    -21.043898
   0.38624    -21.077590    -21.044507
   0.40053    -21.078039    -21.045214
   0.41483    -21.078500    -21.045960
   0.42912    -21.078926    -21.046676
   0.44342    -21.079274    -21.047282
   0.45771    -21.079505    -21.047698
   0.45771    -21.079505    -21.047698
   0.46317    -21.079523    -21.047731
   0.46863    -21.079540    -21.047760
   0.47409    -21.079554    -21.047786
   0.47956    -21.079567    -21.047809
   0.48502    -21.079576    -21.047827
   0.49048    -21.079584    -21.047840
   0.49594    -21.079589    -21.047850
   0.50140    -21.079592    -21.047856
   0.50686    -21.079593    -21.047857
   0.50686    -21.079593    -21.047857
   0.52366    -21.079497    -21.047680
   0.54047    -21.079226    -21.047188
   0.55727    -21.078817    -21.046474
   0.57408    -21.078326    -21.045654
   0.59088    -21.077815    -21.044832
   0.60769    -21.077346    -21.044100
   0.62450    -21.076971    -21.043527
   0.64130    -21.076730    -21.043163
   0.65811    -21.076647    -21.043039
 
 
# Band-Index    4
   0.65811    -21.075109    -21.036686
   0.64130    -21.075182    -21.036800
   0.62450    -21.075397    -21.037133
   0.60769    -21.075729    -21.037652
   0.59088    -21.076141    -21.038307
   0.57408    -21.076587    -21.039029
   0.55727    -21.077011    -21.039735
   0.54047    -21.077362    -21.040335
   0.52366    -21.077593    -21.040740
   0.50686    -21.077675    -21.040883
   0.50686    -21.077675    -21.040883
   0.50140    -21.077674    -21.040881
   0.49594    -21.077671    -21.040877
   0.49048    -21.077668    -21.040869
   0.48502    -21.077661    -21.040858
   0.47956    -21.077654    -21.040844
   0.47409    -21.077643    -21.040825
   0.46863    -21.077632    -21.040804
   0.46317    -21.077619    -21.040780
   0.45771    -21.077604    -21.040754
   0.45771    -21.077604    -21.040754
   0.44342    -21.077413    -21.040413
   0.42912    -21.077120    -21.039907
   0.41483    -21.076759    -21.039295
   0.40053    -21.076364    -21.038645
   0.38624    -21.075977    -21.038017
   0.37194    -21.075632    -21.037469
