      #Energy        TDOS-UP        TDOS-DOWN
     -19.30241       0.00000       0.00000
     -19.27241       0.00000       0.00000
     -19.24341       0.00000       0.00000
     -19.21441       0.00000       0.00000
     -19.18541       0.00000       0.00000
     -19.15541       0.00000       0.00000
     -19.12641       0.00000       0.00000
     -19.09741       0.00000       0.00000
     -19.06841       0.00000       0.00000
     -19.03941       0.00000       0.00000
     -19.00941       0.00000       0.00000
     -18.98041       0.00000       0.00000
     -18.95141       0.00000       0.00000
     -18.92241       0.00000       0.00000
     -18.89241       0.00000       0.00000
     -18.86341       0.00000       0.00000
     -18.83441       0.00000       0.00000
     -18.80541       0.00000       0.00000
     -18.77641       0.00000       0.00000
     -18.74641       0.00000       0.00000
     -18.71741       0.00000       0.00000
     -18.68841       0.00000       0.00000
     -18.65941       0.00000       0.00000
     -18.63041       0.00000       0.00000
     -18.60041       0.00000       0.00000
     -18.57141       0.00000       0.00000
     -18.54241       0.00000       0.00000
     -18.51341       0.00000       0.00000
     -18.48341       0.00000       0.00000
     -18.45441       0.00000       0.00000
     -18.42541       0.00000       0.00000
     -18.39641       0.00000       0.00000
     -18.36741       0.00000       0.00000
     -18.33741       0.00000       0.00000
     -18.30841       0.00000       0.00000
     -18.27941       0.00000       0.00000
     -18.25041       0.00000       0.00000
     -18.22041       0.00000      -0.00000
     -18.19141       0.00000      -0.00000
     -18.16241       0.00000      -0.00000
     -18.13341       0.00001      -0.00000
     -18.10441       0.00021      -0.00000
     -18.07441       0.00426      -0.00004
     -18.04541       0.04684      -0.00108
     -18.01641       0.29670      -0.01629
     -17.98741       1.14687      -0.13836
     -17.95741       2.88901      -0.68847
     -17.92841       5.10220      -2.12336
     -17.89941       6.90658      -4.36269
     -17.87041       8.09104      -6.60553
     -17.84141       9.41883      -8.49933
     -17.81141      11.49818     -10.59431
     -17.78241      13.77506     -12.98500
     -17.75341      15.27657     -14.84914
     -17.72441      15.85581     -15.72372
     -17.69441      15.98456     -15.96086
     -17.66541      16.01789     -16.00079
     -17.63641      16.14846     -16.04895
     -17.60741      16.68864     -16.33260
     -17.57841      18.03294     -17.32435
     -17.54841      20.10849     -19.30815
     -17.51941      22.13831     -21.62404
     -17.49041      23.39436     -23.21029
     -17.46141      23.87512     -23.83976
     -17.43141      23.98451     -23.98112
     -17.40241      23.99867     -23.99863
     -17.37341      23.99967     -23.99980
     -17.34441      23.99971     -23.99984
     -17.31541      23.99971     -23.99984
     -17.28541      23.99971     -23.99984
     -17.25641      23.99971     -23.99984
     -17.22741      23.99971     -23.99984
     -17.19841      23.99971     -23.99984
     -17.16841      23.99971     -23.99984
     -17.13941      23.99971     -23.99984
     -17.11041      23.99971     -23.99984
     -17.08141      23.99971     -23.99984
     -17.05241      23.99971     -23.99984
     -17.02241      23.99971     -23.99984
     -16.99341      23.99971     -23.99984
     -16.96441      23.99971     -23.99984
     -16.93541      23.99971     -23.99984
     -16.90541      23.99971     -23.99984
     -16.87641      23.99971     -23.99984
     -16.84741      23.99971     -23.99984
     -16.81841      23.99971     -23.99984
     -16.78941      23.99971     -23.99984
     -16.75941      23.99971     -23.99984
     -16.73041      23.99971     -23.99984
     -16.70141      23.99971     -23.99984
     -16.67241      23.99971     -23.99984
     -16.64241      23.99981     -23.99987
     -16.61341      24.00176     -24.00067
     -16.58441      24.02355     -24.01173
     -16.55541      24.16476     -24.09770
     -16.52641      24.73049     -24.48692
     -16.49641      26.19372     -25.56678
     -16.46741      28.65718     -27.51419
     -16.43841      31.31159     -29.92812
     -16.40941      33.09201     -32.04502
     -16.38041      33.80953     -33.33628
     -16.35041      33.97660     -33.85378
     -16.32141      33.99831     -33.98063
     -16.29241      33.99984     -33.99850
     -16.26341      33.99990     -33.99988
     -16.23341      34.00017     -33.99996
     -16.20441      34.00447     -34.00060
     -16.17541      34.04428     -34.01043
     -16.14641      34.26340     -34.09463
     -16.11741      35.00240     -34.50375
     -16.08741      36.56454     -35.66688
     -16.05841      38.67106     -37.66602
     -16.02941      40.50247     -39.79665
     -16.00041      41.53134     -41.22233
     -15.97041      41.90246     -41.81998
     -15.94141      41.98697     -41.97415
     -15.91241      41.99875     -41.99785
     -15.88341      41.99971     -41.99994
     -15.85441      41.99976     -42.00004
     -15.82441      41.99976     -42.00004
     -15.79541      41.99976     -42.00004
     -15.76641      41.99976     -42.00004
     -15.73741      41.99976     -42.00004
     -15.70741      41.99976     -42.00004
     -15.67841      41.99978     -42.00004
     -15.64941      42.00031     -42.00004
     -15.62041      42.00785     -42.00017
     -15.59141      42.06648     -42.00256
     -15.56141      42.32249     -42.02687
     -15.53241      42.97703     -42.16440
     -15.50341      44.01539     -42.61752
     -15.47441      45.16114     -43.55873
     -15.44441      46.33552     -44.95650
     -15.41541      47.79992     -46.66606
     -15.38641      49.61058     -48.47819
     -15.35741      51.40824     -50.13004
     -15.32841      52.79608     -51.53848
     -15.29841      53.59790     -52.71213
     -15.26941      53.91259     -53.51278
     -15.24041      53.98849     -53.88033
     -15.21141      53.99897     -53.98230
     -15.18141      53.99976     -53.99842
     -15.15241      53.99979     -53.99982
     -15.12341      53.99980     -53.99988
     -15.09441      53.99980     -53.99989
     -15.06541      53.99980     -53.99989
     -15.03541      53.99980     -53.99989
     -15.00641      53.99989     -53.99994
     -14.97741      54.00193     -54.00120
     -14.94841      54.02583     -54.01758
     -14.91841      54.17617     -54.13212
     -14.88941      54.69744     -54.57116
     -14.86041      55.72338     -55.51922
     -14.83141      56.91807     -56.70135
     -14.80241      57.87783     -57.58104
     -14.77241      58.79039     -58.10307
     -14.74341      60.05901     -58.80072
     -14.71441      61.67404     -60.20039
     -14.68541      63.47214     -62.28515
     -14.65541      65.39531     -64.56773
     -14.62641      67.28779     -66.63130
     -14.59741      69.02628     -68.43363
     -14.56841      70.87391     -70.28973
     -14.53941      73.27206     -72.65676
     -14.50941      76.09376     -75.49950
     -14.48041      78.59666     -78.10468
     -14.45141      80.27131     -79.91272
     -14.42241      81.19278     -80.96306
     -14.39341      81.67040     -81.53111
     -14.36341      82.01038     -81.87400
     -14.33441      82.55432     -82.28337
     -14.30541      83.53950     -83.07729
     -14.27641      84.71856     -84.23780
     -14.24641      85.55982     -85.27134
     -14.21741      85.90738     -85.81021
     -14.18841      85.98831     -85.97047
     -14.15941      85.99897     -85.99693
     -14.13041      86.00509     -85.99951
     -14.10041      86.05511     -86.00361
     -14.07141      86.30644     -86.04314
     -14.04241      87.01197     -86.25627
     -14.01341      88.14706     -86.89722
     -13.98341      89.21434     -88.00396
     -13.95441      89.83046     -89.14518
     -13.92541      90.18696     -89.95532
     -13.89641      90.73485     -90.64289
     -13.86741      91.79205     -91.65670
     -13.83741      93.48569     -93.28473
     -13.80841      95.77104     -95.56308
     -13.77941      98.26898     -98.11463
     -13.75041     100.29939    -100.21488
     -13.72041     101.44279    -101.40767
     -13.69141     101.87173    -101.86081
     -13.66241     101.97848    -101.97663
