      #Energy        TDOS-UP        TDOS-DOWN
     -22.43700       0.00000       0.00000
     -22.40700       0.00000       0.00000
     -22.37800       0.00000       0.00000
     -22.34900       0.00000       0.00000
     -22.32000       0.00000       0.00000
     -22.29000       0.00000       0.00000
     -22.26100       0.00000       0.00000
     -22.23200       0.00000       0.00000
     -22.20300       0.00000       0.00000
     -22.17400       0.00000       0.00000
     -22.14400       0.00000       0.00000
     -22.11500       0.00000       0.00000
     -22.08600       0.00000       0.00000
     -22.05700       0.00000       0.00000
     -22.02700       0.00000       0.00000
     -21.99800       0.00000       0.00000
     -21.96900       0.00000       0.00000
     -21.94000       0.00000       0.00000
     -21.91100       0.00000       0.00000
     -21.88100       0.00000       0.00000
     -21.85200       0.00000       0.00000
     -21.82300       0.00000       0.00000
     -21.79400       0.00000       0.00000
     -21.76500       0.00000       0.00000
     -21.73500       0.00000       0.00000
     -21.70600       0.00000       0.00000
     -21.67700       0.00000       0.00000
     -21.64800       0.00000       0.00000
     -21.61800       0.00000       0.00000
     -21.58900       0.00000       0.00000
     -21.56000       0.00000       0.00000
     -21.53100       0.00000       0.00000
     -21.50200       0.00000       0.00000
     -21.47200       0.00000       0.00000
     -21.44300       0.00000       0.00000
     -21.41400       0.00000       0.00000
     -21.38500       0.00000       0.00000
     -21.35500       0.00000      -0.00000
     -21.32600       0.00000      -0.00000
     -21.29700       0.00001      -0.00000
     -21.26800       0.00038      -0.00000
     -21.23900       0.01388      -0.00005
     -21.20900       0.26330      -0.00255
     -21.18000       2.65100      -0.06849
     -21.15100      14.45000      -0.97290
     -21.12200      43.74000      -7.38200
     -21.09200      75.50000     -30.27000
     -21.06300      75.98000     -67.94000
     -21.03400      47.52000     -85.33000
     -21.00500      33.55000     -68.18000
     -20.97600      57.33000     -61.44000
     -20.94600      84.99000     -81.95000
     -20.91700      70.85000     -81.68000
     -20.88800      31.92000     -45.91000
     -20.85900       7.72600     -13.95000
     -20.82900       1.08600      -2.28100
     -20.80000       1.19500      -0.45220
     -20.77100       7.74200      -2.84400
     -20.74200      29.23000     -16.57000
     -20.71300      62.78000     -51.31000
     -20.68300      79.28000     -84.47000
     -20.65400      59.65000     -74.04000
     -20.62500      26.32000     -34.53000
     -20.59600       6.58500      -8.55400
     -20.56600       0.90260      -1.12100
     -20.53700       0.06610      -0.07738
     -20.50800       0.00254      -0.00280
     -20.47900       0.00005      -0.00005
     -20.45000       0.00000      -0.00000
     -20.42000       0.00000      -0.00000
     -20.39100       0.00000      -0.00000
     -20.36200       0.00000       0.00000
     -20.33300       0.00000       0.00000
     -20.30300       0.00000       0.00000
     -20.27400       0.00000       0.00000
     -20.24500       0.00000       0.00000
     -20.21600       0.00000       0.00000
     -20.18700       0.00000       0.00000
     -20.15700       0.00000       0.00000
     -20.12800       0.00000       0.00000
     -20.09900       0.00000       0.00000
     -20.07000       0.00000       0.00000
     -20.04000       0.00000       0.00000
     -20.01100       0.00000       0.00000
     -19.98200       0.00000       0.00000
     -19.95300       0.00000       0.00000
     -19.92400       0.00000      -0.00000
     -19.89400       0.00000      -0.00000
     -19.86500       0.00000      -0.00000
     -19.83600       0.00000      -0.00000
     -19.80700       0.00017      -0.00004
     -19.77700       0.00648      -0.00208
     -19.74800       0.12740      -0.05238
     -19.71900       1.36400      -0.70450
     -19.69000       8.30100      -5.18000
     -19.66100      30.42000     -21.46000
     -19.63100      69.73000     -52.45000
     -19.60200      98.88000     -80.84000
     -19.57300      82.80000     -84.38000
     -19.54400      39.06000     -60.51000
     -19.51500      10.05000     -27.87000
     -19.48500       1.38500      -7.55000
     -19.45600       0.10090      -1.13200
     -19.42700       0.00387      -0.09094
     -19.39800       0.00070      -0.00387
     -19.36800       0.01767      -0.00158
     -19.33900       0.27650      -0.04198
     -19.31000       2.44800      -0.63090
     -19.28100      12.55000      -5.13200
     -19.25200      38.03000     -22.87000
     -19.22200      68.89000     -56.74000
     -19.19300      75.29000     -80.09000
     -19.16400      50.06000     -65.74000
     -19.13500      20.36000     -31.84000
     -19.10500       5.04100      -9.06600
     -19.07600       0.74330      -1.48600
     -19.04700       0.06312      -0.13600
     -19.01800       0.00298      -0.00677
     -18.98900       0.00008      -0.00018
     -18.95900       0.00000      -0.00000
     -18.93000       0.00000      -0.00000
     -18.90100       0.00000      -0.00000
     -18.87200       0.00000      -0.00000
     -18.84200       0.00003      -0.00000
     -18.81300       0.00132      -0.00000
     -18.78400       0.03479      -0.00024
     -18.75500       0.48130      -0.00843
     -18.72600       3.53200      -0.15500
     -18.69600      13.99000      -1.50900
     -18.66700      30.81000      -7.90400
     -18.63800      40.26000     -23.11000
     -18.60900      38.16000     -41.31000
     -18.57900      42.22000     -54.36000
     -18.55000      58.01000     -62.65000
     -18.52100      65.92000     -61.38000
     -18.49200      57.12000     -51.68000
     -18.46300      37.87000     -44.72000
     -18.43300      17.01000     -35.61000
     -18.40400       4.52900     -19.19000
     -18.37500       0.66530      -5.96700
     -18.34600       0.05219      -1.01200
     -18.31600       0.00215      -0.09150
     -18.28700       0.00005      -0.00435
     -18.25800       0.00000      -0.00011
     -18.22900       0.00000      -0.00000
     -18.20000       0.00000      -0.00000
     -18.17000       0.00015      -0.00007
     -18.14100       0.00618      -0.00341
     -18.11200       0.13370      -0.08268
     -18.08300       1.50200      -1.03900
     -18.05300       8.78800      -6.80000
     -18.02400      26.89000     -23.25000
     -17.99500      43.33000     -41.64000
     -17.96600      38.44000     -39.27000
     -17.93700      27.25000     -20.94000
     -17.90700      35.21000     -14.79000
     -17.87800      51.62000     -32.96000
     -17.84900      58.92000     -62.84000
