#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -25.090381    -25.075679
   0.01681    -25.090363    -25.075661
   0.03361    -25.090310    -25.075608
   0.05042    -25.090220    -25.075518
   0.06722    -25.090102    -25.075400
   0.08403    -25.089963    -25.075260
   0.10083    -25.089816    -25.075113
   0.11764    -25.089678    -25.074975
   0.13444    -25.089575    -25.074872
   0.15125    -25.089537    -25.074833
   0.15125    -25.089537    -25.074833
   0.15671    -25.089538    -25.074834
   0.16217    -25.089539    -25.074836
   0.16763    -25.089542    -25.074838
   0.17309    -25.089546    -25.074842
   0.17855    -25.089550    -25.074846
   0.18401    -25.089554    -25.074850
   0.18947    -25.089559    -25.074855
   0.19493    -25.089565    -25.074861
   0.20039    -25.089573    -25.074869
   0.20039    -25.089573    -25.074869
   0.21469    -25.089658    -25.074955
   0.22898    -25.089778    -25.075075
   0.24328    -25.089909    -25.075206
   0.25758    -25.090036    -25.075334
   0.27187    -25.090153    -25.075450
   0.28617    -25.090248    -25.075545
   0.30046    -25.090317    -25.075615
   0.31476    -25.090362    -25.075660
   0.32905    -25.090376    -25.075674
   0.32905    -25.090376    -25.075674
   0.34335    -25.090362    -25.075660
   0.35764    -25.090317    -25.075615
   0.37194    -25.090248    -25.075545
   0.38624    -25.090153    -25.075450
   0.40053    -25.090036    -25.075334
   0.41483    -25.089909    -25.075206
   0.42912    -25.089778    -25.075075
   0.44342    -25.089658    -25.074955
   0.45771    -25.089573    -25.074869
   0.45771    -25.089573    -25.074869
   0.46317    -25.089565    -25.074861
   0.46863    -25.089559    -25.074855
   0.47409    -25.089553    -25.074849
   0.47956    -25.089549    -25.074845
   0.48502    -25.089544    -25.074840
   0.49048    -25.089541    -25.074837
   0.49594    -25.089539    -25.074835
   0.50140    -25.089538    -25.074834
   0.50686    -25.089538    -25.074834
   0.50686    -25.089538    -25.074834
   0.52366    -25.089575    -25.074871
   0.54047    -25.089679    -25.074975
   0.55727    -25.089816    -25.075113
   0.57408    -25.089962    -25.075259
   0.59088    -25.090102    -25.075399
   0.60769    -25.090219    -25.075517
   0.62450    -25.090309    -25.075607
   0.64130    -25.090364    -25.075661
   0.65811    -25.090381    -25.075679
 
 
