      #Energy        TDOS-UP        TDOS-DOWN
     -26.62900       0.00000       0.00000
     -26.59500       0.00000       0.00000
     -26.56100       0.00000       0.00000
     -26.52700       0.00000       0.00000
     -26.49300       0.00000       0.00000
     -26.45900       0.00000       0.00000
     -26.42600       0.00000       0.00000
     -26.39200       0.00000       0.00000
     -26.35800       0.00000       0.00000
     -26.32400       0.00000       0.00000
     -26.29000       0.00000       0.00000
     -26.25600       0.00000       0.00000
     -26.22200       0.00000       0.00000
     -26.18800       0.00000       0.00000
     -26.15500       0.00000       0.00000
     -26.12100       0.00000       0.00000
     -26.08700       0.00000       0.00000
     -26.05300       0.00000       0.00000
     -26.01900       0.00000       0.00000
     -25.98500       0.00000       0.00000
     -25.95100       0.00000       0.00000
     -25.91700       0.00000       0.00000
     -25.88400       0.00000       0.00000
     -25.85000       0.00000       0.00000
     -25.81600       0.00000       0.00000
     -25.78200       0.00000       0.00000
     -25.74800       0.00000       0.00000
     -25.71400       0.00000       0.00000
     -25.68000       0.00000       0.00000
     -25.64600       0.00000       0.00000
     -25.61200       0.00000       0.00000
     -25.57900       0.00000       0.00000
     -25.54500       0.00000       0.00000
     -25.51100       0.00000       0.00000
     -25.47700       0.00000       0.00000
     -25.44300       0.00000       0.00000
     -25.40900       0.00000       0.00000
     -25.37500       0.00000       0.00000
     -25.34100       0.00000      -0.00000
     -25.30800       0.00000      -0.00000
     -25.27400       0.00000      -0.00000
     -25.24000       0.00002      -0.00000
     -25.20600       0.00095      -0.00020
     -25.17200       0.01957      -0.00581
     -25.13800       0.18418      -0.07631
     -25.10400       0.87080      -0.47900
     -25.07000       2.39425      -1.63366
     -25.03600       4.47827      -3.55014
     -25.00300       6.43556      -5.64669
     -24.96900       7.83281      -7.28788
     -24.93500       8.89125      -8.41509
     -24.90100       9.98425      -9.45744
     -24.86700      11.02558     -10.55891
     -24.83300      11.80721     -11.48640
     -24.79900      12.73927     -12.35680
     -24.76500      14.68827     -13.99070
     -24.73200      17.34047     -16.58361
     -24.69800      19.22120     -18.81314
     -24.66400      19.88294     -19.78044
     -24.63000      19.99183     -19.98020
     -24.59600      19.99977     -19.99875
     -24.56200      20.00002     -19.99950
     -24.52800      20.00002     -19.99951
     -24.49400      20.00002     -19.99951
     -24.46100      20.00002     -19.99951
     -24.42700      20.00002     -19.99951
     -24.39300      20.00002     -19.99951
     -24.35900      20.00002     -19.99951
     -24.32500      20.00002     -19.99951
     -24.29100      20.00002     -19.99951
     -24.25700      20.00002     -19.99951
     -24.22300      20.00002     -19.99951
     -24.18900      20.00002     -19.99951
     -24.15600      20.00002     -19.99951
     -24.12200      20.00002     -19.99951
     -24.08800      20.00002     -19.99951
     -24.05400      20.00002     -19.99951
     -24.02000      20.00002     -19.99951
     -23.98600      20.00002     -19.99951
     -23.95200      20.00002     -19.99951
     -23.91800      20.00002     -19.99951
     -23.88500      20.00002     -19.99951
     -23.85100      20.00002     -19.99951
     -23.81700      20.00002     -19.99951
     -23.78300      20.00002     -19.99951
     -23.74900      20.00002     -19.99951
     -23.71500      20.00002     -19.99951
     -23.68100      20.00002     -19.99951
     -23.64700      20.00002     -19.99951
     -23.61300      20.00002     -19.99951
     -23.58000      20.00002     -19.99951
     -23.54600      20.00002     -19.99951
     -23.51200      20.00002     -19.99951
     -23.47800      20.00002     -19.99951
     -23.44400      20.00002     -19.99951
     -23.41000      20.00002     -19.99951
     -23.37600      20.00002     -19.99951
     -23.34200      20.00002     -19.99951
     -23.30900      20.00002     -19.99951
     -23.27500      20.00002     -19.99951
     -23.24100      20.00002     -19.99951
     -23.20700      20.00002     -19.99951
     -23.17300      20.00002     -19.99951
     -23.13900      20.00002     -19.99951
     -23.10500      20.00002     -19.99951
     -23.07100      20.00002     -19.99951
     -23.03800      20.00002     -19.99951
     -23.00400      20.00002     -19.99951
     -22.97000      20.00002     -19.99951
     -22.93600      20.00002     -19.99951
     -22.90200      20.00002     -19.99951
     -22.86800      20.00016     -19.99953
     -22.83400      20.00427     -20.00055
     -22.80000      20.06104     -20.02052
     -22.76600      20.42875     -20.19887
     -22.73300      21.63796     -20.97861
     -22.69900      23.82344     -22.79225
     -22.66500      26.10719     -25.18543
     -22.63100      27.57965     -27.05311
     -22.59700      28.53086     -28.11884
     -22.56300      29.92692     -29.23437
     -22.52900      32.34635     -31.27383
     -22.49500      35.53844     -34.34733
     -22.46200      38.28178     -37.45387
