      #Energy        TDOS-UP        TDOS-DOWN
     -19.51293       0.00000       0.00000
     -19.48293       0.00000       0.00000
     -19.45393       0.00000       0.00000
     -19.42393       0.00000       0.00000
     -19.39393       0.00000       0.00000
     -19.36493       0.00000       0.00000
     -19.33493       0.00000       0.00000
     -19.30593       0.00000       0.00000
     -19.27593       0.00000       0.00000
     -19.24593       0.00000       0.00000
     -19.21693       0.00000       0.00000
     -19.18693       0.00000       0.00000
     -19.15793       0.00000       0.00000
     -19.12793       0.00000       0.00000
     -19.09793       0.00000       0.00000
     -19.06893       0.00000       0.00000
     -19.03893       0.00000       0.00000
     -19.00993       0.00000       0.00000
     -18.97993       0.00000       0.00000
     -18.94993       0.00000       0.00000
     -18.92093       0.00000       0.00000
     -18.89093       0.00000       0.00000
     -18.86193       0.00000       0.00000
     -18.83193       0.00000       0.00000
     -18.80193       0.00000       0.00000
     -18.77293       0.00000       0.00000
     -18.74293       0.00000       0.00000
     -18.71393       0.00000       0.00000
     -18.68393       0.00000       0.00000
     -18.65393       0.00000       0.00000
     -18.62493       0.00000       0.00000
     -18.59493       0.00000       0.00000
     -18.56493       0.00000       0.00000
     -18.53593       0.00000       0.00000
     -18.50593       0.00000       0.00000
     -18.47693       0.00000       0.00000
     -18.44693       0.00000      -0.00000
     -18.41693       0.00000      -0.00000
     -18.38793       0.00000      -0.00000
     -18.35793       0.00000      -0.00000
     -18.32893       0.00001      -0.00001
     -18.29893       0.00021      -0.00021
     -18.26893       0.00420      -0.00420
     -18.23993       0.04519      -0.04519
     -18.20993       0.26965      -0.26965
     -18.18093       0.94201      -0.94201
     -18.15093       2.07535      -2.07535
     -18.12093       3.17079      -3.17079
     -18.09193       3.77714      -3.77714
     -18.06193       3.96543      -3.96543
     -18.03293       3.99826      -3.99826
     -18.00293       4.01325      -4.01325
     -17.97293       4.09547      -4.09547
     -17.94393       4.41609      -4.41609
     -17.91393       5.20156      -5.20156
     -17.88493       6.50543      -6.50543
     -17.85493       8.01521      -8.01521
     -17.82493       9.21428      -9.21428
     -17.79593       9.92439      -9.92439
     -17.76593      10.55338     -10.55338
     -17.73593      11.54860     -11.54860
     -17.70693      12.73494     -12.73494
     -17.67693      13.57428     -13.57428
     -17.64793      13.91389     -13.91389
     -17.61793      13.99045     -13.99045
     -17.58793      14.00248     -14.00248
     -17.55893      14.02530     -14.02530
     -17.52893      14.13456     -14.13456
     -17.49993      14.48630     -14.48630
     -17.46993      15.27680     -15.27680
     -17.43993      16.55328     -16.55328
     -17.41093      18.09075     -18.09075
     -17.38093      19.64894     -19.64894
     -17.35193      21.17501     -21.17501
     -17.32193      22.52729     -22.52729
     -17.29193      23.43473     -23.43473
     -17.26293      23.85025     -23.85025
     -17.23293      23.97419     -23.97419
     -17.20393      23.99966     -23.99966
     -17.17393      24.03269     -24.03269
     -17.14393      24.24307     -24.24307
     -17.11493      25.06465     -25.06465
     -17.08493      26.96539     -26.96539
     -17.05593      29.68786     -29.68786
     -17.02593      32.22396     -32.22396
     -16.99593      33.95697     -33.95697
     -16.96693      35.21007     -35.21007
     -16.93693      36.46746     -36.46746
     -16.90793      37.72899     -37.72899
     -16.87793      38.84931     -38.84931
     -16.84793      39.91914     -39.91914
     -16.81893      41.05351     -41.05351
     -16.78893      42.14436     -42.14436
     -16.75893      42.99259     -42.99259
     -16.72993      43.53780     -43.53780
     -16.69993      43.83508     -43.83508
     -16.67093      43.95941     -43.95941
     -16.64093      43.99359     -43.99359
     -16.61093      43.99913     -43.99913
     -16.58193      43.99962     -43.99962
     -16.55193      43.99965     -43.99965
     -16.52293      43.99965     -43.99965
     -16.49293      43.99965     -43.99965
     -16.46293      43.99965     -43.99965
     -16.43393      43.99965     -43.99965
     -16.40393      43.99965     -43.99965
     -16.37493      43.99965     -43.99965
     -16.34493      43.99965     -43.99965
     -16.31493      43.99965     -43.99965
     -16.28593      43.99965     -43.99965
     -16.25593      43.99965     -43.99965
     -16.22693      43.99965     -43.99965
     -16.19693      43.99965     -43.99965
     -16.16693      43.99965     -43.99965
     -16.13793      43.99965     -43.99965
     -16.10793      43.99965     -43.99965
     -16.07893      43.99966     -43.99966
     -16.04893      44.00016     -44.00016
     -16.01893      44.00766     -44.00766
     -15.98993      44.06948     -44.06948
     -15.95993      44.35180     -44.35180
     -15.92993      45.08826     -45.08826
     -15.90093      46.21479     -46.21479
     -15.87093      47.23962     -47.23962
     -15.84193      47.79231     -47.79231
     -15.81193      47.96566     -47.96566
     -15.78193      47.99639     -47.99639
     -15.75293      47.99942     -47.99942
     -15.72293      48.00038     -48.00038
     -15.69393      48.01069     -48.01069
     -15.66393      48.08300     -48.08300
     -15.63393      48.37004     -48.37004
     -15.60493      49.04847     -49.04847
     -15.57493      50.08662     -50.08662
     -15.54593      51.27873     -51.27873
     -15.51593      52.53730     -52.53730
     -15.48593      53.89491     -53.89491
     -15.45693      55.31188     -55.31188
     -15.42693      56.65365     -56.65365
     -15.39793      57.87181     -57.87181
     -15.36793      59.14030     -59.14030
     -15.33793      60.58495     -60.58495
     -15.30893      62.10525     -62.10525
     -15.27893      63.63916     -63.63916
     -15.24993      65.15146     -65.15146
     -15.21993      66.44379     -66.44379
     -15.18993      67.34915     -67.34915
     -15.16093      67.98599     -67.98599
     -15.13093      68.70661     -68.70661
     -15.10193      69.83122     -69.83122
     -15.07193      71.37372     -71.37372
     -15.04193      73.04323     -73.04323
     -15.01293      74.56530     -74.56530
     -14.98293      75.81351     -75.81351
     -14.95293      76.71118     -76.71118
     -14.92393      77.28570     -77.28570
     -14.89393      77.65238     -77.65238
     -14.86493      77.87167     -77.87167
     -14.83493      77.97127     -77.97127
     -14.80493      78.02046     -78.02046
     -14.77593      78.13203     -78.13203
     -14.74593      78.47070     -78.47070
     -14.71693      79.19118     -79.19118
     -14.68693      80.21630     -80.21630
     -14.65693      81.17022     -81.17022
     -14.62793      81.73719     -81.73719
     -14.59793      81.94654     -81.94654
     -14.56893      81.99296     -81.99296
     -14.53893      81.99903     -81.99903
     -14.50893      82.00141     -82.00141
     -14.47993      82.01987     -82.01987
     -14.44993      82.12333     -82.12333
     -14.42093      82.48582     -82.48582
     -14.39093      83.33316     -83.33316
     -14.36093      84.78625     -84.78625
     -14.33193      86.79535     -86.79535
     -14.30193      89.09207     -89.09207
     -14.27293      91.25868     -91.25868
     -14.24293      93.16978     -93.16978
     -14.21293      95.07215     -95.07215
     -14.18393      97.05993     -97.05993
     -14.15393      98.91078     -98.91078
     -14.12393     100.37098    -100.37098
     -14.09493     101.32076    -101.32076
     -14.06493     101.80254    -101.80254
     -14.03593     102.00523    -102.00523
     -14.00593     102.15183    -102.15183
     -13.97593     102.38878    -102.38878
     -13.94693     102.78033    -102.78033
     -13.91693     103.38178    -103.38178
     -13.88793     104.28123    -104.28123
     -13.85793     105.48118    -105.48118
     -13.82793     106.84797    -106.84797
     -13.79893     108.29425    -108.29425
     -13.76893     109.73816    -109.73816
     -13.73993     110.92124    -110.92124
     -13.70993     111.62395    -111.62395
     -13.67993     111.90941    -111.90941
     -13.65093     111.98544    -111.98544
     -13.62093     111.99803    -111.99803
     -13.59193     111.99925    -111.99925
     -13.56193     111.99932    -111.99932
     -13.53193     111.99932    -111.99932
     -13.50293     111.99932    -111.99932
     -13.47293     111.99932    -111.99932
     -13.44393     111.99932    -111.99932
     -13.41393     111.99932    -111.99932
     -13.38393     111.99932    -111.99932
     -13.35493     111.99932    -111.99932
     -13.32493     111.99932    -111.99932
     -13.29593     111.99932    -111.99932
     -13.26593     111.99932    -111.99932
     -13.23593     111.99932    -111.99932
     -13.20693     111.99932    -111.99932
     -13.17693     111.99932    -111.99932
     -13.14693     111.99936    -111.99936
     -13.11793     112.00035    -112.00035
     -13.08793     112.01212    -112.01212
     -13.05893     112.08713    -112.08713
     -13.02893     112.35146    -112.35146
     -12.99893     112.89311    -112.89311
     -12.96993     113.61047    -113.61047
     -12.93993     114.36307    -114.36307
     -12.91093     115.10309    -115.10309
     -12.88093     115.77812    -115.77812
     -12.85093     116.48571    -116.48571
     -12.82193     117.48760    -117.48760
     -12.79193     118.73744    -118.73744
     -12.76293     119.85893    -119.85893
     -12.73293     120.71841    -120.71841
     -12.70293     121.54754    -121.54754
     -12.67393     122.50709    -122.50709
     -12.64393     123.47892    -123.47892
     -12.61493     124.31753    -124.31753
     -12.58493     125.05680    -125.05680
     -12.55493     125.77269    -125.77269
     -12.52593     126.42122    -126.42122
     -12.49593     126.93045    -126.93045
     -12.46693     127.33236    -127.33236
     -12.43693     127.69800    -127.69800
     -12.40693     128.07963    -128.07963
     -12.37793     128.55881    -128.55881
     -12.34793     129.21845    -129.21845
     -12.31793     130.04136    -130.04136
     -12.28893     130.92896    -130.92896
     -12.25893     131.90554    -131.90554
     -12.22993     133.14131    -133.14131
     -12.19993     134.61113    -134.61113
     -12.16993     136.02336    -136.02336
     -12.14093     137.17372    -137.17372
     -12.11093     138.07909    -138.07909
     -12.08193     138.88113    -138.88113
     -12.05193     139.79642    -139.79642
