      #Energy        TDOS-UP        TDOS-DOWN
     -22.60600       0.00000       0.00000
     -22.57600       0.00000       0.00000
     -22.54700       0.00000       0.00000
     -22.51700       0.00000       0.00000
     -22.48700       0.00000       0.00000
     -22.45800       0.00000       0.00000
     -22.42800       0.00000       0.00000
     -22.39900       0.00000       0.00000
     -22.36900       0.00000       0.00000
     -22.33900       0.00000       0.00000
     -22.31000       0.00000       0.00000
     -22.28000       0.00000       0.00000
     -22.25100       0.00000       0.00000
     -22.22100       0.00000       0.00000
     -22.19100       0.00000       0.00000
     -22.16200       0.00000       0.00000
     -22.13200       0.00000       0.00000
     -22.10300       0.00000       0.00000
     -22.07300       0.00000       0.00000
     -22.04300       0.00000       0.00000
     -22.01400       0.00000       0.00000
     -21.98400       0.00000       0.00000
     -21.95500       0.00000       0.00000
     -21.92500       0.00000       0.00000
     -21.89500       0.00000       0.00000
     -21.86600       0.00000       0.00000
     -21.83600       0.00000       0.00000
     -21.80700       0.00000       0.00000
     -21.77700       0.00000       0.00000
     -21.74700       0.00000       0.00000
     -21.71800       0.00000       0.00000
     -21.68800       0.00000       0.00000
     -21.65800       0.00000       0.00000
     -21.62900       0.00000       0.00000
     -21.59900       0.00000       0.00000
     -21.57000       0.00000       0.00000
     -21.54000       0.00000      -0.00000
     -21.51000       0.00000      -0.00000
     -21.48100       0.00000      -0.00000
     -21.45100       0.00000      -0.00000
     -21.42200       0.00035      -0.00035
     -21.39200       0.01332      -0.01332
     -21.36200       0.25610      -0.25610
     -21.33300       2.51300      -2.51300
     -21.30300      12.65000     -12.65000
     -21.27400      32.77000     -32.77000
     -21.24400      43.79000     -43.79000
     -21.21400      30.21000     -30.21000
     -21.18500      10.75000     -10.75000
     -21.15500       1.97000      -1.97000
     -21.12600       0.24770      -0.24770
     -21.09600       0.76500      -0.76500
     -21.06600       4.78900      -4.78900
     -21.03700      16.87000     -16.87000
     -21.00700      36.19000     -36.19000
     -20.97800      51.89000     -51.89000
     -20.94800      50.10000     -50.10000
     -20.91800      30.90000     -30.90000
     -20.88900      17.07000     -17.07000
     -20.85900      25.42000     -25.42000
     -20.82900      41.81000     -41.81000
     -20.80000      38.33000     -38.33000
     -20.77000      18.37000     -18.37000
     -20.74100       4.57100      -4.57100
     -20.71100       0.60120      -0.60120
     -20.68100       0.21140      -0.21140
     -20.65200       1.33000      -1.33000
     -20.62200       6.05100      -6.05100
     -20.59300      17.71000     -17.71000
     -20.56300      35.69000     -35.69000
     -20.53300      50.54000     -50.54000
     -20.50400      53.32000     -53.32000
     -20.47400      51.94000     -51.94000
     -20.44500      51.15000     -51.15000
     -20.41500      40.20000     -40.20000
     -20.38500      21.10000     -21.10000
     -20.35600       6.97000      -6.97000
     -20.32600       1.40200      -1.40200
     -20.29700       0.31890      -0.31890
     -20.26700       1.91200      -1.91200
     -20.23700      12.30000     -12.30000
     -20.20800      43.20000     -43.20000
     -20.17800      85.20000     -85.20000
     -20.14900      98.71000     -98.71000
     -20.11900      72.61000     -72.61000
     -20.08900      44.46000     -44.46000
     -20.06000      40.19000     -40.19000
     -20.03000      44.75000     -44.75000
     -20.00100      40.47000     -40.47000
     -19.97100      35.21000     -35.21000
     -19.94100      37.06000     -37.06000
     -19.91200      39.57000     -39.57000
     -19.88200      34.12000     -34.12000
     -19.85200      23.18000     -23.18000
     -19.82300      13.65000     -13.65000
     -19.79300       6.43200      -6.43200
     -19.76400       1.96700      -1.96700
     -19.73400       0.34200      -0.34200
     -19.70400       0.03203      -0.03203
     -19.67500       0.00158      -0.00158
     -19.64500       0.00004      -0.00004
     -19.61600       0.00000      -0.00000
     -19.58600       0.00000      -0.00000
     -19.55600       0.00000      -0.00000
     -19.52700       0.00000      -0.00000
     -19.49700       0.00000       0.00000
     -19.46800       0.00000       0.00000
     -19.43800       0.00000       0.00000
     -19.40800       0.00000       0.00000
     -19.37900       0.00000       0.00000
     -19.34900       0.00000       0.00000
     -19.32000       0.00000      -0.00000
     -19.29000       0.00000      -0.00000
     -19.26000       0.00000      -0.00000
     -19.23100       0.00000      -0.00000
     -19.20100       0.00002      -0.00002
     -19.17200       0.00113      -0.00113
     -19.14200       0.03212      -0.03212
     -19.11200       0.47500      -0.47500
     -19.08300       3.70100      -3.70100
     -19.05300      15.37000     -15.37000
     -19.02300      34.38000     -34.38000
     -18.99400      41.72000     -41.72000
     -18.96400      27.51000     -27.51000
     -18.93500       9.82600      -9.82600
     -18.90500       1.88400      -1.88400
     -18.87500       0.19200      -0.19200
     -18.84600       0.01248      -0.01248
     -18.81600       0.05243      -0.05243
     -18.78700       0.64450      -0.64450
     -18.75700       4.24000      -4.24000
