      #Energy        TDOS-UP        TDOS-DOWN
     -25.45000       0.00000       0.00000
     -25.41700       0.00000       0.00000
     -25.38400       0.00000       0.00000
     -25.35100       0.00000       0.00000
     -25.31800       0.00000       0.00000
     -25.28600       0.00000       0.00000
     -25.25300       0.00000       0.00000
     -25.22000       0.00000       0.00000
     -25.18700       0.00000       0.00000
     -25.15500       0.00000       0.00000
     -25.12200       0.00000       0.00000
     -25.08900       0.00000       0.00000
     -25.05600       0.00000       0.00000
     -25.02400       0.00000       0.00000
     -24.99100       0.00000       0.00000
     -24.95800       0.00000       0.00000
     -24.92500       0.00000       0.00000
     -24.89200       0.00000       0.00000
     -24.86000       0.00000       0.00000
     -24.82700       0.00000       0.00000
     -24.79400       0.00000       0.00000
     -24.76100       0.00000       0.00000
     -24.72900       0.00000       0.00000
     -24.69600       0.00000       0.00000
     -24.66300       0.00000       0.00000
     -24.63000       0.00000       0.00000
     -24.59800       0.00000       0.00000
     -24.56500       0.00000       0.00000
     -24.53200       0.00000       0.00000
     -24.49900       0.00000       0.00000
     -24.46600       0.00000       0.00000
     -24.43400       0.00000       0.00000
     -24.40100       0.00000       0.00000
     -24.36800       0.00000       0.00000
     -24.33500       0.00000       0.00000
     -24.30300       0.00000       0.00000
     -24.27000       0.00000       0.00000
     -24.23700       0.00000      -0.00000
     -24.20400       0.00000      -0.00000
     -24.17200       0.00000      -0.00000
     -24.13900       0.00002      -0.00002
     -24.10600       0.00173      -0.00173
     -24.07300       0.06957      -0.06957
     -24.04000       1.26500      -1.26500
     -24.00800      10.60000     -10.60000
     -23.97500      41.80000     -41.80000
     -23.94200      78.97000     -78.97000
     -23.90900      72.51000     -72.51000
     -23.87700      36.60000     -36.60000
     -23.84400      36.22000     -36.22000
     -23.81100      86.46000     -86.46000
     -23.77800     120.70000    -120.70000
     -23.74600      85.91000     -85.91000
     -23.71300      32.15000     -32.15000
     -23.68000       6.35900      -6.35900
     -23.64700       0.64120      -0.64120
     -23.61400       0.03129      -0.03129
     -23.58200       0.00071      -0.00071
     -23.54900       0.00001      -0.00001
     -23.51600       0.00000      -0.00000
     -23.48300       0.00000      -0.00000
     -23.45100       0.00000      -0.00000
     -23.41800       0.00000       0.00000
     -23.38500       0.00000       0.00000
     -23.35200       0.00000       0.00000
     -23.32000       0.00000       0.00000
     -23.28700       0.00000       0.00000
     -23.25400       0.00000       0.00000
     -23.22100       0.00000       0.00000
     -23.18800       0.00000       0.00000
     -23.15600       0.00000       0.00000
     -23.12300       0.00000       0.00000
     -23.09000       0.00000       0.00000
     -23.05700       0.00000       0.00000
     -23.02500       0.00000       0.00000
     -22.99200       0.00000       0.00000
     -22.95900       0.00000       0.00000
     -22.92600       0.00000       0.00000
     -22.89400       0.00000       0.00000
     -22.86100       0.00000       0.00000
     -22.82800       0.00000       0.00000
     -22.79500       0.00000       0.00000
     -22.76200       0.00000       0.00000
     -22.73000       0.00000       0.00000
     -22.69700       0.00000       0.00000
     -22.66400       0.00000       0.00000
     -22.63100       0.00000       0.00000
     -22.59900       0.00000       0.00000
     -22.56600       0.00000       0.00000
     -22.53300       0.00000       0.00000
     -22.50000       0.00000       0.00000
     -22.46800       0.00000       0.00000
     -22.43500       0.00000       0.00000
     -22.40200       0.00000       0.00000
     -22.36900       0.00000       0.00000
     -22.33600       0.00000       0.00000
     -22.30400       0.00000       0.00000
     -22.27100       0.00000       0.00000
     -22.23800       0.00000       0.00000
     -22.20500       0.00000       0.00000
     -22.17300       0.00000       0.00000
     -22.14000       0.00000       0.00000
     -22.10700       0.00000       0.00000
     -22.07400       0.00000       0.00000
     -22.04200       0.00000       0.00000
     -22.00900       0.00000       0.00000
     -21.97600       0.00000       0.00000
     -21.94300       0.00000       0.00000
     -21.91000       0.00000       0.00000
     -21.87800       0.00000       0.00000
     -21.84500       0.00000       0.00000
     -21.81200       0.00000       0.00000
     -21.77900       0.00000       0.00000
     -21.74700       0.00000       0.00000
     -21.71400       0.00000       0.00000
     -21.68100       0.00000       0.00000
     -21.64800       0.00000       0.00000
     -21.61600       0.00000       0.00000
     -21.58300       0.00000       0.00000
     -21.55000       0.00000       0.00000
     -21.51700       0.00000       0.00000
     -21.48400       0.00000       0.00000
     -21.45200       0.00000       0.00000
     -21.41900       0.00000       0.00000
     -21.38600       0.00000       0.00000
     -21.35300       0.00000       0.00000
     -21.32100       0.00000       0.00000
     -21.28800       0.00000       0.00000
     -21.25500       0.00000       0.00000
     -21.22200       0.00000       0.00000
     -21.19000       0.00000       0.00000
     -21.15700       0.00000       0.00000
     -21.12400       0.00000       0.00000
     -21.09100       0.00000       0.00000
     -21.05800       0.00000       0.00000
     -21.02600       0.00000       0.00000
     -20.99300       0.00000      -0.00000
     -20.96000       0.00000      -0.00000
     -20.92700       0.00000      -0.00000
     -20.89500       0.00000      -0.00000
     -20.86200       0.00004      -0.00004
     -20.82900       0.00269      -0.00269
     -20.79600       0.07312      -0.07312
     -20.76400       0.93310      -0.93310
     -20.73100       5.82600      -5.82600
     -20.69800      18.72000     -18.72000
     -20.66500      32.78000     -32.78000
     -20.63200      35.60000     -35.60000
     -20.60000      38.21000     -38.21000
     -20.56700      60.91000     -60.91000
     -20.53400      87.12000     -87.12000
     -20.50100      88.20000     -88.20000
     -20.46900      73.62000     -73.62000
     -20.43600      59.91000     -59.91000
     -20.40300      48.57000     -48.57000
     -20.37000      42.74000     -42.74000
     -20.33800      40.15000     -40.15000
     -20.30500      44.54000     -44.54000
     -20.27200      44.12000     -44.12000
     -20.23900      30.10000     -30.10000
     -20.20600      21.82000     -21.82000
     -20.17400      23.40000     -23.40000
     -20.14100      21.99000     -21.99000
     -20.10800      18.30000     -18.30000
     -20.07500      20.02000     -20.02000
     -20.04300      23.08000     -23.08000
     -20.01000      19.60000     -19.60000
     -19.97700      10.85000     -10.85000
     -19.94400       3.59600      -3.59600
     -19.91200       0.64410      -0.64410
     -19.87900       0.12400      -0.12400
     -19.84600       1.00000      -1.00000
     -19.81300       6.72400      -6.72400
     -19.78000      21.38000     -21.38000
     -19.74800      34.41000     -34.41000
     -19.71500      31.77000     -31.77000
     -19.68200      18.68000     -18.68000
     -19.64900       6.66000      -6.66000
     -19.61700       1.25200      -1.25200
     -19.58400       0.11370      -0.11370
     -19.55100       0.03573      -0.03573
     -19.51800       0.39730      -0.39730
     -19.48600       2.41200      -2.41200
     -19.45300       7.79500      -7.79500
     -19.42000      17.41000     -17.41000
     -19.38700      34.12000     -34.12000
     -19.35400      52.63000     -52.63000
     -19.32200      54.19000     -54.19000
     -19.28900      36.35000     -36.35000
     -19.25600      19.43000     -19.43000
     -19.22300      19.45000     -19.45000
     -19.19100      40.26000     -40.26000
     -19.15800      60.32000     -60.32000
     -19.12500      48.34000     -48.34000
     -19.09200      20.91000     -20.91000
     -19.06000       7.88500      -7.88500
     -19.02700      11.04000     -11.04000
     -18.99400      22.63000     -22.63000
     -18.96100      31.86000     -31.86000
     -18.92800      32.53000     -32.53000
     -18.89600      24.24000     -24.24000
     -18.86300      14.53000     -14.53000
     -18.83000      14.25000     -14.25000
     -18.79700      22.22000     -22.22000
     -18.76500      29.84000     -29.84000
     -18.73200      29.89000     -29.89000
     -18.69900      25.62000     -25.62000
     -18.66600      23.48000     -23.48000
     -18.63400      20.39000     -20.39000
     -18.60100      19.63000     -19.63000
     -18.56800      29.23000     -29.23000
     -18.53500      43.19000     -43.19000
     -18.50200      45.55000     -45.55000
     -18.47000      33.43000     -33.43000
     -18.43700      15.54000     -15.54000
     -18.40400       3.92300      -3.92300
     -18.37100       0.54820      -0.54820
     -18.33900       1.00900      -1.00900
     -18.30600       7.03600      -7.03600
     -18.27300      23.99000     -23.99000
     -18.24000      43.05000     -43.05000
     -18.20800      50.97000     -50.97000
     -18.17500      49.45000     -49.45000
     -18.14200      37.30000     -37.30000
     -18.10900      22.06000     -22.06000
     -18.07600      17.07000     -17.07000
     -18.04400      21.02000     -21.02000
     -18.01100      19.84000     -19.84000
     -17.97800       9.80300      -9.80300
     -17.94500       2.54500      -2.54500
     -17.91300       2.10500      -2.10500
     -17.88000       7.61700      -7.61700
     -17.84700      20.78000     -20.78000
     -17.81400      36.47000     -36.47000
     -17.78200      34.92000     -34.92000
     -17.74900      17.04000     -17.04000
     -17.71600       9.84500      -9.84500
     -17.68300      26.01000     -26.01000
     -17.65000      53.80000     -53.80000
     -17.61800      62.47000     -62.47000
     -17.58500      47.75000     -47.75000
     -17.55200      40.69000     -40.69000
     -17.51900      51.37000     -51.37000
     -17.48700      60.88000     -60.88000
     -17.45400      64.55000     -64.55000
     -17.42100      73.86000     -73.86000
     -17.38800      80.90000     -80.90000
     -17.35600      64.06000     -64.06000
     -17.32300      31.70000     -31.70000
     -17.29000      16.10000     -16.10000
     -17.25700      23.21000     -23.21000
     -17.22400      32.34000     -32.34000
     -17.19200      30.06000     -30.06000
     -17.15900      19.18000     -19.18000
     -17.12600      11.04000     -11.04000
     -17.09300      14.13000     -14.13000
     -17.06100      22.98000     -22.98000
     -17.02800      29.74000     -29.74000
     -16.99500      35.14000     -35.14000
     -16.96200      36.12000     -36.12000
     -16.93000      27.54000     -27.54000
     -16.89700      17.01000     -17.01000
