#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 500
# Band-Index    1
   0.00000    -18.279762    -18.279716
   0.01681    -18.279495    -18.279449
   0.03361    -18.278697    -18.278650
   0.05042    -18.277384    -18.277335
   0.06722    -18.275590    -18.275540
   0.08403    -18.273365    -18.273312
   0.10083    -18.270781    -18.270723
   0.11764    -18.267966    -18.267900
   0.13444    -18.265227    -18.265144
   0.15125    -18.263741    -18.263638
   0.15125    -18.263741    -18.263638
   0.15671    -18.263761    -18.263658
   0.16217    -18.263817    -18.263715
   0.16763    -18.263909    -18.263809
   0.17309    -18.264032    -18.263935
   0.17855    -18.264186    -18.264091
   0.18401    -18.264363    -18.264271
   0.18947    -18.264563    -18.264475
   0.19493    -18.264783    -18.264698
   0.20039    -18.265021    -18.264938
   0.20039    -18.265021    -18.264938
   0.21469    -18.267364    -18.267296
   0.22898    -18.269823    -18.269763
   0.24328    -18.272133    -18.272076
   0.25758    -18.274185    -18.274131
   0.27187    -18.275923    -18.275872
   0.28617    -18.277309    -18.277259
   0.30046    -18.278314    -18.278264
   0.31476    -18.278923    -18.278874
   0.32905    -18.279128    -18.279079
   0.32905    -18.279128    -18.279079
   0.34335    -18.278923    -18.278874
   0.35764    -18.278314    -18.278264
   0.37194    -18.277309    -18.277259
   0.38624    -18.275923    -18.275872
   0.40053    -18.274185    -18.274131
   0.41483    -18.272133    -18.272076
   0.42912    -18.269823    -18.269763
   0.44342    -18.267364    -18.267296
   0.45771    -18.265021    -18.264938
   0.45771    -18.265021    -18.264938
   0.46317    -18.264782    -18.264696
   0.46863    -18.264559    -18.264472
   0.47409    -18.264356    -18.264267
   0.47956    -18.264176    -18.264085
   0.48502    -18.264020    -18.263927
   0.49048    -18.263894    -18.263799
   0.49594    -18.263800    -18.263704
   0.50140    -18.263743    -18.263645
   0.50686    -18.263723    -18.263625
   0.50686    -18.263723    -18.263625
   0.52366    -18.265217    -18.265138
   0.54047    -18.267964    -18.267900
   0.55727    -18.270782    -18.270724
   0.57408    -18.273366    -18.273313
   0.59088    -18.275592    -18.275541
   0.60769    -18.277385    -18.277336
   0.62450    -18.278697    -18.278650
   0.64130    -18.279495    -18.279449
   0.65811    -18.279762    -18.279716
 
 
# Band-Index    2
   0.65811    -18.250425    -18.250430
   0.64130    -18.250384    -18.250388
   0.62450    -18.250274    -18.250277
   0.60769    -18.250160    -18.250160
   0.59088    -18.250183    -18.250178
   0.57408    -18.250599    -18.250587
   0.55727    -18.251757    -18.251737
   0.54047    -18.253769    -18.253749
   0.52366    -18.256194    -18.256185
   0.50686    -18.257614    -18.257622
   0.50686    -18.257614    -18.257622
   0.50140    -18.257594    -18.257602
   0.49594    -18.257533    -18.257541
   0.49048    -18.257437    -18.257443
   0.48502    -18.257306    -18.257311
   0.47956    -18.257146    -18.257149
   0.47409    -18.256960    -18.256961
   0.46863    -18.256754    -18.256753
   0.46317    -18.256533    -18.256530
   0.45771    -18.256300    -18.256295
   0.45771    -18.256300    -18.256295
   0.44342    -18.254159    -18.254141
   0.42912    -18.252371    -18.252352
   0.41483    -18.251404    -18.251392
   0.40053    -18.251224    -18.251220
   0.38624    -18.251499    -18.251502
   0.37194    -18.251936    -18.251942
   0.35764    -18.252348    -18.252357
   0.34335    -18.252631    -18.252641
   0.32905    -18.252733    -18.252743
   0.32905    -18.252733    -18.252743
   0.31476    -18.252631    -18.252641
   0.30046    -18.252348    -18.252357
   0.28617    -18.251936    -18.251942
   0.27187    -18.251499    -18.251502
   0.25758    -18.251224    -18.251220
   0.24328    -18.251404    -18.251392
   0.22898    -18.252371    -18.252352
   0.21469    -18.254159    -18.254141
   0.20039    -18.256300    -18.256295
   0.20039    -18.256300    -18.256295
   0.19493    -18.256532    -18.256529
   0.18947    -18.256752    -18.256752
   0.18401    -18.256955    -18.256958
   0.17855    -18.257138    -18.257144
   0.17309    -18.257295    -18.257304
   0.16763    -18.257424    -18.257435
   0.16217    -18.257518    -18.257531
   0.15671    -18.257577    -18.257591
   0.15125    -18.257596    -18.257611
   0.15125    -18.257596    -18.257611
   0.13444    -18.256191    -18.256186
   0.11764    -18.253788    -18.253768
   0.10083    -18.251796    -18.251774
   0.08403    -18.250647    -18.250630
   0.06722    -18.250222    -18.250213
   0.05042    -18.250185    -18.250183
   0.03361    -18.250286    -18.250288
   0.01681    -18.250388    -18.250391
   0.00000    -18.250425    -18.250430
 
 
# Band-Index    3
   0.00000    -18.231549    -18.231509
   0.01681    -18.231977    -18.231945
   0.03361    -18.233155    -18.233138
   0.05042    -18.234889    -18.234885
   0.06722    -18.236941    -18.236950
   0.08403    -18.238969    -18.238991
   0.10083    -18.240540    -18.240574
   0.11764    -18.241419    -18.241460
   0.13444    -18.241764    -18.241807
   0.15125    -18.241843    -18.241886
   0.15125    -18.241843    -18.241886
   0.15671    -18.241846    -18.241888
   0.16217    -18.241851    -18.241894
   0.16763    -18.241860    -18.241903
   0.17309    -18.241872    -18.241914
   0.17855    -18.241884    -18.241926
   0.18401    -18.241897    -18.241938
   0.18947    -18.241908    -18.241949
   0.19493    -18.241916    -18.241956
   0.20039    -18.241921    -18.241961
   0.20039    -18.241921    -18.241961
   0.21469    -18.241794    -18.241831
   0.22898    -18.241215    -18.241244
   0.24328    -18.239953    -18.239970
   0.25758    -18.238127    -18.238131
   0.27187    -18.236117    -18.236110
   0.28617    -18.234263    -18.234248
   0.30046    -18.232796    -18.232774
   0.31476    -18.231859    -18.231832
   0.32905    -18.231538    -18.231510
   0.32905    -18.231538    -18.231510
   0.34335    -18.231859    -18.231832
   0.35764    -18.232796    -18.232774
   0.37194    -18.234263    -18.234248
   0.38624    -18.236117    -18.236110
   0.40053    -18.238127    -18.238131
   0.41483    -18.239953    -18.239970
   0.42912    -18.241215    -18.241244
   0.44342    -18.241794    -18.241831
   0.45771    -18.241921    -18.241961
   0.45771    -18.241921    -18.241961
   0.46317    -18.241920    -18.241959
   0.46863    -18.241914    -18.241953
   0.47409    -18.241905    -18.241943
   0.47956    -18.241894    -18.241932
   0.48502    -18.241883    -18.241921
   0.49048    -18.241872    -18.241910
   0.49594    -18.241864    -18.241901
   0.50140    -18.241858    -18.241895
   0.50686    -18.241856    -18.241893
   0.50686    -18.241856    -18.241893
   0.52366    -18.241787    -18.241823
   0.54047    -18.241468    -18.241499
   0.55727    -18.240622    -18.240644
   0.57408    -18.239072    -18.239080
   0.59088    -18.237045    -18.237040
   0.60769    -18.234977    -18.234962
   0.62450    -18.233215    -18.233191
   0.64130    -18.231999    -18.231965
   0.65811    -18.231549    -18.231509
 
 
# Band-Index    4
   0.65811    -18.227766    -18.227827
   0.64130    -18.227511    -18.227567
   0.62450    -18.226856    -18.226905
   0.60769    -18.225951    -18.225996
   0.59088    -18.224901    -18.224943
   0.57408    -18.223805    -18.223846
   0.55727    -18.222779    -18.222820
   0.54047    -18.221944    -18.221985
   0.52366    -18.221398    -18.221439
   0.50686    -18.221208    -18.221249
   0.50686    -18.221208    -18.221249
   0.50140    -18.221215    -18.221256
   0.49594    -18.221232    -18.221273
   0.49048    -18.221261    -18.221301
   0.48502    -18.221298    -18.221337
   0.47956    -18.221342    -18.221381
   0.47409    -18.221393    -18.221430
   0.46863    -18.221447    -18.221484
   0.46317    -18.221504    -18.221539
   0.45771    -18.221562    -18.221595
   0.45771    -18.221562    -18.221595
   0.44342    -18.222126    -18.222160
   0.42912    -18.222792    -18.222826
   0.41483    -18.223461    -18.223495
   0.40053    -18.224074    -18.224109
   0.38624    -18.224600    -18.224637
   0.37194    -18.225022    -18.225061
   0.35764    -18.225330    -18.225371
   0.34335    -18.225519    -18.225563
   0.32905    -18.225582    -18.225628
   0.32905    -18.225582    -18.225628
   0.31476    -18.225519    -18.225563
   0.30046    -18.225330    -18.225371
   0.28617    -18.225022    -18.225061
   0.27187    -18.224600    -18.224637
   0.25758    -18.224074    -18.224109
   0.24328    -18.223461    -18.223495
   0.22898    -18.222792    -18.222826
   0.21469    -18.222126    -18.222160
   0.20039    -18.221562    -18.221595
   0.20039    -18.221562    -18.221595
   0.19493    -18.221506    -18.221539
   0.18947    -18.221451    -18.221483
   0.18401    -18.221398    -18.221429
   0.17855    -18.221349    -18.221378
   0.17309    -18.221305    -18.221334
   0.16763    -18.221268    -18.221296
   0.16217    -18.221240    -18.221268
   0.15671    -18.221223    -18.221250
   0.15125    -18.221217    -18.221244
   0.15125    -18.221217    -18.221244
   0.13444    -18.221412    -18.221439
   0.11764    -18.221973    -18.222000
   0.10083    -18.222827    -18.222854
   0.08403    -18.223869    -18.223896
   0.06722    -18.224974    -18.225003
   0.05042    -18.226021    -18.226055
   0.03361    -18.226907    -18.226949
   0.01681    -18.227531    -18.227584
   0.00000    -18.227766    -18.227827
 
 
# Band-Index    5
   0.00000    -18.168244    -18.168260
   0.01681    -18.168918    -18.168934
   0.03361    -18.170809    -18.170824
   0.05042    -18.173578    -18.173591
   0.06722    -18.176805    -18.176818
   0.08403    -18.180084    -18.180095
   0.10083    -18.183057    -18.183067
   0.11764    -18.185421    -18.185431
   0.13444    -18.186943    -18.186952
   0.15125    -18.187469    -18.187479
   0.15125    -18.187469    -18.187479
   0.15671    -18.187455    -18.187464
   0.16217    -18.187412    -18.187421
   0.16763    -18.187342    -18.187351
   0.17309    -18.187248    -18.187256
   0.17855    -18.187133    -18.187141
   0.18401    -18.187000    -18.187007
   0.18947    -18.186855    -18.186861
   0.19493    -18.186701    -18.186707
   0.20039    -18.186545    -18.186550
   0.20039    -18.186545    -18.186550
   0.21469    -18.184857    -18.184863
   0.22898    -18.182593    -18.182600
   0.24328    -18.179981    -18.179990
   0.25758    -18.177243    -18.177253
   0.27187    -18.174594    -18.174606
   0.28617    -18.172241    -18.172255
   0.30046    -18.170383    -18.170397
   0.31476    -18.169187    -18.169203
   0.32905    -18.168776    -18.168791
   0.32905    -18.168776    -18.168791
   0.34335    -18.169187    -18.169203
   0.35764    -18.170383    -18.170397
   0.37194    -18.172241    -18.172255
   0.38624    -18.174594    -18.174606
   0.40053    -18.177243    -18.177253
   0.41483    -18.179981    -18.179990
   0.42912    -18.182593    -18.182600
   0.44342    -18.184857    -18.184863
   0.45771    -18.186545    -18.186550
   0.45771    -18.186545    -18.186550
   0.46317    -18.186699    -18.186703
   0.46863    -18.186851    -18.186854
   0.47409    -18.186995    -18.186997
   0.47956    -18.187127    -18.187128
   0.48502    -18.187240    -18.187240
   0.49048    -18.187333    -18.187333
   0.49594    -18.187402    -18.187402
   0.50140    -18.187445    -18.187444
   0.50686    -18.187459    -18.187458
   0.50686    -18.187459    -18.187458
   0.52366    -18.186934    -18.186934
   0.54047    -18.185417    -18.185418
   0.55727    -18.183058    -18.183061
   0.57408    -18.180089    -18.180094
   0.59088    -18.176811    -18.176819
   0.60769    -18.173582    -18.173593
   0.62450    -18.170812    -18.170825
   0.64130    -18.168919    -18.168934
   0.65811    -18.168244    -18.168260
 
 
# Band-Index    6
   0.65811    -18.100417    -18.100079
   0.64130    -18.099931    -18.099579
   0.62450    -18.098702    -18.098309
   0.60769    -18.097428    -18.096989
   0.59088    -18.097060    -18.096636
   0.57408    -18.097916    -18.097576
   0.55727    -18.099398    -18.099131
   0.54047    -18.100848    -18.100626
   0.52366    -18.101862    -18.101663
   0.50686    -18.102224    -18.102032
   0.50686    -18.102224    -18.102032
   0.50140    -18.102240    -18.102048
   0.49594    -18.102286    -18.102094
   0.49048    -18.102359    -18.102167
   0.48502    -18.102452    -18.102261
   0.47956    -18.102558    -18.102368
   0.47409    -18.102669    -18.102479
   0.46863    -18.102776    -18.102587
   0.46317    -18.102869    -18.102680
   0.45771    -18.102939    -18.102749
   0.45771    -18.102939    -18.102749
   0.44342    -18.103226    -18.103037
   0.42912    -18.103169    -18.102972
   0.41483    -18.102832    -18.102623
   0.40053    -18.102313    -18.102084
   0.38624    -18.101727    -18.101472
   0.37194    -18.101180    -18.100897
   0.35764    -18.100756    -18.100444
   0.34335    -18.100494    -18.100163
   0.32905    -18.100408    -18.100069
   0.32905    -18.100408    -18.100069
   0.31476    -18.100494    -18.100163
   0.30046    -18.100756    -18.100444
   0.28617    -18.101180    -18.100897
   0.27187    -18.101727    -18.101472
   0.25758    -18.102313    -18.102084
   0.24328    -18.102832    -18.102623
   0.22898    -18.103169    -18.102972
   0.21469    -18.103226    -18.103037
   0.20039    -18.102939    -18.102749
   0.20039    -18.102939    -18.102749
   0.19493    -18.102869    -18.102678
   0.18947    -18.102776    -18.102582
   0.18401    -18.102668    -18.102473
   0.17855    -18.102557    -18.102359
   0.17309    -18.102450    -18.102251
   0.16763    -18.102357    -18.102156
   0.16217    -18.102284    -18.102082
   0.15671    -18.102238    -18.102035
   0.15125    -18.102222    -18.102019
   0.15125    -18.102222    -18.102019
   0.13444    -18.101861    -18.101650
   0.11764    -18.100846    -18.100612
   0.10083    -18.099395    -18.099116
   0.08403    -18.097912    -18.097559
   0.06722    -18.097054    -18.096619
   0.05042    -18.097423    -18.096976
   0.03361    -18.098698    -18.098303
   0.01681    -18.099930    -18.099577
   0.00000    -18.100417    -18.100079
 
 
# Band-Index    7
   0.00000    -18.083834    -18.084166
   0.01681    -18.084110    -18.084458
   0.03361    -18.084778    -18.085169
