      #Energy        TDOS-UP        TDOS-DOWN
     -19.55232       0.00000       0.00000
     -19.52432       0.00000       0.00000
     -19.49632       0.00000       0.00000
     -19.46832       0.00000       0.00000
     -19.44032       0.00000       0.00000
     -19.41132       0.00000       0.00000
     -19.38332       0.00000       0.00000
     -19.35532       0.00000       0.00000
     -19.32732       0.00000       0.00000
     -19.29932       0.00000       0.00000
     -19.27132       0.00000       0.00000
     -19.24332       0.00000       0.00000
     -19.21532       0.00000       0.00000
     -19.18732       0.00000       0.00000
     -19.15932       0.00000       0.00000
     -19.13132       0.00000       0.00000
     -19.10332       0.00000       0.00000
     -19.07532       0.00000       0.00000
     -19.04732       0.00000       0.00000
     -19.01932       0.00000       0.00000
     -18.99132       0.00000       0.00000
     -18.96332       0.00000       0.00000
     -18.93532       0.00000       0.00000
     -18.90732       0.00000       0.00000
     -18.87932       0.00000       0.00000
     -18.85132       0.00000       0.00000
     -18.82332       0.00000       0.00000
     -18.79532       0.00000       0.00000
     -18.76732       0.00000       0.00000
     -18.73932       0.00000       0.00000
     -18.71132       0.00000       0.00000
     -18.68332       0.00000       0.00000
     -18.65532       0.00000       0.00000
     -18.62732       0.00000       0.00000
     -18.59932       0.00000       0.00000
     -18.57132       0.00000      -0.00000
     -18.54332       0.00000      -0.00000
     -18.51532       0.00000      -0.00000
     -18.48732       0.00000      -0.00000
     -18.45932       0.00000      -0.00000
     -18.43132       0.00000      -0.00000
     -18.40332       0.00013      -0.00012
     -18.37532       0.00225      -0.00224
     -18.34732       0.02390      -0.02383
     -18.31932       0.15671      -0.15638
     -18.29132       0.66123      -0.66043
     -18.26332       1.88940      -1.88832
     -18.23532       3.87453      -3.87401
     -18.20732       6.09905      -6.09937
     -18.17932       7.94425      -7.94457
     -18.15132       9.22215      -9.22163
     -18.12332      10.18922     -10.18772
     -18.09532      11.22255     -11.22119
     -18.06732      12.38237     -12.38255
     -18.03932      13.36051     -13.36167
     -18.01132      13.99757     -13.99830
     -17.98332      14.52312     -14.52316
     -17.95532      15.22168     -15.22143
     -17.92732      16.15751     -16.15727
     -17.89932      17.22950     -17.22926
     -17.87132      18.29575     -18.29550
     -17.84332      19.17555     -19.17531
     -17.81532      19.71442     -19.71418
     -17.78732      19.94469     -19.94411
     -17.75932      20.06545     -20.06324
     -17.73132      20.32069     -20.31524
     -17.70332      20.91320     -20.90621
     -17.67532      21.84274     -21.83981
     -17.64732      22.82802     -22.83083
     -17.61932      23.53666     -23.54073
     -17.59132      23.87517     -23.87713
     -17.56332      23.97832     -23.97856
     -17.53532      23.99747     -23.99718
     -17.50632      23.99955     -23.99919
     -17.47832      23.99968     -23.99931
     -17.45032      23.99968     -23.99931
     -17.42232      23.99968     -23.99931
     -17.39432      23.99968     -23.99931
     -17.36632      23.99968     -23.99931
     -17.33832      23.99968     -23.99931
     -17.31032      23.99968     -23.99931
     -17.28232      23.99968     -23.99931
     -17.25432      23.99969     -23.99932
     -17.22632      23.99974     -23.99937
     -17.19832      24.00058     -24.00021
     -17.17032      24.00828     -24.00791
     -17.14232      24.05076     -24.05038
     -17.11432      24.20288     -24.20246
     -17.08632      24.59384     -24.59324
     -17.05832      25.37181     -25.37093
     -17.03032      26.57183     -26.57081
     -17.00232      27.96305     -27.96203
     -16.97432      29.23142     -29.23026
     -16.94632      30.36714     -30.36612
     -16.91832      31.55679     -31.55676
     -16.89032      32.74897     -32.74977
     -16.86232      33.76086     -33.76139
     -16.83432      34.71729     -34.71711
     -16.80632      35.92445     -35.92427
     -16.77832      37.35377     -37.35415
     -16.75032      38.62817     -38.62869
     -16.72232      39.51175     -39.51186
     -16.69432      40.14629     -40.14597
     -16.66632      40.82705     -40.82674
     -16.63832      41.66498     -41.66494
     -16.61032      42.51131     -42.51141
     -16.58232      43.19375     -43.19385
     -16.55432      43.69283     -43.69280
     -16.52632      44.12160     -44.12142
     -16.49832      44.61368     -44.61351
     -16.47032      45.16067     -45.16050
     -16.44232      45.61059     -45.61041
     -16.41432      45.87050     -45.87034
     -16.38632      45.99549     -45.99534
     -16.35832      46.10135     -46.10121
     -16.33032      46.28655     -46.28641
     -16.30232      46.59991     -46.59979
     -16.27432      47.02882     -47.02869
     -16.24632      47.54275     -47.54263
     -16.21832      48.13554     -48.13542
     -16.19032      48.76476     -48.76464
     -16.16232      49.32295     -49.32283
     -16.13432      49.75480     -49.75468
     -16.10632      50.12446     -50.12434
     -16.07832      50.54818     -50.54806
     -16.05032      51.11156     -51.11144
     -16.02232      51.77677     -51.77665
     -15.99432      52.37433     -52.37421
     -15.96632      52.79469     -52.79443
     -15.93832      53.14194     -53.14140
     -15.91032      53.64299     -53.64244
     -15.88232      54.43118     -54.43106
     -15.85432      55.41156     -55.41186
     -15.82632      56.37724     -56.37754
     -15.79832      57.30019     -57.29993
     -15.77032      58.42680     -58.42626
     -15.74232      59.95712     -59.95742
     -15.71432      61.65482     -61.65624
     -15.68632      62.99169     -62.99325
     -15.65832      63.69920     -63.70006
     -15.62932      63.94124     -63.94156
     -15.60132      63.99270     -63.99289
     -15.57332      63.99926     -63.99943
     -15.54532      63.99997     -64.00014
     -15.51732      64.00295     -64.00313
     -15.48932      64.02476     -64.02493
     -15.46132      64.11820     -64.11841
     -15.43332      64.35983     -64.36006
     -15.40532      64.76030     -64.76053
     -15.37732      65.24496     -65.24519
     -15.34932      65.79461     -65.79484
     -15.32132      66.45954     -66.45978
     -15.29332      67.15627     -67.15651
     -15.26532      67.67161     -67.67184
     -15.23732      67.92863     -67.92893
     -15.20932      68.06005     -68.06059
     -15.18132      68.24780     -68.24888
     -15.15332      68.59646     -68.59846
     -15.12532      69.10899     -69.11239
     -15.09732      69.76832     -69.77326
     -15.06932      70.61115     -70.61609
     -15.04132      71.64938     -71.65124
     -15.01332      72.80121     -72.79845
     -14.98532      73.95599     -73.95042
     -14.95732      75.02587     -75.02073
     -14.92932      75.94770     -75.94466
     -14.90132      76.67805     -76.67669
     -14.87332      77.20655     -77.20589
     -14.84532      77.58041     -77.57989
     -14.81732      77.88829     -77.88777
     -14.78932      78.26551     -78.26485
     -14.76132      78.89305     -78.89210
     -14.73332      79.87805     -79.87696
     -14.70532      81.13466     -81.13357
     -14.67732      82.43090     -82.42996
