      #Energy        TDOS-UP        TDOS-DOWN
     -22.49400       0.00000       0.00000
     -22.46600       0.00000       0.00000
     -22.43800       0.00000       0.00000
     -22.41000       0.00000       0.00000
     -22.38200       0.00000       0.00000
     -22.35300       0.00000       0.00000
     -22.32500       0.00000       0.00000
     -22.29700       0.00000       0.00000
     -22.26900       0.00000       0.00000
     -22.24100       0.00000       0.00000
     -22.21300       0.00000       0.00000
     -22.18500       0.00000       0.00000
     -22.15700       0.00000       0.00000
     -22.12900       0.00000       0.00000
     -22.10100       0.00000       0.00000
     -22.07300       0.00000       0.00000
     -22.04500       0.00000       0.00000
     -22.01700       0.00000       0.00000
     -21.98900       0.00000       0.00000
     -21.96100       0.00000       0.00000
     -21.93300       0.00000       0.00000
     -21.90500       0.00000       0.00000
     -21.87700       0.00000       0.00000
     -21.84900       0.00000       0.00000
     -21.82100       0.00000       0.00000
     -21.79300       0.00000       0.00000
     -21.76500       0.00000       0.00000
     -21.73700       0.00000       0.00000
     -21.70900       0.00000       0.00000
     -21.68100       0.00000       0.00000
     -21.65300       0.00000       0.00000
     -21.62500       0.00000       0.00000
     -21.59700       0.00000       0.00000
     -21.56900       0.00000       0.00000
     -21.54100       0.00000       0.00000
     -21.51300       0.00000      -0.00000
     -21.48500       0.00000      -0.00000
     -21.45700       0.00000      -0.00000
     -21.42900       0.00000      -0.00000
     -21.40100       0.00001      -0.00001
     -21.37300       0.00028      -0.00028
     -21.34500       0.00840      -0.00835
     -21.31700       0.14310      -0.14250
     -21.28900       1.40300      -1.39900
     -21.26100       8.07800      -8.06400
     -21.23300      27.94000     -27.92000
     -21.20500      59.74000     -59.74000
     -21.17700      81.98000     -82.02000
     -21.14900      76.83000     -76.85000
     -21.12100      54.90000     -54.88000
     -21.09300      36.33000     -36.29000
     -21.06500      32.71000     -32.68000
     -21.03700      41.06000     -41.10000
     -21.00900      41.74000     -41.81000
     -20.98100      28.09000     -28.09000
     -20.95300      17.39000     -17.36000
     -20.92500      20.13000     -20.11000
     -20.89700      29.74000     -29.74000
     -20.86900      37.07000     -37.07000
     -20.84100      39.46000     -39.46000
     -20.81300      36.66000     -36.66000
     -20.78500      26.15000     -26.15000
     -20.75700      12.32000     -12.32000
     -20.72900       4.11900      -4.09500
     -20.70100       4.50200      -4.41000
     -20.67300      13.72000     -13.58000
     -20.64500      28.58000     -28.61000
     -20.61700      37.78000     -38.04000
     -20.58900      32.56000     -32.71000
     -20.56100      18.03000     -17.97000
     -20.53300       6.13700      -6.04600
     -20.50500       1.22700      -1.19500
     -20.47700       0.13970      -0.13460
     -20.44800       0.00891      -0.00850
     -20.42000       0.00031      -0.00030
     -20.39200       0.00001      -0.00001
     -20.36400       0.00000      -0.00000
     -20.33600       0.00000      -0.00000
     -20.30800       0.00000      -0.00000
     -20.28000       0.00000      -0.00000
     -20.25200       0.00000      -0.00000
     -20.22400       0.00000      -0.00000
     -20.19600       0.00013      -0.00013
     -20.16800       0.00366      -0.00366
     -20.14000       0.05643      -0.05642
     -20.11200       0.49330      -0.49320
     -20.08400       2.53900      -2.53900
     -20.05600       8.32100      -8.31800
     -20.02800      19.59000     -19.58000
     -20.00000      35.95000     -35.94000
     -19.97200      49.72000     -49.72000
     -19.94400      49.60000     -49.60000
     -19.91600      40.95000     -40.94000
     -19.88800      40.13000     -40.15000
     -19.86000      44.80000     -44.85000
     -19.83200      40.31000     -40.32000
     -19.80400      31.93000     -31.90000
     -19.77600      36.35000     -36.33000
     -19.74800      49.83000     -49.85000
     -19.72000      52.21000     -52.23000
     -19.69200      38.77000     -38.76000
     -19.66400      24.31000     -24.29000
     -19.63600      20.99000     -20.98000
     -19.60800      27.61000     -27.62000
     -19.58000      32.21000     -32.22000
     -19.55200      28.21000     -28.21000
     -19.52400      20.51000     -20.51000
     -19.49600      15.12000     -15.11000
     -19.46800      15.49000     -15.49000
     -19.44000      19.64000     -19.64000
     -19.41200      19.41000     -19.41000
     -19.38400      12.71000     -12.71000
     -19.35600       5.84500      -5.84600
     -19.32800       3.07800      -3.07800
     -19.30000       4.48000      -4.48000
     -19.27200       8.74100      -8.74200
     -19.24400      13.63000     -13.63000
     -19.21600      16.99000     -16.99000
     -19.18800      19.70000     -19.70000
     -19.16000      22.62000     -22.62000
     -19.13200      22.30000     -22.30000
     -19.10400      17.55000     -17.55000
     -19.07600      13.28000     -13.28000
     -19.04800      13.11000     -13.11000
     -19.02000      17.14000     -17.14000
     -18.99200      23.08000     -23.08000
     -18.96400      24.41000     -24.41000
     -18.93600      18.25000     -18.25000
     -18.90800      11.76000     -11.75000
     -18.88000      13.03000     -13.02000
     -18.85200      22.74000     -22.75000
     -18.82400      33.53000     -33.55000
     -18.79600      36.46000     -36.47000
     -18.76800      32.48000     -32.47000
     -18.74000      33.41000     -33.38000
     -18.71200      47.02000     -47.03000
     -18.68400      62.23000     -62.28000
     -18.65600      58.97000     -59.00000
     -18.62800      36.47000     -36.45000
     -18.60000      14.04000     -14.01000
     -18.57100       3.23900      -3.23100
     -18.54300       0.43470      -0.43330
     -18.51500       0.03384      -0.03371
     -18.48700       0.01702      -0.01703
     -18.45900       0.19580      -0.19590
     -18.43100       1.36100      -1.36100
     -18.40300       5.31000      -5.31200
     -18.37500      11.94000     -11.94000
     -18.34700      16.65000     -16.65000
     -18.31900      17.95000     -17.95000
