#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 500
# Band-Index    1
   0.00000    -21.226493    -21.216692
   0.01681    -21.226222    -21.216419
   0.03361    -21.225413    -21.215604
   0.05042    -21.224080    -21.214258
   0.06722    -21.222255    -21.212407
   0.08403    -21.219979    -21.210084
   0.10083    -21.217308    -21.207333
   0.11764    -21.214320    -21.204215
   0.13444    -21.211131    -21.200831
   0.15125    -21.208492    -21.198081
   0.15125    -21.208492    -21.198081
   0.15671    -21.208564    -21.198146
   0.16217    -21.208750    -21.198321
   0.16763    -21.209001    -21.198571
   0.17309    -21.209286    -21.198864
   0.17855    -21.209589    -21.199184
   0.18401    -21.209901    -21.199517
   0.18947    -21.210221    -21.199861
   0.19493    -21.210547    -21.200211
   0.20039    -21.210876    -21.200567
   0.20039    -21.210876    -21.200567
   0.21469    -21.213660    -21.203570
   0.22898    -21.216291    -21.206372
   0.24328    -21.218680    -21.208892
   0.25758    -21.220775    -21.211083
   0.27187    -21.222537    -21.212918
   0.28617    -21.223937    -21.214368
   0.30046    -21.224949    -21.215416
   0.31476    -21.225563    -21.216049
   0.32905    -21.225769    -21.216262
   0.32905    -21.225769    -21.216262
   0.34335    -21.225563    -21.216049
   0.35764    -21.224949    -21.215416
   0.37194    -21.223937    -21.214368
   0.38624    -21.222537    -21.212918
   0.40053    -21.220775    -21.211083
   0.41483    -21.218680    -21.208892
   0.42912    -21.216291    -21.206372
   0.44342    -21.213660    -21.203570
   0.45771    -21.210876    -21.200567
   0.45771    -21.210876    -21.200567
   0.46317    -21.210545    -21.200207
   0.46863    -21.210218    -21.199851
   0.47409    -21.209894    -21.199500
   0.47956    -21.209577    -21.199158
   0.48502    -21.209268    -21.198828
   0.49048    -21.208975    -21.198521
   0.49594    -21.208713    -21.198255
   0.50140    -21.208515    -21.198064
   0.50686    -21.208437    -21.197992
   0.50686    -21.208437    -21.197992
   0.52366    -21.211125    -21.200812
   0.54047    -21.214322    -21.204208
   0.55727    -21.217311    -21.207330
   0.57408    -21.219982    -21.210082
   0.59088    -21.222257    -21.212406
   0.60769    -21.224081    -21.214257
   0.62450    -21.225414    -21.215604
   0.64130    -21.226223    -21.216419
   0.65811    -21.226493    -21.216692
 
 
# Band-Index    2
   0.65811    -21.195941    -21.170953
   0.64130    -21.195966    -21.171558
   0.62450    -21.196043    -21.173164
   0.60769    -21.196210    -21.175488
   0.59088    -21.196597    -21.178373
   0.57408    -21.197445    -21.181698
   0.55727    -21.199031    -21.185336
   0.54047    -21.201410    -21.189151
   0.52366    -21.204349    -21.192989
   0.50686    -21.206974    -21.195962
   0.50686    -21.206974    -21.195962
   0.50140    -21.206895    -21.195887
   0.49594    -21.206694    -21.195687
   0.49048    -21.206429    -21.195409
   0.48502    -21.206129    -21.195083
   0.47956    -21.205813    -21.194730
   0.47409    -21.205488    -21.194358
   0.46863    -21.205159    -21.193975
   0.46317    -21.204830    -21.193584
   0.45771    -21.204503    -21.193188
   0.45771    -21.204503    -21.193188
   0.44342    -21.201886    -21.189753
   0.42912    -21.199852    -21.186318
   0.41483    -21.198712    -21.183021
   0.40053    -21.198454    -21.179989
   0.38624    -21.198740    -21.177364
   0.37194    -21.199229    -21.175363
   0.35764    -21.199695    -21.174348
   0.34335    -21.200015    -21.174249
   0.32905    -21.200130    -21.174309
   0.32905    -21.200130    -21.174309
   0.31476    -21.200015    -21.174249
   0.30046    -21.199695    -21.174348
   0.28617    -21.199229    -21.175363
   0.27187    -21.198740    -21.177364
   0.25758    -21.198454    -21.179989
   0.24328    -21.198712    -21.183021
   0.22898    -21.199852    -21.186318
   0.21469    -21.201886    -21.189753
   0.20039    -21.204503    -21.193188
   0.20039    -21.204503    -21.193188
   0.19493    -21.204829    -21.193579
   0.18947    -21.205156    -21.193963
   0.18401    -21.205481    -21.194338
   0.17855    -21.205801    -21.194699
   0.17309    -21.206110    -21.195040
   0.16763    -21.206401    -21.195352
   0.16217    -21.206655    -21.195613
   0.15671    -21.206844    -21.195797
   0.15125    -21.206916    -21.195864
   0.15125    -21.206916    -21.195864
   0.13444    -21.204348    -21.192963
   0.11764    -21.201437    -21.189142
   0.10083    -21.199091    -21.185339
   0.08403    -21.197529    -21.181716
   0.06722    -21.196679    -21.178409
   0.05042    -21.196270    -21.175543
   0.03361    -21.196074    -21.173227
   0.01681    -21.195975    -21.171594
   0.00000    -21.195941    -21.170953
