      #Energy        TDOS-UP        TDOS-DOWN
     -19.55010       0.00000       0.00000
     -19.52010       0.00000       0.00000
     -19.49110       0.00000       0.00000
     -19.46110       0.00000       0.00000
     -19.43110       0.00000       0.00000
     -19.40210       0.00000       0.00000
     -19.37210       0.00000       0.00000
     -19.34210       0.00000       0.00000
     -19.31310       0.00000       0.00000
     -19.28310       0.00000       0.00000
     -19.25310       0.00000       0.00000
     -19.22410       0.00000       0.00000
     -19.19410       0.00000       0.00000
     -19.16510       0.00000       0.00000
     -19.13510       0.00000       0.00000
     -19.10510       0.00000       0.00000
     -19.07610       0.00000       0.00000
     -19.04610       0.00000       0.00000
     -19.01610       0.00000       0.00000
     -18.98710       0.00000       0.00000
     -18.95710       0.00000       0.00000
     -18.92710       0.00000       0.00000
     -18.89810       0.00000       0.00000
     -18.86810       0.00000       0.00000
     -18.83810       0.00000       0.00000
     -18.80910       0.00000       0.00000
     -18.77910       0.00000       0.00000
     -18.74910       0.00000       0.00000
     -18.72010       0.00000       0.00000
     -18.69010       0.00000       0.00000
     -18.66010       0.00000       0.00000
     -18.63110       0.00000       0.00000
     -18.60110       0.00000       0.00000
     -18.57110       0.00000       0.00000
     -18.54210       0.00000       0.00000
     -18.51210       0.00000       0.00000
     -18.48210       0.00000      -0.00000
     -18.45310       0.00000      -0.00000
     -18.42310       0.00000      -0.00000
     -18.39410       0.00000      -0.00000
     -18.36410       0.00000      -0.00000
     -18.33410       0.00005      -0.00002
     -18.30510       0.00132      -0.00045
     -18.27510       0.01784      -0.00716
     -18.24510       0.14013      -0.06436
     -18.21610       0.66862      -0.34849
     -18.18610       2.04287      -1.21687
     -18.15610       4.25600      -2.93925
     -18.12710       6.56239      -5.25231
     -18.09710       8.28136      -7.43816
     -18.06710       9.43322      -8.99656
     -18.03810      10.43044     -10.06361
     -18.00810      11.59669     -11.12696
     -17.97810      12.80370     -12.35014
     -17.94910      13.68735     -13.40073
     -17.91910      14.27047     -14.10083
     -17.88910      14.90786     -14.72695
     -17.86010      15.79759     -15.56316
     -17.83010      16.86909     -16.61390
     -17.80010      17.97410     -17.74145
     -17.77110      18.94953     -18.77737
     -17.74110      19.60841     -19.51631
     -17.71210      19.91690     -19.87415
     -17.68210      20.08827     -19.98520
     -17.65210      20.47718     -20.05043
     -17.62310      21.35757     -20.29648
     -17.59310      22.53804     -20.99584
     -17.56310      23.46024     -22.13272
     -17.53410      23.87694     -23.20274
     -17.50410      23.98376     -23.78542
     -17.47410      23.99897     -23.96581
     -17.44510      24.00015     -23.99684
     -17.41510      24.00020     -23.99975
     -17.38510      24.00021     -23.99989
     -17.35610      24.00021     -23.99990
     -17.32610      24.00021     -23.99990
     -17.29610      24.00021     -23.99990
     -17.26710      24.00021     -23.99990
     -17.23710      24.00021     -23.99990
     -17.20710      24.00021     -23.99990
     -17.17810      24.00021     -23.99990
     -17.14810      24.00027     -23.99993
     -17.11810      24.00134     -24.00063
     -17.08910      24.01176     -24.00807
     -17.05910      24.07024     -24.05262
     -17.03010      24.27810     -24.21661
     -17.00010      24.80118     -24.63683
     -16.97010      25.78995     -25.46770
     -16.94110      27.17266     -26.73803
     -16.91110      28.60592     -28.17455
     -16.88110      29.88825     -29.44547
     -16.85210      31.16480     -30.60964
     -16.82210      32.46463     -31.87640
     -16.79210      33.57038     -33.11084
     -16.76310      34.54092     -34.16203
     -16.73310      35.74511     -35.29536
     -16.70310      37.23665     -36.73011
     -16.67410      38.60453     -38.17538
     -16.64410      39.55238     -39.23903
     -16.61410      40.24833     -39.93542
     -16.58510      41.02464     -40.59297
     -16.55510      41.93987     -41.43881
     -16.52510      42.78630     -42.35835
     -16.49610      43.41983     -43.11849
     -16.46610      43.88672     -43.66648
     -16.43610      44.34752     -44.13202
     -16.40710      44.90262     -44.66414
     -16.37710      45.44097     -45.23718
     -16.34810      45.79569     -45.67841
     -16.31810      45.96530     -45.91221
     -16.28810      46.07362     -46.02873
     -16.25910      46.24651     -46.16555
     -16.22910      46.55594     -46.42157
     -16.19910      46.99880     -46.81862
     -16.17010      47.53996     -47.32124
     -16.14010      48.16712     -47.91473
     -16.11010      48.82615     -48.57910
     -16.08110      49.39593     -49.20404
     -16.05110      49.83390     -49.69123
     -16.02110      50.23703     -50.08368
     -15.99210      50.73949     -50.51172
     -15.96210      51.39319     -51.08936
     -15.93210      52.08128     -51.78768
     -15.90310      52.61977     -52.40757
     -15.87310      53.01045     -52.82493
     -15.84310      53.48549     -53.17898
     -15.81410      54.25779     -53.74520
     -15.78410      55.27014     -54.65465
     -15.75410      56.27640     -55.74246
     -15.72510      57.20320     -56.78861
     -15.69510      58.31740     -57.89392
     -15.66510      59.88054     -59.36988
     -15.63610      61.65392     -61.16847
     -15.60610      63.03737     -62.73102
     -15.57710      63.73673     -63.61601
     -15.54710      63.95569     -63.92727
     -15.51710      63.99609     -63.99220
     -15.48810      64.00031     -63.99989
     -15.45810      64.00119     -64.00061
     -15.42810      64.00878     -64.00397
     -15.39910      64.05693     -64.03031
     -15.36910      64.22721     -64.14435
     -15.33910      64.58287     -64.42866
     -15.31010      65.07288     -64.87153
     -15.28010      65.63658     -65.38852
     -15.25010      66.31726     -65.99611
     -15.22110      67.06273     -66.72823
     -15.19110      67.63814     -67.40950
     -15.16110      67.92992     -67.82346
     -15.13210      68.08612     -68.00188
     -15.10210      68.31941     -68.14642
     -15.07210      68.73469     -68.42093
     -15.04310      69.32597     -68.87165
     -15.01310      70.10495     -69.47864
     -14.98310      71.14264     -70.27393
     -14.95410      72.41786     -71.29769
     -14.92410      73.73074     -72.46645
     -14.89510      74.85621     -73.67169
     -14.86510      75.75528     -74.86417
     -14.83510      76.49926     -75.93686
     -14.80610      77.08639     -76.75305
     -14.77610      77.50924     -77.29881
     -14.74610      77.83942     -77.67392
     -14.71710      78.21719     -78.01492
     -14.68710      78.83931     -78.51591
     -14.65710      79.84053     -79.37836
     -14.62810      81.14422     -80.61873
     -14.59810      82.49816     -82.01256
     -14.56810      83.69480     -83.27309
     -14.53910      84.80618     -84.32443
     -14.50910      86.10423     -85.41461
     -14.47910      87.63861     -86.79376
     -14.45010      89.16083     -88.36862
     -14.42010      90.55407     -89.89989
     -14.39010      91.94700     -91.34398
     -14.36110      93.36159     -92.75930
     -14.33110      94.60344     -94.05690
     -14.30110      95.53321     -95.08348
     -14.27210      96.27512     -95.85193
     -14.24210      97.10969     -96.55796
     -14.21310      98.22256     -97.44265
     -14.18310      99.57295     -98.64744
     -14.15310     100.93089    -100.07463
     -14.12410     102.13049    -101.45230
     -14.09410     103.24633    -102.67132
     -14.06410     104.32806    -103.81681
     -14.03510     105.19792    -104.82559
     -14.00510     105.71358    -105.51116
     -13.97510     105.96788    -105.86550
     -13.94610     106.16819    -106.06721
     -13.91610     106.51243    -106.33151
     -13.88610     107.14092    -106.83931
     -13.85710     108.06282    -107.65921
     -13.82710     109.16131    -108.70343
     -13.79710     110.28337    -109.82964
     -13.76810     111.29423    -110.91241
     -13.73810     112.28077    -111.94773
     -13.70810     113.60225    -113.19404
     -13.67910     115.35057    -114.83161
     -13.64910     117.09742    -116.57816
     -13.61910     118.43727    -118.02476
     -13.59010     119.34539    -119.05194
     -13.56010     119.98159    -119.75737
     -13.53010     120.50288    -120.27986
     -13.50110     121.06569    -120.77046
     -13.47110     121.78729    -121.38931
     -13.44210     122.63996    -122.18534
     -13.41210     123.51338    -123.05357
     -13.38210     124.33328    -123.89452
     -13.35310     125.05399    -124.66624
     -13.32310     125.66216    -125.33565
     -13.29310     126.16478    -125.89920
     -13.26410     126.54359    -126.35274
     -13.23410     126.80627    -126.67528
     -13.20410     127.04204    -126.90555
     -13.17510     127.36132    -127.15858
     -13.14510     127.78773    -127.53102
     -13.11510     128.25343    -128.00101
     -13.08610     128.72802    -128.48257
     -13.05610     129.25302    -128.96413
     -13.02610     129.82191    -129.49358
     -12.99710     130.34661    -130.06114
     -12.96710     130.73744    -130.55797
     -12.93710     130.97350    -130.88277
     -12.90810     131.10916    -131.05607
     -12.87810     131.21012    -131.16308
     -12.84810     131.31194    -131.25780
     -12.81910     131.44218    -131.35967
     -12.78910     131.65206    -131.47986
     -12.76010     131.99216    -131.63949
     -12.73010     132.42984    -131.88825
     -12.70010     132.88056    -132.26721
     -12.67110     133.36731    -132.74136
     -12.64110     133.98394    -133.27407
     -12.61110     134.68359    -133.90286
     -12.58210     135.31149    -134.60414
     -12.55210     135.84598    -135.25902
     -12.52210     136.44393    -135.87002
     -12.49310     137.21312    -136.59488
     -12.46310     138.06163    -137.47853
     -12.43310     138.85306    -138.37553
     -12.40410     139.53893    -139.15717
     -12.37410     140.12813    -139.80064
     -12.34410     140.70873    -140.37694
     -12.31510     141.38378    -141.00172
     -12.28510     142.12969    -141.66372
     -12.25510     142.88569    -142.23157
     -12.22610     143.67564    -142.68229
     -12.19610     144.50221    -143.15540
     -12.16610     145.25568    -143.78493
     -12.13710     145.79640    -144.54315
     -12.10710     146.08971    -145.26134
     -12.07810     146.23206    -145.79405
