      #Energy        TDOS-UP        TDOS-DOWN
     -22.57300       0.00000       0.00000
     -22.54300       0.00000       0.00000
     -22.51400       0.00000       0.00000
     -22.48400       0.00000       0.00000
     -22.45400       0.00000       0.00000
     -22.42500       0.00000       0.00000
     -22.39500       0.00000       0.00000
     -22.36500       0.00000       0.00000
     -22.33600       0.00000       0.00000
     -22.30600       0.00000       0.00000
     -22.27600       0.00000       0.00000
     -22.24700       0.00000       0.00000
     -22.21700       0.00000       0.00000
     -22.18800       0.00000       0.00000
     -22.15800       0.00000       0.00000
     -22.12800       0.00000       0.00000
     -22.09900       0.00000       0.00000
     -22.06900       0.00000       0.00000
     -22.03900       0.00000       0.00000
     -22.01000       0.00000       0.00000
     -21.98000       0.00000       0.00000
     -21.95000       0.00000       0.00000
     -21.92100       0.00000       0.00000
     -21.89100       0.00000       0.00000
     -21.86100       0.00000       0.00000
     -21.83200       0.00000       0.00000
     -21.80200       0.00000       0.00000
     -21.77200       0.00000       0.00000
     -21.74300       0.00000       0.00000
     -21.71300       0.00000       0.00000
     -21.68300       0.00000       0.00000
     -21.65400       0.00000       0.00000
     -21.62400       0.00000       0.00000
     -21.59400       0.00000       0.00000
     -21.56500       0.00000       0.00000
     -21.53500       0.00000       0.00000
     -21.50500       0.00000      -0.00000
     -21.47600       0.00000      -0.00000
     -21.44600       0.00000      -0.00000
     -21.41700       0.00000      -0.00000
     -21.38700       0.00008      -0.00002
     -21.35700       0.00349      -0.00102
     -21.32800       0.08164      -0.02849
     -21.29800       1.03300      -0.42380
     -21.26800       7.21500      -3.43400
     -21.23900      28.43000     -15.73000
     -21.20900      64.26000     -42.84000
     -21.17900      85.01000     -73.33000
     -21.15000      70.55000     -82.68000
     -21.12000      45.39000     -64.75000
     -21.09000      32.30000     -40.36000
     -21.06100      34.96000     -31.61000
     -21.03100      43.70000     -40.11000
     -21.00100      37.71000     -42.39000
     -20.97200      21.89000     -28.47000
     -20.94200      17.44000     -18.75000
     -20.91200      25.55000     -23.48000
     -20.88300      34.46000     -32.92000
     -20.85300      37.81000     -37.95000
     -20.82300      36.72000     -38.10000
     -20.79400      29.07000     -31.77000
     -20.76400      15.37000     -18.07000
     -20.73500       5.43700      -6.06500
     -20.70500       6.12100      -1.42500
     -20.67500      20.11000      -2.97500
     -20.64600      39.27000     -13.62000
     -20.61600      40.35000     -33.55000
     -20.58600      21.85000     -43.13000
     -20.55700       6.25500     -29.04000
     -20.52700       0.94970     -10.26000
     -20.49700       0.07652      -1.90700
     -20.46800       0.00327      -0.18620
     -20.43800       0.00007      -0.00955
     -20.40800       0.00000      -0.00026
     -20.37900       0.00000      -0.00000
     -20.34900       0.00000      -0.00000
     -20.31900       0.00000      -0.00000
     -20.29000       0.00000      -0.00000
     -20.26000       0.00000      -0.00000
     -20.23000       0.00000      -0.00000
     -20.20100       0.00012      -0.00006
     -20.17100       0.00390      -0.00233
     -20.14100       0.06819      -0.04491
     -20.11200       0.63460      -0.45660
     -20.08200       3.31000      -2.54800
     -20.05300      10.71000      -8.51300
     -20.02300      24.57000     -19.83000
     -19.99300      42.12000     -36.21000
     -19.96400      51.14000     -49.47000
     -19.93400      45.53000     -47.42000
     -19.90400      40.96000     -38.30000
     -19.87500      45.14000     -40.22000
     -19.84500      42.53000     -45.22000
     -19.81500      32.05000     -38.04000
     -19.78600      33.41000     -32.86000
     -19.75600      47.81000     -43.58000
     -19.72600      52.79000     -53.19000
     -19.69700      39.47000     -44.29000
     -19.66700      24.46000     -27.45000
     -19.63700      22.48000     -19.52000
     -19.60800      29.88000     -24.83000
     -19.57800      31.85000     -32.22000
     -19.54800      25.24000     -29.80000
     -19.51900      17.49000     -21.47000
     -19.48900      14.00000     -15.49000
