      #Energy        TDOS-UP        TDOS-DOWN
     -25.00400       0.00000       0.00000
     -24.97200       0.00000       0.00000
     -24.93900       0.00000       0.00000
     -24.90700       0.00000       0.00000
     -24.87500       0.00000       0.00000
     -24.84300       0.00000       0.00000
     -24.81000       0.00000       0.00000
     -24.77800       0.00000       0.00000
     -24.74600       0.00000       0.00000
     -24.71300       0.00000       0.00000
     -24.68100       0.00000       0.00000
     -24.64900       0.00000       0.00000
     -24.61600       0.00000       0.00000
     -24.58400       0.00000       0.00000
     -24.55200       0.00000       0.00000
     -24.51900       0.00000       0.00000
     -24.48700       0.00000       0.00000
     -24.45500       0.00000       0.00000
     -24.42200       0.00000       0.00000
     -24.39000       0.00000       0.00000
     -24.35800       0.00000       0.00000
     -24.32600       0.00000       0.00000
     -24.29300       0.00000       0.00000
     -24.26100       0.00000       0.00000
     -24.22900       0.00000       0.00000
     -24.19600       0.00000       0.00000
     -24.16400       0.00000       0.00000
     -24.13200       0.00000       0.00000
     -24.09900       0.00000       0.00000
     -24.06700       0.00000       0.00000
     -24.03500       0.00000       0.00000
     -24.00200       0.00000       0.00000
     -23.97000       0.00000       0.00000
     -23.93800       0.00000       0.00000
     -23.90600       0.00000       0.00000
     -23.87300       0.00000       0.00000
     -23.84100       0.00000       0.00000
     -23.80900       0.00000      -0.00000
     -23.77600       0.00000      -0.00000
     -23.74400       0.00000      -0.00000
     -23.71200       0.00000      -0.00000
     -23.67900       0.00005      -0.00005
     -23.64700       0.00184      -0.00184
     -23.61500       0.02892      -0.02892
     -23.58200       0.22245      -0.22245
     -23.55000       0.90455      -0.90455
     -23.51800       2.20138      -2.20138
     -23.48500       3.88125      -3.88125
     -23.45300       6.06552      -6.06552
     -23.42100       8.74673      -8.74673
     -23.38900      10.99578     -10.99578
     -23.35600      12.51571     -12.51571
     -23.32400      14.23049     -14.23049
     -23.29200      16.49375     -16.49375
     -23.25900      18.51145     -18.51145
     -23.22700      19.60245     -19.60245
     -23.19500      19.94007     -19.94007
     -23.16200      19.99540     -19.99540
     -23.13000      19.99987     -19.99987
     -23.09800      20.00004     -20.00004
     -23.06500      20.00004     -20.00004
     -23.03300      20.00004     -20.00004
     -23.00100      20.00004     -20.00004
     -22.96800      20.00004     -20.00004
     -22.93600      20.00004     -20.00004
     -22.90400      20.00004     -20.00004
     -22.87200      20.00004     -20.00004
     -22.83900      20.00004     -20.00004
     -22.80700      20.00004     -20.00004
     -22.77500      20.00004     -20.00004
     -22.74200      20.00004     -20.00004
     -22.71000      20.00004     -20.00004
     -22.67800      20.00004     -20.00004
     -22.64500      20.00004     -20.00004
     -22.61300      20.00004     -20.00004
     -22.58100      20.00004     -20.00004
     -22.54800      20.00004     -20.00004
     -22.51600      20.00004     -20.00004
     -22.48400      20.00004     -20.00004
     -22.45100      20.00004     -20.00004
     -22.41900      20.00004     -20.00004
     -22.38700      20.00004     -20.00004
     -22.35500      20.00004     -20.00004
     -22.32200      20.00004     -20.00004
     -22.29000      20.00004     -20.00004
     -22.25800      20.00004     -20.00004
     -22.22500      20.00004     -20.00004
     -22.19300      20.00004     -20.00004
     -22.16100      20.00004     -20.00004
     -22.12800      20.00004     -20.00004
     -22.09600      20.00004     -20.00004
     -22.06400      20.00004     -20.00004
     -22.03100      20.00004     -20.00004
     -21.99900      20.00004     -20.00004
     -21.96700      20.00004     -20.00004
     -21.93400      20.00004     -20.00004
     -21.90200      20.00004     -20.00004
     -21.87000      20.00004     -20.00004
     -21.83800      20.00004     -20.00004
     -21.80500      20.00004     -20.00004
     -21.77300      20.00004     -20.00004
     -21.74100      20.00004     -20.00004
     -21.70800      20.00004     -20.00004
     -21.67600      20.00004     -20.00004
     -21.64400      20.00004     -20.00004
     -21.61100      20.00004     -20.00004
     -21.57900      20.00004     -20.00004
     -21.54700      20.00004     -20.00004
     -21.51400      20.00004     -20.00004
     -21.48200      20.00004     -20.00004
     -21.45000      20.00004     -20.00004
     -21.41800      20.00004     -20.00004
     -21.38500      20.00004     -20.00004
     -21.35300      20.00004     -20.00004
     -21.32100      20.00004     -20.00004
     -21.28800      20.00004     -20.00004
     -21.25600      20.00004     -20.00004
     -21.22400      20.00004     -20.00004
     -21.19100      20.00004     -20.00004
     -21.15900      20.00004     -20.00004
     -21.12700      20.00004     -20.00004
     -21.09400      20.00004     -20.00004
     -21.06200      20.00004     -20.00004
     -21.03000      20.00004     -20.00004
     -20.99700      20.00008     -20.00008
     -20.96500      20.00126     -20.00126
     -20.93300      20.01955     -20.01955
     -20.90100      20.15786     -20.15786
     -20.86800      20.69148     -20.69148
     -20.83600      21.81415     -21.81415
     -20.80400      23.30161     -23.30161
     -20.77100      25.00443     -25.00443
     -20.73900      27.08529     -27.08529
     -20.70700      29.35825     -29.35825
     -20.67400      31.42425     -31.42425
     -20.64200      33.09024     -33.09024
     -20.61000      34.42729     -34.42729
     -20.57700      35.73898     -35.73898
     -20.54500      37.03887     -37.03887
     -20.51300      38.11759     -38.11759
     -20.48000      38.98726     -38.98726
     -20.44800      39.61669     -39.61669
     -20.41600      39.91441     -39.91441
     -20.38400      39.99024     -39.99024
     -20.35100      39.99976     -39.99976
     -20.31900      40.00033     -40.00033
     -20.28700      40.00061     -40.00061
     -20.25400      40.00683     -40.00683
     -20.22200      40.07472     -40.07472
     -20.19000      40.43004     -40.43004
     -20.15700      41.36142     -41.36142
     -20.12500      42.63772     -42.63772
     -20.09300      43.56991     -43.56991
     -20.06000      43.92584     -43.92584
     -20.02800      43.99387     -43.99387
     -19.99600      44.00010     -44.00010
     -19.96300      44.00037     -44.00037
     -19.93100      44.00037     -44.00037
     -19.89900      44.00037     -44.00037
     -19.86700      44.00037     -44.00037
     -19.83400      44.00037     -44.00037
     -19.80200      44.00037     -44.00037
     -19.77000      44.00037     -44.00037
     -19.73700      44.00044     -44.00044
     -19.70500      44.00207     -44.00207
     -19.67300      44.02060     -44.02060
     -19.64000      44.13163     -44.13163
     -19.60800      44.51146     -44.51146
     -19.57600      45.31667     -45.31667
     -19.54300      46.46389     -46.46389
     -19.51100      47.69270     -47.69270
     -19.47900      48.78758     -48.78758
     -19.44700      49.62251     -49.62251
     -19.41400      50.45405     -50.45405
     -19.38200      52.10614     -52.10614
     -19.35000      54.96733     -54.96733
     -19.31700      58.15405     -58.15405
     -19.28500      60.47871     -60.47871
     -19.25300      61.60428     -61.60428
     -19.22000      61.98004     -61.98004
     -19.18800      62.30748     -62.30748
     -19.15600      63.30914     -63.30914
     -19.12300      65.31892     -65.31892
     -19.09100      67.63792     -67.63792
     -19.05900      69.21101     -69.21101
     -19.02600      69.87254     -69.87254
     -18.99400      70.18284     -70.18284
     -18.96200      70.65524     -70.65524
     -18.93000      71.48225     -71.48225
     -18.89700      72.55742     -72.55742
     -18.86500      73.63340     -73.63340
     -18.83300      74.63360     -74.63360
     -18.80000      75.69439     -75.69439
     -18.76800      76.82222     -76.82222
     -18.73600      77.87768     -77.87768
     -18.70300      78.96222     -78.96222
     -18.67100      80.38732     -80.38732
     -18.63900      82.04410     -82.04410
     -18.60600      83.30344     -83.30344
     -18.57400      83.85590     -83.85590
     -18.54200      83.98524     -83.98524
     -18.50900      84.00045     -84.00045
     -18.47700      84.00131     -84.00131
     -18.44500      84.00134     -84.00134
     -18.41300      84.00134     -84.00134
     -18.38000      84.00134     -84.00134
     -18.34800      84.00143     -84.00143
     -18.31600      84.00378     -84.00378
     -18.28300      84.03126     -84.03126
     -18.25100      84.18926     -84.18926
     -18.21900      84.65759     -84.65759
     -18.18600      85.42450     -85.42450
     -18.15400      86.18657     -86.18657
     -18.12200      86.72892     -86.72892
     -18.08900      87.09419     -87.09419
     -18.05700      87.38468     -87.38468
     -18.02500      87.67289     -87.67289
     -17.99200      88.02827     -88.02827
     -17.96000      88.53394     -88.53394
     -17.92800      89.22299     -89.22299
     -17.89600      89.98861     -89.98861
     -17.86300      90.70172     -90.70172
     -17.83100      91.33891     -91.33891
     -17.79900      91.93845     -91.93845
     -17.76600      92.72281     -92.72281
     -17.73400      94.01075     -94.01075
     -17.70200      95.76608     -95.76608
     -17.66900      97.61317     -97.61317
     -17.63700      99.22035     -99.22035
     -17.60500     100.51103    -100.51103
     -17.57200     101.60769    -101.60769
     -17.54000     102.62841    -102.62841
     -17.50800     103.73023    -103.73023
     -17.47500     105.10364    -105.10364
     -17.44300     106.70742    -106.70742
     -17.41100     108.28261    -108.28261
     -17.37900     109.67524    -109.67524
     -17.34600     110.96350    -110.96350
     -17.31400     112.19732    -112.19732
     -17.28200     113.32112    -113.32112
     -17.24900     114.33457    -114.33457
     -17.21700     115.27015    -115.27015
     -17.18500     116.13109    -116.13109
     -17.15200     116.82918    -116.82918
     -17.12000     117.29059    -117.29059
     -17.08800     117.64489    -117.64489
     -17.05500     118.16171    -118.16171
     -17.02300     119.03639    -119.03639
     -16.99100     120.14823    -120.14823
     -16.95900     121.20627    -121.20627
     -16.92600     122.11115    -122.11115
     -16.89400     122.90715    -122.90715
     -16.86200     123.67600    -123.67600
     -16.82900     124.48735    -124.48735
     -16.79700     125.27963    -125.27963
     -16.76500     125.96899    -125.96899
