#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -23.526439    -23.521782
   0.01681    -23.526439    -23.521782
   0.03361    -23.526438    -23.521782
   0.05042    -23.526437    -23.521781
   0.06722    -23.526437    -23.521780
   0.08403    -23.526436    -23.521780
   0.10083    -23.526434    -23.521778
   0.11764    -23.526434    -23.521778
   0.13444    -23.526432    -23.521776
   0.15125    -23.526432    -23.521776
   0.15125    -23.526432    -23.521776
   0.15671    -23.526433    -23.521776
   0.16217    -23.526433    -23.521776
   0.16763    -23.526433    -23.521777
   0.17309    -23.526433    -23.521777
   0.17855    -23.526434    -23.521777
   0.18401    -23.526432    -23.521775
   0.18947    -23.526432    -23.521775
   0.19493    -23.526431    -23.521774
   0.20039    -23.526432    -23.521775
   0.20039    -23.526432    -23.521775
   0.21469    -23.526433    -23.521776
   0.22898    -23.526434    -23.521778
   0.24328    -23.526436    -23.521779
   0.25758    -23.526435    -23.521779
   0.27187    -23.526436    -23.521779
   0.28617    -23.526436    -23.521780
   0.30046    -23.526435    -23.521779
   0.31476    -23.526435    -23.521778
   0.32905    -23.526435    -23.521779
   0.32905    -23.526435    -23.521779
   0.34335    -23.526435    -23.521778
   0.35764    -23.526435    -23.521779
   0.37194    -23.526436    -23.521780
   0.38624    -23.526436    -23.521779
   0.40053    -23.526435    -23.521779
   0.41483    -23.526436    -23.521779
   0.42912    -23.526434    -23.521778
   0.44342    -23.526433    -23.521776
   0.45771    -23.526432    -23.521775
   0.45771    -23.526432    -23.521775
   0.46317    -23.526431    -23.521774
   0.46863    -23.526432    -23.521775
   0.47409    -23.526432    -23.521775
   0.47956    -23.526434    -23.521777
   0.48502    -23.526433    -23.521777
   0.49048    -23.526433    -23.521777
   0.49594    -23.526432    -23.521776
   0.50140    -23.526433    -23.521776
   0.50686    -23.526432    -23.521776
   0.50686    -23.526432    -23.521776
   0.52366    -23.526432    -23.521776
   0.54047    -23.526434    -23.521778
   0.55727    -23.526434    -23.521778
   0.57408    -23.526436    -23.521780
   0.59088    -23.526437    -23.521780
   0.60769    -23.526437    -23.521781
   0.62450    -23.526438    -23.521782
   0.64130    -23.526439    -23.521782
   0.65811    -23.526439    -23.521782
 
 
# Band-Index    2
   0.65811    -23.525658    -23.521038
   0.64130    -23.525658    -23.521038
   0.62450    -23.525657    -23.521038
   0.60769    -23.525657    -23.521037
   0.59088    -23.525656    -23.521037
   0.57408    -23.525656    -23.521037
   0.55727    -23.525655    -23.521035
   0.54047    -23.525655    -23.521035
   0.52366    -23.525653    -23.521033
   0.50686    -23.525653    -23.521033
   0.50686    -23.525653    -23.521033
   0.50140    -23.525653    -23.521034
   0.49594    -23.525653    -23.521034
   0.49048    -23.525654    -23.521035
   0.48502    -23.525654    -23.521035
   0.47956    -23.525655    -23.521035
   0.47409    -23.525653    -23.521033
   0.46863    -23.525652    -23.521033
   0.46317    -23.525652    -23.521032
   0.45771    -23.525653    -23.521033
   0.45771    -23.525653    -23.521033
   0.44342    -23.525653    -23.521034
   0.42912    -23.525655    -23.521036
   0.41483    -23.525656    -23.521036
   0.40053    -23.525655    -23.521036
   0.38624    -23.525655    -23.521036
   0.37194    -23.525656    -23.521037
   0.35764    -23.525655    -23.521035
   0.34335    -23.525654    -23.521035
   0.32905    -23.525654    -23.521035
   0.32905    -23.525654    -23.521035
   0.31476    -23.525654    -23.521035
   0.30046    -23.525655    -23.521035
   0.28617    -23.525656    -23.521037
   0.27187    -23.525655    -23.521036
   0.25758    -23.525655    -23.521036
   0.24328    -23.525656    -23.521036
   0.22898    -23.525655    -23.521036
   0.21469    -23.525653    -23.521034
   0.20039    -23.525653    -23.521033
   0.20039    -23.525653    -23.521033
   0.19493    -23.525652    -23.521032
   0.18947    -23.525652    -23.521033
   0.18401    -23.525653    -23.521033
   0.17855    -23.525655    -23.521035
   0.17309    -23.525654    -23.521035
   0.16763    -23.525654    -23.521035
   0.16217    -23.525653    -23.521034
   0.15671    -23.525653    -23.521034
   0.15125    -23.525653    -23.521034
   0.15125    -23.525653    -23.521034
   0.13444    -23.525653    -23.521033
   0.11764    -23.525655    -23.521035
   0.10083    -23.525655    -23.521035
   0.08403    -23.525656    -23.521037
   0.06722    -23.525656    -23.521037
   0.05042    -23.525657    -23.521037
   0.03361    -23.525657    -23.521038
   0.01681    -23.525658    -23.521038
   0.00000    -23.525658    -23.521038
 
 
# Band-Index    3
   0.00000    -23.443867    -23.443034
   0.01681    -23.443865    -23.443033
   0.03361    -23.443864    -23.443032
   0.05042    -23.443863    -23.443031
   0.06722    -23.443862    -23.443029
   0.08403    -23.443861    -23.443028
   0.10083    -23.443860    -23.443027
   0.11764    -23.443860    -23.443028
   0.13444    -23.443861    -23.443028
   0.15125    -23.443862    -23.443030
   0.15125    -23.443862    -23.443030
   0.15671    -23.443862    -23.443030
   0.16217    -23.443862    -23.443030
   0.16763    -23.443863    -23.443030
   0.17309    -23.443863    -23.443030
   0.17855    -23.443863    -23.443031
   0.18401    -23.443863    -23.443030
   0.18947    -23.443862    -23.443030
   0.19493    -23.443862    -23.443029
   0.20039    -23.443862    -23.443030
   0.20039    -23.443862    -23.443030
   0.21469    -23.443862    -23.443030
   0.22898    -23.443862    -23.443029
   0.24328    -23.443861    -23.443029
   0.25758    -23.443861    -23.443029
   0.27187    -23.443859    -23.443027
   0.28617    -23.443860    -23.443027
   0.30046    -23.443860    -23.443028
   0.31476    -23.443860    -23.443028
   0.32905    -23.443861    -23.443029
   0.32905    -23.443861    -23.443029
   0.34335    -23.443860    -23.443028
   0.35764    -23.443860    -23.443028
   0.37194    -23.443860    -23.443027
   0.38624    -23.443859    -23.443027
   0.40053    -23.443861    -23.443029
   0.41483    -23.443861    -23.443029
   0.42912    -23.443862    -23.443029
   0.44342    -23.443862    -23.443030
   0.45771    -23.443862    -23.443030
   0.45771    -23.443862    -23.443030
   0.46317    -23.443862    -23.443029
   0.46863    -23.443862    -23.443030
   0.47409    -23.443863    -23.443030
   0.47956    -23.443863    -23.443031
   0.48502    -23.443863    -23.443030
   0.49048    -23.443863    -23.443030
   0.49594    -23.443862    -23.443030
   0.50140    -23.443862    -23.443030
   0.50686    -23.443862    -23.443030
   0.50686    -23.443862    -23.443030
   0.52366    -23.443861    -23.443028
   0.54047    -23.443860    -23.443028
   0.55727    -23.443859    -23.443027
   0.57408    -23.443861    -23.443028
   0.59088    -23.443862    -23.443029
   0.60769    -23.443863    -23.443031
   0.62450    -23.443864    -23.443032
   0.64130    -23.443865    -23.443033
   0.65811    -23.443867    -23.443034
 
 
# Band-Index    4
   0.65811    -23.442133    -23.441281
   0.64130    -23.442132    -23.441280
   0.62450    -23.442130    -23.441278
   0.60769    -23.442129    -23.441277
   0.59088    -23.442128    -23.441276
   0.57408    -23.442127    -23.441275
   0.55727    -23.442126    -23.441274
   0.54047    -23.442127    -23.441275
   0.52366    -23.442128    -23.441276
   0.50686    -23.442129    -23.441277
   0.50686    -23.442129    -23.441277
   0.50140    -23.442129    -23.441277
   0.49594    -23.442129    -23.441277
   0.49048    -23.442129    -23.441277
   0.48502    -23.442129    -23.441277
   0.47956    -23.442130    -23.441278
   0.47409    -23.442129    -23.441277
   0.46863    -23.442129    -23.441277
   0.46317    -23.442129    -23.441277
   0.45771    -23.442129    -23.441277
   0.45771    -23.442129    -23.441277
   0.44342    -23.442129    -23.441277
   0.42912    -23.442128    -23.441276
   0.41483    -23.442128    -23.441276
   0.40053    -23.442128    -23.441276
   0.38624    -23.442126    -23.441274
   0.37194    -23.442127    -23.441275
   0.35764    -23.442127    -23.441275
   0.34335    -23.442127    -23.441275
   0.32905    -23.442128    -23.441276
   0.32905    -23.442128    -23.441276
   0.31476    -23.442127    -23.441275
   0.30046    -23.442127    -23.441275
   0.28617    -23.442127    -23.441275
   0.27187    -23.442126    -23.441274
   0.25758    -23.442128    -23.441276
   0.24328    -23.442128    -23.441276
   0.22898    -23.442128    -23.441276
   0.21469    -23.442129    -23.441277
   0.20039    -23.442129    -23.441277
   0.20039    -23.442129    -23.441277
   0.19493    -23.442129    -23.441277
   0.18947    -23.442129    -23.441277
   0.18401    -23.442129    -23.441277
   0.17855    -23.442130    -23.441278
   0.17309    -23.442129    -23.441277
   0.16763    -23.442129    -23.441277
   0.16217    -23.442129    -23.441277
   0.15671    -23.442129    -23.441277
   0.15125    -23.442129    -23.441277
   0.15125    -23.442129    -23.441277
   0.13444    -23.442128    -23.441276
   0.11764    -23.442127    -23.441275
   0.10083    -23.442126    -23.441274
   0.08403    -23.442127    -23.441275
   0.06722    -23.442128    -23.441276
   0.05042    -23.442130    -23.441278
   0.03361    -23.442130    -23.441278
   0.01681    -23.442132    -23.441280
   0.00000    -23.442133    -23.441281
 
 
# Band-Index    5
   0.00000    -23.436507    -23.427284
   0.01681    -23.436504    -23.427281
   0.03361    -23.436503    -23.427280
   0.05042    -23.436504    -23.427280
   0.06722    -23.436503    -23.427280
   0.08403    -23.436504    -23.427281
   0.10083    -23.436504    -23.427281
   0.11764    -23.436505    -23.427281
   0.13444    -23.436504    -23.427281
   0.15125    -23.436504    -23.427281
   0.15125    -23.436504    -23.427281
   0.15671    -23.436504    -23.427281
   0.16217    -23.436505    -23.427282
   0.16763    -23.436506    -23.427283
   0.17309    -23.436506    -23.427283
   0.17855    -23.436507    -23.427284
   0.18401    -23.436507    -23.427284
   0.18947    -23.436507    -23.427284
   0.19493    -23.436507    -23.427284
   0.20039    -23.436507    -23.427284
   0.20039    -23.436507    -23.427284
   0.21469    -23.436505    -23.427282
   0.22898    -23.436505    -23.427282
   0.24328    -23.436504    -23.427281
   0.25758    -23.436501    -23.427278
   0.27187    -23.436500    -23.427277
   0.28617    -23.436500    -23.427276
   0.30046    -23.436500    -23.427277
   0.31476    -23.436498    -23.427275
   0.32905    -23.436498    -23.427275
   0.32905    -23.436498    -23.427275
   0.34335    -23.436498    -23.427275
   0.35764    -23.436500    -23.427277
   0.37194    -23.436500    -23.427276
   0.38624    -23.436500    -23.427277
   0.40053    -23.436501    -23.427278
   0.41483    -23.436504    -23.427281
   0.42912    -23.436505    -23.427282
   0.44342    -23.436505    -23.427282
   0.45771    -23.436507    -23.427284
   0.45771    -23.436507    -23.427284
   0.46317    -23.436507    -23.427284
   0.46863    -23.436507    -23.427284
   0.47409    -23.436507    -23.427284
   0.47956    -23.436507    -23.427284
   0.48502    -23.436506    -23.427283
   0.49048    -23.436506    -23.427283
   0.49594    -23.436505    -23.427282
   0.50140    -23.436504    -23.427281
   0.50686    -23.436504    -23.427281
   0.50686    -23.436504    -23.427281
   0.52366    -23.436504    -23.427281
   0.54047    -23.436505    -23.427282
   0.55727    -23.436505    -23.427281
   0.57408    -23.436504    -23.427281
   0.59088    -23.436503    -23.427280
   0.60769    -23.436504    -23.427280
   0.62450    -23.436503    -23.427280
   0.64130    -23.436504    -23.427281
   0.65811    -23.436507    -23.427284
 
 
# Band-Index    6
   0.65811    -23.434699    -23.425443
   0.64130    -23.434696    -23.425440
   0.62450    -23.434695    -23.425439
   0.60769    -23.434695    -23.425439
   0.59088    -23.434695    -23.425439
   0.57408    -23.434696    -23.425440
   0.55727    -23.434696    -23.425440
   0.54047    -23.434696    -23.425441
   0.52366    -23.434696    -23.425440
   0.50686    -23.434696    -23.425440
   0.50686    -23.434696    -23.425440
   0.50140    -23.434696    -23.425440
   0.49594    -23.434696    -23.425441
   0.49048    -23.434697    -23.425442
   0.48502    -23.434698    -23.425442
   0.47956    -23.434699    -23.425443
   0.47409    -23.434698    -23.425443
   0.46863    -23.434699    -23.425443
   0.46317    -23.434698    -23.425443
   0.45771    -23.434699    -23.425443
   0.45771    -23.434699    -23.425443
   0.44342    -23.434696    -23.425441
   0.42912    -23.434697    -23.425441
   0.41483    -23.434696    -23.425440
   0.40053    -23.434692    -23.425437
   0.38624    -23.434692    -23.425436
   0.37194    -23.434691    -23.425435
   0.35764    -23.434692    -23.425436
   0.34335    -23.434690    -23.425434
   0.32905    -23.434690    -23.425434
