      #Energy        TDOS-UP        TDOS-DOWN
     -22.11832       0.00000       0.00000
     -22.08532       0.00000       0.00000
     -22.05332       0.00000       0.00000
     -22.02132       0.00000       0.00000
     -21.98832       0.00000       0.00000
     -21.95632       0.00000       0.00000
     -21.92432       0.00000       0.00000
     -21.89232       0.00000       0.00000
     -21.85932       0.00000       0.00000
     -21.82732       0.00000       0.00000
     -21.79532       0.00000       0.00000
     -21.76232       0.00000       0.00000
     -21.73032       0.00000       0.00000
     -21.69832       0.00000       0.00000
     -21.66632       0.00000       0.00000
     -21.63332       0.00000       0.00000
     -21.60132       0.00000       0.00000
     -21.56932       0.00000       0.00000
     -21.53632       0.00000       0.00000
     -21.50432       0.00000       0.00000
     -21.47232       0.00000       0.00000
     -21.44032       0.00000       0.00000
     -21.40732       0.00000       0.00000
     -21.37532       0.00000       0.00000
     -21.34332       0.00000       0.00000
     -21.31032       0.00000       0.00000
     -21.27832       0.00000       0.00000
     -21.24632       0.00000       0.00000
     -21.21432       0.00000       0.00000
     -21.18132       0.00000       0.00000
     -21.14932       0.00000       0.00000
     -21.11732       0.00000       0.00000
     -21.08432       0.00000       0.00000
     -21.05232       0.00000       0.00000
     -21.02032       0.00000       0.00000
     -20.98832       0.00000       0.00000
     -20.95532       0.00000       0.00000
     -20.92332       0.00000      -0.00000
     -20.89132       0.00000      -0.00000
     -20.85832       0.00000      -0.00000
     -20.82632       0.00000      -0.00000
     -20.79432       0.00005      -0.00003
     -20.76232       0.00184      -0.00116
     -20.72932       0.02882      -0.02030
     -20.69732       0.22180      -0.17241
     -20.66532       0.90486      -0.76627
     -20.63232       2.22432      -2.00904
     -20.60032       3.99387      -3.72629
     -20.56832       6.30587      -5.93254
     -20.53532       9.00420      -8.58454
     -20.50332      11.14410     -10.83115
     -20.47132      12.60563     -12.33401
     -20.43932      14.40489     -14.03850
     -20.40632      16.77371     -16.40975
     -20.37432      18.75040     -18.54384
     -20.34232      19.70661     -19.64212
     -20.30932      19.96224     -19.95136
     -20.27732      19.99774     -19.99656
     -20.24532      20.00016     -19.99981
     -20.21332      20.00023     -19.99992
     -20.18032      20.00024     -19.99992
     -20.14832      20.00024     -19.99992
     -20.11632      20.00024     -19.99992
     -20.08332      20.00024     -19.99992
     -20.05132      20.00024     -19.99992
     -20.01932      20.00024     -19.99992
     -19.98732      20.00024     -19.99992
     -19.95432      20.00024     -19.99992
     -19.92232      20.00024     -19.99992
     -19.89032      20.00024     -19.99992
     -19.85732      20.00024     -19.99992
     -19.82532      20.00024     -19.99992
     -19.79332      20.00024     -19.99992
     -19.76132      20.00024     -19.99992
     -19.72832      20.00024     -19.99992
     -19.69632      20.00024     -19.99992
     -19.66432      20.00024     -19.99992
     -19.63132      20.00024     -19.99992
     -19.59932      20.00024     -19.99992
     -19.56732      20.00024     -19.99992
     -19.53532      20.00024     -19.99992
     -19.50232      20.00024     -19.99992
     -19.47032      20.00024     -19.99992
     -19.43832      20.00024     -19.99992
     -19.40532      20.00024     -19.99992
     -19.37332      20.00024     -19.99992
     -19.34132      20.00024     -19.99992
     -19.30932      20.00024     -19.99992
     -19.27632      20.00024     -19.99992
     -19.24432      20.00024     -19.99992
     -19.21232      20.00024     -19.99992
     -19.17932      20.00024     -19.99992
     -19.14732      20.00024     -19.99992
     -19.11532      20.00024     -19.99992
     -19.08332      20.00024     -19.99992
     -19.05032      20.00024     -19.99992
     -19.01832      20.00024     -19.99992
     -18.98632      20.00024     -19.99992
     -18.95332      20.00024     -19.99992
     -18.92132      20.00024     -19.99992
     -18.88932      20.00024     -19.99992
     -18.85732      20.00024     -19.99992
     -18.82432      20.00024     -19.99992
     -18.79232      20.00024     -19.99992
     -18.76032      20.00024     -19.99992
     -18.72732      20.00024     -19.99992
     -18.69532      20.00024     -19.99992
     -18.66332      20.00024     -19.99992
     -18.63032      20.00024     -19.99992
     -18.59832      20.00024     -19.99992
     -18.56632      20.00024     -19.99992
     -18.53432      20.00024     -19.99992
     -18.50132      20.00024     -19.99992
     -18.46932      20.00024     -19.99992
     -18.43732      20.00024     -19.99992
     -18.40432      20.00024     -19.99992
     -18.37232      20.00024     -19.99992
     -18.34032      20.00024     -19.99992
     -18.30832      20.00024     -19.99992
     -18.27532      20.00024     -19.99992
     -18.24332      20.00024     -19.99992
     -18.21132      20.00024     -19.99992
     -18.17832      20.00024     -19.99992
     -18.14632      20.00024     -19.99992
     -18.11432      20.00026     -19.99994
