#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 504
# Band-Index    1
   0.00000    -23.596021    -23.596021
   0.01681    -23.596020    -23.596020
   0.03361    -23.596016    -23.596016
   0.05042    -23.596016    -23.596016
   0.06722    -23.596014    -23.596014
   0.08403    -23.596014    -23.596014
   0.10083    -23.596011    -23.596011
   0.11764    -23.596011    -23.596011
   0.13444    -23.596009    -23.596009
   0.15125    -23.596010    -23.596010
   0.15125    -23.596010    -23.596010
   0.15671    -23.596010    -23.596010
   0.16217    -23.596010    -23.596010
   0.16763    -23.596010    -23.596010
   0.17309    -23.596011    -23.596011
   0.17855    -23.596012    -23.596012
   0.18401    -23.596010    -23.596010
   0.18947    -23.596009    -23.596009
   0.19493    -23.596009    -23.596009
   0.20039    -23.596010    -23.596010
   0.20039    -23.596010    -23.596010
   0.21469    -23.596011    -23.596011
   0.22898    -23.596013    -23.596013
   0.24328    -23.596013    -23.596013
   0.25758    -23.596010    -23.596010
   0.27187    -23.596012    -23.596012
   0.28617    -23.596012    -23.596012
   0.30046    -23.596012    -23.596012
   0.31476    -23.596011    -23.596011
   0.32905    -23.596013    -23.596013
   0.32905    -23.596013    -23.596013
   0.34335    -23.596011    -23.596011
   0.35764    -23.596012    -23.596012
   0.37194    -23.596012    -23.596012
   0.38624    -23.596012    -23.596012
   0.40053    -23.596010    -23.596010
   0.41483    -23.596013    -23.596013
   0.42912    -23.596013    -23.596013
   0.44342    -23.596011    -23.596011
   0.45771    -23.596010    -23.596010
   0.45771    -23.596010    -23.596010
   0.46317    -23.596009    -23.596009
   0.46863    -23.596009    -23.596009
   0.47409    -23.596010    -23.596010
   0.47956    -23.596012    -23.596012
   0.48502    -23.596011    -23.596011
   0.49048    -23.596010    -23.596010
   0.49594    -23.596010    -23.596010
   0.50140    -23.596010    -23.596010
   0.50686    -23.596010    -23.596010
   0.50686    -23.596010    -23.596010
   0.52366    -23.596009    -23.596009
   0.54047    -23.596011    -23.596011
   0.55727    -23.596011    -23.596011
   0.57408    -23.596014    -23.596014
   0.59088    -23.596014    -23.596014
   0.60769    -23.596016    -23.596016
   0.62450    -23.596016    -23.596016
   0.64130    -23.596020    -23.596020
   0.65811    -23.596021    -23.596021
 
 
# Band-Index    2
   0.65811    -23.593345    -23.593345
   0.64130    -23.593343    -23.593343
   0.62450    -23.593340    -23.593340
   0.60769    -23.593339    -23.593339
   0.59088    -23.593338    -23.593338
   0.57408    -23.593337    -23.593337
   0.55727    -23.593334    -23.593334
   0.54047    -23.593334    -23.593334
   0.52366    -23.593333    -23.593333
   0.50686    -23.593333    -23.593333
   0.50686    -23.593333    -23.593333
   0.50140    -23.593334    -23.593334
   0.49594    -23.593334    -23.593334
   0.49048    -23.593334    -23.593334
   0.48502    -23.593334    -23.593334
   0.47956    -23.593335    -23.593335
   0.47409    -23.593334    -23.593334
   0.46863    -23.593333    -23.593333
   0.46317    -23.593332    -23.593332
   0.45771    -23.593333    -23.593333
   0.45771    -23.593333    -23.593333
   0.44342    -23.593334    -23.593334
   0.42912    -23.593337    -23.593337
   0.41483    -23.593337    -23.593337
