      #Energy        TDOS-UP        TDOS-DOWN
     -27.83800       0.00000       0.00000
     -27.80300       0.00000       0.00000
     -27.76800       0.00000       0.00000
     -27.73300       0.00000       0.00000
     -27.69800       0.00000       0.00000
     -27.66300       0.00000       0.00000
     -27.62800       0.00000       0.00000
     -27.59300       0.00000       0.00000
     -27.55800       0.00000       0.00000
     -27.52200       0.00000       0.00000
     -27.48700       0.00000       0.00000
     -27.45200       0.00000       0.00000
     -27.41700       0.00000       0.00000
     -27.38200       0.00000       0.00000
     -27.34700       0.00000       0.00000
     -27.31200       0.00000       0.00000
     -27.27700       0.00000       0.00000
     -27.24200       0.00000       0.00000
     -27.20700       0.00000       0.00000
     -27.17100       0.00000       0.00000
     -27.13600       0.00000       0.00000
     -27.10100       0.00000       0.00000
     -27.06600       0.00000       0.00000
     -27.03100       0.00000       0.00000
     -26.99600       0.00000       0.00000
     -26.96100       0.00000       0.00000
     -26.92600       0.00000       0.00000
     -26.89100       0.00000       0.00000
     -26.85600       0.00000       0.00000
     -26.82100       0.00000       0.00000
     -26.78500       0.00000       0.00000
     -26.75000       0.00000       0.00000
     -26.71500       0.00000       0.00000
     -26.68000       0.00000       0.00000
     -26.64500       0.00000       0.00000
     -26.61000       0.00000       0.00000
     -26.57500       0.00000       0.00000
     -26.54000       0.00000      -0.00000
     -26.50500       0.00000      -0.00000
     -26.47000       0.00000      -0.00000
     -26.43400       0.00000      -0.00000
     -26.39900       0.00001      -0.00001
     -26.36400       0.00064      -0.00064
     -26.32900       0.01582      -0.01582
     -26.29400       0.16700      -0.16700
     -26.25900       0.82902      -0.82902
     -26.22400       2.31893      -2.31893
     -26.18900       4.68822      -4.68822
     -26.15400       8.27260      -8.27260
     -26.11900      12.90028     -12.90028
     -26.08300      16.99008     -16.99008
     -26.04800      19.21389     -19.21389
     -26.01300      19.89219     -19.89219
     -25.97800      19.99522     -19.99522
     -25.94300      20.00225     -20.00225
     -25.90800      20.00245     -20.00245
     -25.87300      20.00246     -20.00246
     -25.83800      20.00246     -20.00246
     -25.80300      20.00246     -20.00246
     -25.76800      20.00246     -20.00246
     -25.73200      20.00246     -20.00246
     -25.69700      20.00246     -20.00246
     -25.66200      20.00246     -20.00246
     -25.62700      20.00246     -20.00246
     -25.59200      20.00246     -20.00246
     -25.55700      20.00246     -20.00246
     -25.52200      20.00246     -20.00246
     -25.48700      20.00246     -20.00246
     -25.45200      20.00246     -20.00246
     -25.41700      20.00246     -20.00246
     -25.38100      20.00246     -20.00246
     -25.34600      20.00246     -20.00246
     -25.31100      20.00246     -20.00246
     -25.27600      20.00246     -20.00246
     -25.24100      20.00246     -20.00246
     -25.20600      20.00246     -20.00246
     -25.17100      20.00246     -20.00246
     -25.13600      20.00246     -20.00246
     -25.10100      20.00246     -20.00246
     -25.06600      20.00246     -20.00246
     -25.03100      20.00246     -20.00246
     -24.99500      20.00246     -20.00246
     -24.96000      20.00246     -20.00246
     -24.92500      20.00246     -20.00246
     -24.89000      20.00246     -20.00246
     -24.85500      20.00246     -20.00246
     -24.82000      20.00246     -20.00246
     -24.78500      20.00246     -20.00246
     -24.75000      20.00246     -20.00246
     -24.71500      20.00246     -20.00246
     -24.68000      20.00246     -20.00246
     -24.64400      20.00246     -20.00246
     -24.60900      20.00246     -20.00246
     -24.57400      20.00246     -20.00246
     -24.53900      20.00246     -20.00246
     -24.50400      20.00246     -20.00246
     -24.46900      20.00246     -20.00246
     -24.43400      20.00246     -20.00246
     -24.39900      20.00246     -20.00246
     -24.36400      20.00246     -20.00246
     -24.32900      20.00246     -20.00246
     -24.29300      20.00246     -20.00246
     -24.25800      20.00246     -20.00246
     -24.22300      20.00246     -20.00246
     -24.18800      20.00246     -20.00246
     -24.15300      20.00246     -20.00246
     -24.11800      20.00246     -20.00246
     -24.08300      20.00246     -20.00246
     -24.04800      20.00246     -20.00246
     -24.01300      20.00246     -20.00246
     -23.97800      20.00246     -20.00246
     -23.94200      20.00246     -20.00246
     -23.90700      20.00246     -20.00246
     -23.87200      20.00246     -20.00246
     -23.83700      20.00246     -20.00246
     -23.80200      20.00246     -20.00246
     -23.76700      20.00246     -20.00246
     -23.73200      20.00246     -20.00246
     -23.69700      20.00246     -20.00246
     -23.66200      20.00246     -20.00246
     -23.62700      20.00246     -20.00246
     -23.59100      20.00246     -20.00246
     -23.55600      20.00246     -20.00246
     -23.52100      20.00246     -20.00246
     -23.48600      20.00246     -20.00246
     -23.45100      20.00246     -20.00246
     -23.41600      20.00246     -20.00246
     -23.38100      20.00246     -20.00246
     -23.34600      20.00246     -20.00246
     -23.31100      20.00246     -20.00246
     -23.27600      20.00246     -20.00246
     -23.24100      20.00246     -20.00246
     -23.20500      20.00246     -20.00246
     -23.17000      20.00246     -20.00246
     -23.13500      20.00246     -20.00246
     -23.10000      20.00246     -20.00246
     -23.06500      20.00246     -20.00246
     -23.03000      20.00246     -20.00246
     -22.99500      20.00246     -20.00246
     -22.96000      20.00246     -20.00246
     -22.92500      20.00246     -20.00246
     -22.89000      20.00246     -20.00246
     -22.85400      20.00246     -20.00246
     -22.81900      20.00246     -20.00246
     -22.78400      20.00246     -20.00246
     -22.74900      20.00246     -20.00246
     -22.71400      20.00246     -20.00246
     -22.67900      20.00246     -20.00246
     -22.64400      20.00246     -20.00246
     -22.60900      20.00246     -20.00246
     -22.57400      20.00246     -20.00246
     -22.53900      20.00246     -20.00246
     -22.50300      20.00246     -20.00246
     -22.46800      20.00246     -20.00246
     -22.43300      20.00246     -20.00246
     -22.39800      20.00246     -20.00246
     -22.36300      20.00246     -20.00246
     -22.32800      20.00246     -20.00246
     -22.29300      20.00246     -20.00246
     -22.25800      20.00246     -20.00246
     -22.22300      20.00246     -20.00246
     -22.18800      20.00246     -20.00246
     -22.15200      20.00246     -20.00246
     -22.11700      20.00246     -20.00246
     -22.08200      20.00246     -20.00246
     -22.04700      20.00246     -20.00246
     -22.01200      20.00246     -20.00246
     -21.97700      20.00246     -20.00246
     -21.94200      20.00246     -20.00246
     -21.90700      20.00246     -20.00246
     -21.87200      20.00246     -20.00246
     -21.83700      20.00246     -20.00246
     -21.80100      20.00246     -20.00246
     -21.76600      20.00246     -20.00246
     -21.73100      20.00246     -20.00246
     -21.69600      20.00246     -20.00246
     -21.66100      20.00246     -20.00246
     -21.62600      20.00246     -20.00246
     -21.59100      20.00246     -20.00246
     -21.55600      20.00246     -20.00246
     -21.52100      20.00246     -20.00246
     -21.48600      20.00246     -20.00246
     -21.45100      20.00246     -20.00246
     -21.41500      20.00246     -20.00246
     -21.38000      20.00246     -20.00246
     -21.34500      20.00246     -20.00246
     -21.31000      20.00246     -20.00246
     -21.27500      20.00246     -20.00246
     -21.24000      20.00259     -20.00259
     -21.20500      20.00727     -20.00727
     -21.17000      20.07325     -20.07325
     -21.13500      20.46847     -20.46847
     -21.10000      21.57494     -21.57494
     -21.06400      23.34686     -23.34686
     -21.02900      25.60945     -25.60945
     -20.99400      28.33025     -28.33025
     -20.95900      31.02894     -31.02894
     -20.92400      33.15746     -33.15746
     -20.88900      34.86024     -34.86024
     -20.85400      36.49335     -36.49335
     -20.81900      37.91763     -37.91763
     -20.78400      38.97197     -38.97197
     -20.74900      39.65112     -39.65112
     -20.71300      39.93692     -39.93692
     -20.67800      39.99642     -39.99642
     -20.64300      40.00179     -40.00179
     -20.60800      40.00198     -40.00198
     -20.57300      40.00205     -40.00205
     -20.53800      40.00470     -40.00470
     -20.50300      40.04872     -40.04872
     -20.46800      40.35339     -40.35339
     -20.43300      41.28647     -41.28647
     -20.39800      42.64389     -42.64389
     -20.36200      43.61628     -43.61628
     -20.32700      43.94839     -43.94839
     -20.29200      43.99880     -43.99880
     -20.25700      44.00200     -44.00200
     -20.22200      44.00208     -44.00208
     -20.18700      44.00208     -44.00208
     -20.15200      44.00208     -44.00208
     -20.11700      44.00208     -44.00208
     -20.08200      44.00208     -44.00208
     -20.04700      44.00228     -44.00228
     -20.01100      44.00861     -44.00861
     -19.97600      44.09095     -44.09095
     -19.94100      44.54868     -44.54868
     -19.90600      45.74658     -45.74658
     -19.87100      47.50078     -47.50078
     -19.83600      49.41695     -49.41695
     -19.80100      51.51652     -51.51652
     -19.76600      53.83965     -53.83965
     -19.73100      56.17946     -56.17946
     -19.69600      58.24340     -58.24340
     -19.66100      59.92109     -59.92109
     -19.62500      61.15092     -61.15092
     -19.59000      61.79794     -61.79794
     -19.55500      62.06725     -62.06725
     -19.52000      62.48381     -62.48381
     -19.48500      63.41127     -63.41127
     -19.45000      64.75272     -64.75272
     -19.41500      66.23877     -66.23877
     -19.38000      67.68604     -67.68604
     -19.34500      68.86322     -68.86322
     -19.31000      69.61379     -69.61379
     -19.27400      70.05778     -70.05778
     -19.23900      70.49019     -70.49019
     -19.20400      71.13284     -71.13284
     -19.16900      72.05363     -72.05363
     -19.13400      73.21362     -73.21362
     -19.09900      74.52260     -74.52260
     -19.06400      75.92828     -75.92828
     -19.02900      77.28043     -77.28043
     -18.99400      78.40760     -78.40760
     -18.95900      79.47511     -79.47511
     -18.92300      80.83077     -80.83077
     -18.88800      82.38228     -82.38228
     -18.85300      83.49840     -83.49840
     -18.81800      83.92122     -83.92122
     -18.78300      83.99641     -83.99641
     -18.74800      84.00221     -84.00221
     -18.71300      84.00239     -84.00239
     -18.67800      84.00240     -84.00240
     -18.64300      84.00240     -84.00240
     -18.60800      84.00240     -84.00240
     -18.57200      84.00240     -84.00240
     -18.53700      84.00284     -84.00284
     -18.50200      84.01246     -84.01246
     -18.46700      84.10240     -84.10240
     -18.43200      84.47779     -84.47779
     -18.39700      85.24486     -85.24486
     -18.36200      86.10827     -86.10827
     -18.32700      86.76285     -86.76285
     -18.29200      87.25983     -87.25983
     -18.25700      87.70646     -87.70646
     -18.22100      88.09745     -88.09745
     -18.18600      88.51090     -88.51090
     -18.15100      89.12986     -89.12986
     -18.11600      89.94325     -89.94325
     -18.08100      90.76964     -90.76964
     -18.04600      91.48107     -91.48107
     -18.01100      92.03667     -92.03667
     -17.97600      92.64791     -92.64791
     -17.94100      93.66856     -93.66856
     -17.90600      95.25411     -95.25411
     -17.87100      97.32173     -97.32173
     -17.83500      99.57362     -99.57362
     -17.80000     101.57912    -101.57912
     -17.76500     103.19416    -103.19416
     -17.73000     104.71583    -104.71583
     -17.69500     106.36843    -106.36843
     -17.66000     107.95749    -107.95749
     -17.62500     109.20470    -109.20470
     -17.59000     110.28712    -110.28712
     -17.55500     111.54047    -111.54047
     -17.52000     112.88297    -112.88297
     -17.48400     114.14316    -114.14316
     -17.44900     115.32807    -115.32807
     -17.41400     116.34381    -116.34381
     -17.37900     117.01717    -117.01717
     -17.34400     117.42162    -117.42162
     -17.30900     117.90697    -117.90697
     -17.27400     118.77986    -118.77986
     -17.23900     119.92037    -119.92037
     -17.20400     120.97489    -120.97489
     -17.16900     121.88480    -121.88480
     -17.13300     122.73523    -122.73523
     -17.09800     123.55179    -123.55179
     -17.06300     124.38712    -124.38712
     -17.02800     125.22614    -125.22614
     -16.99300     126.00654    -126.00654
     -16.95800     126.79098    -126.79098
     -16.92300     127.80602    -127.80602
     -16.88800     129.16870    -129.16870
     -16.85300     130.57244    -130.57244
     -16.81800     131.60731    -131.60731
     -16.78200     132.33998    -132.33998
     -16.74700     133.20602    -133.20602
     -16.71200     134.54414    -134.54414
     -16.67700     136.31150    -136.31150
     -16.64200     138.07728    -138.07728
     -16.60700     139.49173    -139.49173
     -16.57200     140.50220    -140.50220
     -16.53700     141.18556    -141.18556
     -16.50200     141.71519    -141.71519
     -16.46700     142.38854    -142.38854
     -16.43100     143.56380    -143.56380
     -16.39600     145.26535    -145.26535
     -16.36100     147.24646    -147.24646
     -16.32600     149.33900    -149.33900
     -16.29100     151.18042    -151.18042
     -16.25600     152.47045    -152.47045
     -16.22100     153.50409    -153.50409
     -16.18600     154.73796    -154.73796
     -16.15100     156.16873    -156.16873
     -16.11600     157.31521    -157.31521
     -16.08100     157.86923    -157.86923
     -16.04500     158.08273    -158.08273
     -16.01000     158.33721    -158.33721
     -15.97500     158.83920    -158.83920
     -15.94000     159.65821    -159.65821
     -15.90500     160.63955    -160.63955
     -15.87000     161.43996    -161.43996
     -15.83500     161.85636    -161.85636
     -15.80000     161.98131    -161.98131
     -15.76500     162.00016    -162.00016
     -15.73000     162.00236    -162.00236
     -15.69400     162.01356    -162.01356
     -15.65900     162.08159    -162.08159
     -15.62400     162.33115    -162.33115
     -15.58900     162.94484    -162.94484
     -15.55400     163.95303    -163.95303
     -15.51900     165.00720    -165.00720
     -15.48400     165.70249    -165.70249
     -15.44900     166.05017    -166.05017
     -15.41400     166.31845    -166.31845
     -15.37900     166.73673    -166.73673
     -15.34300     167.46905    -167.46905
     -15.30800     168.50514    -168.50514
     -15.27300     169.55931    -169.55931
     -15.23800     170.38534    -170.38534
     -15.20300     171.01254    -171.01254
     -15.16800     171.50234    -171.50234
     -15.13300     171.81894    -171.81894
     -15.09800     171.96196    -171.96196
     -15.06300     172.02640    -172.02640
     -15.02800     172.17401    -172.17401
     -14.99200     172.63551    -172.63551
     -14.95700     173.59614    -173.59614
     -14.92200     174.79913    -174.79913
     -14.88700     175.64166    -175.64166
     -14.85200     175.95550    -175.95550
     -14.81700     176.08249    -176.08249
     -14.78200     176.36453    -176.36453
     -14.74700     176.95383    -176.95383
     -14.71200     177.90113    -177.90113
