#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 536
# Band-Index    1
   0.00000    -24.807515    -24.805544
   0.01681    -24.807513    -24.805542
   0.03361    -24.807512    -24.805541
   0.05042    -24.807512    -24.805541
   0.06722    -24.807511    -24.805540
   0.08403    -24.807513    -24.805542
   0.10083    -24.807513    -24.805542
   0.11764    -24.807516    -24.805545
   0.13444    -24.807519    -24.805548
   0.15125    -24.807518    -24.805547
   0.15125    -24.807518    -24.805547
   0.15671    -24.807519    -24.805548
   0.16217    -24.807519    -24.805548
   0.16763    -24.807520    -24.805549
   0.17309    -24.807521    -24.805550
   0.17855    -24.807521    -24.805550
   0.18401    -24.807519    -24.805548
   0.18947    -24.807518    -24.805547
   0.19493    -24.807518    -24.805547
   0.20039    -24.807519    -24.805549
   0.20039    -24.807519    -24.805549
   0.21469    -24.807517    -24.805546
   0.22898    -24.807516    -24.805545
   0.24328    -24.807516    -24.805545
   0.25758    -24.807515    -24.805545
   0.27187    -24.807515    -24.805545
   0.28617    -24.807510    -24.805540
   0.30046    -24.807509    -24.805538
   0.31476    -24.807509    -24.805538
   0.32905    -24.807509    -24.805538
   0.32905    -24.807509    -24.805538
   0.34335    -24.807509    -24.805538
   0.35764    -24.807509    -24.805538
   0.37194    -24.807510    -24.805540
   0.38624    -24.807515    -24.805545
   0.40053    -24.807515    -24.805545
   0.41483    -24.807516    -24.805545
   0.42912    -24.807516    -24.805545
   0.44342    -24.807517    -24.805546
   0.45771    -24.807519    -24.805549
   0.45771    -24.807519    -24.805549
   0.46317    -24.807518    -24.805547
   0.46863    -24.807518    -24.805547
   0.47409    -24.807519    -24.805549
   0.47956    -24.807521    -24.805550
   0.48502    -24.807521    -24.805550
   0.49048    -24.807520    -24.805549
   0.49594    -24.807519    -24.805548
   0.50140    -24.807519    -24.805549
   0.50686    -24.807518    -24.805547
   0.50686    -24.807518    -24.805547
   0.52366    -24.807519    -24.805548
   0.54047    -24.807516    -24.805545
   0.55727    -24.807513    -24.805542
   0.57408    -24.807513    -24.805542
   0.59088    -24.807511    -24.805540
   0.60769    -24.807512    -24.805541
   0.62450    -24.807512    -24.805541
   0.64130    -24.807513    -24.805542
   0.65811    -24.807515    -24.805544
 
 
# Band-Index    2
   0.65811    -24.648114    -24.646111
   0.64130    -24.648115    -24.646111
   0.62450    -24.648114    -24.646111
   0.60769    -24.648112    -24.646109
   0.59088    -24.648113    -24.646109
   0.57408    -24.648111    -24.646108
   0.55727    -24.648109    -24.646105
   0.54047    -24.648106    -24.646102
   0.52366    -24.648104    -24.646100
   0.50686    -24.648101    -24.646098
   0.50686    -24.648101    -24.646098
   0.50140    -24.648103    -24.646100
   0.49594    -24.648105    -24.646102
   0.49048    -24.648107    -24.646104
   0.48502    -24.648108    -24.646104
   0.47956    -24.648110    -24.646107
   0.47409    -24.648109    -24.646105
   0.46863    -24.648108    -24.646105
   0.46317    -24.648108    -24.646104
   0.45771    -24.648109    -24.646106
   0.45771    -24.648109    -24.646106
   0.44342    -24.648107    -24.646103
   0.42912    -24.648109    -24.646106
   0.41483    -24.648110    -24.646106
   0.40053    -24.648107    -24.646103
   0.38624    -24.648107    -24.646104
   0.37194    -24.648108    -24.646105
   0.35764    -24.648106    -24.646102
   0.34335    -24.648104    -24.646101
   0.32905    -24.648107    -24.646104
   0.32905    -24.648107    -24.646104
   0.31476    -24.648104    -24.646101
   0.30046    -24.648106    -24.646102
   0.28617    -24.648108    -24.646105
   0.27187    -24.648107    -24.646104
   0.25758    -24.648107    -24.646103
   0.24328    -24.648110    -24.646106
   0.22898    -24.648109    -24.646106
   0.21469    -24.648107    -24.646103
   0.20039    -24.648109    -24.646106
   0.20039    -24.648109    -24.646106
   0.19493    -24.648108    -24.646104
   0.18947    -24.648108    -24.646105
   0.18401    -24.648109    -24.646105
   0.17855    -24.648110    -24.646107
   0.17309    -24.648108    -24.646104
   0.16763    -24.648107    -24.646104
   0.16217    -24.648105    -24.646102
   0.15671    -24.648103    -24.646100
   0.15125    -24.648101    -24.646098
   0.15125    -24.648101    -24.646098
   0.13444    -24.648104    -24.646101
   0.11764    -24.648106    -24.646102
   0.10083    -24.648109    -24.646105
   0.08403    -24.648111    -24.646108
   0.06722    -24.648113    -24.646109
   0.05042    -24.648112    -24.646109
   0.03361    -24.648114    -24.646111
   0.01681    -24.648115    -24.646111
   0.00000    -24.648114    -24.646111
 
 
# Band-Index    3
   0.00000    -24.598501    -24.600603
   0.01681    -24.598499    -24.600601
   0.03361    -24.598498    -24.600600
   0.05042    -24.598498    -24.600600
   0.06722    -24.598496    -24.600598
   0.08403    -24.598498    -24.600600
   0.10083    -24.598498    -24.600600
   0.11764    -24.598501    -24.600603
   0.13444    -24.598504    -24.600606
   0.15125    -24.598503    -24.600606
   0.15125    -24.598503    -24.600606
   0.15671    -24.598505    -24.600607
   0.16217    -24.598505    -24.600607
   0.16763    -24.598506    -24.600608
   0.17309    -24.598506    -24.600608
   0.17855    -24.598507    -24.600609
   0.18401    -24.598505    -24.600607
   0.18947    -24.598503    -24.600606
   0.19493    -24.598504    -24.600606
   0.20039    -24.598505    -24.600607
   0.20039    -24.598505    -24.600607
   0.21469    -24.598503    -24.600605
   0.22898    -24.598501    -24.600603
   0.24328    -24.598501    -24.600603
   0.25758    -24.598500    -24.600602
   0.27187    -24.598500    -24.600602
   0.28617    -24.598495    -24.600597
   0.30046    -24.598494    -24.600596
   0.31476    -24.598494    -24.600597
   0.32905    -24.598494    -24.600597
   0.32905    -24.598494    -24.600597
   0.34335    -24.598494    -24.600597
   0.35764    -24.598494    -24.600596
   0.37194    -24.598495    -24.600597
   0.38624    -24.598500    -24.600602
   0.40053    -24.598500    -24.600602
   0.41483    -24.598501    -24.600603
   0.42912    -24.598501    -24.600603
   0.44342    -24.598503    -24.600605
   0.45771    -24.598505    -24.600607
   0.45771    -24.598505    -24.600607
   0.46317    -24.598504    -24.600606
   0.46863    -24.598503    -24.600606
   0.47409    -24.598505    -24.600607
   0.47956    -24.598507    -24.600609
   0.48502    -24.598506    -24.600608
   0.49048    -24.598506    -24.600608
   0.49594    -24.598505    -24.600607
   0.50140    -24.598505    -24.600607
   0.50686    -24.598504    -24.600606
   0.50686    -24.598504    -24.600606
   0.52366    -24.598504    -24.600606
   0.54047    -24.598501    -24.600603
   0.55727    -24.598498    -24.600600
   0.57408    -24.598498    -24.600600
   0.59088    -24.598496    -24.600598
   0.60769    -24.598498    -24.600600
   0.62450    -24.598498    -24.600600
   0.64130    -24.598499    -24.600601
   0.65811    -24.598501    -24.600603
 
 
# Band-Index    4
   0.65811    -24.527808    -24.525736
   0.64130    -24.527811    -24.525739
   0.62450    -24.527810    -24.525738
   0.60769    -24.527808    -24.525735
   0.59088    -24.527803    -24.525731
   0.57408    -24.527801    -24.525729
   0.55727    -24.527802    -24.525730
   0.54047    -24.527802    -24.525729
   0.52366    -24.527801    -24.525729
   0.50686    -24.527800    -24.525728
   0.50686    -24.527800    -24.525728
   0.50140    -24.527801    -24.525729
   0.49594    -24.527801    -24.525729
   0.49048    -24.527803    -24.525731
   0.48502    -24.527804    -24.525732
   0.47956    -24.527805    -24.525732
   0.47409    -24.527801    -24.525729
   0.46863    -24.527801    -24.525729
   0.46317    -24.527802    -24.525729
   0.45771    -24.527803    -24.525730
   0.45771    -24.527803    -24.525730
   0.44342    -24.527801    -24.525729
   0.42912    -24.527805    -24.525732
   0.41483    -24.527805    -24.525733
   0.40053    -24.527800    -24.525728
   0.38624    -24.527800    -24.525728
   0.37194    -24.527800    -24.525728
   0.35764    -24.527799    -24.525727
   0.34335    -24.527801    -24.525729
   0.32905    -24.527801    -24.525729
   0.32905    -24.527801    -24.525729
   0.31476    -24.527801    -24.525729
   0.30046    -24.527799    -24.525727
   0.28617    -24.527800    -24.525728
   0.27187    -24.527800    -24.525728
   0.25758    -24.527800    -24.525728
   0.24328    -24.527805    -24.525733
   0.22898    -24.527805    -24.525732
   0.21469    -24.527801    -24.525729
   0.20039    -24.527803    -24.525730
   0.20039    -24.527803    -24.525730
   0.19493    -24.527802    -24.525729
   0.18947    -24.527801    -24.525729
   0.18401    -24.527801    -24.525729
   0.17855    -24.527805    -24.525732
   0.17309    -24.527804    -24.525732
   0.16763    -24.527803    -24.525731
   0.16217    -24.527801    -24.525729
   0.15671    -24.527801    -24.525728
   0.15125    -24.527800    -24.525728
   0.15125    -24.527800    -24.525728
   0.13444    -24.527801    -24.525729
   0.11764    -24.527802    -24.525729
   0.10083    -24.527802    -24.525730
   0.08403    -24.527801    -24.525729
   0.06722    -24.527803    -24.525731
   0.05042    -24.527808    -24.525735
   0.03361    -24.527810    -24.525738
   0.01681    -24.527811    -24.525739
   0.00000    -24.527808    -24.525736
 
 
# Band-Index    5
   0.00000    -24.437348    -24.439455
   0.01681    -24.437349    -24.439455
   0.03361    -24.437348    -24.439454
   0.05042    -24.437346    -24.439452
   0.06722    -24.437347    -24.439453
   0.08403    -24.437345    -24.439451
   0.10083    -24.437343    -24.439449
   0.11764    -24.437339    -24.439445
   0.13444    -24.437338    -24.439444
   0.15125    -24.437335    -24.439441
   0.15125    -24.437335    -24.439441
   0.15671    -24.437337    -24.439443
   0.16217    -24.437339    -24.439445
   0.16763    -24.437341    -24.439447
   0.17309    -24.437341    -24.439447
   0.17855    -24.437343    -24.439449
   0.18401    -24.437342    -24.439448
   0.18947    -24.437342    -24.439448
   0.19493    -24.437341    -24.439447
   0.20039    -24.437343    -24.439449
   0.20039    -24.437343    -24.439449
   0.21469    -24.437340    -24.439446
   0.22898    -24.437343    -24.439449
   0.24328    -24.437344    -24.439450
   0.25758    -24.437341    -24.439447
   0.27187    -24.437342    -24.439448
   0.28617    -24.437343    -24.439449
   0.30046    -24.437341    -24.439447
   0.31476    -24.437338    -24.439444
   0.32905    -24.437342    -24.439448
   0.32905    -24.437342    -24.439448
   0.34335    -24.437338    -24.439444
   0.35764    -24.437341    -24.439447
   0.37194    -24.437343    -24.439449
   0.38624    -24.437342    -24.439448
   0.40053    -24.437341    -24.439447
   0.41483    -24.437344    -24.439450
   0.42912    -24.437343    -24.439449
   0.44342    -24.437340    -24.439446
   0.45771    -24.437343    -24.439449
   0.45771    -24.437343    -24.439449
   0.46317    -24.437341    -24.439447
   0.46863    -24.437342    -24.439448
   0.47409    -24.437342    -24.439448
   0.47956    -24.437343    -24.439449
   0.48502    -24.437341    -24.439447
   0.49048    -24.437341    -24.439447
   0.49594    -24.437339    -24.439445
   0.50140    -24.437337    -24.439443
   0.50686    -24.437335    -24.439441
   0.50686    -24.437335    -24.439441
   0.52366    -24.437338    -24.439444
   0.54047    -24.437339    -24.439445
   0.55727    -24.437343    -24.439449
   0.57408    -24.437345    -24.439451
   0.59088    -24.437347    -24.439453
   0.60769    -24.437346    -24.439452
   0.62450    -24.437348    -24.439454
   0.64130    -24.437349    -24.439455
   0.65811    -24.437348    -24.439455
 
 
# Band-Index    6
   0.65811    -24.304426    -24.306450
   0.64130    -24.304429    -24.306453
   0.62450    -24.304428    -24.306452
   0.60769    -24.304426    -24.306450
   0.59088    -24.304421    -24.306445
   0.57408    -24.304419    -24.306444
   0.55727    -24.304420    -24.306445
   0.54047    -24.304419    -24.306444
   0.52366    -24.304419    -24.306443
   0.50686    -24.304418    -24.306443
   0.50686    -24.304418    -24.306443
   0.50140    -24.304419    -24.306443
   0.49594    -24.304419    -24.306444
   0.49048    -24.304421    -24.306446
   0.48502    -24.304422    -24.306446
   0.47956    -24.304422    -24.306447
   0.47409    -24.304419    -24.306444
   0.46863    -24.304419    -24.306443
   0.46317    -24.304419    -24.306444
   0.45771    -24.304421    -24.306445
   0.45771    -24.304421    -24.306445
   0.44342    -24.304419    -24.306444
   0.42912    -24.304422    -24.306447
   0.41483    -24.304422    -24.306447
   0.40053    -24.304418    -24.306442
   0.38624    -24.304418    -24.306442
   0.37194    -24.304418    -24.306442
   0.35764    -24.304417    -24.306442
   0.34335    -24.304419    -24.306443
