      #Energy        TDOS-UP        TDOS-DOWN
     -23.75938       0.00000       0.00000
     -23.72538       0.00000       0.00000
     -23.69138       0.00000       0.00000
     -23.65738       0.00000       0.00000
     -23.62338       0.00000       0.00000
     -23.58938       0.00000       0.00000
     -23.55538       0.00000       0.00000
     -23.52138       0.00000       0.00000
     -23.48738       0.00000       0.00000
     -23.45338       0.00000       0.00000
     -23.41938       0.00000       0.00000
     -23.38538       0.00000       0.00000
     -23.35138       0.00000       0.00000
     -23.31738       0.00000       0.00000
     -23.28338       0.00000       0.00000
     -23.24938       0.00000       0.00000
     -23.21538       0.00000       0.00000
     -23.18138       0.00000       0.00000
     -23.14738       0.00000       0.00000
     -23.11338       0.00000       0.00000
     -23.07938       0.00000       0.00000
     -23.04538       0.00000       0.00000
     -23.01138       0.00000       0.00000
     -22.97738       0.00000       0.00000
     -22.94338       0.00000       0.00000
     -22.90938       0.00000       0.00000
     -22.87538       0.00000       0.00000
     -22.84138       0.00000       0.00000
     -22.80738       0.00000       0.00000
     -22.77338       0.00000       0.00000
     -22.73938       0.00000       0.00000
     -22.70538       0.00000       0.00000
     -22.67138       0.00000       0.00000
     -22.63738       0.00000       0.00000
     -22.60338       0.00000       0.00000
     -22.56938       0.00000       0.00000
     -22.53538       0.00000       0.00000
     -22.50138       0.00000      -0.00000
     -22.46738       0.00000      -0.00000
     -22.43338       0.00000      -0.00000
     -22.39938       0.00000      -0.00000
     -22.36538       0.00001      -0.00001
     -22.33138       0.00054      -0.00044
     -22.29738       0.01080      -0.00928
     -22.26338       0.09803      -0.08806
     -22.22938       0.43482      -0.40583
     -22.19538       1.06204      -1.02234
     -22.16138       1.65323      -1.62662
     -22.12738       1.95389      -1.94285
     -22.09338       2.16748      -2.15251
     -22.05938       2.68078      -2.65515
     -22.02638       3.63647      -3.62631
     -21.99238       4.79524      -4.81006
     -21.95838       5.87210      -5.87230
     -21.92438       6.82389      -6.79486
     -21.89038       7.64907      -7.63161
     -21.85638       8.38403      -8.40633
     -21.82238       9.12391      -9.16388
     -21.78838       9.71494      -9.74233
     -21.75438      10.08318     -10.10454
     -21.72038      10.54896     -10.58298
     -21.68638      11.32929     -11.35685
     -21.65238      12.41346     -12.39446
     -21.61838      13.80282     -13.74372
     -21.58438      15.10450     -15.05525
     -21.55038      15.79530     -15.77729
     -21.51638      15.98223     -15.98043
     -21.48238      16.06832     -16.07578
     -21.44838      16.42990     -16.46045
     -21.41438      17.39732     -17.45693
     -21.38038      18.70681     -18.76456
     -21.34638      19.62139     -19.64905
     -21.31238      19.94224     -19.94870
     -21.27838      19.99577     -19.99680
     -21.24438      19.99980     -20.00028
     -21.21038      19.99994     -20.00039
     -21.17638      19.99994     -20.00039
     -21.14238      19.99994     -20.00039
     -21.10838      19.99994     -20.00039
     -21.07438      19.99994     -20.00039
     -21.04038      19.99994     -20.00039
     -21.00638      19.99994     -20.00039
     -20.97238      19.99994     -20.00039
     -20.93838      19.99994     -20.00039
     -20.90438      19.99994     -20.00039
     -20.87038      19.99994     -20.00039
     -20.83638      19.99994     -20.00039
     -20.80238      19.99994     -20.00039
     -20.76838      19.99994     -20.00039
     -20.73438      19.99994     -20.00039
     -20.70038      19.99994     -20.00039
     -20.66638      19.99994     -20.00039
     -20.63238      19.99994     -20.00039
     -20.59838      19.99994     -20.00039
     -20.56438      19.99994     -20.00039
     -20.53038      19.99994     -20.00039
     -20.49638      19.99994     -20.00039
     -20.46238      19.99994     -20.00039
     -20.42838      19.99994     -20.00039
     -20.39438      19.99994     -20.00039
     -20.36038      19.99994     -20.00039
     -20.32638      19.99994     -20.00039
     -20.29238      19.99994     -20.00039
     -20.25838      19.99994     -20.00039
     -20.22438      19.99994     -20.00039
     -20.19038      19.99994     -20.00039
     -20.15638      19.99994     -20.00039
     -20.12238      19.99994     -20.00039
     -20.08838      19.99994     -20.00039
     -20.05438      19.99994     -20.00039
     -20.02038      19.99994     -20.00039
     -19.98638      19.99994     -20.00039
     -19.95238      19.99994     -20.00039
     -19.91838      19.99994     -20.00039
     -19.88438      19.99994     -20.00039
     -19.85038      19.99994     -20.00039
     -19.81638      19.99994     -20.00039
     -19.78238      19.99994     -20.00039
     -19.74838      19.99994     -20.00039
     -19.71438      19.99994     -20.00039
     -19.68038      19.99994     -20.00039
     -19.64638      19.99994     -20.00039
     -19.61238      19.99994     -20.00039
     -19.57838      19.99994     -20.00039
     -19.54538      19.99994     -20.00039
     -19.51138      19.99994     -20.00039
     -19.47738      19.99994     -20.00039
     -19.44338      19.99994     -20.00039
     -19.40938      19.99994     -20.00039
     -19.37538      19.99994     -20.00039
     -19.34138      19.99994     -20.00039
     -19.30738      19.99994     -20.00039
     -19.27338      19.99994     -20.00039
     -19.23938      19.99994     -20.00039
     -19.20538      19.99994     -20.00039
     -19.17138      19.99994     -20.00039
     -19.13738      19.99994     -20.00039
     -19.10338      19.99994     -20.00039
     -19.06938      19.99994     -20.00039
     -19.03538      19.99994     -20.00039
     -19.00138      19.99994     -20.00039
     -18.96738      19.99995     -20.00040
     -18.93338      20.00058     -20.00103
     -18.89938      20.01181     -20.01221
     -18.86538      20.10577     -20.10595
     -18.83138      20.50060     -20.50026
     -18.79738      21.40617     -21.40566
     -18.76338      22.69120     -22.69102
     -18.72938      24.03060     -24.03043
     -18.69538      25.16065     -25.16047
     -18.66138      25.92143     -25.92177
     -18.62738      26.47167     -26.47252
     -18.59338      27.20731     -27.20849
     -18.55938      28.41926     -28.42079
     -18.52538      29.95443     -29.95595
     -18.49138      31.24880     -31.24981
     -18.45738      32.15266     -32.15300
     -18.42338      33.25637     -33.25654
     -18.38938      34.92425     -34.92476
     -18.35538      36.76496     -36.76580
     -18.32138      38.29859     -38.29961
     -18.28738      39.32600     -39.32685
     -18.25338      39.82619     -39.82677
     -18.21938      39.97487     -39.97532
     -18.18538      39.99798     -39.99842
     -18.15138      39.99967     -40.00010
     -18.11738      39.99972     -40.00015
     -18.08338      39.99973     -40.00016
     -18.04938      40.00003     -40.00046
     -18.01538      40.00588     -40.00629
     -17.98138      40.06294     -40.06319
     -17.94738      40.36338     -40.36298
     -17.91338      41.26588     -41.26464
     -17.87938      42.88788     -42.88698
     -17.84538      44.80998     -44.81010
     -17.81138      46.61772     -46.61784
