      #Energy        TDOS-UP        TDOS-DOWN
     -26.35100       0.00000       0.00000
     -26.31700       0.00000       0.00000
     -26.28300       0.00000       0.00000
     -26.24900       0.00000       0.00000
     -26.21500       0.00000       0.00000
     -26.18100       0.00000       0.00000
     -26.14700       0.00000       0.00000
     -26.11300       0.00000       0.00000
     -26.07900       0.00000       0.00000
     -26.04500       0.00000       0.00000
     -26.01100       0.00000       0.00000
     -25.97700       0.00000       0.00000
     -25.94300       0.00000       0.00000
     -25.90900       0.00000       0.00000
     -25.87500       0.00000       0.00000
     -25.84100       0.00000       0.00000
     -25.80700       0.00000       0.00000
     -25.77300       0.00000       0.00000
     -25.73900       0.00000       0.00000
     -25.70500       0.00000       0.00000
     -25.67100       0.00000       0.00000
     -25.63700       0.00000       0.00000
     -25.60300       0.00000       0.00000
     -25.56900       0.00000       0.00000
     -25.53500       0.00000       0.00000
     -25.50100       0.00000       0.00000
     -25.46700       0.00000       0.00000
     -25.43300       0.00000       0.00000
     -25.39900       0.00000       0.00000
     -25.36500       0.00000       0.00000
     -25.33100       0.00000       0.00000
     -25.29700       0.00000       0.00000
     -25.26300       0.00000       0.00000
     -25.22900       0.00000       0.00000
     -25.19500       0.00000       0.00000
     -25.16100       0.00000       0.00000
     -25.12700       0.00000       0.00000
     -25.09300       0.00000      -0.00000
     -25.05900       0.00000      -0.00000
     -25.02500       0.00000      -0.00000
     -24.99100       0.00001      -0.00000
     -24.95700       0.00066      -0.00051
     -24.92300       0.03018      -0.02476
     -24.88900       0.57410      -0.49570
     -24.85500       4.55900      -4.14000
     -24.82100      15.26000     -14.56000
     -24.78700      21.65000     -21.72000
     -24.75300      13.14000     -13.84000
     -24.71900       4.55300      -4.76900
     -24.68500       8.01600      -7.56900
     -24.65100      22.19000     -22.01000
     -24.61800      34.05000     -35.14000
     -24.58400      34.14000     -34.52000
     -24.55000      29.23000     -27.99000
     -24.51600      26.78000     -26.30000
     -24.48200      21.78000     -22.94000
     -24.44800      21.47000     -22.65000
     -24.41400      22.07000     -21.93000
     -24.38000      12.71000     -12.11000
     -24.34600       8.96000      -9.20500
     -24.31200      18.45000     -18.95000
     -24.27800      27.47000     -26.59000
     -24.24400      36.33000     -34.47000
     -24.21000      45.43000     -44.93000
     -24.17600      31.17000     -32.25000
     -24.14200       9.48200     -10.24000
     -24.10800       1.51800      -1.71400
     -24.07400       3.54800      -3.89700
     -24.04000      17.73000     -18.74000
     -24.00600      39.20000     -39.90000
     -23.97200      37.86000     -37.05000
     -23.93800      15.96000     -15.00000
     -23.90400       2.92100      -2.63300
     -23.87000       0.22950      -0.19810
     -23.83600       0.00765      -0.00631
     -23.80200       0.00011      -0.00008
     -23.76800       0.00000      -0.00000
     -23.73400       0.00000      -0.00000
     -23.70000       0.00000      -0.00000
     -23.66600       0.00000       0.00000
     -23.63200       0.00000       0.00000
     -23.59800       0.00000       0.00000
     -23.56400       0.00000       0.00000
     -23.53000       0.00000       0.00000
     -23.49600       0.00000       0.00000
     -23.46200       0.00000       0.00000
     -23.42800       0.00000       0.00000
     -23.39400       0.00000       0.00000
     -23.36000       0.00000       0.00000
     -23.32600       0.00000       0.00000
     -23.29200       0.00000       0.00000
     -23.25800       0.00000       0.00000
     -23.22400       0.00000       0.00000
     -23.19000       0.00000       0.00000
     -23.15600       0.00000       0.00000
     -23.12200       0.00000       0.00000
     -23.08800       0.00000       0.00000
     -23.05400       0.00000       0.00000
     -23.02000       0.00000       0.00000
     -22.98600       0.00000       0.00000
     -22.95200       0.00000       0.00000
     -22.91800       0.00000       0.00000
     -22.88400       0.00000       0.00000
     -22.85000       0.00000       0.00000
     -22.81600       0.00000       0.00000
     -22.78200       0.00000       0.00000
     -22.74800       0.00000       0.00000
     -22.71400       0.00000       0.00000
     -22.68000       0.00000       0.00000
     -22.64600       0.00000       0.00000
     -22.61200       0.00000       0.00000
     -22.57800       0.00000       0.00000
     -22.54400       0.00000       0.00000
     -22.51000       0.00000       0.00000
     -22.47600       0.00000       0.00000
     -22.44200       0.00000       0.00000
     -22.40800       0.00000       0.00000
     -22.37400       0.00000       0.00000
     -22.34000       0.00000       0.00000
     -22.30600       0.00000       0.00000
     -22.27200       0.00000       0.00000
     -22.23800       0.00000       0.00000
     -22.20400       0.00000       0.00000
     -22.17000       0.00000       0.00000
     -22.13700       0.00000       0.00000
     -22.10300       0.00000       0.00000
     -22.06900       0.00000       0.00000
     -22.03500       0.00000       0.00000
     -22.00100       0.00000       0.00000
     -21.96700       0.00000       0.00000
     -21.93300       0.00000       0.00000
     -21.89900       0.00000       0.00000
     -21.86500       0.00000       0.00000
     -21.83100       0.00000       0.00000
     -21.79700       0.00000       0.00000
     -21.76300       0.00000       0.00000
     -21.72900       0.00000       0.00000
     -21.69500       0.00000      -0.00000
     -21.66100       0.00000      -0.00000
     -21.62700       0.00000      -0.00000
     -21.59300       0.00001      -0.00001
     -21.55900       0.00092      -0.00092
     -21.52500       0.03617      -0.03600
     -21.49100       0.62430      -0.62210
     -21.45700       4.90500      -4.89400
     -21.42300      18.33000     -18.31000
     -21.38900      34.96000     -34.97000
     -21.35500      40.66000     -40.67000
     -21.32100      38.16000     -38.15000
     -21.28700      28.34000     -28.35000
     -21.25300      16.43000     -16.45000
     -21.21900      15.95000     -15.96000
     -21.18500      27.34000     -27.35000
     -21.15100      43.98000     -43.99000
     -21.11700      46.36000     -46.35000
     -21.08300      29.81000     -29.79000
     -21.04900      23.38000     -23.36000
     -21.01500      41.57000     -41.58000
     -20.98100      56.58000     -56.59000
     -20.94700      51.74000     -51.75000
