#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 536
# Band-Index    1
   0.00000    -22.220667    -22.012558
   0.01681    -22.220665    -22.012556
   0.03361    -22.220664    -22.012555
   0.05042    -22.220664    -22.012555
   0.06722    -22.220663    -22.012553
   0.08403    -22.220665    -22.012555
   0.10083    -22.220665    -22.012555
   0.11764    -22.220668    -22.012558
   0.13444    -22.220671    -22.012561
   0.15125    -22.220670    -22.012560
   0.15125    -22.220670    -22.012560
   0.15671    -22.220671    -22.012562
   0.16217    -22.220671    -22.012562
   0.16763    -22.220672    -22.012563
   0.17309    -22.220673    -22.012563
   0.17855    -22.220673    -22.012564
   0.18401    -22.220671    -22.012562
   0.18947    -22.220670    -22.012560
   0.19493    -22.220670    -22.012560
   0.20039    -22.220671    -22.012562
   0.20039    -22.220671    -22.012562
   0.21469    -22.220669    -22.012560
   0.22898    -22.220668    -22.012558
   0.24328    -22.220668    -22.012558
   0.25758    -22.220667    -22.012557
   0.27187    -22.220667    -22.012557
   0.28617    -22.220662    -22.012552
   0.30046    -22.220661    -22.012551
   0.31476    -22.220661    -22.012551
   0.32905    -22.220661    -22.012551
   0.32905    -22.220661    -22.012551
   0.34335    -22.220661    -22.012551
   0.35764    -22.220661    -22.012551
   0.37194    -22.220662    -22.012552
   0.38624    -22.220667    -22.012557
   0.40053    -22.220667    -22.012557
   0.41483    -22.220668    -22.012558
   0.42912    -22.220668    -22.012558
   0.44342    -22.220669    -22.012560
   0.45771    -22.220671    -22.012562
   0.45771    -22.220671    -22.012562
   0.46317    -22.220670    -22.012560
   0.46863    -22.220670    -22.012560
   0.47409    -22.220671    -22.012562
   0.47956    -22.220673    -22.012564
   0.48502    -22.220673    -22.012563
   0.49048    -22.220672    -22.012563
   0.49594    -22.220671    -22.012562
   0.50140    -22.220671    -22.012562
   0.50686    -22.220670    -22.012560
   0.50686    -22.220670    -22.012560
   0.52366    -22.220671    -22.012561
   0.54047    -22.220668    -22.012558
   0.55727    -22.220665    -22.012555
   0.57408    -22.220665    -22.012555
   0.59088    -22.220663    -22.012553
   0.60769    -22.220664    -22.012555
   0.62450    -22.220664    -22.012555
   0.64130    -22.220665    -22.012556
   0.65811    -22.220667    -22.012558
 
 
# Band-Index    2
   0.65811    -22.218695    -22.010457
   0.64130    -22.218693    -22.010455
   0.62450    -22.218692    -22.010454
   0.60769    -22.218692    -22.010454
   0.59088    -22.218691    -22.010452
   0.57408    -22.218693    -22.010454
   0.55727    -22.218693    -22.010454
   0.54047    -22.218696    -22.010457
   0.52366    -22.218699    -22.010460
   0.50686    -22.218698    -22.010459
   0.50686    -22.218698    -22.010459
   0.50140    -22.218699    -22.010461
   0.49594    -22.218699    -22.010461
   0.49048    -22.218700    -22.010462
   0.48502    -22.218701    -22.010462
   0.47956    -22.218701    -22.010463
   0.47409    -22.218699    -22.010461
   0.46863    -22.218698    -22.010459
   0.46317    -22.218698    -22.010460
   0.45771    -22.218699    -22.010461
   0.45771    -22.218699    -22.010461
   0.44342    -22.218697    -22.010459
   0.42912    -22.218696    -22.010457
   0.41483    -22.218696    -22.010457
   0.40053    -22.218696    -22.010456
   0.38624    -22.218695    -22.010456
   0.37194    -22.218690    -22.010451
   0.35764    -22.218689    -22.010450
   0.34335    -22.218689    -22.010450
   0.32905    -22.218689    -22.010450
   0.32905    -22.218689    -22.010450
   0.31476    -22.218689    -22.010450
