      #Energy        TDOS-UP        TDOS-DOWN
     -26.35200       0.00000       0.00000
     -26.31800       0.00000       0.00000
     -26.28400       0.00000       0.00000
     -26.25000       0.00000       0.00000
     -26.21600       0.00000       0.00000
     -26.18200       0.00000       0.00000
     -26.14800       0.00000       0.00000
     -26.11400       0.00000       0.00000
     -26.08000       0.00000       0.00000
     -26.04600       0.00000       0.00000
     -26.01200       0.00000       0.00000
     -25.97800       0.00000       0.00000
     -25.94400       0.00000       0.00000
     -25.91000       0.00000       0.00000
     -25.87600       0.00000       0.00000
     -25.84200       0.00000       0.00000
     -25.80800       0.00000       0.00000
     -25.77400       0.00000       0.00000
     -25.74000       0.00000       0.00000
     -25.70600       0.00000       0.00000
     -25.67200       0.00000       0.00000
     -25.63800       0.00000       0.00000
     -25.60400       0.00000       0.00000
     -25.57000       0.00000       0.00000
     -25.53600       0.00000       0.00000
     -25.50200       0.00000       0.00000
     -25.46800       0.00000       0.00000
     -25.43400       0.00000       0.00000
     -25.40000       0.00000       0.00000
     -25.36600       0.00000       0.00000
     -25.33200       0.00000       0.00000
     -25.29800       0.00000       0.00000
     -25.26400       0.00000       0.00000
     -25.23000       0.00000       0.00000
     -25.19600       0.00000       0.00000
     -25.16200       0.00000       0.00000
     -25.12800       0.00000       0.00000
     -25.09400       0.00000       0.00000
     -25.06000       0.00000       0.00000
     -25.02600       0.00000       0.00000
     -24.99200       0.00000       0.00000
     -24.95800       0.00002       0.00000
     -24.92400       0.00097       0.00000
     -24.89000       0.02007      -0.00000
     -24.85600       0.18603      -0.00000
     -24.82200       0.84061      -0.00000
     -24.78800       2.08448      -0.00000
     -24.75400       3.28008      -0.00001
     -24.72000       3.89590      -0.00063
     -24.68600       4.30199      -0.01440
     -24.65200       5.17367      -0.14693
     -24.61800       6.50336      -0.72175
     -24.58400       7.63948      -1.91430
     -24.55000       8.54430      -3.16004
     -24.51600       9.75401      -3.84239
     -24.48200      11.04087      -4.21866
     -24.44800      11.77149      -4.98360
     -24.41400      11.97360      -6.27387
     -24.38000      11.99915      -7.43310
     -24.34600      12.00154      -8.17137
     -24.31200      12.02460      -9.08570
     -24.27800      12.25723     -10.40401
     -24.24400      13.31772     -11.47368
     -24.21000      15.62837     -11.90916
     -24.17600      18.16182     -11.99277
     -24.14200      19.57054     -12.00028
     -24.10800      19.95111     -12.01093
     -24.07400      19.99817     -12.13972
     -24.04000      20.00071     -12.86282
     -24.00600      20.00077     -14.80179
