#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS: 112 512
# Band-Index    1
   0.00000    -21.273373    -21.273373
   0.01008    -21.273207    -21.273207
   0.02017    -21.272712    -21.272712
   0.03025    -21.271886    -21.271886
   0.04033    -21.270732    -21.270732
   0.05042    -21.269256    -21.269256
   0.06050    -21.267461    -21.267461
   0.07058    -21.265356    -21.265356
   0.08067    -21.262949    -21.262949
   0.09075    -21.260252    -21.260252
   0.10083    -21.257281    -21.257281
   0.11092    -21.254064    -21.254064
   0.12100    -21.250644    -21.250644
   0.13108    -21.247126    -21.247126
   0.14117    -21.243821    -21.243821
   0.15125    -21.242073    -21.242073
   0.15125    -21.242073    -21.242073
   0.15453    -21.242059    -21.242059
   0.15780    -21.242015    -21.242015
   0.16108    -21.241943    -21.241943
   0.16435    -21.241843    -21.241843
   0.16763    -21.241716    -21.241716
   0.17091    -21.241561    -21.241561
   0.17418    -21.241381    -21.241381
   0.17746    -21.241179    -21.241179
   0.18074    -21.240958    -21.240958
   0.18401    -21.240725    -21.240725
   0.18729    -21.240495    -21.240495
   0.19056    -21.240297    -21.240297
   0.19384    -21.240186    -21.240186
   0.19712    -21.240251    -21.240251
   0.20039    -21.240538    -21.240538
   0.20039    -21.240538    -21.240538
   0.20897    -21.243791    -21.243791
   0.21755    -21.246888    -21.246888
   0.22612    -21.249793    -21.249793
   0.23470    -21.252493    -21.252493
   0.24328    -21.254979    -21.254979
   0.25186    -21.257244    -21.257244
   0.26043    -21.259283    -21.259283
   0.26901    -21.261093    -21.261093
   0.27759    -21.262667    -21.262667
   0.28617    -21.264006    -21.264006
   0.29474    -21.265103    -21.265103
   0.30332    -21.265959    -21.265959
   0.31190    -21.266570    -21.266570
   0.32048    -21.266939    -21.266939
   0.32905    -21.267062    -21.267062
   0.32905    -21.267062    -21.267062
   0.33763    -21.266939    -21.266939
   0.34621    -21.266570    -21.266570
   0.35479    -21.265959    -21.265959
   0.36336    -21.265103    -21.265103
   0.37194    -21.264006    -21.264006
   0.38052    -21.262667    -21.262667
   0.38909    -21.261093    -21.261093
   0.39767    -21.259283    -21.259283
   0.40625    -21.257244    -21.257244
   0.41483    -21.254979    -21.254979
   0.42340    -21.252493    -21.252493
   0.43198    -21.249793    -21.249793
   0.44056    -21.246888    -21.246888
   0.44914    -21.243791    -21.243791
   0.45771    -21.240538    -21.240538
   0.45771    -21.240538    -21.240538
   0.46099    -21.240253    -21.240253
   0.46427    -21.240189    -21.240189
   0.46754    -21.240300    -21.240300
   0.47082    -21.240499    -21.240499
   0.47409    -21.240729    -21.240729
   0.47737    -21.240962    -21.240962
   0.48065    -21.241184    -21.241184
   0.48392    -21.241386    -21.241386
   0.48720    -21.241566    -21.241566
   0.49048    -21.241721    -21.241721
   0.49375    -21.241849    -21.241849
   0.49703    -21.241949    -21.241949
   0.50030    -21.242021    -21.242021
   0.50358    -21.242065    -21.242065
   0.50686    -21.242079    -21.242079
   0.50686    -21.242079    -21.242079
   0.51694    -21.243833    -21.243833
   0.52702    -21.247140    -21.247140
   0.53711    -21.250659    -21.250659
   0.54719    -21.254077    -21.254077
   0.55727    -21.257292    -21.257292
   0.56736    -21.260261    -21.260261
   0.57744    -21.262956    -21.262956
   0.58752    -21.265361    -21.265361
   0.59761    -21.267465    -21.267465
   0.60769    -21.269259    -21.269259
   0.61777    -21.270734    -21.270734
   0.62786    -21.271887    -21.271887
   0.63794    -21.272712    -21.272712
   0.64802    -21.273207    -21.273207
   0.65811    -21.273373    -21.273373
   0.65811    -21.273373    -21.273373
   0.66434    -21.273327    -21.273327
   0.67057    -21.273191    -21.273191
   0.67680    -21.272964    -21.272964
   0.68303    -21.272650    -21.272650
   0.68927    -21.272252    -21.272252
   0.69550    -21.271778    -21.271778
   0.70173    -21.271233    -21.271233
   0.70796    -21.270629    -21.270629
   0.71419    -21.269981    -21.269981
   0.72042    -21.269310    -21.269310
   0.72666    -21.268648    -21.268648
   0.73289    -21.268035    -21.268035
   0.73912    -21.267527    -21.267527
   0.74535    -21.267184    -21.267184
   0.75158    -21.267062    -21.267062
 
 
# Band-Index    2
   0.75158    -21.254096    -21.254096
   0.74535    -21.253913    -21.253913
   0.73912    -21.253388    -21.253388
   0.73289    -21.252580    -21.252580
   0.72666    -21.251558    -21.251558
   0.72042    -21.250391    -21.250391
   0.71419    -21.249130    -21.249130
   0.70796    -21.247828    -21.247828
   0.70173    -21.246528    -21.246528
   0.69550    -21.245272    -21.245272
