      #Energy        TDOS-UP        TDOS-DOWN
     -22.56400       0.00000       0.00000
     -22.53500       0.00000       0.00000
     -22.50700       0.00000       0.00000
     -22.47900       0.00000       0.00000
     -22.45100       0.00000       0.00000
     -22.42200       0.00000       0.00000
     -22.39400       0.00000       0.00000
     -22.36600       0.00000       0.00000
     -22.33800       0.00000       0.00000
     -22.31000       0.00000       0.00000
     -22.28100       0.00000       0.00000
     -22.25300       0.00000       0.00000
     -22.22500       0.00000       0.00000
     -22.19700       0.00000       0.00000
     -22.16800       0.00000       0.00000
     -22.14000       0.00000       0.00000
     -22.11200       0.00000       0.00000
     -22.08400       0.00000       0.00000
     -22.05500       0.00000       0.00000
     -22.02700       0.00000       0.00000
     -21.99900       0.00000       0.00000
     -21.97100       0.00000       0.00000
     -21.94300       0.00000       0.00000
     -21.91400       0.00000       0.00000
     -21.88600       0.00000       0.00000
     -21.85800       0.00000       0.00000
     -21.83000       0.00000       0.00000
     -21.80100       0.00000       0.00000
     -21.77300       0.00000       0.00000
     -21.74500       0.00000       0.00000
     -21.71700       0.00000       0.00000
     -21.68800       0.00000       0.00000
     -21.66000       0.00000       0.00000
     -21.63200       0.00000       0.00000
     -21.60400       0.00000       0.00000
     -21.57600       0.00000       0.00000
     -21.54700       0.00000      -0.00000
     -21.51900       0.00000      -0.00000
     -21.49100       0.00000      -0.00000
     -21.46300       0.00000      -0.00000
     -21.43400       0.00013      -0.00002
     -21.40600       0.00406      -0.00081
     -21.37800       0.07312      -0.01916
     -21.35000       0.75940      -0.25890
     -21.32100       4.66100      -2.04400
     -21.29300      17.40000      -9.69700
     -21.26500      40.94000     -28.53000
     -21.23700      63.95000     -54.18000
     -21.20900      72.46000     -70.65000
     -21.18000      67.84000     -70.34000
     -21.15200      58.80000     -61.87000
     -21.12400      47.48000     -52.41000
     -21.09600      35.05000     -41.40000
     -21.06700      28.54000     -31.80000
     -21.03900      32.19000     -30.61000
     -21.01100      39.65000     -36.80000
     -20.98300      43.17000     -41.84000
     -20.95400      40.54000     -41.90000
     -20.92600      32.04000     -36.06000
     -20.89800      25.02000     -27.34000
     -20.87000      23.41000     -23.82000
     -20.84200      19.71000     -22.63000
     -20.81300      13.44000     -16.77000
     -20.78500      15.69000     -13.19000
     -20.75700      30.15000     -22.46000
     -20.72900      40.87000     -37.76000
     -20.70000      33.18000     -39.12000
     -20.67200      16.54000     -24.35000
     -20.64400       5.28700      -9.47900
     -20.61600       1.10300      -2.38600
     -20.58700       0.17640      -0.39140
     -20.55900       0.49160      -0.12910
     -20.53100       4.13800      -1.13900
     -20.50300      19.71000      -7.88900
     -20.47500      52.74000     -30.37000
     -20.44600      82.45000     -66.24000
     -20.41800      82.13000     -86.03000
     -20.39000      60.31000     -74.49000
     -20.36200      36.61000     -50.74000
     -20.33300      20.32000     -29.96000
     -20.30500      16.39000     -18.15000
     -20.27700      24.03000     -18.73000
     -20.24900      36.25000     -29.10000
     -20.22000      39.70000     -39.20000
     -20.19200      30.28000     -36.86000
     -20.16400      20.93000     -25.56000
     -20.13600      20.11000     -19.16000
     -20.10800      25.16000     -21.49000
     -20.07900      32.63000     -28.67000
     -20.05100      36.26000     -35.53000
     -20.02300      30.85000     -35.03000
     -19.99500      20.57000     -26.72000
     -19.96600      10.88000     -16.37000
     -19.93800       4.21400      -7.74800
     -19.91000       1.08400      -2.56000
     -19.88200       0.17270      -0.54300
     -19.85300       0.01631      -0.07003
     -19.82500       0.00088      -0.00529
     -19.79700       0.00003      -0.00023
     -19.76900       0.00000      -0.00001
     -19.74100       0.00000      -0.00000
     -19.71200       0.00000      -0.00000
     -19.68400       0.00000      -0.00000
     -19.65600       0.00001      -0.00000
     -19.62800       0.00047      -0.00012
     -19.59900       0.01249      -0.00383
     -19.57100       0.18090      -0.06951
     -19.54300       1.44200      -0.69360
     -19.51500       6.35300      -3.82800
     -19.48600      15.58000     -11.76000
     -19.45800      21.51000     -20.25000
     -19.43000      17.45000     -20.00000
     -19.40200      10.76000     -12.86000
     -19.37400      10.44000      -9.64200
     -19.34500      14.48000     -12.70000
     -19.31700      17.46000     -16.36000
     -19.28900      19.27000     -18.21000
     -19.26100      21.12000     -20.17000
     -19.23200      21.11000     -21.42000
     -19.20400      19.13000     -20.10000
     -19.17600      19.15000     -18.67000
     -19.14800      23.15000     -21.22000
