#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  96 500
# Band-Index    1
   0.00000    -21.706255    -21.706255
   0.01008    -21.706223    -21.706223
   0.02017    -21.706129    -21.706129
   0.03025    -21.705974    -21.705974
   0.04033    -21.705761    -21.705761
   0.05042    -21.705502    -21.705502
   0.06050    -21.705201    -21.705201
   0.07058    -21.704870    -21.704870
   0.08067    -21.704522    -21.704522
   0.09075    -21.704168    -21.704168
   0.10083    -21.703826    -21.703826
   0.11092    -21.703512    -21.703512
   0.12100    -21.703243    -21.703243
   0.13108    -21.703037    -21.703037
   0.14117    -21.702907    -21.702907
   0.15125    -21.702862    -21.702862
   0.15125    -21.702862    -21.702862
   0.15453    -21.702864    -21.702864
   0.15780    -21.702871    -21.702871
   0.16108    -21.702881    -21.702881
   0.16435    -21.702896    -21.702896
   0.16763    -21.702914    -21.702914
   0.17091    -21.702936    -21.702936
   0.17418    -21.702962    -21.702962
   0.17746    -21.702991    -21.702991
   0.18074    -21.703022    -21.703022
   0.18401    -21.703056    -21.703056
   0.18729    -21.703093    -21.703093
   0.19056    -21.703133    -21.703133
   0.19384    -21.703174    -21.703174
   0.19712    -21.703217    -21.703217
   0.20039    -21.703262    -21.703262
   0.20039    -21.703262    -21.703262
   0.20897    -21.703324    -21.703324
   0.21755    -21.703431    -21.703431
   0.22612    -21.703577    -21.703577
   0.23470    -21.703753    -21.703753
   0.24328    -21.703952    -21.703952
   0.25186    -21.704164    -21.704164
   0.26043    -21.704381    -21.704381
   0.26901    -21.704595    -21.704595
   0.27759    -21.704795    -21.704795
   0.28617    -21.704979    -21.704979
   0.29474    -21.705137    -21.705137
   0.30332    -21.705267    -21.705267
   0.31190    -21.705359    -21.705359
   0.32048    -21.705418    -21.705418
   0.32905    -21.705438    -21.705438
   0.32905    -21.705438    -21.705438
   0.33763    -21.705418    -21.705418
   0.34621    -21.705359    -21.705359
   0.35479    -21.705267    -21.705267
   0.36336    -21.705137    -21.705137
   0.37194    -21.704979    -21.704979
   0.38052    -21.704795    -21.704795
   0.38909    -21.704595    -21.704595
   0.39767    -21.704381    -21.704381
   0.40625    -21.704164    -21.704164
   0.41483    -21.703952    -21.703952
   0.42340    -21.703753    -21.703753
   0.43198    -21.703577    -21.703577
   0.44056    -21.703431    -21.703431
   0.44914    -21.703324    -21.703324
   0.45771    -21.703262    -21.703262
   0.45771    -21.703262    -21.703262
   0.46099    -21.703298    -21.703298
   0.46427    -21.703336    -21.703336
   0.46754    -21.703374    -21.703374
   0.47082    -21.703411    -21.703411
   0.47409    -21.703448    -21.703448
   0.47737    -21.703484    -21.703484
   0.48065    -21.703517    -21.703517
   0.48392    -21.703546    -21.703546
   0.48720    -21.703572    -21.703572
   0.49048    -21.703595    -21.703595
   0.49375    -21.703613    -21.703613
   0.49703    -21.703628    -21.703628
   0.50030    -21.703640    -21.703640
   0.50358    -21.703646    -21.703646
   0.50686    -21.703649    -21.703649
   0.50686    -21.703649    -21.703649
   0.51694    -21.703679    -21.703679
   0.52702    -21.703771    -21.703771
   0.53711    -21.703920    -21.703920
   0.54719    -21.704116    -21.704116
   0.55727    -21.704348    -21.704348
   0.56736    -21.704606    -21.704606
   0.57744    -21.704877    -21.704877
   0.58752    -21.705148    -21.705148
   0.59761    -21.705409    -21.705409
   0.60769    -21.705647    -21.705647
   0.61777    -21.705856    -21.705856
   0.62786    -21.706026    -21.706026
   0.63794    -21.706152    -21.706152
   0.64802    -21.706228    -21.706228
   0.65811    -21.706255    -21.706255
 
 
# Band-Index    2
   0.65811    -21.690537    -21.690537
   0.64802    -21.690537    -21.690537
   0.63794    -21.690541    -21.690541
   0.62786    -21.690547    -21.690547
   0.61777    -21.690557    -21.690557
   0.60769    -21.690572    -21.690572
   0.59761    -21.690592    -21.690592
   0.58752    -21.690616    -21.690616
   0.57744    -21.690647    -21.690647
   0.56736    -21.690681    -21.690681
   0.55727    -21.690717    -21.690717
   0.54719    -21.690753    -21.690753
   0.53711    -21.690786    -21.690786
   0.52702    -21.690812    -21.690812
   0.51694    -21.690829    -21.690829
   0.50686    -21.690837    -21.690837
   0.50686    -21.690837    -21.690837
   0.50358    -21.690840    -21.690840
   0.50030    -21.690851    -21.690851
   0.49703    -21.690869    -21.690869
   0.49375    -21.690894    -21.690894
   0.49048    -21.690926    -21.690926
   0.48720    -21.690964    -21.690964
   0.48392    -21.691008    -21.691008
   0.48065    -21.691056    -21.691056
   0.47737    -21.691109    -21.691109
   0.47409    -21.691166    -21.691166
   0.47082    -21.691226    -21.691226
   0.46754    -21.691288    -21.691288
   0.46427    -21.691352    -21.691352
   0.46099    -21.691417    -21.691417
   0.45771    -21.691482    -21.691482
   0.45771    -21.691482    -21.691482
   0.44914    -21.691530    -21.691530
   0.44056    -21.691570    -21.691570
   0.43198    -21.691603    -21.691603
   0.42340    -21.691629    -21.691629
   0.41483    -21.691650    -21.691650
   0.40625    -21.691668    -21.691668
   0.39767    -21.691686    -21.691686
   0.38909    -21.691702    -21.691702
   0.38052    -21.691717    -21.691717
   0.37194    -21.691732    -21.691732
   0.36336    -21.691744    -21.691744
   0.35479    -21.691755    -21.691755
   0.34621    -21.691762    -21.691762
   0.33763    -21.691768    -21.691768
   0.32905    -21.691770    -21.691770
   0.32905    -21.691770    -21.691770
   0.32048    -21.691768    -21.691768
   0.31190    -21.691762    -21.691762
   0.30332    -21.691755    -21.691755
   0.29474    -21.691744    -21.691744
   0.28617    -21.691732    -21.691732
   0.27759    -21.691717    -21.691717
   0.26901    -21.691702    -21.691702
   0.26043    -21.691686    -21.691686
   0.25186    -21.691668    -21.691668
   0.24328    -21.691650    -21.691650
   0.23470    -21.691629    -21.691629
   0.22612    -21.691603    -21.691603
   0.21755    -21.691570    -21.691570
   0.20897    -21.691530    -21.691530
   0.20039    -21.691482    -21.691482
   0.20039    -21.691482    -21.691482
   0.19712    -21.691532    -21.691532
   0.19384    -21.691581    -21.691581
   0.19056    -21.691628    -21.691628
   0.18729    -21.691674    -21.691674
   0.18401    -21.691717    -21.691717
   0.18074    -21.691757    -21.691757
   0.17746    -21.691795    -21.691795
   0.17418    -21.691828    -21.691828
   0.17091    -21.691857    -21.691857
   0.16763    -21.691883    -21.691883
   0.16435    -21.691903    -21.691903
   0.16108    -21.691920    -21.691920
   0.15780    -21.691932    -21.691932
   0.15453    -21.691939    -21.691939
   0.15125    -21.691940    -21.691940
   0.15125    -21.691940    -21.691940
   0.14117    -21.691918    -21.691918
   0.13108    -21.691853    -21.691853
   0.12100    -21.691752    -21.691752
   0.11092    -21.691624    -21.691624
   0.10083    -21.691479    -21.691479
   0.09075    -21.691328    -21.691328
   0.08067    -21.691177    -21.691177
   0.07058    -21.691035    -21.691035
   0.06050    -21.690907    -21.690907
   0.05042    -21.690795    -21.690795
   0.04033    -21.690703    -21.690703
   0.03025    -21.690631    -21.690631
   0.02017    -21.690579    -21.690579
   0.01008    -21.690547    -21.690547
   0.00000    -21.690537    -21.690537
 
 
# Band-Index    3
   0.00000    -21.579389    -21.579389
   0.01008    -21.579327    -21.579327
   0.02017    -21.579143    -21.579143
   0.03025    -21.578840    -21.578840
   0.04033    -21.578426    -21.578426
   0.05042    -21.577915    -21.577915
   0.06050    -21.577323    -21.577323
   0.07058    -21.576668    -21.576668
   0.08067    -21.575978    -21.575978
   0.09075    -21.575283    -21.575283
   0.10083    -21.574619    -21.574619
   0.11092    -21.574027    -21.574027
   0.12100    -21.573542    -21.573542
   0.13108    -21.573191    -21.573190
   0.14117    -21.572981    -21.572981
   0.15125    -21.572912    -21.572912
   0.15125    -21.572912    -21.572912
   0.15453    -21.572911    -21.572910
   0.15780    -21.572907    -21.572907
   0.16108    -21.572900    -21.572900
   0.16435    -21.572892    -21.572891
   0.16763    -21.572881    -21.572881
   0.17091    -21.572867    -21.572867
   0.17418    -21.572850    -21.572850
   0.17746    -21.572832    -21.572832
   0.18074    -21.572811    -21.572811
   0.18401    -21.572790    -21.572790
   0.18729    -21.572767    -21.572767
   0.19056    -21.572744    -21.572744
   0.19384    -21.572719    -21.572719
   0.19712    -21.572695    -21.572695
   0.20039    -21.572674    -21.572674
   0.20039    -21.572674    -21.572674
   0.20897    -21.572719    -21.572719
   0.21755    -21.572828    -21.572828
   0.22612    -21.572987    -21.572987
   0.23470    -21.573182    -21.573182
   0.24328    -21.573402    -21.573402
   0.25186    -21.573638    -21.573638
   0.26043    -21.573880    -21.573880
   0.26901    -21.574120    -21.574120
   0.27759    -21.574348    -21.574348
   0.28617    -21.574556    -21.574556
   0.29474    -21.574737    -21.574737
   0.30332    -21.574885    -21.574885
   0.31190    -21.574993    -21.574993
   0.32048    -21.575060    -21.575060
   0.32905    -21.575083    -21.575083
   0.32905    -21.575083    -21.575083
   0.33763    -21.575060    -21.575060
   0.34621    -21.574993    -21.574993
   0.35479    -21.574885    -21.574885
   0.36336    -21.574737    -21.574737
   0.37194    -21.574556    -21.574556
   0.38052    -21.574348    -21.574348
   0.38909    -21.574120    -21.574120
   0.39767    -21.573880    -21.573880
   0.40625    -21.573638    -21.573638
   0.41483    -21.573402    -21.573402
   0.42340    -21.573182    -21.573182
   0.43198    -21.572987    -21.572987
   0.44056    -21.572828    -21.572828
   0.44914    -21.572719    -21.572719
   0.45771    -21.572674    -21.572674
   0.45771    -21.572674    -21.572674
   0.46099    -21.572653    -21.572653
   0.46427    -21.572635    -21.572635
   0.46754    -21.572619    -21.572619
   0.47082    -21.572605    -21.572605
   0.47409    -21.572593    -21.572593
   0.47737    -21.572583    -21.572583
   0.48065    -21.572576    -21.572576
   0.48392    -21.572570    -21.572570
   0.48720    -21.572565    -21.572565
   0.49048    -21.572562    -21.572562
   0.49375    -21.572560    -21.572560
   0.49703    -21.572558    -21.572558
   0.50030    -21.572557    -21.572557
   0.50358    -21.572557    -21.572557
   0.50686    -21.572556    -21.572556
   0.50686    -21.572556    -21.572556
   0.51694    -21.572705    -21.572705
   0.52702    -21.573083    -21.573083
   0.53711    -21.573589    -21.573589
   0.54719    -21.574175    -21.574175
   0.55727    -21.574813    -21.574813
   0.56736    -21.575479    -21.575479
   0.57744    -21.576153    -21.576153
   0.58752    -21.576810    -21.576810
   0.59761    -21.577430    -21.577430
   0.60769    -21.577989    -21.577989
   0.61777    -21.578473    -21.578473
   0.62786    -21.578866    -21.578866
   0.63794    -21.579155    -21.579155
   0.64802    -21.579330    -21.579330
   0.65811    -21.579389    -21.579389
 
 
# Band-Index    4
   0.65811    -21.552161    -21.552161
   0.64802    -21.553272    -21.553272
   0.63794    -21.554992    -21.554992
   0.62786    -21.556784    -21.556784
   0.61777    -21.558566    -21.558566
   0.60769    -21.560294    -21.560294
   0.59761    -21.561935    -21.561935
   0.58752    -21.563465    -21.563465
   0.57744    -21.564867    -21.564867
   0.56736    -21.566124    -21.566124
   0.55727    -21.567231    -21.567231
   0.54719    -21.568186    -21.568186
   0.53711    -21.568988    -21.568988
   0.52702    -21.569631    -21.569631
   0.51694    -21.570082    -21.570082
   0.50686    -21.570254    -21.570254
   0.50686    -21.570254    -21.570254
   0.50358    -21.570241    -21.570241
   0.50030    -21.570201    -21.570201
   0.49703    -21.570136    -21.570136
   0.49375    -21.570045    -21.570045
   0.49048    -21.569929    -21.569929
   0.48720    -21.569788    -21.569788
   0.48392    -21.569623    -21.569623
   0.48065    -21.569436    -21.569436
   0.47737    -21.569227    -21.569227
   0.47409    -21.568999    -21.568999
   0.47082    -21.568754    -21.568754
   0.46754    -21.568494    -21.568494
   0.46427    -21.568221    -21.568220
   0.46099    -21.567937    -21.567937
   0.45771    -21.567647    -21.567647
   0.45771    -21.567647    -21.567647
   0.44914    -21.567189    -21.567189
   0.44056    -21.566612    -21.566612
   0.43198    -21.565933    -21.565933
   0.42340    -21.565168    -21.565168
   0.41483    -21.564334    -21.564334
   0.40625    -21.563453    -21.563453
   0.39767    -21.562549    -21.562549
   0.38909    -21.561649    -21.561649
   0.38052    -21.560784    -21.560784
   0.37194    -21.559989    -21.559989
   0.36336    -21.559292    -21.559292
   0.35479    -21.558721    -21.558721
   0.34621    -21.558297    -21.558297
   0.33763    -21.558039    -21.558039
   0.32905    -21.557951    -21.557951
   0.32905    -21.557951    -21.557951
   0.32048    -21.558039    -21.558039
   0.31190    -21.558297    -21.558297
   0.30332    -21.558721    -21.558721
   0.29474    -21.559292    -21.559292
   0.28617    -21.559989    -21.559989
   0.27759    -21.560784    -21.560784
   0.26901    -21.561649    -21.561649
   0.26043    -21.562549    -21.562549
   0.25186    -21.563453    -21.563453
   0.24328    -21.564334    -21.564334
   0.23470    -21.565168    -21.565168
   0.22612    -21.565933    -21.565933
   0.21755    -21.566612    -21.566612
   0.20897    -21.567189    -21.567189
   0.20039    -21.567647    -21.567647
   0.20039    -21.567647    -21.567647
   0.19712    -21.567446    -21.567446
   0.19384    -21.567248    -21.567248
   0.19056    -21.567053    -21.567053
   0.18729    -21.566866    -21.566866
   0.18401    -21.566687    -21.566687
   0.18074    -21.566519    -21.566519
   0.17746    -21.566364    -21.566364
   0.17418    -21.566224    -21.566224
   0.17091    -21.566098    -21.566098
   0.16763    -21.565990    -21.565990
   0.16435    -21.565901    -21.565901
   0.16108    -21.565830    -21.565830
   0.15780    -21.565779    -21.565779
   0.15453    -21.565748    -21.565748
   0.15125    -21.565738    -21.565738
   0.15125    -21.565738    -21.565738
   0.14117    -21.565678    -21.565678
   0.13108    -21.565490    -21.565490
   0.12100    -21.565145    -21.565145
   0.11092    -21.564620    -21.564620
   0.10083    -21.563903    -21.563903
   0.09075    -21.563005    -21.563005
   0.08067    -21.561943    -21.561943
   0.07058    -21.560743    -21.560743
   0.06050    -21.559440    -21.559440
   0.05042    -21.558065    -21.558065
   0.04033    -21.556661    -21.556661
   0.03025    -21.555270    -21.555270
   0.02017    -21.553944    -21.553944
   0.01008    -21.552778    -21.552778
   0.00000    -21.552161    -21.552161
 
 
# Band-Index    5
   0.00000    -21.550518    -21.550518
   0.01008    -21.550059    -21.550059
   0.02017    -21.549375    -21.549375
   0.03025    -21.548829    -21.548829
   0.04033    -21.548489    -21.548489
   0.05042    -21.548368    -21.548368
   0.06050    -21.548453    -21.548453
   0.07058    -21.548718    -21.548718
   0.08067    -21.549128    -21.549128
   0.09075    -21.549635    -21.549635
   0.10083    -21.550192    -21.550192
   0.11092    -21.550749    -21.550749
   0.12100    -21.551253    -21.551253
   0.13108    -21.551660    -21.551660
   0.14117    -21.551923    -21.551923
   0.15125    -21.552014    -21.552014
   0.15125    -21.552014    -21.552014
   0.15453    -21.552015    -21.552015
   0.15780    -21.552018    -21.552018
   0.16108    -21.552022    -21.552022
   0.16435    -21.552028    -21.552028
   0.16763    -21.552035    -21.552035
   0.17091    -21.552041    -21.552041
   0.17418    -21.552045    -21.552045
   0.17746    -21.552048    -21.552048
   0.18074    -21.552047    -21.552047
   0.18401    -21.552041    -21.552041
   0.18729    -21.552031    -21.552031
   0.19056    -21.552017    -21.552017
   0.19384    -21.551996    -21.551996
   0.19712    -21.551969    -21.551969
   0.20039    -21.551936    -21.551936
   0.20039    -21.551936    -21.551936
   0.20897    -21.551852    -21.551852
   0.21755    -21.551657    -21.551657
   0.22612    -21.551357    -21.551357
   0.23470    -21.550964    -21.550964
   0.24328    -21.550486    -21.550486
   0.25186    -21.549930    -21.549930
   0.26043    -21.549303    -21.549303
   0.26901    -21.548608    -21.548608
   0.27759    -21.547851    -21.547851
   0.28617    -21.547040    -21.547040
   0.29474    -21.546187    -21.546187
   0.30332    -21.545318    -21.545318
   0.31190    -21.544484    -21.544484
   0.32048    -21.543799    -21.543798
   0.32905    -21.543504    -21.543504
   0.32905    -21.543504    -21.543504
   0.33763    -21.543799    -21.543798
   0.34621    -21.544484    -21.544484
   0.35479    -21.545318    -21.545318
   0.36336    -21.546187    -21.546187
   0.37194    -21.547040    -21.547040
   0.38052    -21.547851    -21.547851
   0.38909    -21.548608    -21.548608
   0.39767    -21.549303    -21.549303
   0.40625    -21.549930    -21.549930
   0.41483    -21.550486    -21.550486
   0.42340    -21.550964    -21.550964
   0.43198    -21.551357    -21.551357
   0.44056    -21.551657    -21.551657
   0.44914    -21.551852    -21.551852
   0.45771    -21.551936    -21.551936
   0.45771    -21.551936    -21.551936
   0.46099    -21.551905    -21.551905
   0.46427    -21.551874    -21.551874
   0.46754    -21.551845    -21.551845
   0.47082    -21.551816    -21.551816
   0.47409    -21.551789    -21.551789
   0.47737    -21.551765    -21.551765
   0.48065    -21.551743    -21.551743
   0.48392    -21.551723    -21.551723
   0.48720    -21.551705    -21.551705
   0.49048    -21.551691    -21.551691
   0.49375    -21.551678    -21.551678
   0.49703    -21.551669    -21.551669
   0.50030    -21.551662    -21.551662
   0.50358    -21.551658    -21.551658
   0.50686    -21.551656    -21.551656
   0.50686    -21.551656    -21.551656
   0.51694    -21.551542    -21.551542
   0.52702    -21.551205    -21.551205
   0.53711    -21.550661    -21.550661
   0.54719    -21.549943    -21.549943
   0.55727    -21.549095    -21.549095
   0.56736    -21.548183    -21.548183
   0.57744    -21.547293    -21.547293
   0.58752    -21.546536    -21.546536
   0.59761    -21.546044    -21.546044
   0.60769    -21.545938    -21.545938
   0.61777    -21.546282    -21.546282
   0.62786    -21.547061    -21.547060
   0.63794    -21.548186    -21.548186
   0.64802    -21.549527    -21.549527
   0.65811    -21.550518    -21.550518
 
 
# Band-Index    6
   0.65811    -21.533737    -21.533737
   0.64802    -21.533818    -21.533818
   0.63794    -21.534046    -21.534046
   0.62786    -21.534356    -21.534356
   0.61777    -21.534655    -21.534655
   0.60769    -21.534849    -21.534849
   0.59761    -21.534887    -21.534887
   0.58752    -21.534783    -21.534783
   0.57744    -21.534606    -21.534606
   0.56736    -21.534420    -21.534420
   0.55727    -21.534267    -21.534267
