      #Energy        TDOS-UP        TDOS-DOWN
     -23.00100       0.00000       0.00000
     -22.97200       0.00000       0.00000
     -22.94400       0.00000       0.00000
     -22.91500       0.00000       0.00000
     -22.88700       0.00000       0.00000
     -22.85800       0.00000       0.00000
     -22.83000       0.00000       0.00000
     -22.80100       0.00000       0.00000
     -22.77300       0.00000       0.00000
     -22.74400       0.00000       0.00000
     -22.71600       0.00000       0.00000
     -22.68700       0.00000       0.00000
     -22.65900       0.00000       0.00000
     -22.63000       0.00000       0.00000
     -22.60200       0.00000       0.00000
     -22.57300       0.00000       0.00000
     -22.54500       0.00000       0.00000
     -22.51600       0.00000       0.00000
     -22.48800       0.00000       0.00000
     -22.45900       0.00000       0.00000
     -22.43100       0.00000       0.00000
     -22.40200       0.00000       0.00000
     -22.37400       0.00000       0.00000
     -22.34500       0.00000       0.00000
     -22.31700       0.00000       0.00000
     -22.28800       0.00000       0.00000
     -22.26000       0.00000       0.00000
     -22.23100       0.00000       0.00000
     -22.20300       0.00000       0.00000
     -22.17400       0.00000       0.00000
     -22.14600       0.00000       0.00000
     -22.11700       0.00000       0.00000
     -22.08800       0.00000       0.00000
     -22.06000       0.00000       0.00000
     -22.03100       0.00000       0.00000
     -22.00300       0.00000       0.00000
     -21.97400       0.00000      -0.00000
     -21.94600       0.00000      -0.00000
     -21.91700       0.00000      -0.00000
     -21.88900       0.00000      -0.00000
     -21.86000       0.00001      -0.00001
     -21.83200       0.00019      -0.00019
     -21.80300       0.00345      -0.00345
     -21.77500       0.03501      -0.03501
     -21.74600       0.20744      -0.20744
     -21.71800       0.75049      -0.75049
     -21.68900       1.75904      -1.75904
     -21.66100       2.89045      -2.89045
     -21.63200       3.72840      -3.72840
     -21.60400       4.43849      -4.43849
     -21.57500       5.64944      -5.64944
     -21.54700       7.61595      -7.61595
     -21.51800       9.73454      -9.73454
     -21.49000      11.19777     -11.19777
     -21.46100      11.91014     -11.91014
     -21.43300      12.45774     -12.45774
     -21.40400      13.52531     -13.52531
     -21.37600      15.37651     -15.37651
     -21.34700      17.66214     -17.66214
     -21.31900      19.89347     -19.89347
     -21.29000      21.89162     -21.89162
     -21.26200      23.59958     -23.59958
     -21.23300      24.97943     -24.97943
     -21.20500      26.19023     -26.19023
     -21.17600      27.46019     -27.46019
     -21.14800      28.69437     -28.69437
     -21.11900      29.56510     -29.56510
     -21.09100      30.08548     -30.08548
     -21.06200      30.69680     -30.69680
     -21.03400      31.70236     -31.70236
     -21.00500      32.83377     -32.83377
     -20.97700      33.60501     -33.60501
     -20.94800      33.91663     -33.91663
     -20.92000      33.98987     -33.98987
     -20.89100      34.00245     -34.00245
     -20.86300      34.02810     -34.02810
     -20.83400      34.14974     -34.14974
     -20.80600      34.49169     -34.49169
     -20.77700      35.07749     -35.07749
