      #Energy        TDOS-UP        TDOS-DOWN
     -22.97500       0.00000       0.00000
     -22.94700       0.00000       0.00000
     -22.91800       0.00000       0.00000
     -22.89000       0.00000       0.00000
     -22.86100       0.00000       0.00000
     -22.83300       0.00000       0.00000
     -22.80400       0.00000       0.00000
     -22.77600       0.00000       0.00000
     -22.74700       0.00000       0.00000
     -22.71900       0.00000       0.00000
     -22.69000       0.00000       0.00000
     -22.66200       0.00000       0.00000
     -22.63300       0.00000       0.00000
     -22.60500       0.00000       0.00000
     -22.57600       0.00000       0.00000
     -22.54800       0.00000       0.00000
     -22.51900       0.00000       0.00000
     -22.49100       0.00000       0.00000
     -22.46300       0.00000       0.00000
     -22.43400       0.00000       0.00000
     -22.40600       0.00000       0.00000
     -22.37700       0.00000       0.00000
     -22.34900       0.00000       0.00000
     -22.32000       0.00000       0.00000
     -22.29200       0.00000       0.00000
     -22.26300       0.00000       0.00000
     -22.23500       0.00000       0.00000
     -22.20600       0.00000       0.00000
     -22.17800       0.00000       0.00000
     -22.14900       0.00000       0.00000
     -22.12100       0.00000       0.00000
     -22.09200       0.00000       0.00000
     -22.06400       0.00000       0.00000
     -22.03500       0.00000       0.00000
     -22.00700       0.00000       0.00000
     -21.97800       0.00000       0.00000
     -21.95000       0.00000      -0.00000
     -21.92100       0.00000      -0.00000
     -21.89300       0.00000      -0.00000
     -21.86400       0.00001      -0.00000
     -21.83600       0.00037      -0.00011
     -21.80700       0.01173      -0.00434
     -21.77900       0.20290      -0.09043
     -21.75000       1.90800      -1.02200
     -21.72200       9.79900      -6.30600
     -21.69400      27.59000     -21.33000
     -21.66500      42.86000     -39.76000
     -21.63700      38.44000     -41.84000
     -21.60800      29.46000     -31.24000
     -21.58000      45.16000     -39.11000
     -21.55100      76.22000     -70.29000
     -21.52300      80.22000     -84.21000
     -21.49400      49.70000     -58.10000
     -21.46600      23.00000     -24.23000
     -21.43700      25.39000     -14.03000
     -21.40900      50.48000     -30.71000
     -21.38000      74.38000     -61.52000
     -21.35200      80.16000     -81.37000
     -21.32300      74.09000     -80.54000
     -21.29500      62.83000     -72.66000
     -21.26600      47.48000     -61.37000
     -21.23800      39.18000     -49.06000
     -21.20900      43.15000     -46.05000
     -21.18100      50.40000     -50.40000
     -21.15200      46.04000     -46.88000
     -21.12400      30.37000     -29.58000
     -21.09500      26.00000     -16.30000
     -21.06700      38.44000     -22.85000
     -21.03800      42.66000     -39.67000
     -21.01000      26.87000     -41.10000
     -20.98100       9.30200     -23.46000
     -20.95300       1.75900      -7.33200
     -20.92500       0.18190      -1.25100
     -20.89600       0.03253      -0.13050
     -20.86800       0.30330      -0.22190
