      #Energy        TDOS-UP        TDOS-DOWN
     -22.55500       0.00000       0.00000
     -22.52700       0.00000       0.00000
     -22.49900       0.00000       0.00000
     -22.47100       0.00000       0.00000
     -22.44200       0.00000       0.00000
     -22.41400       0.00000       0.00000
     -22.38600       0.00000       0.00000
     -22.35800       0.00000       0.00000
     -22.32900       0.00000       0.00000
     -22.30100       0.00000       0.00000
     -22.27300       0.00000       0.00000
     -22.24500       0.00000       0.00000
     -22.21700       0.00000       0.00000
     -22.18800       0.00000       0.00000
     -22.16000       0.00000       0.00000
     -22.13200       0.00000       0.00000
     -22.10400       0.00000       0.00000
     -22.07500       0.00000       0.00000
     -22.04700       0.00000       0.00000
     -22.01900       0.00000       0.00000
     -21.99100       0.00000       0.00000
     -21.96200       0.00000       0.00000
     -21.93400       0.00000       0.00000
     -21.90600       0.00000       0.00000
     -21.87800       0.00000       0.00000
     -21.85000       0.00000       0.00000
     -21.82100       0.00000       0.00000
     -21.79300       0.00000       0.00000
     -21.76500       0.00000       0.00000
     -21.73700       0.00000       0.00000
     -21.70800       0.00000       0.00000
     -21.68000       0.00000       0.00000
     -21.65200       0.00000       0.00000
     -21.62400       0.00000       0.00000
     -21.59500       0.00000       0.00000
     -21.56700       0.00000      -0.00000
     -21.53900       0.00000      -0.00000
     -21.51100       0.00000      -0.00000
     -21.48300       0.00000      -0.00000
     -21.45400       0.00000      -0.00000
     -21.42600       0.00000      -0.00000
     -21.39800       0.00008      -0.00008
     -21.37000       0.00140      -0.00140
     -21.34100       0.01517      -0.01517
     -21.31300       0.10117      -0.10117
     -21.28500       0.43507      -0.43507
     -21.25700       1.27691      -1.27691
     -21.22800       2.73179      -2.73179
     -21.20000       4.59348      -4.59348
     -21.17200       6.54409      -6.54409
     -21.14400       8.36555      -8.36555
     -21.11600       9.91401      -9.91401
     -21.08700      11.11891     -11.11891
     -21.05900      12.07749     -12.07749
     -21.03100      13.01560     -13.01560
     -21.00300      14.08216     -14.08216
     -20.97400      15.24640     -15.24640
     -20.94600      16.37917     -16.37917
     -20.91800      17.33450     -17.33450
     -20.89000      18.07062     -18.07062
     -20.86100      18.69594     -18.69594
     -20.83300      19.26959     -19.26959
     -20.80500      19.73850     -19.73850
     -20.77700      20.16987     -20.16987
     -20.74900      20.82285     -20.82285
     -20.72000      21.80613     -21.80613
     -20.69200      22.83162     -22.83162
     -20.66400      23.53937     -23.53937
     -20.63600      23.86911     -23.86911
     -20.60700      23.97441     -23.97441
     -20.57900      23.99740     -23.99740
     -20.55100      24.00689     -24.00689
     -20.52300      24.06638     -24.06638
     -20.49400      24.37919     -24.37919
     -20.46600      25.35005     -25.35005
     -20.43800      27.20355     -27.20355
     -20.41000      29.52173     -29.52173
     -20.38200      31.58965     -31.58965
     -20.35300      33.03747     -33.03747
     -20.32500      33.91517     -33.91517
     -20.29700      34.49122     -34.49122
     -20.26900      35.08364     -35.08364
     -20.24000      35.92097     -35.92097
     -20.21200      36.98048     -36.98048
     -20.18400      37.98521     -37.98521
     -20.15600      38.73743     -38.73743
     -20.12700      39.31136     -39.31136
     -20.09900      39.87838     -39.87838
     -20.07100      40.57455     -40.57455
     -20.04300      41.44025     -41.44025
     -20.01500      42.34279     -42.34279
     -19.98600      43.09006     -43.09006
     -19.95800      43.59243     -43.59243
     -19.93000      43.86184     -43.86184
     -19.90200      43.96771     -43.96771
     -19.87300      43.99543     -43.99543
     -19.84500      43.99993     -43.99993
     -19.81700      44.00036     -44.00036
     -19.78900      44.00039     -44.00039
     -19.76000      44.00039     -44.00039
     -19.73200      44.00039     -44.00039
     -19.70400      44.00039     -44.00039
     -19.67600      44.00039     -44.00039
     -19.64800      44.00039     -44.00039
     -19.61900      44.00040     -44.00040
     -19.59100      44.00068     -44.00068
     -19.56300      44.00459     -44.00459
     -19.53500      44.03502     -44.03502
     -19.50600      44.17014     -44.17014
     -19.47800      44.52082     -44.52082
     -19.45000      45.06695     -45.06695
     -19.42200      45.59501     -45.59501
     -19.39300      45.95043     -45.95043
     -19.36500      46.21160     -46.21160
     -19.33700      46.52640     -46.52640
     -19.30900      46.95113     -46.95113
     -19.28100      47.49006     -47.49006
     -19.25200      48.13048     -48.13048
     -19.22400      48.79066     -48.79066
     -19.19600      49.37490     -49.37490
     -19.16800      49.90521     -49.90521
     -19.13900      50.49496     -50.49496
     -19.11100      51.17942     -51.17942
     -19.08300      51.86063     -51.86063
     -19.05500      52.42906     -52.42906
     -19.02600      52.85421     -52.85421
     -18.99800      53.18635     -53.18635
     -18.97000      53.49407     -53.49407
     -18.94200      53.78146     -53.78146
     -18.91400      54.05868     -54.05868
     -18.88500      54.46958     -54.46958
     -18.85700      55.17028     -55.17028
     -18.82900      56.08990     -56.08990
     -18.80100      57.01149     -57.01149
     -18.77200      57.87352     -57.87352
     -18.74400      58.75306     -58.75306
     -18.71600      59.67127     -59.67127
     -18.68800      60.69139     -60.69139
     -18.65900      61.89163     -61.89163
     -18.63100      63.08467     -63.08467
     -18.60300      64.00556     -64.00556
     -18.57500      64.65628     -64.65628
     -18.54700      65.18335     -65.18335
     -18.51800      65.70901     -65.70901
     -18.49000      66.34773     -66.34773
     -18.46200      67.15867     -67.15867
     -18.43400      68.05598     -68.05598
     -18.40500      68.89783     -68.89783
     -18.37700      69.66910     -69.66910
     -18.34900      70.46351     -70.46351
     -18.32100      71.31679     -71.31679
     -18.29200      72.17304     -72.17304
     -18.26400      73.00359     -73.00359
     -18.23600      73.86181     -73.86181
     -18.20800      74.79216     -74.79216
     -18.18000      75.74481     -75.74481
     -18.15100      76.63309     -76.63309
     -18.12300      77.40563     -77.40563
     -18.09500      78.04323     -78.04323
     -18.06700      78.57199     -78.57199
     -18.03800      79.06730     -79.06730
     -18.01000      79.58506     -79.58506
     -17.98200      80.10422     -80.10422
     -17.95400      80.56650     -80.56650
     -17.92500      80.95171     -80.95171
     -17.89700      81.31970     -81.31970
     -17.86900      81.78100     -81.78100
     -17.84100      82.46150     -82.46150
     -17.81300      83.54811     -83.54811
     -17.78400      85.15374     -85.15374
     -17.75600      87.03759     -87.03759
     -17.72800      88.81289     -88.81289
     -17.70000      90.34710     -90.34710
     -17.67100      91.65532     -91.65532
     -17.64300      92.71892     -92.71892
     -17.61500      93.59958     -93.59958
     -17.58700      94.50057     -94.50057
     -17.55800      95.58717     -95.58717
     -17.53000      96.83554     -96.83554
     -17.50200      98.13487     -98.13487
     -17.47400      99.41232     -99.41232
     -17.44600     100.62371    -100.62371
     -17.41700     101.72231    -101.72231
     -17.38900     102.64518    -102.64518
     -17.36100     103.33204    -103.33204
     -17.33300     103.77244    -103.77244
     -17.30400     104.05691    -104.05691
     -17.27600     104.37102    -104.37102
     -17.24800     104.91108    -104.91108
     -17.22000     105.80035    -105.80035
     -17.19100     107.02246    -107.02246
     -17.16300     108.44558    -108.44558
     -17.13500     109.95495    -109.95495
     -17.10700     111.49748    -111.49748
     -17.07900     113.00784    -113.00784
     -17.05000     114.38452    -114.38452
     -17.02200     115.58772    -115.58772
     -16.99400     116.66007    -116.66007
     -16.96600     117.56995    -117.56995
     -16.93700     118.22236    -118.22236
     -16.90900     118.67067    -118.67067
     -16.88100     119.12561    -119.12561
     -16.85300     119.77055    -119.77055
     -16.82400     120.63046    -120.63046
     -16.79600     121.56617    -121.56617
     -16.76800     122.46646    -122.46646
     -16.74000     123.43562    -123.43562
