#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  96 512
# Band-Index    1
   0.00000    -21.281673    -21.267789
   0.01008    -21.281509    -21.267625
   0.02017    -21.281018    -21.267137
   0.03025    -21.280201    -21.266323
   0.04033    -21.279058    -21.265185
   0.05042    -21.277596    -21.263729
   0.06050    -21.275818    -21.261957
   0.07058    -21.273731    -21.259877
   0.08067    -21.271344    -21.257496
   0.09075    -21.268666    -21.254823
   0.10083    -21.265711    -21.251869
   0.11092    -21.262501    -21.248652
   0.12100    -21.259067    -21.245198
   0.13108    -21.255482    -21.241562
   0.14117    -21.251970    -21.237916
   0.15125    -21.249884    -21.235578
   0.15125    -21.249884    -21.235578
   0.15453    -21.249875    -21.235573
   0.15780    -21.249846    -21.235559
   0.16108    -21.249799    -21.235537
   0.16435    -21.249737    -21.235511
   0.16763    -21.249662    -21.235485
   0.17091    -21.249577    -21.235464
   0.17418    -21.249489    -21.235457
   0.17746    -21.249409    -21.235475
   0.18074    -21.249348    -21.235526
   0.18401    -21.249324    -21.235622
   0.18729    -21.249358    -21.235773
   0.19056    -21.249468    -21.235982
   0.19384    -21.249664    -21.236250
   0.19712    -21.249947    -21.236573
   0.20039    -21.250309    -21.236948
   0.20039    -21.250309    -21.236948
   0.20897    -21.253573    -21.240221
   0.21755    -21.256665    -21.243311
   0.22612    -21.259562    -21.246203
   0.23470    -21.262254    -21.248889
   0.24328    -21.264734    -21.251360
   0.25186    -21.266992    -21.253610
   0.26043    -21.269025    -21.255636
   0.26901    -21.270829    -21.257432
   0.27759    -21.272398    -21.258995
   0.28617    -21.273733    -21.260323
   0.29474    -21.274826    -21.261411
   0.30332    -21.275678    -21.262260
   0.31190    -21.276287    -21.262866
   0.32048    -21.276655    -21.263232
   0.32905    -21.276778    -21.263354
   0.32905    -21.276778    -21.263354
   0.33763    -21.276655    -21.263232
   0.34621    -21.276287    -21.262866
   0.35479    -21.275678    -21.262260
   0.36336    -21.274826    -21.261411
   0.37194    -21.273733    -21.260323
   0.38052    -21.272398    -21.258995
   0.38909    -21.270829    -21.257432
   0.39767    -21.269025    -21.255636
   0.40625    -21.266992    -21.253610
   0.41483    -21.264734    -21.251360
   0.42340    -21.262254    -21.248889
   0.43198    -21.259562    -21.246203
   0.44056    -21.256665    -21.243311
   0.44914    -21.253573    -21.240221
   0.45771    -21.250309    -21.236948
   0.45771    -21.250309    -21.236948
   0.46099    -21.249951    -21.236576
   0.46427    -21.249672    -21.236255
   0.46754    -21.249480    -21.235990
   0.47082    -21.249373    -21.235784
   0.47409    -21.249341    -21.235635
   0.47737    -21.249366    -21.235540
   0.48065    -21.249428    -21.235490
   0.48392    -21.249509    -21.235472
   0.48720    -21.249597    -21.235480
   0.49048    -21.249682    -21.235501
   0.49375    -21.249757    -21.235527
   0.49703    -21.249820    -21.235553
   0.50030    -21.249867    -21.235575
   0.50358    -21.249895    -21.235589
   0.50686    -21.249905    -21.235594
   0.50686    -21.249905    -21.235594
   0.51694    -21.251990    -21.237933
   0.52702    -21.255499    -21.241578
   0.53711    -21.259082    -21.245212
   0.54719    -21.262513    -21.248664
   0.55727    -21.265721    -21.251879
   0.56736    -21.268674    -21.254831
   0.57744    -21.271351    -21.257503
   0.58752    -21.273736    -21.259882
   0.59761    -21.275822    -21.261961
   0.60769    -21.277599    -21.263731
   0.61777    -21.279060    -21.265187
   0.62786    -21.280202    -21.266324
   0.63794    -21.281019    -21.267138
   0.64802    -21.281509    -21.267626
   0.65811    -21.281673    -21.267789
 
 
# Band-Index    2
   0.65811    -21.248817    -21.234997
   0.64802    -21.248698    -21.234877
   0.63794    -21.248347    -21.234522
   0.62786    -21.247761    -21.233929
   0.61777    -21.246941    -21.233099
   0.60769    -21.245891    -21.232035
   0.59761    -21.244617    -21.230739
   0.58752    -21.243130    -21.229218
   0.57744    -21.241453    -21.227490
   0.56736    -21.239641    -21.225593
   0.55727    -21.237832    -21.223639
   0.54719    -21.236429    -21.222009
   0.53711    -21.236484    -21.222015
   0.52702    -21.238755    -21.224683
   0.51694    -21.242032    -21.228330
   0.50686    -21.244109    -21.230727
   0.50686    -21.244109    -21.230727
   0.50358    -21.244127    -21.230737
   0.50030    -21.244176    -21.230764
   0.49703    -21.244257    -21.230807
   0.49375    -21.244369    -21.230864
   0.49048    -21.244506    -21.230929
   0.48720    -21.244665    -21.230996
   0.48392    -21.244840    -21.231058
   0.48065    -21.245019    -21.231104
   0.47737    -21.245190    -21.231124
   0.47409    -21.245334    -21.231108
   0.47082    -21.245431    -21.231045
   0.46754    -21.245460    -21.230931
   0.46427    -21.245409    -21.230764
   0.46099    -21.245276    -21.230546
   0.45771    -21.245067    -21.230280
   0.45771    -21.245067    -21.230280
   0.44914    -21.243594    -21.228462
   0.44056    -21.243550    -21.228296
   0.43198    -21.244690    -21.229529
   0.42340    -21.246436    -21.231405
   0.41483    -21.248391    -21.233460
   0.40625    -21.250345    -21.235483
   0.39767    -21.252197    -21.237382
   0.38909    -21.253891    -21.239106
   0.38052    -21.255392    -21.240628
   0.37194    -21.256685    -21.241935
   0.36336    -21.257754    -21.243014
   0.35479    -21.258594    -21.243861
   0.34621    -21.259195    -21.244466
   0.33763    -21.259560    -21.244832
   0.32905    -21.259681    -21.244954
   0.32905    -21.259681    -21.244954
   0.32048    -21.259560    -21.244832
   0.31190    -21.259195    -21.244466
   0.30332    -21.258594    -21.243861
   0.29474    -21.257754    -21.243014
   0.28617    -21.256685    -21.241935
   0.27759    -21.255392    -21.240628
   0.26901    -21.253891    -21.239106
   0.26043    -21.252197    -21.237382
   0.25186    -21.250345    -21.235483
   0.24328    -21.248391    -21.233460
   0.23470    -21.246436    -21.231405
   0.22612    -21.244690    -21.229529
   0.21755    -21.243550    -21.228296
   0.20897    -21.243594    -21.228462
   0.20039    -21.245067    -21.230280
   0.20039    -21.245067    -21.230280
   0.19712    -21.245276    -21.230545
   0.19384    -21.245410    -21.230762
   0.19056    -21.245460    -21.230927
   0.18729    -21.245430    -21.231039
   0.18401    -21.245331    -21.231099
   0.18074    -21.245184    -21.231113
   0.17746    -21.245010    -21.231090
   0.17418    -21.244827    -21.231040
   0.17091    -21.244650    -21.230975
   0.16763    -21.244488    -21.230906
   0.16435    -21.244348    -21.230838
   0.16108    -21.244234    -21.230779
   0.15780    -21.244152    -21.230735
   0.15453    -21.244101    -21.230707
   0.15125    -21.244084    -21.230697
   0.15125    -21.244084    -21.230697
   0.14117    -21.242006    -21.228300
   0.13108    -21.238730    -21.224653
   0.12100    -21.236472    -21.221995
   0.11092    -21.236439    -21.222015
   0.10083    -21.237850    -21.223656
   0.09075    -21.239661    -21.225612
   0.08067    -21.241471    -21.227507
   0.07058    -21.243144    -21.229232
   0.06050    -21.244629    -21.230749
   0.05042    -21.245900    -21.232043
   0.04033    -21.246946    -21.233105
   0.03025    -21.247764    -21.233932
   0.02017    -21.248348    -21.234523
   0.01008    -21.248699    -21.234878
   0.00000    -21.248817    -21.234997
 
 
# Band-Index    3
   0.00000    -21.192553    -21.177157
   0.01008    -21.192399    -21.177022
   0.02017    -21.191946    -21.176634
   0.03025    -21.191255    -21.176910
   0.04033    -21.192663    -21.180110
   0.05042    -21.196527    -21.183971
   0.06050    -21.200853    -21.188272
   0.07058    -21.205463    -21.192865
   0.08067    -21.210212    -21.197619
   0.09075    -21.214950    -21.202397
   0.10083    -21.219463    -21.207018
   0.11092    -21.223289    -21.211044
   0.12100    -21.225321    -21.213114
   0.13108    -21.224732    -21.212135
   0.14117    -21.222632    -21.209734
   0.15125    -21.220989    -21.207935
   0.15125    -21.220989    -21.207935
   0.15453    -21.221056    -21.208007
   0.15780    -21.221242    -21.208207
   0.16108    -21.221515    -21.208500
   0.16435    -21.221845    -21.208853
   0.16763    -21.222205    -21.209239
   0.17091    -21.222578    -21.209640
   0.17418    -21.222949    -21.210042
   0.17746    -21.223310    -21.210436
   0.18074    -21.223655    -21.210815
   0.18401    -21.223979    -21.211176
   0.18729    -21.224279    -21.211514
   0.19056    -21.224554    -21.211828
   0.19384    -21.224801    -21.212115
   0.19712    -21.225020    -21.212375
   0.20039    -21.225212    -21.212607
   0.20039    -21.225212    -21.212607
   0.20897    -21.225964    -21.213682
   0.21755    -21.224945    -21.212776
   0.22612    -21.222421    -21.210156
   0.23470    -21.218987    -21.206597
   0.24328    -21.215074    -21.202597
   0.25186    -21.210927    -21.198400
   0.26043    -21.206705    -21.194157
   0.26901    -21.202523    -21.189973
   0.27759    -21.198495    -21.185959
   0.28617    -21.194737    -21.182223
   0.29474    -21.191376    -21.178891
   0.30332    -21.188553    -21.176096
   0.31190    -21.186402    -21.173971
   0.32048    -21.185054    -21.172641
   0.32905    -21.184593    -21.172187
   0.32905    -21.184593    -21.172187
   0.33763    -21.185054    -21.172641
   0.34621    -21.186402    -21.173971
   0.35479    -21.188553    -21.176096
   0.36336    -21.191376    -21.178891
   0.37194    -21.194737    -21.182223
   0.38052    -21.198495    -21.185959
   0.38909    -21.202523    -21.189973
   0.39767    -21.206705    -21.194157
   0.40625    -21.210927    -21.198400
   0.41483    -21.215074    -21.202597
   0.42340    -21.218987    -21.206597
   0.43198    -21.222421    -21.210156
   0.44056    -21.224945    -21.212776
   0.44914    -21.225964    -21.213682
   0.45771    -21.225212    -21.212607
   0.45771    -21.225212    -21.212607
   0.46099    -21.225013    -21.212368
   0.46427    -21.224785    -21.212100
   0.46754    -21.224529    -21.211805
   0.47082    -21.224246    -21.211482
   0.47409    -21.223936    -21.211135
   0.47737    -21.223601    -21.210765
   0.48065    -21.223246    -21.210375
   0.48392    -21.222872    -21.209971
   0.48720    -21.222488    -21.209558
   0.49048    -21.222102    -21.209145
   0.49375    -21.221727    -21.208746
   0.49703    -21.221382    -21.208379
   0.50030    -21.221093    -21.208072
   0.50358    -21.220895    -21.207861
   0.50686    -21.220823    -21.207784
   0.50686    -21.220823    -21.207784
   0.51694    -21.222522    -21.209634
   0.52702    -21.224653    -21.212059
   0.53711    -21.225271    -21.213061
   0.54719    -21.223270    -21.211025
   0.55727    -21.219462    -21.207017
   0.56736    -21.214956    -21.202403
   0.57744    -21.210221    -21.197627
   0.58752    -21.205473    -21.192873
   0.59761    -21.200863    -21.188279
   0.60769    -21.196536    -21.183976
   0.61777    -21.192672    -21.180113
   0.62786    -21.191268    -21.176908
   0.63794    -21.191951    -21.176637
   0.64802    -21.192400    -21.177023
   0.65811    -21.192553    -21.177157
 
 
# Band-Index    4
   0.65811    -21.184586    -21.172180
   0.64802    -21.185132    -21.172718
   0.63794    -21.186727    -21.174284
   0.62786    -21.189215    -21.175897
   0.61777    -21.190174    -21.175212
   0.60769    -21.189195    -21.174534
   0.59761    -21.188430    -21.174329
   0.58752    -21.188617    -21.175247
   0.57744    -21.190584    -21.177689
   0.56736    -21.194076    -21.181266
   0.55727    -21.198249    -21.185382
   0.54719    -21.202598    -21.189659
   0.53711    -21.206882    -21.193893
   0.52702    -21.210959    -21.197950
   0.51694    -21.214633    -21.201647
   0.50686    -21.216781    -21.203867
   0.50686    -21.216781    -21.203867
   0.50358    -21.216704    -21.203788
   0.50030    -21.216492    -21.203570
   0.49703    -21.216177    -21.203251
   0.49375    -21.215795    -21.202865
   0.49048    -21.215371    -21.202440
   0.48720    -21.214924    -21.201993
   0.48392    -21.214464    -21.201536
   0.48065    -21.214001    -21.201076
   0.47737    -21.213539    -21.200618
   0.47409    -21.213083    -21.200166
   0.47082    -21.212634    -21.199722
   0.46754    -21.212194    -21.199286
   0.46427    -21.211765    -21.198861
   0.46099    -21.211347    -21.198446
   0.45771    -21.210940    -21.198042
   0.45771    -21.210940    -21.198042
   0.44914    -21.207494    -21.194623
   0.44056    -21.204009    -21.191166
   0.43198    -21.200529    -21.187710
   0.42340    -21.197102    -21.184297
   0.41483    -21.193782    -21.180973
   0.40625    -21.190626    -21.177786
   0.39767    -21.187697    -21.174790
   0.38909    -21.185060    -21.172043
   0.38052    -21.182770    -21.169596
   0.37194    -21.180873    -21.167498
   0.36336    -21.179387    -21.165786
   0.35479    -21.178298    -21.164473
   0.34621    -21.177570    -21.163555
   0.33763    -21.177158    -21.163018
   0.32905    -21.177025    -21.162841
   0.32905    -21.177025    -21.162841
   0.32048    -21.177158    -21.163018
   0.31190    -21.177570    -21.163555
   0.30332    -21.178298    -21.164473
   0.29474    -21.179387    -21.165786
   0.28617    -21.180873    -21.167498
   0.27759    -21.182770    -21.169596
   0.26901    -21.185060    -21.172043
   0.26043    -21.187697    -21.174790
   0.25186    -21.190626    -21.177786
   0.24328    -21.193782    -21.180973
   0.23470    -21.197102    -21.184297
   0.22612    -21.200529    -21.187710
   0.21755    -21.204009    -21.191166
   0.20897    -21.207494    -21.194623
   0.20039    -21.210940    -21.198042
   0.20039    -21.210940    -21.198042
   0.19712    -21.211349    -21.198449
   0.19384    -21.211769    -21.198865
   0.19056    -21.212200    -21.199292
   0.18729    -21.212640    -21.199728
   0.18401    -21.213089    -21.200174
   0.18074    -21.213545    -21.200625
   0.17746    -21.214005    -21.201082
   0.17418    -21.214465    -21.201540
   0.17091    -21.214919    -21.201993
   0.16763    -21.215360    -21.202434
   0.16435    -21.215774    -21.202851
   0.16108    -21.216146    -21.203227
   0.15780    -21.216448    -21.203536
   0.15453    -21.216651    -21.203744
   0.15125    -21.216723    -21.203819
   0.15125    -21.216723    -21.203819
   0.14117    -21.214630    -21.201649
   0.13108    -21.210981    -21.197973
   0.12100    -21.206912    -21.193921
   0.11092    -21.202628    -21.189687
   0.10083    -21.198274    -21.185404
   0.09075    -21.194087    -21.181276
   0.08067    -21.190572    -21.177680
   0.07058    -21.188583    -21.175220
   0.06050    -21.188394    -21.174295
   0.05042    -21.189168    -21.174506
   0.04033    -21.190160    -21.175192
   0.03025    -21.189215    -21.175881
   0.02017    -21.186726    -21.174282
   0.01008    -21.185132    -21.172718
   0.00000    -21.184586    -21.172180
 
 
# Band-Index    5
   0.00000    -21.153445    -21.140022
   0.01008    -21.154214    -21.140747
   0.02017    -21.156392    -21.142795
   0.03025    -21.159656    -21.145852
   0.04033    -21.163607    -21.149506
   0.05042    -21.167820    -21.153283
   0.06050    -21.171753    -21.156562
   0.07058    -21.174536    -21.158534
   0.08067    -21.175253    -21.158720
   0.09075    -21.174135    -21.157475
   0.10083    -21.172041    -21.155407
   0.11092    -21.169530    -21.152948
   0.12100    -21.166956    -21.150418
   0.13108    -21.164653    -21.148149
   0.14117    -21.163005    -21.146523
   0.15125    -21.162399    -21.145924
