      #Energy        TDOS-UP        TDOS-DOWN
     -22.56400       0.00000       0.00000
     -22.53500       0.00000       0.00000
     -22.50700       0.00000       0.00000
     -22.47900       0.00000       0.00000
     -22.45100       0.00000       0.00000
     -22.42200       0.00000       0.00000
     -22.39400       0.00000       0.00000
     -22.36600       0.00000       0.00000
     -22.33800       0.00000       0.00000
     -22.31000       0.00000       0.00000
     -22.28100       0.00000       0.00000
     -22.25300       0.00000       0.00000
     -22.22500       0.00000       0.00000
     -22.19700       0.00000       0.00000
     -22.16800       0.00000       0.00000
     -22.14000       0.00000       0.00000
     -22.11200       0.00000       0.00000
     -22.08400       0.00000       0.00000
     -22.05500       0.00000       0.00000
     -22.02700       0.00000       0.00000
     -21.99900       0.00000       0.00000
     -21.97100       0.00000       0.00000
     -21.94300       0.00000       0.00000
     -21.91400       0.00000       0.00000
     -21.88600       0.00000       0.00000
     -21.85800       0.00000       0.00000
     -21.83000       0.00000       0.00000
     -21.80100       0.00000       0.00000
     -21.77300       0.00000       0.00000
     -21.74500       0.00000       0.00000
     -21.71700       0.00000       0.00000
     -21.68800       0.00000       0.00000
     -21.66000       0.00000       0.00000
     -21.63200       0.00000       0.00000
     -21.60400       0.00000       0.00000
     -21.57600       0.00000       0.00000
     -21.54700       0.00000      -0.00000
     -21.51900       0.00000      -0.00000
     -21.49100       0.00000      -0.00000
     -21.46300       0.00000      -0.00000
     -21.43400       0.00000      -0.00000
     -21.40600       0.00006      -0.00001
     -21.37800       0.00115      -0.00029
     -21.35000       0.01290      -0.00422
     -21.32100       0.08941      -0.03673
     -21.29300       0.40082      -0.20246
     -21.26500       1.22431      -0.74205
     -21.23700       2.70489      -1.90954
     -21.20900       4.63039      -3.67158
     -21.18000       6.61079      -5.66173
     -21.15200       8.39838      -7.52794
     -21.12400       9.89858      -9.14106
     -21.09600      11.06353     -10.46523
     -21.06700      11.96113     -11.49849
     -21.03900      12.81837     -12.37944
     -21.01100      13.83243     -13.33096
     -20.98300      15.00147     -14.44101
     -20.95400      16.18308     -15.62304
     -20.92600      17.20758     -16.72348
     -20.89800      18.01302     -17.61841
     -20.87000      18.69663     -18.34056
     -20.84200      19.30529     -18.99622
     -20.81300      19.77322     -19.55237
     -20.78500      20.18440     -19.97527
     -20.75700      20.83146     -20.47849
     -20.72900      21.83394     -21.32853
     -20.70000      22.87919     -22.41373
     -20.67200      23.58102     -23.30964
     -20.64400      23.88912     -23.78715
     -20.61600      23.97932     -23.95463
     -20.58700      23.99737     -23.99384
     -20.55900      24.00680     -24.00118
     -20.53100      24.07215     -24.01908
     -20.50300      24.40878     -24.14652
     -20.47500      25.43145     -24.68656
     -20.44600      27.33972     -26.05026
     -20.41800      29.66285     -28.19963
     -20.39000      31.67347     -30.46545
     -20.36200      33.04154     -32.23314
     -20.33300      33.84514     -33.37226
     -20.30500      34.36332     -34.05136
     -20.27700      34.93387     -34.57193
     -20.24900      35.78475     -35.24708
     -20.22000      36.85682     -36.21117
     -20.19200      37.84462     -37.28479
     -20.16400      38.56748     -38.16588
     -20.13600      39.14678     -38.79713
     -20.10800      39.78579     -39.37092
     -20.07900      40.60152     -40.07896
     -20.05100      41.57394     -40.98517
     -20.02300      42.52123     -41.98116
     -19.99500      43.24705     -42.85280
     -19.96600      43.69098     -43.46103
     -19.93800      43.90404     -43.80147
     -19.91000      43.97883     -43.94697
     -19.88200      43.99657     -43.99077
     -19.85300      43.99923     -43.99943
     -19.82500      43.99948     -44.00049
     -19.79700      43.99949     -44.00057
     -19.76900      43.99949     -44.00057
     -19.74100      43.99949     -44.00057
     -19.71200      43.99949     -44.00057
     -19.68400      43.99949     -44.00057
     -19.65600      43.99949     -44.00057
     -19.62800      43.99950     -44.00057
     -19.59900      43.99968     -44.00063
     -19.57100      44.00241     -44.00166
     -19.54300      44.02532     -44.01244
     -19.51500      44.13535     -44.07626
     -19.48600      44.44494     -44.29629
     -19.45800      44.96849     -44.74813
     -19.43000      45.51843     -45.31628
     -19.40200      45.91663     -45.78012
     -19.37400      46.21588     -46.09774
     -19.34500      46.56763     -46.41311
     -19.31700      47.01848     -46.82331
     -19.28900      47.53695     -47.31128
     -19.26100      48.10707     -47.85303
     -19.23200      48.70317     -48.44010
     -19.20400      49.27118     -49.02617
     -19.17600      49.81152     -49.57343
     -19.14800      50.40860     -50.13650
