      #Energy        TDOS-UP        TDOS-DOWN
     -23.63500       0.00000       0.00000
     -23.60500       0.00000       0.00000
     -23.57400       0.00000       0.00000
     -23.54300       0.00000       0.00000
     -23.51200       0.00000       0.00000
     -23.48100       0.00000       0.00000
     -23.45100       0.00000       0.00000
     -23.42000       0.00000       0.00000
     -23.38900       0.00000       0.00000
     -23.35800       0.00000       0.00000
     -23.32700       0.00000       0.00000
     -23.29700       0.00000       0.00000
     -23.26600       0.00000       0.00000
     -23.23500       0.00000       0.00000
     -23.20400       0.00000       0.00000
     -23.17300       0.00000       0.00000
     -23.14300       0.00000       0.00000
     -23.11200       0.00000       0.00000
     -23.08100       0.00000       0.00000
     -23.05000       0.00000       0.00000
     -23.01900       0.00000       0.00000
     -22.98900       0.00000       0.00000
     -22.95800       0.00000       0.00000
     -22.92700       0.00000       0.00000
     -22.89600       0.00000       0.00000
     -22.86500       0.00000       0.00000
     -22.83500       0.00000       0.00000
     -22.80400       0.00000       0.00000
     -22.77300       0.00000       0.00000
     -22.74200       0.00000       0.00000
     -22.71100       0.00000       0.00000
     -22.68100       0.00000       0.00000
     -22.65000       0.00000       0.00000
     -22.61900       0.00000       0.00000
     -22.58800       0.00000       0.00000
     -22.55700       0.00000       0.00000
     -22.52700       0.00000       0.00000
     -22.49600       0.00000      -0.00000
     -22.46500       0.00000      -0.00000
     -22.43400       0.00000      -0.00000
     -22.40300       0.00015      -0.00002
     -22.37300       0.00740      -0.00116
     -22.34200       0.17790      -0.03998
     -22.31100       2.06800      -0.66710
     -22.28000      11.69000      -5.39700
     -22.24900      32.27000     -21.28000
     -22.21900      43.66000     -41.05000
     -22.18800      28.97000     -38.85000
     -22.15700       9.41800     -18.02000
     -22.12600       1.50100      -4.09200
     -22.09500       0.27160      -0.48590
     -22.06500       1.88300      -0.60980
     -22.03400      10.97000      -4.92200
     -22.00300      31.30000     -20.15000
     -21.97200      43.73000     -40.37000
     -21.94100      29.98000     -39.66000
     -21.91100      10.07000     -19.11000
     -21.88000       1.65000      -4.50300
     -21.84900       0.13150      -0.51690
     -21.81800       0.00506      -0.02875
     -21.78700       0.00009      -0.00077
     -21.75700       0.00000      -0.00001
     -21.72600       0.00000      -0.00000
     -21.69500       0.00000      -0.00000
     -21.66400       0.00000      -0.00000
     -21.63300       0.00000      -0.00000
     -21.60300       0.00000      -0.00000
