#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -21.346306    -21.346306
   0.01681    -21.346018    -21.346018
   0.03361    -21.345154    -21.345154
   0.05042    -21.343729    -21.343729
   0.06722    -21.341772    -21.341772
   0.08403    -21.339325    -21.339325
   0.10083    -21.336463    -21.336463
   0.11764    -21.333338    -21.333338
   0.13444    -21.330368    -21.330368
   0.15125    -21.328884    -21.328884
   0.15125    -21.328884    -21.328884
   0.15671    -21.328842    -21.328842
   0.16217    -21.328716    -21.328716
   0.16763    -21.328509    -21.328509
   0.17309    -21.328222    -21.328222
   0.17855    -21.327864    -21.327864
   0.18401    -21.327442    -21.327442
   0.18947    -21.326984    -21.326984
   0.19493    -21.326534    -21.326534
   0.20039    -21.326190    -21.326190
   0.20039    -21.326190    -21.326190
   0.21469    -21.325707    -21.325707
   0.22898    -21.328983    -21.328983
   0.24328    -21.331924    -21.331924
   0.25758    -21.334465    -21.334465
   0.27187    -21.336582    -21.336582
   0.28617    -21.338250    -21.338250
   0.30046    -21.339453    -21.339453
   0.31476    -21.340178    -21.340178
   0.32905    -21.340421    -21.340421
   0.32905    -21.340421    -21.340421
   0.34335    -21.340178    -21.340178
   0.35764    -21.339453    -21.339453
   0.37194    -21.338250    -21.338250
   0.38624    -21.336582    -21.336582
   0.40053    -21.334465    -21.334465
   0.41483    -21.331924    -21.331924
   0.42912    -21.328983    -21.328983
   0.44342    -21.325707    -21.325707
   0.45771    -21.326190    -21.326190
   0.45771    -21.326190    -21.326190
   0.46317    -21.326644    -21.326644
   0.46863    -21.327159    -21.327159
   0.47409    -21.327657    -21.327657
   0.47956    -21.328103    -21.328103
   0.48502    -21.328477    -21.328477
   0.49048    -21.328774    -21.328774
   0.49594    -21.328988    -21.328988
   0.50140    -21.329118    -21.329118
   0.50686    -21.329161    -21.329161
   0.50686    -21.329161    -21.329161
   0.52366    -21.330567    -21.330567
   0.54047    -21.333450    -21.333450
   0.55727    -21.336526    -21.336526
   0.57408    -21.339361    -21.339361
   0.59088    -21.341792    -21.341792
   0.60769    -21.343740    -21.343740
   0.62450    -21.345158    -21.345158
   0.64130    -21.346019    -21.346019
   0.65811    -21.346306    -21.346306
 
 
# Band-Index    2
   0.65811    -21.284741    -21.284741
   0.64130    -21.286089    -21.286089
   0.62450    -21.289343    -21.289343
   0.60769    -21.293517    -21.293517
   0.59088    -21.298126    -21.298126
   0.57408    -21.302915    -21.302915
   0.55727    -21.307685    -21.307685
   0.54047    -21.312194    -21.312194
   0.52366    -21.315955    -21.315955
   0.50686    -21.317658    -21.317658
   0.50686    -21.317658    -21.317658
   0.50140    -21.317729    -21.317729
   0.49594    -21.317941    -21.317941
   0.49048    -21.318287    -21.318287
   0.48502    -21.318752    -21.318752
   0.47956    -21.319322    -21.319322
   0.47409    -21.319974    -21.319974
   0.46863    -21.320679    -21.320679
   0.46317    -21.321388    -21.321388
   0.45771    -21.322007    -21.322007
   0.45771    -21.322007    -21.322007
   0.44342    -21.323552    -21.323552
   0.42912    -21.321210    -21.321210
   0.41483    -21.319097    -21.319097
   0.40053    -21.317285    -21.317285
   0.38624    -21.315805    -21.315805
   0.37194    -21.314664    -21.314664
   0.35764    -21.313860    -21.313860
   0.34335    -21.313382    -21.313382
   0.32905    -21.313225    -21.313225
   0.32905    -21.313225    -21.313225
   0.31476    -21.313382    -21.313382
   0.30046    -21.313860    -21.313860
   0.28617    -21.314664    -21.314664
   0.27187    -21.315805    -21.315805
   0.25758    -21.317285    -21.317285
   0.24328    -21.319097    -21.319097
   0.22898    -21.321210    -21.321210
   0.21469    -21.323552    -21.323552
   0.20039    -21.322007    -21.322007
   0.20039    -21.322007    -21.322007
   0.19493    -21.321522    -21.321522
   0.18947    -21.320903    -21.320903
   0.18401    -21.320259    -21.320259
   0.17855    -21.319654    -21.319654
   0.17309    -21.319119    -21.319119
   0.16763    -21.318679    -21.318679
   0.16217    -21.318353    -21.318353
   0.15671    -21.318152    -21.318152
   0.15125    -21.318084    -21.318084
   0.15125    -21.318084    -21.318084
   0.13444    -21.316303    -21.316303
   0.11764    -21.312451    -21.312451
   0.10083    -21.307887    -21.307887
   0.08403    -21.303078    -21.303078
   0.06722    -21.298257    -21.298257
   0.05042    -21.293615    -21.293615
   0.03361    -21.289405    -21.289405
   0.01681    -21.286112    -21.286112
   0.00000    -21.284741    -21.284741
 
 
# Band-Index    3
   0.00000    -21.272689    -21.272689
   0.01681    -21.271904    -21.271904
   0.03361    -21.270349    -21.270349
   0.05042    -21.268943    -21.268943
   0.06722    -21.267958    -21.267958
   0.08403    -21.267346    -21.267346
   0.10083    -21.266994    -21.266994
   0.11764    -21.266805    -21.266805
   0.13444    -21.266714    -21.266714
   0.15125    -21.266688    -21.266688
   0.15125    -21.266688    -21.266688
   0.15671    -21.266662    -21.266662
   0.16217    -21.266584    -21.266584
   0.16763    -21.266463    -21.266463
   0.17309    -21.266304    -21.266304
   0.17855    -21.266120    -21.266120
   0.18401    -21.265920    -21.265920
   0.18947    -21.265719    -21.265719
   0.19493    -21.265529    -21.265529
   0.20039    -21.265361    -21.265361
   0.20039    -21.265361    -21.265361
   0.21469    -21.263849    -21.263849
   0.22898    -21.262186    -21.262186
   0.24328    -21.260413    -21.260413
   0.25758    -21.258608    -21.258608
   0.27187    -21.256873    -21.256873
   0.28617    -21.255337    -21.255337
   0.30046    -21.254125    -21.254125
   0.31476    -21.253348    -21.253348
   0.32905    -21.253081    -21.253081
   0.32905    -21.253081    -21.253081
   0.34335    -21.253348    -21.253348
   0.35764    -21.254125    -21.254125
   0.37194    -21.255337    -21.255337
   0.38624    -21.256873    -21.256873
   0.40053    -21.258608    -21.258608
   0.41483    -21.260413    -21.260413
   0.42912    -21.262186    -21.262186
   0.44342    -21.263849    -21.263849
   0.45771    -21.265361    -21.265361
   0.45771    -21.265361    -21.265361
   0.46317    -21.265557    -21.265557
   0.46863    -21.265775    -21.265775
   0.47409    -21.266004    -21.266004
   0.47956    -21.266230    -21.266230
   0.48502    -21.266438    -21.266438
   0.49048    -21.266617    -21.266617
   0.49594    -21.266754    -21.266754
   0.50140    -21.266841    -21.266841
   0.50686    -21.266870    -21.266870
   0.50686    -21.266870    -21.266870
   0.52366    -21.266896    -21.266896
   0.54047    -21.266984    -21.266984
   0.55727    -21.267169    -21.267169
   0.57408    -21.267513    -21.267513
   0.59088    -21.268108    -21.268108
   0.60769    -21.269065    -21.269065
   0.62450    -21.270427    -21.270427
   0.64130    -21.271932    -21.271932
   0.65811    -21.272689    -21.272689
 
 
# Band-Index    4
   0.65811    -21.253077    -21.253077
   0.64130    -21.252645    -21.252645
   0.62450    -21.251357    -21.251357
   0.60769    -21.249296    -21.249296
   0.59088    -21.246666    -21.246666
   0.57408    -21.243762    -21.243762
   0.55727    -21.240916    -21.240916
   0.54047    -21.238485    -21.238485
   0.52366    -21.236828    -21.236828
   0.50686    -21.236238    -21.236238
   0.50686    -21.236238    -21.236238
   0.50140    -21.236196    -21.236196
   0.49594    -21.236071    -21.236071
   0.49048    -21.235870    -21.235870
   0.48502    -21.235601    -21.235601
   0.47956    -21.235280    -21.235280
   0.47409    -21.234924    -21.234924
   0.46863    -21.234558    -21.234558
   0.46317    -21.234209    -21.234209
   0.45771    -21.233907    -21.233907
   0.45771    -21.233907    -21.233907
   0.44342    -21.231954    -21.231954
   0.42912    -21.230117    -21.230117
   0.41483    -21.228424    -21.228424
   0.40053    -21.226911    -21.226911
   0.38624    -21.225607    -21.225607
   0.37194    -21.224547    -21.224547
   0.35764    -21.223758    -21.223758
   0.34335    -21.223268    -21.223268
   0.32905    -21.223103    -21.223103
   0.32905    -21.223103    -21.223103
   0.31476    -21.223268    -21.223268
   0.30046    -21.223758    -21.223758
   0.28617    -21.224547    -21.224547
   0.27187    -21.225607    -21.225607
   0.25758    -21.226911    -21.226911
   0.24328    -21.228424    -21.228424
   0.22898    -21.230117    -21.230117
   0.21469    -21.231954    -21.231954
   0.20039    -21.233907    -21.233907
   0.20039    -21.233907    -21.233907
   0.19493    -21.234145    -21.234145
   0.18947    -21.234436    -21.234436
   0.18401    -21.234750    -21.234750
   0.17855    -21.235063    -21.235063
   0.17309    -21.235348    -21.235348
   0.16763    -21.235590    -21.235590
   0.16217    -21.235773    -21.235773
   0.15671    -21.235886    -21.235886
   0.15125    -21.235925    -21.235925
   0.15125    -21.235925    -21.235925
   0.13444    -21.236536    -21.236536
   0.11764    -21.238249    -21.238249
   0.10083    -21.240749    -21.240749
   0.08403    -21.243659    -21.243659
   0.06722    -21.246615    -21.246615
   0.05042    -21.249279    -21.249279
   0.03361    -21.251355    -21.251355
   0.01681    -21.252645    -21.252645
   0.00000    -21.253077    -21.253077
 
 
# Band-Index    5
   0.00000    -21.209749    -21.209749
   0.01681    -21.209776    -21.209776
   0.03361    -21.209844    -21.209844
   0.05042    -21.209925    -21.209925
   0.06722    -21.209973    -21.209973
   0.08403    -21.209927    -21.209927
   0.10083    -21.209720    -21.209720
   0.11764    -21.209325    -21.209325
   0.13444    -21.208851    -21.208851
   0.15125    -21.208617    -21.208617
   0.15125    -21.208617    -21.208617
   0.15671    -21.208603    -21.208603
   0.16217    -21.208560    -21.208560
   0.16763    -21.208488    -21.208488
   0.17309    -21.208388    -21.208388
   0.17855    -21.208260    -21.208260
   0.18401    -21.208110    -21.208110
   0.18947    -21.207945    -21.207945
   0.19493    -21.207775    -21.207775
   0.20039    -21.207621    -21.207621
   0.20039    -21.207621    -21.207621
   0.21469    -21.206598    -21.206598
   0.22898    -21.205402    -21.205402
   0.24328    -21.204156    -21.204156
   0.25758    -21.205216    -21.205216
   0.27187    -21.206793    -21.206793
   0.28617    -21.208056    -21.208056
   0.30046    -21.208976    -21.208976
   0.31476    -21.209538    -21.209538
   0.32905    -21.209726    -21.209726
   0.32905    -21.209726    -21.209726
   0.34335    -21.209538    -21.209538
   0.35764    -21.208976    -21.208976
   0.37194    -21.208056    -21.208056
   0.38624    -21.206793    -21.206793
   0.40053    -21.205216    -21.205216
   0.41483    -21.204156    -21.204156
   0.42912    -21.205402    -21.205402
   0.44342    -21.206598    -21.206598
   0.45771    -21.207621    -21.207621
   0.45771    -21.207621    -21.207621
   0.46317    -21.207716    -21.207716
   0.46863    -21.207833    -21.207833
   0.47409    -21.207954    -21.207954
   0.47956    -21.208067    -21.208067
   0.48502    -21.208164    -21.208164
   0.49048    -21.208243    -21.208243
   0.49594    -21.208299    -21.208299
   0.50140    -21.208333    -21.208333
   0.50686    -21.208344    -21.208344
   0.50686    -21.208344    -21.208344
   0.52366    -21.208601    -21.208601
   0.54047    -21.209128    -21.209128
   0.55727    -21.209581    -21.209581
   0.57408    -21.209837    -21.209837
   0.59088    -21.209919    -21.209919
   0.60769    -21.209897    -21.209897
   0.62450    -21.209832    -21.209832
   0.64130    -21.209773    -21.209773
   0.65811    -21.209749    -21.209749
 
 
# Band-Index    6
   0.65811    -21.154782    -21.154782
   0.64130    -21.156398    -21.156398
   0.62450    -21.160578    -21.160578
   0.60769    -21.166102    -21.166102
   0.59088    -21.172064    -21.172064
   0.57408    -21.177913    -21.177913
   0.55727    -21.183278    -21.183278
   0.54047    -21.187791    -21.187791
   0.52366    -21.190957    -21.190957
   0.50686    -21.192134    -21.192134
   0.50686    -21.192134    -21.192134
   0.50140    -21.192199    -21.192199
   0.49594    -21.192385    -21.192385
   0.49048    -21.192686    -21.192686
   0.48502    -21.193087    -21.193087
   0.47956    -21.193566    -21.193566
   0.47409    -21.194095    -21.194095
   0.46863    -21.194637    -21.194637
   0.46317    -21.195148    -21.195148
   0.45771    -21.195577    -21.195577
   0.45771    -21.195577    -21.195577
   0.44342    -21.198426    -21.198426
   0.42912    -21.200964    -21.200964
   0.41483    -21.203090    -21.203090
   0.40053    -21.202489    -21.202489
   0.38624    -21.201025    -21.201025
   0.37194    -21.199628    -21.199628
   0.35764    -21.198457    -21.198457
   0.34335    -21.197670    -21.197670
   0.32905    -21.197392    -21.197392
   0.32905    -21.197392    -21.197392
   0.31476    -21.197670    -21.197670
   0.30046    -21.198457    -21.198457
   0.28617    -21.199628    -21.199628
   0.27187    -21.201025    -21.201025
   0.25758    -21.202489    -21.202489
   0.24328    -21.203090    -21.203090
   0.22898    -21.200964    -21.200964
   0.21469    -21.198426    -21.198426
   0.20039    -21.195577    -21.195577
   0.20039    -21.195577    -21.195577
   0.19493    -21.195177    -21.195177
   0.18947    -21.194695    -21.194695
   0.18401    -21.194183    -21.194183
   0.17855    -21.193681    -21.193681
   0.17309    -21.193226    -21.193226
   0.16763    -21.192846    -21.192846
   0.16217    -21.192560    -21.192560
   0.15671    -21.192383    -21.192383
   0.15125    -21.192322    -21.192322
   0.15125    -21.192322    -21.192322
   0.13444    -21.191146    -21.191146
   0.11764    -21.187975    -21.187975
   0.10083    -21.183445    -21.183445
   0.08403    -21.178055    -21.178055
   0.06722    -21.172174    -21.172174
   0.05042    -21.166178    -21.166178
   0.03361    -21.160619    -21.160619
   0.01681    -21.156410    -21.156410
   0.00000    -21.154782    -21.154782
 
 
# Band-Index    7
   0.00000    -21.101078    -21.101078
   0.01681    -21.098930    -21.098930
   0.03361    -21.093271    -21.093271
   0.05042    -21.085760    -21.085760
   0.06722    -21.078347    -21.078347
   0.08403    -21.073017    -21.073017
   0.10083    -21.070133    -21.070133
   0.11764    -21.068691    -21.068691
   0.13444    -21.068001    -21.068001
   0.15125    -21.067793    -21.067793
   0.15125    -21.067793    -21.067793
   0.15671    -21.067841    -21.067841
   0.16217    -21.067977    -21.067977
   0.16763    -21.068195    -21.068195
   0.17309    -21.068478    -21.068478
   0.17855    -21.068810    -21.068810
   0.18401    -21.069169    -21.069169
   0.18947    -21.069537    -21.069537
   0.19493    -21.069896    -21.069896
   0.20039    -21.070228    -21.070228
   0.20039    -21.070228    -21.070228
   0.21469    -21.073099    -21.073099
   0.22898    -21.076660    -21.076660
   0.24328    -21.080849    -21.080849
   0.25758    -21.085461    -21.085461
   0.27187    -21.090154    -21.090154
   0.28617    -21.094487    -21.094487
   0.30046    -21.098004    -21.098004
   0.31476    -21.100301    -21.100301
   0.32905    -21.101101    -21.101101
