#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -25.790881    -25.784343
   0.01681    -25.790881    -25.784343
   0.03361    -25.790880    -25.784342
   0.05042    -25.790878    -25.784341
   0.06722    -25.790878    -25.784340
   0.08403    -25.790877    -25.784339
   0.10083    -25.790875    -25.784337
   0.11764    -25.790875    -25.784338
   0.13444    -25.790875    -25.784337
   0.15125    -25.790875    -25.784337
   0.15125    -25.790875    -25.784337
   0.15671    -25.790875    -25.784338
   0.16217    -25.790876    -25.784338
   0.16763    -25.790877    -25.784339
   0.17309    -25.790877    -25.784339
   0.17855    -25.790878    -25.784340
   0.18401    -25.790877    -25.784339
   0.18947    -25.790876    -25.784339
   0.19493    -25.790876    -25.784339
   0.20039    -25.790876    -25.784339
   0.20039    -25.790876    -25.784339
   0.21469    -25.790876    -25.784339
   0.22898    -25.790877    -25.784339
   0.24328    -25.790877    -25.784340
   0.25758    -25.790876    -25.784339
   0.27187    -25.790876    -25.784338
   0.28617    -25.790877    -25.784339
   0.30046    -25.790876    -25.784338
   0.31476    -25.790874    -25.784337
   0.32905    -25.790874    -25.784337
   0.32905    -25.790874    -25.784337
   0.34335    -25.790874    -25.784337
   0.35764    -25.790876    -25.784338
   0.37194    -25.790877    -25.784339
   0.38624    -25.790876    -25.784338
   0.40053    -25.790876    -25.784339
   0.41483    -25.790877    -25.784340
   0.42912    -25.790877    -25.784339
   0.44342    -25.790876    -25.784339
   0.45771    -25.790876    -25.784339
   0.45771    -25.790876    -25.784339
   0.46317    -25.790876    -25.784339
   0.46863    -25.790876    -25.784339
   0.47409    -25.790877    -25.784339
   0.47956    -25.790878    -25.784340
   0.48502    -25.790877    -25.784339
   0.49048    -25.790877    -25.784339
   0.49594    -25.790876    -25.784338
   0.50140    -25.790875    -25.784338
   0.50686    -25.790875    -25.784337
   0.50686    -25.790875    -25.784337
   0.52366    -25.790875    -25.784337
   0.54047    -25.790875    -25.784338
   0.55727    -25.790875    -25.784337
   0.57408    -25.790877    -25.784339
   0.59088    -25.790878    -25.784340
   0.60769    -25.790878    -25.784341
   0.62450    -25.790880    -25.784342
   0.64130    -25.790881    -25.784343
   0.65811    -25.790881    -25.784343
 
 
# Band-Index    2
   0.65811    -25.789367    -25.782843
   0.64130    -25.789367    -25.782843
   0.62450    -25.789366    -25.782842
   0.60769    -25.789365    -25.782840
   0.59088    -25.789364    -25.782840
   0.57408    -25.789363    -25.782839
   0.55727    -25.789361    -25.782837
   0.54047    -25.789362    -25.782837
   0.52366    -25.789361    -25.782837
   0.50686    -25.789361    -25.782837
   0.50686    -25.789361    -25.782837
   0.50140    -25.789362    -25.782837
   0.49594    -25.789362    -25.782838
   0.49048    -25.789363    -25.782839
   0.48502    -25.789363    -25.782839
   0.47956    -25.789364    -25.782840
   0.47409    -25.789363    -25.782839
   0.46863    -25.789363    -25.782838
   0.46317    -25.789363    -25.782838
   0.45771    -25.789363    -25.782838
   0.45771    -25.789363    -25.782838
   0.44342    -25.789362    -25.782838
   0.42912    -25.789363    -25.782839
   0.41483    -25.789364    -25.782839
   0.40053    -25.789363    -25.782838
   0.38624    -25.789362    -25.782838
   0.37194    -25.789363    -25.782839
   0.35764    -25.789362    -25.782838
   0.34335    -25.789361    -25.782836
   0.32905    -25.789361    -25.782836
   0.32905    -25.789361    -25.782836
   0.31476    -25.789361    -25.782836
   0.30046    -25.789362    -25.782838
   0.28617    -25.789363    -25.782839
   0.27187    -25.789362    -25.782838
   0.25758    -25.789363    -25.782838
