      #Energy        TDOS-UP        TDOS-DOWN
     -22.70100       0.00000       0.00000
     -22.67100       0.00000       0.00000
     -22.64100       0.00000       0.00000
     -22.61100       0.00000       0.00000
     -22.58100       0.00000       0.00000
     -22.55100       0.00000       0.00000
     -22.52200       0.00000       0.00000
     -22.49200       0.00000       0.00000
     -22.46200       0.00000       0.00000
     -22.43200       0.00000       0.00000
     -22.40200       0.00000       0.00000
     -22.37200       0.00000       0.00000
     -22.34200       0.00000       0.00000
     -22.31200       0.00000       0.00000
     -22.28300       0.00000       0.00000
     -22.25300       0.00000       0.00000
     -22.22300       0.00000       0.00000
     -22.19300       0.00000       0.00000
     -22.16300       0.00000       0.00000
     -22.13300       0.00000       0.00000
     -22.10300       0.00000       0.00000
     -22.07300       0.00000       0.00000
     -22.04300       0.00000       0.00000
     -22.01400       0.00000       0.00000
     -21.98400       0.00000       0.00000
     -21.95400       0.00000       0.00000
     -21.92400       0.00000       0.00000
     -21.89400       0.00000       0.00000
     -21.86400       0.00000       0.00000
     -21.83400       0.00000       0.00000
     -21.80400       0.00000       0.00000
     -21.77500       0.00000       0.00000
     -21.74500       0.00000       0.00000
     -21.71500       0.00000       0.00000
     -21.68500       0.00000       0.00000
     -21.65500       0.00000       0.00000
     -21.62500       0.00000      -0.00000
     -21.59500       0.00000      -0.00000
     -21.56500       0.00000      -0.00000
     -21.53500       0.00000      -0.00000
     -21.50600       0.00005      -0.00005
     -21.47600       0.00216      -0.00216
     -21.44600       0.05193      -0.05193
     -21.41600       0.65940      -0.65940
     -21.38600       4.49300      -4.49300
     -21.35600      16.76000     -16.76000
     -21.32600      35.44000     -35.44000
     -21.29600      46.83000     -46.83000
     -21.26700      49.78000     -49.78000
     -21.23700      57.11000     -57.11000
     -21.20700      67.11000     -67.11000
     -21.17700      63.61000     -63.61000
     -21.14700      41.13000     -41.13000
     -21.11700      19.80000     -19.80000
     -21.08700      17.00000     -17.00000
     -21.05700      27.10000     -27.10000
     -21.02800      36.23000     -36.23000
     -20.99800      39.41000     -39.41000
     -20.96800      39.33000     -39.33000
     -20.93800      39.18000     -39.18000
     -20.90800      35.48000     -35.48000
     -20.87800      22.51000     -22.51000
     -20.84800       8.38900      -8.38900
     -20.81800       1.71800      -1.71800
     -20.78800       0.18840      -0.18840
     -20.75900       0.01093      -0.01093
     -20.72900       0.00036      -0.00036
     -20.69900       0.00130      -0.00130
     -20.66900       0.03476      -0.03476
     -20.63900       0.50390      -0.50390
     -20.60900       4.02100      -4.02100
     -20.57900      17.92000     -17.92000
     -20.54900      44.86000     -44.86000
     -20.52000      63.70000     -63.70000
     -20.49000      55.87000     -55.87000
     -20.46000      43.62000     -43.62000
     -20.43000      45.33000     -45.33000
     -20.40000      51.42000     -51.42000
     -20.37000      53.96000     -53.96000
     -20.34000      46.51000     -46.51000
     -20.31000      28.19000     -28.19000
     -20.28000      12.23000     -12.23000
     -20.25100      10.20000     -10.20000
     -20.22100      20.42000     -20.42000
     -20.19100      32.74000     -32.74000
     -20.16100      39.78000     -39.78000
     -20.13100      40.98000     -40.98000
     -20.10100      32.99000     -32.99000
     -20.07100      17.43000     -17.43000
     -20.04100       5.48600      -5.48600
     -20.01200       0.99110      -0.99110
     -19.98200       0.10050      -0.10050
     -19.95200       0.00558      -0.00558
     -19.92200       0.00017      -0.00017
     -19.89200       0.00000      -0.00000
     -19.86200       0.00000      -0.00000
     -19.83200       0.00000      -0.00000
     -19.80200       0.00000      -0.00000
     -19.77200       0.00000      -0.00000
     -19.74300       0.00000      -0.00000
     -19.71300       0.00000      -0.00000
     -19.68300       0.00000      -0.00000
     -19.65300       0.00001      -0.00001
     -19.62300       0.00058      -0.00058
     -19.59300       0.01383      -0.01383
     -19.56300       0.17050      -0.17050
     -19.53300       1.10000      -1.10000
     -19.50400       3.82300      -3.82300
     -19.47400       7.63000      -7.63000
     -19.44400      10.57000     -10.57000
     -19.41400      15.16000     -15.16000
     -19.38400      24.81000     -24.81000
     -19.35400      33.68000     -33.68000
     -19.32400      33.55000     -33.55000
     -19.29400      25.45000     -25.45000
     -19.26500      16.41000     -16.41000
     -19.23500      10.86000     -10.86000
     -19.20500       7.68900      -7.68900
     -19.17500       6.02100      -6.02100
     -19.14500       7.43200      -7.43200
     -19.11500      14.82000     -14.82000
     -19.08500      27.04000     -27.04000
