#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -26.455621    -26.455621
   0.01681    -26.455622    -26.455622
   0.03361    -26.455621    -26.455621
   0.05042    -26.455620    -26.455620
   0.06722    -26.455619    -26.455619
   0.08403    -26.455619    -26.455619
   0.10083    -26.455618    -26.455618
   0.11764    -26.455618    -26.455618
   0.13444    -26.455617    -26.455617
   0.15125    -26.455617    -26.455617
   0.15125    -26.455617    -26.455617
   0.15671    -26.455618    -26.455618
   0.16217    -26.455618    -26.455618
   0.16763    -26.455619    -26.455619
   0.17309    -26.455619    -26.455619
   0.17855    -26.455620    -26.455620
   0.18401    -26.455619    -26.455619
   0.18947    -26.455618    -26.455618
   0.19493    -26.455618    -26.455618
   0.20039    -26.455619    -26.455619
   0.20039    -26.455619    -26.455619
   0.21469    -26.455617    -26.455617
   0.22898    -26.455620    -26.455620
   0.24328    -26.455621    -26.455621
   0.25758    -26.455620    -26.455620
   0.27187    -26.455618    -26.455618
   0.28617    -26.455619    -26.455619
   0.30046    -26.455618    -26.455618
   0.31476    -26.455617    -26.455617
   0.32905    -26.455617    -26.455617
   0.32905    -26.455617    -26.455617
   0.34335    -26.455617    -26.455617
   0.35764    -26.455618    -26.455618
   0.37194    -26.455619    -26.455619
   0.38624    -26.455618    -26.455618
   0.40053    -26.455620    -26.455620
   0.41483    -26.455621    -26.455621
   0.42912    -26.455620    -26.455620
   0.44342    -26.455617    -26.455617
   0.45771    -26.455619    -26.455619
   0.45771    -26.455619    -26.455619
   0.46317    -26.455618    -26.455618
   0.46863    -26.455618    -26.455618
   0.47409    -26.455619    -26.455619
   0.47956    -26.455620    -26.455620
   0.48502    -26.455619    -26.455619
   0.49048    -26.455619    -26.455619
   0.49594    -26.455618    -26.455618
   0.50140    -26.455618    -26.455618
   0.50686    -26.455617    -26.455617
   0.50686    -26.455617    -26.455617
   0.52366    -26.455617    -26.455617
   0.54047    -26.455618    -26.455618
   0.55727    -26.455618    -26.455618
   0.57408    -26.455619    -26.455619
   0.59088    -26.455619    -26.455619
   0.60769    -26.455620    -26.455620
   0.62450    -26.455621    -26.455621
   0.64130    -26.455622    -26.455622
   0.65811    -26.455621    -26.455621
 
 
# Band-Index    2
   0.65811    -26.454062    -26.454062
   0.64130    -26.454062    -26.454062
   0.62450    -26.454061    -26.454061
   0.60769    -26.454060    -26.454060
