      #Energy        TDOS-UP        TDOS-DOWN
     -28.07000       0.00000       0.00000
     -28.03400       0.00000       0.00000
     -27.99900       0.00000       0.00000
     -27.96300       0.00000       0.00000
     -27.92800       0.00000       0.00000
     -27.89200       0.00000       0.00000
     -27.85700       0.00000       0.00000
     -27.82100       0.00000       0.00000
     -27.78500       0.00000       0.00000
     -27.75000       0.00000       0.00000
     -27.71400       0.00000       0.00000
     -27.67900       0.00000       0.00000
     -27.64300       0.00000       0.00000
     -27.60800       0.00000       0.00000
     -27.57200       0.00000       0.00000
     -27.53700       0.00000       0.00000
     -27.50100       0.00000       0.00000
     -27.46600       0.00000       0.00000
     -27.43000       0.00000       0.00000
     -27.39400       0.00000       0.00000
     -27.35900       0.00000       0.00000
     -27.32300       0.00000       0.00000
     -27.28800       0.00000       0.00000
     -27.25200       0.00000       0.00000
     -27.21700       0.00000       0.00000
     -27.18100       0.00000       0.00000
     -27.14600       0.00000       0.00000
     -27.11000       0.00000       0.00000
     -27.07400       0.00000       0.00000
     -27.03900       0.00000       0.00000
     -27.00300       0.00000       0.00000
     -26.96800       0.00000       0.00000
     -26.93200       0.00000       0.00000
     -26.89700       0.00000       0.00000
     -26.86100       0.00000       0.00000
     -26.82600       0.00000       0.00000
     -26.79000       0.00000       0.00000
     -26.75500       0.00000       0.00000
     -26.71900       0.00000      -0.00000
     -26.68300       0.00000      -0.00000
     -26.64800       0.00000      -0.00000
     -26.61200       0.00001      -0.00001
     -26.57700       0.00057      -0.00057
     -26.54100       0.01510      -0.01510
     -26.50600       0.16481      -0.16481
     -26.47000       0.81511      -0.81511
     -26.43500       2.09751      -2.09751
     -26.39900       3.31806      -3.31806
     -26.36400       3.87573      -3.87573
     -26.32800       3.99019      -3.99019
     -26.29200       4.00000      -4.00000
     -26.25700       4.00033      -4.00033
     -26.22100       4.00034      -4.00034
     -26.18600       4.00034      -4.00034
     -26.15000       4.00034      -4.00034
     -26.11500       4.00034      -4.00034
     -26.07900       4.00034      -4.00034
     -26.04400       4.00034      -4.00034
     -26.00800       4.00034      -4.00034
     -25.97200       4.00034      -4.00034
     -25.93700       4.00034      -4.00034
     -25.90100       4.00034      -4.00034
     -25.86600       4.00034      -4.00034
     -25.83000       4.00034      -4.00034
     -25.79500       4.00034      -4.00034
     -25.75900       4.00034      -4.00034
     -25.72400       4.00034      -4.00034
     -25.68800       4.00034      -4.00034
     -25.65300       4.00034      -4.00034
     -25.61700       4.00034      -4.00034
     -25.58100       4.00034      -4.00034
     -25.54600       4.00034      -4.00034
     -25.51000       4.00034      -4.00034
     -25.47500       4.00034      -4.00034
     -25.43900       4.00034      -4.00034
     -25.40400       4.00034      -4.00034
     -25.36800       4.00034      -4.00034
     -25.33300       4.00034      -4.00034
     -25.29700       4.00034      -4.00034
     -25.26200       4.00034      -4.00034
     -25.22600       4.00034      -4.00034
     -25.19000       4.00034      -4.00034
     -25.15500       4.00034      -4.00034
     -25.11900       4.00034      -4.00034
     -25.08400       4.00034      -4.00034
     -25.04800       4.00034      -4.00034
     -25.01300       4.00034      -4.00034
     -24.97700       4.00034      -4.00034
     -24.94200       4.00034      -4.00034
     -24.90600       4.00034      -4.00034
     -24.87000       4.00034      -4.00034
     -24.83500       4.00034      -4.00034
     -24.79900       4.00034      -4.00034
     -24.76400       4.00034      -4.00034
     -24.72800       4.00034      -4.00034
     -24.69300       4.00034      -4.00034
     -24.65700       4.00034      -4.00034
     -24.62200       4.00034      -4.00034
     -24.58600       4.00034      -4.00034
     -24.55100       4.00034      -4.00034
     -24.51500       4.00034      -4.00034
     -24.47900       4.00034      -4.00034
     -24.44400       4.00034      -4.00034
     -24.40800       4.00034      -4.00034
     -24.37300       4.00034      -4.00034
     -24.33700       4.00034      -4.00034
     -24.30200       4.00034      -4.00034
     -24.26600       4.00034      -4.00034
     -24.23100       4.00034      -4.00034
     -24.19500       4.00034      -4.00034
     -24.16000       4.00034      -4.00034
     -24.12400       4.00034      -4.00034
     -24.08800       4.00034      -4.00034
     -24.05300       4.00034      -4.00034
     -24.01700       4.00034      -4.00034
     -23.98200       4.00034      -4.00034
     -23.94600       4.00034      -4.00034
     -23.91100       4.00034      -4.00034
     -23.87500       4.00034      -4.00034
     -23.84000       4.00034      -4.00034
     -23.80400       4.00034      -4.00034
     -23.76900       4.00034      -4.00034
     -23.73300       4.00034      -4.00034
     -23.69700       4.00034      -4.00034
     -23.66200       4.00034      -4.00034
     -23.62600       4.00034      -4.00034
     -23.59100       4.00034      -4.00034
     -23.55500       4.00034      -4.00034
     -23.52000       4.00034      -4.00034
     -23.48400       4.00034      -4.00034
     -23.44900       4.00034      -4.00034
     -23.41300       4.00034      -4.00034
     -23.37700       4.00034      -4.00034
     -23.34200       4.00034      -4.00034
     -23.30600       4.00034      -4.00034
     -23.27100       4.00034      -4.00034
     -23.23500       4.00034      -4.00034
     -23.20000       4.00034      -4.00034
     -23.16400       4.00034      -4.00034
     -23.12900       4.00034      -4.00034
     -23.09300       4.00034      -4.00034
     -23.05800       4.00034      -4.00034
     -23.02200       4.00034      -4.00034
     -22.98600       4.00034      -4.00034
     -22.95100       4.00034      -4.00034
     -22.91500       4.00034      -4.00034
     -22.88000       4.00034      -4.00034
     -22.84400       4.00034      -4.00034
     -22.80900       4.00034      -4.00034
     -22.77300       4.00034      -4.00034
     -22.73800       4.00034      -4.00034
     -22.70200       4.00034      -4.00034
     -22.66700       4.00039      -4.00039
     -22.63100       4.00282      -4.00282
     -22.59500       4.04545      -4.04545
     -22.56000       4.35001      -4.35001
     -22.52400       5.29452      -5.29452
     -22.48900       6.66508      -6.66508
     -22.45300       7.63181      -7.63181
     -22.41800       7.95157      -7.95157
     -22.38200       7.99757      -7.99757
     -22.34700       8.00027      -8.00027
     -22.31100       8.00033      -8.00033
     -22.27500       8.00033      -8.00033
     -22.24000       8.00033      -8.00033
     -22.20400       8.00033      -8.00033
     -22.16900       8.00033      -8.00033
     -22.13300       8.00033      -8.00033
     -22.09800       8.00033      -8.00033
     -22.06200       8.00033      -8.00033
     -22.02700       8.00033      -8.00033
     -21.99100       8.00033      -8.00033
     -21.95600       8.00033      -8.00033
     -21.92000       8.00033      -8.00033
     -21.88400       8.00033      -8.00033
     -21.84900       8.00033      -8.00033
     -21.81300       8.00033      -8.00033
     -21.77800       8.00033      -8.00033
     -21.74200       8.00033      -8.00033
     -21.70700       8.00033      -8.00033
     -21.67100       8.00033      -8.00033
     -21.63600       8.00033      -8.00033
     -21.60000       8.00033      -8.00033
     -21.56500       8.00033      -8.00033
     -21.52900       8.00033      -8.00033
     -21.49300       8.00033      -8.00033
     -21.45800       8.00033      -8.00033
     -21.42200       8.00033      -8.00033
     -21.38700       8.00033      -8.00033
     -21.35100       8.00033      -8.00033
     -21.31600       8.00033      -8.00033
     -21.28000       8.00033      -8.00033
     -21.24500       8.00033      -8.00033
     -21.20900       8.00034      -8.00034
     -21.17300       8.00067      -8.00067
     -21.13800       8.00996      -8.00996
     -21.10200       8.11590      -8.11590
     -21.06700       8.63714      -8.63714
     -21.03100       9.82747      -9.82747
     -20.99600      11.26379     -11.26379
     -20.96000      12.55917     -12.55917
     -20.92500      13.96208     -13.96208
     -20.88900      15.47127     -15.47127
     -20.85400      16.92181     -16.92181
     -20.81800      18.32063     -18.32063
     -20.78200      19.53727     -19.53727
     -20.74700      20.61971     -20.61971
     -20.71100      21.80009     -21.80009
     -20.67600      23.05725     -23.05725
     -20.64000      24.19390     -24.19390
     -20.60500      25.11886     -25.11886
     -20.56900      25.96615     -25.96615
     -20.53400      26.85308     -26.85308
     -20.49800      27.57062     -27.57062
     -20.46300      27.91078     -27.91078
     -20.42700      27.99194     -27.99194
     -20.39100      28.00065     -28.00065
     -20.35600      28.00115     -28.00115
     -20.32000      28.00533     -28.00533
     -20.28500      28.06794     -28.06794
     -20.24900      28.46562     -28.46562
     -20.21400      29.66661     -29.66661
     -20.17800      31.79328     -31.79328
     -20.14300      34.66059     -34.66059
     -20.10700      37.94862     -37.94862
     -20.07100      40.95599     -40.95599
     -20.03600      43.19499     -43.19499
     -20.00000      44.72730     -44.72730
     -19.96500      45.70096     -45.70096
     -19.92900      46.41015     -46.41015
     -19.89400      47.26632     -47.26632
     -19.85800      48.29295     -48.29295
     -19.82300      49.22520     -49.22520
     -19.78700      50.00922     -50.00922
     -19.75200      50.78612     -50.78612
     -19.71600      51.48180     -51.48180
     -19.68000      51.87233     -51.87233
     -19.64500      51.98523     -51.98523
     -19.60900      52.00006     -52.00006
     -19.57400      52.00088     -52.00088
     -19.53800      52.00089     -52.00089
     -19.50300      52.00089     -52.00089
     -19.46700      52.00089     -52.00089
     -19.43200      52.00089     -52.00089
     -19.39600      52.00092     -52.00092
     -19.36100      52.00163     -52.00163
     -19.32500      52.00980     -52.00980
     -19.28900      52.05392     -52.05392
     -19.25400      52.18783     -52.18783
     -19.21800      52.48844     -52.48844
     -19.18300      53.13524     -53.13524
     -19.14700      54.27172     -54.27172
     -19.11200      55.51626     -55.51626
     -19.07600      56.33582     -56.33582
     -19.04100      56.79368     -56.79368
     -19.00500      57.20408     -57.20408
     -18.97000      57.66248     -57.66248
     -18.93400      58.19019     -58.19019
     -18.89800      58.89991     -58.89991
     -18.86300      59.73831     -59.73831
     -18.82700      60.47256     -60.47256
     -18.79200      61.06372     -61.06372
     -18.75600      61.67426     -61.67426
     -18.72100      62.57416     -62.57416
     -18.68500      63.86296     -63.86296
     -18.65000      65.05454     -65.05454
     -18.61400      65.74008     -65.74008
     -18.57800      66.28468     -66.28468
     -18.54300      67.15277     -67.15277
     -18.50700      68.23965     -68.23965
     -18.47200      69.35728     -69.35728
     -18.43600      70.57339     -70.57339
     -18.40100      71.74896     -71.74896
     -18.36500      72.82892     -72.82892
     -18.33000      74.11825     -74.11825
     -18.29400      75.69321     -75.69321
     -18.25900      77.38868     -77.38868
     -18.22300      78.86055     -78.86055
     -18.18700      79.74303     -79.74303
     -18.15200      80.15087     -80.15087
     -18.11600      80.46825     -80.46825
     -18.08100      81.06635     -81.06635
     -18.04500      82.15145     -82.15145
     -18.01000      83.46229     -83.46229
     -17.97400      84.51469     -84.51469
     -17.93900      85.18158     -85.18158
     -17.90300      85.75017     -85.75017
     -17.86800      86.62305     -86.62305
     -17.83200      87.91914     -87.91914
     -17.79600      89.18305     -89.18305
     -17.76100      89.97791     -89.97791
     -17.72500      90.57405     -90.57405
