      #Energy        TDOS-UP        TDOS-DOWN
     -28.07000       0.00000       0.00000
     -28.03400       0.00000       0.00000
     -27.99900       0.00000       0.00000
     -27.96300       0.00000       0.00000
     -27.92800       0.00000       0.00000
     -27.89200       0.00000       0.00000
     -27.85700       0.00000       0.00000
     -27.82100       0.00000       0.00000
     -27.78500       0.00000       0.00000
     -27.75000       0.00000       0.00000
     -27.71400       0.00000       0.00000
     -27.67900       0.00000       0.00000
     -27.64300       0.00000       0.00000
     -27.60800       0.00000       0.00000
     -27.57200       0.00000       0.00000
     -27.53700       0.00000       0.00000
     -27.50100       0.00000       0.00000
     -27.46600       0.00000       0.00000
     -27.43000       0.00000       0.00000
     -27.39400       0.00000       0.00000
     -27.35900       0.00000       0.00000
     -27.32300       0.00000       0.00000
     -27.28800       0.00000       0.00000
     -27.25200       0.00000       0.00000
     -27.21700       0.00000       0.00000
     -27.18100       0.00000       0.00000
     -27.14600       0.00000       0.00000
     -27.11000       0.00000       0.00000
     -27.07400       0.00000       0.00000
     -27.03900       0.00000       0.00000
     -27.00300       0.00000       0.00000
     -26.96800       0.00000       0.00000
     -26.93200       0.00000       0.00000
     -26.89700       0.00000       0.00000
     -26.86100       0.00000       0.00000
     -26.82600       0.00000       0.00000
     -26.79000       0.00000       0.00000
     -26.75500       0.00000       0.00000
     -26.71900       0.00000      -0.00000
     -26.68300       0.00000      -0.00000
     -26.64800       0.00000      -0.00000
     -26.61200       0.00047      -0.00047
     -26.57700       0.03119      -0.03119
     -26.54100       0.78610      -0.78610
     -26.50600       7.63700      -7.63700
     -26.47000      28.95000     -28.95000
     -26.43500      43.20000     -43.20000
     -26.39900      25.47000     -25.47000
     -26.36400       5.90600      -5.90600
     -26.32800       0.53340      -0.53340
     -26.29200       0.01854      -0.01854
     -26.25700       0.00024      -0.00024
     -26.22100       0.00000      -0.00000
     -26.18600       0.00000      -0.00000
     -26.15000       0.00000      -0.00000
     -26.11500       0.00000       0.00000
     -26.07900       0.00000       0.00000
     -26.04400       0.00000       0.00000
     -26.00800       0.00000       0.00000
     -25.97200       0.00000       0.00000
     -25.93700       0.00000       0.00000
     -25.90100       0.00000       0.00000
     -25.86600       0.00000       0.00000
     -25.83000       0.00000       0.00000
     -25.79500       0.00000       0.00000
     -25.75900       0.00000       0.00000
     -25.72400       0.00000       0.00000
     -25.68800       0.00000       0.00000
     -25.65300       0.00000       0.00000
     -25.61700       0.00000       0.00000
     -25.58100       0.00000       0.00000
     -25.54600       0.00000       0.00000
     -25.51000       0.00000       0.00000
     -25.47500       0.00000       0.00000
     -25.43900       0.00000       0.00000
     -25.40400       0.00000       0.00000
     -25.36800       0.00000       0.00000
     -25.33300       0.00000       0.00000
     -25.29700       0.00000       0.00000
     -25.26200       0.00000       0.00000
     -25.22600       0.00000       0.00000
     -25.19000       0.00000       0.00000
     -25.15500       0.00000       0.00000
     -25.11900       0.00000       0.00000
     -25.08400       0.00000       0.00000
     -25.04800       0.00000       0.00000
     -25.01300       0.00000       0.00000
     -24.97700       0.00000       0.00000
     -24.94200       0.00000       0.00000
     -24.90600       0.00000       0.00000
     -24.87000       0.00000       0.00000
     -24.83500       0.00000       0.00000
     -24.79900       0.00000       0.00000
     -24.76400       0.00000       0.00000
     -24.72800       0.00000       0.00000
     -24.69300       0.00000       0.00000
     -24.65700       0.00000       0.00000
     -24.62200       0.00000       0.00000
     -24.58600       0.00000       0.00000
     -24.55100       0.00000       0.00000
     -24.51500       0.00000       0.00000
     -24.47900       0.00000       0.00000
     -24.44400       0.00000       0.00000
     -24.40800       0.00000       0.00000
     -24.37300       0.00000       0.00000
     -24.33700       0.00000       0.00000
     -24.30200       0.00000       0.00000
     -24.26600       0.00000       0.00000
     -24.23100       0.00000       0.00000
     -24.19500       0.00000       0.00000
     -24.16000       0.00000       0.00000
     -24.12400       0.00000       0.00000
     -24.08800       0.00000       0.00000
     -24.05300       0.00000       0.00000
     -24.01700       0.00000       0.00000
     -23.98200       0.00000       0.00000
     -23.94600       0.00000       0.00000
     -23.91100       0.00000       0.00000
     -23.87500       0.00000       0.00000
     -23.84000       0.00000       0.00000
     -23.80400       0.00000       0.00000
     -23.76900       0.00000       0.00000
     -23.73300       0.00000       0.00000
     -23.69700       0.00000       0.00000
     -23.66200       0.00000       0.00000
     -23.62600       0.00000       0.00000
     -23.59100       0.00000       0.00000
     -23.55500       0.00000       0.00000
     -23.52000       0.00000       0.00000
     -23.48400       0.00000       0.00000
     -23.44900       0.00000       0.00000
     -23.41300       0.00000       0.00000
     -23.37700       0.00000       0.00000
     -23.34200       0.00000       0.00000
     -23.30600       0.00000       0.00000
     -23.27100       0.00000       0.00000
     -23.23500       0.00000       0.00000
     -23.20000       0.00000       0.00000
     -23.16400       0.00000       0.00000
     -23.12900       0.00000       0.00000
     -23.09300       0.00000       0.00000
     -23.05800       0.00000       0.00000
     -23.02200       0.00000       0.00000
     -22.98600       0.00000       0.00000
     -22.95100       0.00000       0.00000
     -22.91500       0.00000       0.00000
     -22.88000       0.00000       0.00000
     -22.84400       0.00000       0.00000
     -22.80900       0.00000      -0.00000
     -22.77300       0.00000      -0.00000
     -22.73800       0.00000      -0.00000
     -22.70200       0.00003      -0.00003
     -22.66700       0.00301      -0.00301
     -22.63100       0.13350      -0.13350
     -22.59500       2.26500      -2.26500
     -22.56000      14.87000     -14.87000
     -22.52400      38.27000     -38.27000
     -22.48900      38.84000     -38.84000
     -22.45300      15.55000     -15.55000
     -22.41800       2.44000      -2.44000
     -22.38200       0.14830      -0.14830
     -22.34700       0.00345      -0.00345
     -22.31100       0.00003      -0.00003
     -22.27500       0.00000      -0.00000
     -22.24000       0.00000      -0.00000
     -22.20400       0.00000      -0.00000
     -22.16900       0.00000       0.00000
     -22.13300       0.00000       0.00000
     -22.09800       0.00000       0.00000
     -22.06200       0.00000       0.00000
     -22.02700       0.00000       0.00000
     -21.99100       0.00000       0.00000
     -21.95600       0.00000       0.00000
     -21.92000       0.00000       0.00000
     -21.88400       0.00000       0.00000
     -21.84900       0.00000       0.00000
     -21.81300       0.00000       0.00000
     -21.77800       0.00000       0.00000
     -21.74200       0.00000       0.00000
     -21.70700       0.00000       0.00000
     -21.67100       0.00000       0.00000
     -21.63600       0.00000       0.00000
     -21.60000       0.00000       0.00000
     -21.56500       0.00000       0.00000
     -21.52900       0.00000       0.00000
     -21.49300       0.00000       0.00000
     -21.45800       0.00000       0.00000
     -21.42200       0.00000       0.00000
     -21.38700       0.00000       0.00000
     -21.35100       0.00000      -0.00000
     -21.31600       0.00000      -0.00000
     -21.28000       0.00000      -0.00000
     -21.24500       0.00000      -0.00000
     -21.20900       0.00027      -0.00027
     -21.17300       0.01860      -0.01860
     -21.13800       0.50410      -0.50410
     -21.10200       5.45600      -5.45600
     -21.06700      23.87000     -23.87000
     -21.03100      43.10000     -43.10000
     -20.99600      37.71000     -37.71000
     -20.96000      35.17000     -35.17000
     -20.92500      43.76000     -43.76000
     -20.88900      41.15000     -41.15000
     -20.85400      40.46000     -40.46000
     -20.81800      38.24000     -38.24000
     -20.78200      30.21000     -30.21000
     -20.74700      30.69000     -30.69000
     -20.71100      35.72000     -35.72000
     -20.67600      35.01000     -35.01000
     -20.64000      28.94000     -28.94000
     -20.60500      23.10000     -23.10000
     -20.56900      24.57000     -24.57000
     -20.53400      25.33000     -25.33000
     -20.49800      15.04000     -15.04000
     -20.46300       4.09800      -4.09800
     -20.42700       0.46840      -0.46840
     -20.39100       0.02158      -0.02158
     -20.35600       0.00657      -0.00657
     -20.32000       0.22860      -0.22860
     -20.28500       3.29400      -3.29400
     -20.24900      19.08000     -19.08000
     -20.21400      48.49000     -48.49000
     -20.17800      71.16000     -71.16000
     -20.14300      90.16000     -90.16000
     -20.10700      94.83000     -94.83000
     -20.07100      74.37000     -74.37000
     -20.03600      51.60000     -51.60000
     -20.00000      34.61000     -34.61000
     -19.96500      20.17000     -20.17000
     -19.92900      19.73000     -19.73000
     -19.89400      28.44000     -28.44000
     -19.85800      29.32000     -29.32000
     -19.82300      23.13000     -23.13000
     -19.78700      20.98000     -20.98000
     -19.75200      22.73000     -22.73000
     -19.71600      16.41000     -16.41000
     -19.68000       5.56200      -5.56200
     -19.64500       0.78970      -0.78970
     -19.60900       0.04487      -0.04487
     -19.57400       0.00099      -0.00099
     -19.53800       0.00001      -0.00001
     -19.50300       0.00000      -0.00000
     -19.46700       0.00000      -0.00000
     -19.43200       0.00002      -0.00002
     -19.39600       0.00146      -0.00146
     -19.36100       0.03865      -0.03865
     -19.32500       0.42110      -0.42110
     -19.28900       2.06100      -2.06100
     -19.25400       5.47300      -5.47300
     -19.21800      11.44000     -11.44000
     -19.18300      24.95000     -24.95000
     -19.14700      38.99000     -38.99000
     -19.11200      31.03000     -31.03000
     -19.07600      15.08000     -15.08000
     -19.04100      10.68000     -10.68000
     -19.00500      12.41000     -12.41000
     -18.97000      13.38000     -13.38000
     -18.93400      16.31000     -16.31000
     -18.89800      23.62000     -23.62000
     -18.86300      23.55000     -23.55000
     -18.82700      17.76000     -17.76000
     -18.79200      15.50000     -15.50000
     -18.75600      18.85000     -18.85000
     -18.72100      31.78000     -31.78000
     -18.68500      40.73000     -40.73000
     -18.65000      26.31000     -26.31000
     -18.61400      12.26000     -12.26000
     -18.57800      18.38000     -18.38000
     -18.54300      30.46000     -30.46000
     -18.50700      30.69000     -30.69000
     -18.47200      32.19000     -32.19000
     -18.43600      36.23000     -36.23000
     -18.40100      29.91000     -29.91000
     -18.36500      30.85000     -30.85000
     -18.33000      41.69000     -41.69000
     -18.29400      46.92000     -46.92000
     -18.25900      48.47000     -48.47000
     -18.22300      34.34000     -34.34000
     -18.18700      15.31000     -15.31000
     -18.15200       7.63600      -7.63600
     -18.11600      10.22000     -10.22000
     -18.08100      23.43000     -23.43000
     -18.04500      37.62000     -37.62000
     -18.01000      36.13000     -36.13000
     -17.97400      23.08000     -23.08000
     -17.93900      14.44000     -14.44000
     -17.90300      17.55000     -17.55000
     -17.86800      31.56000     -31.56000
     -17.83200      41.36000     -41.36000
     -17.79600      29.75000     -29.75000
     -17.76100      14.97000     -14.97000
     -17.72500      18.57000     -18.57000
     -17.69000      32.61000     -32.61000
     -17.65400      34.23000     -34.23000
     -17.61900      22.80000     -22.80000
     -17.58300      21.84000     -21.84000
     -17.54800      40.69000     -40.69000
     -17.51200      46.48000     -46.48000
