      #Energy        TDOS-UP        TDOS-DOWN
     -22.68900       0.00000       0.00000
     -22.65900       0.00000       0.00000
     -22.62900       0.00000       0.00000
     -22.59900       0.00000       0.00000
     -22.56900       0.00000       0.00000
     -22.53900       0.00000       0.00000
     -22.50900       0.00000       0.00000
     -22.48000       0.00000       0.00000
     -22.45000       0.00000       0.00000
     -22.42000       0.00000       0.00000
     -22.39000       0.00000       0.00000
     -22.36000       0.00000       0.00000
     -22.33000       0.00000       0.00000
     -22.30000       0.00000       0.00000
     -22.27000       0.00000       0.00000
     -22.24100       0.00000       0.00000
     -22.21100       0.00000       0.00000
     -22.18100       0.00000       0.00000
     -22.15100       0.00000       0.00000
     -22.12100       0.00000       0.00000
     -22.09100       0.00000       0.00000
     -22.06100       0.00000       0.00000
     -22.03200       0.00000       0.00000
     -22.00200       0.00000       0.00000
     -21.97200       0.00000       0.00000
     -21.94200       0.00000       0.00000
     -21.91200       0.00000       0.00000
     -21.88200       0.00000       0.00000
     -21.85200       0.00000       0.00000
     -21.82300       0.00000       0.00000
     -21.79300       0.00000       0.00000
     -21.76300       0.00000       0.00000
     -21.73300       0.00000       0.00000
     -21.70300       0.00000       0.00000
     -21.67300       0.00000       0.00000
     -21.64300       0.00000       0.00000
     -21.61400       0.00000       0.00000
     -21.58400       0.00000      -0.00000
     -21.55400       0.00000      -0.00000
     -21.52400       0.00000      -0.00000
     -21.49400       0.00005      -0.00000
     -21.46400       0.00213      -0.00026
     -21.43400       0.04813      -0.00863
     -21.40500       0.57590      -0.14850
     -21.37500       3.73500      -1.36500
     -21.34500      13.50000      -6.87900
     -21.31500      28.07000     -19.61000
     -21.28500      35.64000     -32.98000
     -21.25500      33.58000     -36.61000
     -21.22500      33.92000     -35.73000
     -21.19600      35.75000     -36.80000
     -21.16600      31.66000     -32.91000
     -21.13600      32.62000     -29.10000
     -21.10600      43.38000     -36.55000
     -21.07600      46.67000     -45.23000
     -21.04600      34.83000     -40.79000
     -21.01600      18.74000     -27.19000
     -20.98700       7.15800     -13.84000
     -20.95700       1.76200      -4.92400
     -20.92700       0.55790      -1.13800
     -20.89700       2.66900      -0.99190
     -20.86700      11.98000      -5.55800
     -20.83700      30.25000     -19.35000
     -20.80700      46.53000     -38.78000
     -20.77700      49.62000     -49.72000
     -20.74800      41.49000     -46.43000
     -20.71800      32.18000     -35.41000
     -20.68800      26.70000     -28.15000
     -20.65800      18.24000     -24.04000
     -20.62800      11.58000     -16.31000
     -20.59800      22.73000     -17.06000
     -20.56800      53.47000     -39.16000
     -20.53900      79.35000     -67.40000
     -20.50900      79.56000     -77.20000
     -20.47900      57.86000     -67.93000
     -20.44900      28.55000     -45.03000
     -20.41900       9.54600     -19.40000
     -20.38900       7.57700      -6.93900
     -20.35900      17.72000     -10.48000
     -20.33000      28.22000     -22.68000
     -20.30000      29.97000     -30.28000
     -20.27000      28.51000     -29.55000
     -20.24000      27.34000     -28.23000
     -20.21000      22.82000     -25.98000
     -20.18000      16.06000     -20.09000
     -20.15000      10.53000     -13.55000
     -20.12100       6.74100      -8.84200
     -20.09100       3.74600      -5.47500
     -20.06100       1.47700      -2.72300
     -20.03100       0.35080      -0.89260
     -20.00100       0.05209      -0.16960
     -19.97100       0.12120      -0.04482
     -19.94100       1.12700      -0.37610
     -19.91200       5.56500      -2.61400
     -19.88200      14.45000      -9.47600
     -19.85200      20.60000     -18.34000
     -19.82200      18.53000     -20.40000
     -19.79200      15.38000     -16.52000
     -19.76200      18.49000     -15.72000
     -19.73200      30.13000     -22.56000
     -19.70300      44.87000     -36.82000
