      #Energy        TDOS-UP        TDOS-DOWN
     -22.65100       0.00000       0.00000
     -22.62100       0.00000       0.00000
     -22.59100       0.00000       0.00000
     -22.56100       0.00000       0.00000
     -22.53100       0.00000       0.00000
     -22.50200       0.00000       0.00000
     -22.47200       0.00000       0.00000
     -22.44200       0.00000       0.00000
     -22.41200       0.00000       0.00000
     -22.38200       0.00000       0.00000
     -22.35200       0.00000       0.00000
     -22.32300       0.00000       0.00000
     -22.29300       0.00000       0.00000
     -22.26300       0.00000       0.00000
     -22.23300       0.00000       0.00000
     -22.20300       0.00000       0.00000
     -22.17300       0.00000       0.00000
     -22.14300       0.00000       0.00000
     -22.11400       0.00000       0.00000
     -22.08400       0.00000       0.00000
     -22.05400       0.00000       0.00000
     -22.02400       0.00000       0.00000
     -21.99400       0.00000       0.00000
     -21.96400       0.00000       0.00000
     -21.93500       0.00000       0.00000
     -21.90500       0.00000       0.00000
     -21.87500       0.00000       0.00000
     -21.84500       0.00000       0.00000
     -21.81500       0.00000       0.00000
     -21.78500       0.00000       0.00000
     -21.75500       0.00000       0.00000
     -21.72600       0.00000       0.00000
     -21.69600       0.00000       0.00000
     -21.66600       0.00000       0.00000
     -21.63600       0.00000       0.00000
     -21.60600       0.00000       0.00000
     -21.57600       0.00000      -0.00000
     -21.54700       0.00000      -0.00000
     -21.51700       0.00000      -0.00000
     -21.48700       0.00000      -0.00000
     -21.45700       0.00000      -0.00000
     -21.42700       0.00003      -0.00003
     -21.39700       0.00080      -0.00080
     -21.36700       0.01036      -0.01036
     -21.33800       0.07678      -0.07678
     -21.30800       0.34360      -0.34360
     -21.27800       0.99262      -0.99262
     -21.24800       2.01741      -2.01741
     -21.21800       3.20904      -3.20904
     -21.18800       4.40963      -4.40963
     -21.15900       5.52456      -5.52456
     -21.12900       6.52741      -6.52741
     -21.09900       7.62294      -7.62294
     -21.06900       8.97306      -8.97306
     -21.03900      10.33408     -10.33408
     -21.00900      11.31395     -11.31395
     -20.97900      11.80080     -11.80080
     -20.95000      11.96240     -11.96240
     -20.92000      12.00153     -12.00153
     -20.89000      12.05342     -12.05342
     -20.86000      12.28520     -12.28520
     -20.83000      12.94615     -12.94615
     -20.80000      14.13585     -14.13585
     -20.77000      15.61819     -15.61819
     -20.74100      17.07442     -17.07442
     -20.71100      18.35574     -18.35574
     -20.68100      19.44292     -19.44292
     -20.65100      20.49785     -20.49785
     -20.62100      21.73530     -21.73530
     -20.59100      22.95454     -22.95454
     -20.56200      23.80578     -23.80578
     -20.53200      24.53314     -24.53314
     -20.50200      25.74433     -25.74433
     -20.47200      27.46291     -27.46291
     -20.44200      28.96734     -28.96734
     -20.41200      29.76261     -29.76261
     -20.38200      30.09153     -30.09153
     -20.35300      30.40091     -30.40091
     -20.32300      30.90368     -30.90368
     -20.29300      31.59986     -31.59986
     -20.26300      32.40990     -32.40990
     -20.23300      33.25875     -33.25875
     -20.20300      34.07237     -34.07237
     -20.17400      34.76019     -34.76019
     -20.14400      35.26281     -35.26281
     -20.11400      35.59325     -35.59325
     -20.08400      35.80147     -35.80147
     -20.05400      35.92313     -35.92313
     -20.02400      35.97961     -35.97961
     -19.99400      35.99737     -35.99737
     -19.96500      36.00270     -36.00270
     -19.93500      36.02345     -36.02345
     -19.90500      36.13437     -36.13437
     -19.87500      36.47214     -36.47214
     -19.84500      37.07922     -37.07922
     -19.81500      37.78480     -37.78480
     -19.78600      38.45382     -38.45382
     -19.75600      39.20596     -39.20596
     -19.72600      40.22314     -40.22314
     -19.69600      41.48596     -41.48596
     -19.66600      42.69848     -42.69848
     -19.63600      43.51494     -43.51494
     -19.60600      43.87805     -43.87805
     -19.57700      43.98076     -43.98076
     -19.54700      43.99865     -43.99865
     -19.51700      44.00050     -44.00050
     -19.48700      44.00061     -44.00061
     -19.45700      44.00064     -44.00064
     -19.42700      44.00117     -44.00117
     -19.39800      44.00674     -44.00674
     -19.36800      44.03846     -44.03846
     -19.33800      44.14164     -44.14164
     -19.30800      44.34581     -44.34581
     -19.27800      44.62125     -44.62125
     -19.24800      44.94245     -44.94245
     -19.21800      45.37433     -45.37433
     -19.18900      46.02872     -46.02872
     -19.15900      46.92652     -46.92652
     -19.12900      47.87699     -47.87699
     -19.09900      48.59078     -48.59078
     -19.06900      48.98032     -48.98032
     -19.03900      49.18131     -49.18131
     -19.01000      49.32896     -49.32896
     -18.98000      49.47638     -49.47638
     -18.95000      49.63434     -49.63434
     -18.92000      49.78995     -49.78995
     -18.89000      49.92474     -49.92474
     -18.86000      50.08573     -50.08573
     -18.83000      50.44325     -50.44325
     -18.80100      51.16883     -51.16883
     -18.77100      52.24331     -52.24331
     -18.74100      53.54687     -53.54687
     -18.71100      55.00743     -55.00743
     -18.68100      56.54126     -56.54126
     -18.65100      58.13090     -58.13090
     -18.62200      59.87171     -59.87171
     -18.59200      61.63969     -61.63969
     -18.56200      63.00116     -63.00116
     -18.53200      63.71255     -63.71255
     -18.50200      63.97727     -63.97727
     -18.47200      64.15151     -64.15151
     -18.44200      64.47487     -64.47487
     -18.41300      64.98257     -64.98257
     -18.38300      65.56936     -65.56936
     -18.35300      66.17331     -66.17331
     -18.32300      66.84531     -66.84531
     -18.29300      67.68803     -67.68803
     -18.26300      68.76565     -68.76565
     -18.23400      70.02519     -70.02519
     -18.20400      71.34352     -71.34352
     -18.17400      72.64380     -72.64380
     -18.14400      73.91722     -73.91722
     -18.11400      75.15511     -75.15511
     -18.08400      76.26183     -76.26183
     -18.05400      77.08412     -77.08412
     -18.02500      77.58897     -77.58897
     -17.99500      77.90343     -77.90343
     -17.96500      78.17606     -78.17606
     -17.93500      78.54688     -78.54688
     -17.90500      79.25231     -79.25231
     -17.87500      80.58616     -80.58616
     -17.84600      82.53576     -82.53576
     -17.81600      84.57042     -84.57042
     -17.78600      86.10887     -86.10887
     -17.75600      87.02442     -87.02442
     -17.72600      87.55495     -87.55495
     -17.69600      88.04041     -88.04041
     -17.66600      88.72599     -88.72599
     -17.63700      89.62811     -89.62811
     -17.60700      90.65813     -90.65813
     -17.57700      91.75843     -91.75843
     -17.54700      92.88530     -92.88530
     -17.51700      94.02933     -94.02933
     -17.48700      95.17261     -95.17261
     -17.45700      96.25590     -96.25590
     -17.42800      97.24920     -97.24920
     -17.39800      98.11148     -98.11148
     -17.36800      98.78572     -98.78572
     -17.33800      99.34908     -99.34908
     -17.30800     100.02093    -100.02093
     -17.27800     100.99319    -100.99319
     -17.24900     102.30317    -102.30317
     -17.21900     103.77760    -103.77760
     -17.18900     105.10683    -105.10683
     -17.15900     106.12132    -106.12132
     -17.12900     106.91241    -106.91241
     -17.09900     107.60635    -107.60635
     -17.06900     108.21195    -108.21195
     -17.04000     108.75978    -108.75978
     -17.01000     109.39179    -109.39179
     -16.98000     110.18333    -110.18333
     -16.95000     111.02546    -111.02546
     -16.92000     111.81834    -111.81834
     -16.89000     112.63002    -112.63002
     -16.86100     113.55035    -113.55035
     -16.83100     114.59320    -114.59320
     -16.80100     115.77737    -115.77737
     -16.77100     117.09377    -117.09377
     -16.74100     118.44001    -118.44001
     -16.71100     119.68925    -119.68925
     -16.68100     120.80626    -120.80626
     -16.65200     121.81643    -121.81643
     -16.62200     122.65587    -122.65587
     -16.59200     123.24729    -123.24729
     -16.56200     123.66917    -123.66917
     -16.53200     124.05405    -124.05405
     -16.50200     124.43206    -124.43206
     -16.47300     124.77918    -124.77918
     -16.44300     125.10301    -125.10301
     -16.41300     125.44372    -125.44372
     -16.38300     125.85530    -125.85530
     -16.35300     126.34733    -126.34733
     -16.32300     126.84920    -126.84920
     -16.29300     127.29810    -127.29810
     -16.26400     127.66029    -127.66029
     -16.23400     127.88641    -127.88641
     -16.20400     127.97737    -127.97737
     -16.17400     128.00068    -128.00068
     -16.14400     128.02561    -128.02561
     -16.11400     128.14624    -128.14624
     -16.08500     128.51217    -128.51217
     -16.05500     129.17239    -129.17239
     -16.02500     129.94288    -129.94288
     -15.99500     130.61921    -130.61921
     -15.96500     131.17376    -131.17376
     -15.93500     131.68101    -131.68101
     -15.90500     132.24228    -132.24228
     -15.87600     132.91428    -132.91428
     -15.84600     133.68851    -133.68851
     -15.81600     134.57153    -134.57153
     -15.78600     135.47768    -135.47768
     -15.75600     136.19684    -136.19684
     -15.72600     136.66946    -136.66946
     -15.69700     137.02374    -137.02374
     -15.66700     137.36072    -137.36072
     -15.63700     137.77305    -137.77305
     -15.60700     138.48385    -138.48385
     -15.57700     139.64400    -139.64400
     -15.54700     141.03143    -141.03143
     -15.51700     142.32021    -142.32021
     -15.48800     143.50603    -143.50603
     -15.45800     144.73438    -144.73438
     -15.42800     145.93183    -145.93183
     -15.39800     146.91916    -146.91916
     -15.36800     147.69876    -147.69876
     -15.33800     148.38240    -148.38240
     -15.30900     149.03903    -149.03903
     -15.27900     149.72223    -149.72223
     -15.24900     150.48705    -150.48705
     -15.21900     151.32306    -151.32306
     -15.18900     152.17653    -152.17653
     -15.15900     153.08522    -153.08522
     -15.12900     154.12001    -154.12001
     -15.10000     155.22405    -155.22405
     -15.07000     156.26018    -156.26018
     -15.04000     157.10201    -157.10201
     -15.01000     157.65253    -157.65253
     -14.98000     157.90999    -157.90999
     -14.95000     157.98705    -157.98705
     -14.92100     158.00446    -158.00446
     -14.89100     158.04544    -158.04544
     -14.86100     158.26272    -158.26272
     -14.83100     158.95293    -158.95293
     -14.80100     160.33171    -160.33171
     -14.77100     162.21653    -162.21653
     -14.74100     164.08898    -164.08898
     -14.71200     165.51043    -165.51043
     -14.68200     166.46702    -166.46702
     -14.65200     167.18185    -167.18185
     -14.62200     167.75402    -167.75402
     -14.59200     168.24142    -168.24142
     -14.56200     168.78135    -168.78135
     -14.53300     169.40261    -169.40261
     -14.50300     169.95239    -169.95239
     -14.47300     170.33166    -170.33166
     -14.44300     170.63603    -170.63603
     -14.41300     171.02344    -171.02344
     -14.38300     171.59381    -171.59381
     -14.35300     172.40475    -172.40475
     -14.32400     173.42596    -173.42596
     -14.29400     174.43329    -174.43329
     -14.26400     175.16528    -175.16528
     -14.23400     175.60344    -175.60344
     -14.20400     175.95548    -175.95548
     -14.17400     176.44512    -176.44512
     -14.14400     177.13622    -177.13622
     -14.11500     177.91761    -177.91761
     -14.08500     178.70870    -178.70870
     -14.05500     179.60664    -179.60664
     -14.02500     180.70068    -180.70068
     -13.99500     181.83889    -181.83889
     -13.96500     182.75101    -182.75101
     -13.93600     183.31243    -183.31243
     -13.90600     183.60258    -183.60258
     -13.87600     183.79374    -183.79374
     -13.84600     184.02660    -184.02660
     -13.81600     184.37444    -184.37444
     -13.78600     184.87004    -184.87004
     -13.75600     185.50250    -185.50250
     -13.72700     186.19972    -186.19972
     -13.69700     186.89455    -186.89455
     -13.66700     187.60879    -187.60879
     -13.63700     188.38675    -188.38675
     -13.60700     189.19574    -189.19574
     -13.57700     190.04026    -190.04026
     -13.54800     191.06923    -191.06923
     -13.51800     192.41368    -192.41368
     -13.48800     194.01780    -194.01780
     -13.45800     195.63774    -195.63774
     -13.42800     196.99756    -196.99756
     -13.39800     197.98937    -197.98937
     -13.36800     198.72643    -198.72643
     -13.33900     199.48484    -199.48484
     -13.30900     200.48829    -200.48829
     -13.27900     201.68814    -201.68814
     -13.24900     202.87291    -202.87291
     -13.21900     203.91620    -203.91620
     -13.18900     204.82295    -204.82295
     -13.16000     205.62240    -205.62240
     -13.13000     206.32230    -206.32230
     -13.10000     206.93551    -206.93551
     -13.07000     207.53200    -207.53200
     -13.04000     208.23534    -208.23534
     -13.01000     209.08105    -209.08105
     -12.98000     209.98705    -209.98705
     -12.95100     210.85708    -210.85708
     -12.92100     211.60579    -211.60579
     -12.89100     212.19646    -212.19646
     -12.86100     212.69445    -212.69445
     -12.83100     213.27124    -213.27124
     -12.80100     214.07666    -214.07666
     -12.77200     214.97490    -214.97490
     -12.74200     215.62944    -215.62944
     -12.71200     215.93566    -215.93566
     -12.68200     216.10993    -216.10993
     -12.65200     216.45927    -216.45927
     -12.62200     217.20709    -217.20709
     -12.59200     218.37320    -218.37320
     -12.56300     219.77959    -219.77959
     -12.53300     221.16627    -221.16627
     -12.50300     222.33283    -222.33283
     -12.47300     223.29092    -223.29092
     -12.44300     224.19214    -224.19214
     -12.41300     225.10710    -225.10710
     -12.38400     226.08697    -226.08697
     -12.35400     227.26084    -227.26084
     -12.32400     228.56261    -228.56261
     -12.29400     229.68814    -229.68814
     -12.26400     230.52862    -230.52862
     -12.23400     231.28524    -231.28524
     -12.20400     232.17602    -232.17602
     -12.17500     233.30408    -233.30408
     -12.14500     234.69793    -234.69793
     -12.11500     236.24534    -236.24534
     -12.08500     237.69485    -237.69485
     -12.05500     238.89693    -238.89693
     -12.02500     239.90531    -239.90531
     -11.99600     240.77818    -240.77818
     -11.96600     241.44883    -241.44883
     -11.93600     241.87833    -241.87833
     -11.90600     242.21903    -242.21903
     -11.87600     242.74568    -242.74568
     -11.84600     243.62765    -243.62765
     -11.81600     244.72826    -244.72826
     -11.78700     245.76185    -245.76185
     -11.75700     246.67904    -246.67904
     -11.72700     247.64668    -247.64668
     -11.69700     248.67789    -248.67789
     -11.66700     249.57463    -249.57463
     -11.63700     250.27186    -250.27186
     -11.60800     250.93013    -250.93013
     -11.57800     251.64601    -251.64601
     -11.54800     252.41620    -252.41620
     -11.51800     253.31907    -253.31907
     -11.48800     254.39415    -254.39415
     -11.45800     255.52908    -255.52908
     -11.42800     256.62714    -256.62714
     -11.39900     257.69029    -257.69029
     -11.36900     258.79238    -258.79238
     -11.33900     260.02729    -260.02729
     -11.30900     261.41458    -261.41458
     -11.27900     262.86185    -262.86185
     -11.24900     264.18809    -264.18809
     -11.22000     265.22960    -265.22960
     -11.19000     265.99412    -265.99412
     -11.16000     266.65478    -266.65478
     -11.13000     267.39887    -267.39887
     -11.10000     268.31501    -268.31501
     -11.07000     269.37667    -269.37667
     -11.04000     270.50891    -270.50891
     -11.01100     271.65219    -271.65219
     -10.98100     272.74503    -272.74503
     -10.95100     273.72266    -273.72266
     -10.92100     274.60538    -274.60538
     -10.89100     275.52228    -275.52228
     -10.86100     276.62482    -276.62482
     -10.83100     277.99703    -277.99703
     -10.80200     279.64771    -279.64771
     -10.77200     281.55104    -281.55104
     -10.74200     283.62286    -283.62286
     -10.71200     285.71005    -285.71005
     -10.68200     287.71322    -287.71322
     -10.65200     289.59491    -289.59491
     -10.62300     291.27454    -291.27454
     -10.59300     292.75360    -292.75360
     -10.56300     294.20580    -294.20580
     -10.53300     295.78350    -295.78350
     -10.50300     297.50432    -297.50432
     -10.47300     299.26737    -299.26737
     -10.44300     300.82329    -300.82329
     -10.41400     301.95135    -301.95135
     -10.38400     302.72901    -302.72901
     -10.35400     303.47354    -303.47354
     -10.32400     304.44670    -304.44670
     -10.29400     305.64221    -305.64221
     -10.26400     306.94741    -306.94741
     -10.23500     308.44602    -308.44602
     -10.20500     310.22400    -310.22400
     -10.17500     311.98213    -311.98213
     -10.14500     313.25688    -313.25688
     -10.11500     313.99529    -313.99529
     -10.08500     314.56835    -314.56835
     -10.05500     315.23722    -315.23722
     -10.02600     315.97906    -315.97906
      -9.99600     316.74568    -316.74568
      -9.96600     317.47260    -317.47260
      -9.93600     318.06596    -318.06596
      -9.90600     318.63991    -318.63991
      -9.87600     319.46264    -319.46264
      -9.84700     320.60801    -320.60801
      -9.81700     321.85113    -321.85113
      -9.78700     322.92442    -322.92442
      -9.75700     323.72685    -323.72685
      -9.72700     324.29409    -324.29409
      -9.69700     324.73926    -324.73926
      -9.66700     325.27561    -325.27561
      -9.63800     326.20728    -326.20728
      -9.60800     327.66634    -327.66634
      -9.57800     329.40686    -329.40686
      -9.54800     331.05589    -331.05589
      -9.51800     332.34990    -332.34990
      -9.48800     333.17935    -333.17935
      -9.45900     333.63750    -333.63750
      -9.42900     333.92332    -333.92332
      -9.39900     334.25855    -334.25855
      -9.36900     334.89220    -334.89220
      -9.33900     335.96086    -335.96086
      -9.30900     337.41978    -337.41978
      -9.27900     339.27506    -339.27506
      -9.25000     341.61355    -341.61355
      -9.22000     344.27619    -344.27619
      -9.19000     346.86436    -346.86436
      -9.16000     349.21271    -349.21271
      -9.13000     351.49390    -351.49390
      -9.10000     353.79852    -353.79852
      -9.07100     356.14792    -356.14792
      -9.04100     358.70072    -358.70072
      -9.01100     361.49110    -361.49110
      -8.98100     364.35639    -364.35639
      -8.95100     367.16946    -367.16946
      -8.92100     369.95685    -369.95685
      -8.89100     372.78230    -372.78230
      -8.86200     375.40853    -375.40853
      -8.83200     377.49825    -377.49825
      -8.80200     379.23131    -379.23131
      -8.77200     381.15509    -381.15509
      -8.74200     383.55373    -383.55373
      -8.71200     386.41485    -386.41485
      -8.68300     389.77112    -389.77112
      -8.65300     393.59152    -393.59152
      -8.62300     397.52533    -397.52533
      -8.59300     401.04278    -401.04278
      -8.56300     403.87883    -403.87883
      -8.53300     406.33164    -406.33164
      -8.50300     408.87116    -408.87116
      -8.47400     411.50738    -411.50738
      -8.44400     413.87423    -413.87423
      -8.41400     415.76980    -415.76980
      -8.38400     417.37318    -417.37318
      -8.35400     418.97237    -418.97237
      -8.32400     420.58708    -420.58708
      -8.29500     422.13315    -422.13315
      -8.26500     423.87292    -423.87292
      -8.23500     426.15277    -426.15277
      -8.20500     428.70945    -428.70945
      -8.17500     430.94796    -430.94796
      -8.14500     432.73355    -432.73355
      -8.11500     434.30409    -434.30409
      -8.08600     435.94820    -435.94820
      -8.05600     437.95645    -437.95645
      -8.02600     440.41165    -440.41165
      -7.99600     443.23695    -443.23695
      -7.96600     446.35445    -446.35445
      -7.93600     449.47195    -449.47195
      -7.90700     452.18399    -452.18399
      -7.87700     454.41265    -454.41265
      -7.84700     456.47462    -456.47462
      -7.81700     458.67030    -458.67030
      -7.78700     460.94343    -460.94343
      -7.75700     463.17493    -463.17493
      -7.72700     465.46971    -465.46971
      -7.69800     467.92088    -467.92088
      -7.66800     470.39608    -470.39608
      -7.63800     472.59131    -472.59131
      -7.60800     474.27691    -474.27691
      -7.57800     475.51511    -475.51511
      -7.54800     476.52751    -476.52751
      -7.51800     477.50589    -477.50589
      -7.48900     478.71469    -478.71469
      -7.45900     480.42730    -480.42730
      -7.42900     482.58493    -482.58493
      -7.39900     484.82926    -484.82926
      -7.36900     486.86198    -486.86198
      -7.33900     488.54101    -488.54101
      -7.31000     489.79458    -489.79458
      -7.28000     490.63939    -490.63939
      -7.25000     491.22141    -491.22141
      -7.22000     491.78999    -491.78999
      -7.19000     492.56824    -492.56824
      -7.16000     493.59453    -493.59453
      -7.13000     494.73274    -494.73274
      -7.10100     495.87990    -495.87990
      -7.07100     497.11511    -497.11511
      -7.04100     498.55746    -498.55746
      -7.01100     500.22500    -500.22500
      -6.98100     502.10789    -502.10789
      -6.95100     504.14598    -504.14598
      -6.92200     506.12796    -506.12796
      -6.89200     507.77312    -507.77312
      -6.86200     508.93998    -508.93998
      -6.83200     509.75778    -509.75778
      -6.80200     510.56171    -510.56171
      -6.77200     511.69260    -511.69260
      -6.74200     513.31090    -513.31090
      -6.71300     515.35391    -515.35391
      -6.68300     517.70808    -517.70808
      -6.65300     520.32102    -520.32102
      -6.62300     523.02112    -523.02112
      -6.59300     525.59391    -525.59391
      -6.56300     528.15000    -528.15000
