      #Energy        TDOS-UP        TDOS-DOWN
     -25.09800       0.00000       0.00000
     -25.06500       0.00000       0.00000
     -25.03300       0.00000       0.00000
     -25.00100       0.00000       0.00000
     -24.96800       0.00000       0.00000
     -24.93600       0.00000       0.00000
     -24.90300       0.00000       0.00000
     -24.87100       0.00000       0.00000
     -24.83900       0.00000       0.00000
     -24.80600       0.00000       0.00000
     -24.77400       0.00000       0.00000
     -24.74100       0.00000       0.00000
     -24.70900       0.00000       0.00000
     -24.67700       0.00000       0.00000
     -24.64400       0.00000       0.00000
     -24.61200       0.00000       0.00000
     -24.58000       0.00000       0.00000
     -24.54700       0.00000       0.00000
     -24.51500       0.00000       0.00000
     -24.48200       0.00000       0.00000
     -24.45000       0.00000       0.00000
     -24.41800       0.00000       0.00000
     -24.38500       0.00000       0.00000
     -24.35300       0.00000       0.00000
     -24.32000       0.00000       0.00000
     -24.28800       0.00000       0.00000
     -24.25600       0.00000       0.00000
     -24.22300       0.00000       0.00000
     -24.19100       0.00000       0.00000
     -24.15800       0.00000       0.00000
     -24.12600       0.00000       0.00000
     -24.09400       0.00000       0.00000
     -24.06100       0.00000       0.00000
     -24.02900       0.00000       0.00000
     -23.99700       0.00000       0.00000
     -23.96400       0.00000       0.00000
     -23.93200       0.00000       0.00000
     -23.89900       0.00000       0.00000
     -23.86700       0.00000      -0.00000
     -23.83500       0.00000      -0.00000
     -23.80200       0.00000      -0.00000
     -23.77000       0.00006      -0.00000
     -23.73700       0.00218      -0.00011
     -23.70500       0.03761      -0.00351
     -23.67300       0.31958      -0.05433
     -23.64000       1.42695      -0.41667
     -23.60800       3.66924      -1.70008
     -23.57500       6.09500      -4.06009
     -23.54300       7.50392      -6.38659
     -23.51100       7.93050      -7.61510
     -23.47800       7.99495      -7.95126
     -23.44600       7.99961      -7.99685
     -23.41400       7.99977      -7.99980
     -23.38100       7.99977      -7.99989
     -23.34900       7.99977      -7.99989
     -23.31600       7.99977      -7.99989
     -23.28400       7.99977      -7.99989
     -23.25200       7.99977      -7.99989
     -23.21900       7.99977      -7.99989
     -23.18700       7.99977      -7.99989
     -23.15400       7.99977      -7.99989
     -23.12200       7.99977      -7.99989
     -23.09000       7.99977      -7.99989
     -23.05700       7.99977      -7.99989
     -23.02500       7.99977      -7.99989
     -22.99200       7.99977      -7.99989
     -22.96000       7.99977      -7.99989
     -22.92800       7.99977      -7.99989
     -22.89500       7.99977      -7.99989
     -22.86300       7.99977      -7.99989
     -22.83100       7.99977      -7.99989
     -22.79800       7.99977      -7.99989
     -22.76600       7.99977      -7.99989
     -22.73300       7.99977      -7.99989
     -22.70100       7.99977      -7.99989
     -22.66900       7.99977      -7.99989
     -22.63600       7.99977      -7.99989
     -22.60400       7.99977      -7.99989
     -22.57100       7.99977      -7.99989
     -22.53900       7.99977      -7.99989
     -22.50700       7.99977      -7.99989
     -22.47400       7.99977      -7.99989
     -22.44200       7.99977      -7.99989
     -22.40900       7.99977      -7.99989
     -22.37700       7.99977      -7.99989
     -22.34500       7.99977      -7.99989
     -22.31200       7.99977      -7.99989
     -22.28000       7.99977      -7.99989
     -22.24800       7.99977      -7.99989
     -22.21500       7.99977      -7.99989
     -22.18300       7.99977      -7.99989
     -22.15000       7.99977      -7.99989
     -22.11800       7.99977      -7.99989
     -22.08600       7.99977      -7.99989
     -22.05300       7.99977      -7.99989
     -22.02100       7.99977      -7.99989
     -21.98800       7.99977      -7.99989
     -21.95600       7.99977      -7.99989
     -21.92400       7.99977      -7.99989
     -21.89100       7.99977      -7.99989
     -21.85900       7.99977      -7.99989
     -21.82600       7.99977      -7.99989
     -21.79400       7.99977      -7.99989
     -21.76200       7.99977      -7.99989
     -21.72900       7.99977      -7.99989
     -21.69700       7.99977      -7.99989
     -21.66500       7.99977      -7.99989
     -21.63200       7.99985      -7.99990
     -21.60000       8.00184      -8.00022
     -21.56700       8.02583      -8.00614
     -21.53500       8.17419      -8.06051
     -21.50300       8.66807      -8.32077
     -21.47000       9.60589      -9.00661
     -21.43800      10.70744     -10.06880
     -21.40500      11.68137     -11.16047
     -21.37300      12.67555     -12.17554
     -21.34100      14.04204     -13.39789
     -21.30800      15.85533     -15.05167
     -21.27600      17.73470     -16.97120
     -21.24300      19.13697     -18.63680
     -21.21100      19.94702     -19.67551
     -21.17900      20.63350     -20.34936
     -21.14600      21.66979     -21.22289
     -21.11400      23.02672     -22.47990
     -21.08200      24.37361     -23.85578
     -21.04900      25.55743     -25.10081
     -21.01700      26.61606     -26.21499
     -20.98400      27.43533     -27.15864
     -20.95200      27.85688     -27.74019
     -20.92000      27.97958     -27.95348
     -20.88700      27.99800     -27.99508
     -20.85500      27.99945     -27.99911
     -20.82200      28.00180     -27.99959
     -20.79000      28.02973     -28.00537
     -20.75800      28.21334     -28.06466
     -20.72500      28.91359     -28.39830
     -20.69300      30.56542     -29.49094
     -20.66000      33.10244     -31.68350
     -20.62800      35.72546     -34.47688
     -20.59600      37.66588     -36.83544
     -20.56300      38.91237     -38.36080
     -20.53100      39.83950     -39.40437
     -20.49900      40.70299     -40.30268
     -20.46600      41.65409     -41.20795
     -20.43400      42.79191     -42.23257
     -20.40100      44.07079     -43.43323
     -20.36900      45.21444     -44.66935
     -20.33700      45.98027     -45.63923
     -20.30400      46.47858     -46.25543
     -20.27200      47.03971     -46.77754
     -20.23900      47.90531     -47.51682
     -20.20700      49.08232     -48.58452
     -20.17500      50.29512     -49.82388
     -20.14200      51.19683     -50.88672
     -20.11000      51.69837     -51.54924
     -20.07700      51.91687     -51.86158
     -20.04500      51.98499     -51.97096
     -20.01300      51.99777     -51.99569
     -19.98000      51.99905     -51.99881
     -19.94800      51.99911     -51.99901
     -19.91600      51.99911     -51.99902
     -19.88300      51.99911     -51.99902
     -19.85100      51.99911     -51.99902
     -19.81800      51.99911     -51.99902
     -19.78600      51.99914     -51.99903
     -19.75400      51.99983     -51.99923
     -19.72100      52.00775     -52.00234
     -19.68900      52.05287     -52.02596
     -19.65600      52.18942     -52.11813
     -19.62400      52.43226     -52.31984
     -19.59200      52.73539     -52.60457
     -19.55900      53.09097     -52.93897
     -19.52700      53.53891     -53.35193
