#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -18.456720    -18.456720
   0.01681    -18.456399    -18.456399
   0.03361    -18.455436    -18.455436
   0.05042    -18.453841    -18.453841
   0.06722    -18.451632    -18.451632
   0.08403    -18.448836    -18.448836
   0.10083    -18.445495    -18.445495
   0.11764    -18.441685    -18.441685
   0.13444    -18.437631    -18.437631
   0.15125    -18.434951    -18.434951
   0.15125    -18.434951    -18.434951
   0.15671    -18.434910    -18.434910
   0.16217    -18.434787    -18.434787
   0.16763    -18.434585    -18.434585
   0.17309    -18.434305    -18.434305
   0.17855    -18.433954    -18.433954
   0.18401    -18.433548    -18.433548
   0.18947    -18.433144    -18.433144
   0.19493    -18.432964    -18.432964
   0.20039    -18.433324    -18.433324
   0.20039    -18.433324    -18.433324
   0.21469    -18.437353    -18.437353
   0.22898    -18.441015    -18.441015
   0.24328    -18.444253    -18.444253
   0.25758    -18.447036    -18.447036
   0.27187    -18.449344    -18.449344
   0.28617    -18.451158    -18.451158
   0.30046    -18.452462    -18.452462
   0.31476    -18.453248    -18.453248
   0.32905    -18.453511    -18.453511
   0.32905    -18.453511    -18.453511
   0.34335    -18.453248    -18.453248
   0.35764    -18.452462    -18.452462
   0.37194    -18.451158    -18.451158
   0.38624    -18.449344    -18.449344
   0.40053    -18.447036    -18.447036
   0.41483    -18.444253    -18.444253
   0.42912    -18.441015    -18.441015
   0.44342    -18.437353    -18.437353
   0.45771    -18.433324    -18.433324
   0.45771    -18.433324    -18.433324
   0.46317    -18.433179    -18.433179
   0.46863    -18.433464    -18.433464
   0.47409    -18.433879    -18.433879
   0.47956    -18.434284    -18.434284
   0.48502    -18.434632    -18.434632
   0.49048    -18.434911    -18.434911
   0.49594    -18.435112    -18.435112
   0.50140    -18.435234    -18.435234
   0.50686    -18.435275    -18.435275
   0.50686    -18.435275    -18.435275
   0.52366    -18.437791    -18.437791
   0.54047    -18.441760    -18.441760
   0.55727    -18.445536    -18.445536
   0.57408    -18.448859    -18.448859
   0.59088    -18.451645    -18.451645
   0.60769    -18.453847    -18.453847
   0.62450    -18.455438    -18.455438
   0.64130    -18.456399    -18.456399
   0.65811    -18.456720    -18.456720
 
 
# Band-Index    2
   0.65811    -18.387865    -18.387865
   0.64130    -18.389326    -18.389326
   0.62450    -18.393006    -18.393006
   0.60769    -18.397885    -18.397885
   0.59088    -18.403359    -18.403359
   0.57408    -18.409091    -18.409091
   0.55727    -18.414855    -18.414855
   0.54047    -18.420447    -18.420447
   0.52366    -18.425534    -18.425534
   0.50686    -18.428427    -18.428427
   0.50686    -18.428427    -18.428427
   0.50140    -18.428485    -18.428485
   0.49594    -18.428656    -18.428656
   0.49048    -18.428936    -18.428936
   0.48502    -18.429314    -18.429314
   0.47956    -18.429776    -18.429776
   0.47409    -18.430298    -18.430298
   0.46863    -18.430829    -18.430829
   0.46317    -18.431216    -18.431216
   0.45771    -18.431153    -18.431153
   0.45771    -18.431153    -18.431153
   0.44342    -18.427486    -18.427486
   0.42912    -18.423939    -18.423939
   0.41483    -18.420641    -18.420641
   0.40053    -18.417704    -18.417704
   0.38624    -18.415218    -18.415218
   0.37194    -18.413250    -18.413250
   0.35764    -18.411831    -18.411831
   0.34335    -18.410977    -18.410977
   0.32905    -18.410693    -18.410693
   0.32905    -18.410693    -18.410693
   0.31476    -18.410977    -18.410977
   0.30046    -18.411831    -18.411831
   0.28617    -18.413250    -18.413250
   0.27187    -18.415218    -18.415218
   0.25758    -18.417704    -18.417704
   0.24328    -18.420641    -18.420641
   0.22898    -18.423939    -18.423939
   0.21469    -18.427486    -18.427486
   0.20039    -18.431153    -18.431153
   0.20039    -18.431153    -18.431153
   0.19493    -18.431440    -18.431440
   0.18947    -18.431167    -18.431167
   0.18401    -18.430656    -18.430656
   0.17855    -18.430140    -18.430140
   0.17309    -18.429683    -18.429683
   0.16763    -18.429309    -18.429309
   0.16217    -18.429033    -18.429033
   0.15671    -18.428864    -18.428864
   0.15125    -18.428806    -18.428806
   0.15125    -18.428806    -18.428806
   0.13444    -18.425748    -18.425748
   0.11764    -18.420573    -18.420573
   0.10083    -18.414939    -18.414939
   0.08403    -18.409148    -18.409148
   0.06722    -18.403395    -18.403395
   0.05042    -18.397902    -18.397902
   0.03361    -18.393010    -18.393010
   0.01681    -18.389325    -18.389325
   0.00000    -18.387865    -18.387865
 
 
# Band-Index    3
   0.00000    -18.372291    -18.372291
   0.01681    -18.371770    -18.371770
   0.03361    -18.370753    -18.370753
   0.05042    -18.369881    -18.369881
   0.06722    -18.369295    -18.369295
   0.08403    -18.368930    -18.368930
   0.10083    -18.368710    -18.368710
   0.11764    -18.368582    -18.368582
   0.13444    -18.368516    -18.368516
   0.15125    -18.368496    -18.368496
   0.15125    -18.368496    -18.368496
   0.15671    -18.368474    -18.368474
   0.16217    -18.368405    -18.368405
   0.16763    -18.368298    -18.368298
   0.17309    -18.368156    -18.368156
   0.17855    -18.367989    -18.367989
   0.18401    -18.367805    -18.367805
   0.18947    -18.367615    -18.367615
   0.19493    -18.367430    -18.367430
   0.20039    -18.367261    -18.367261
   0.20039    -18.367261    -18.367261
   0.21469    -18.366026    -18.366026
   0.22898    -18.364567    -18.364567
   0.24328    -18.362883    -18.362883
   0.25758    -18.361011    -18.361011
   0.27187    -18.359043    -18.359043
   0.28617    -18.357139    -18.357139
   0.30046    -18.355515    -18.355515
   0.31476    -18.354408    -18.354408
   0.32905    -18.354015    -18.354015
   0.32905    -18.354015    -18.354015
   0.34335    -18.354408    -18.354408
   0.35764    -18.355515    -18.355515
   0.37194    -18.357139    -18.357139
   0.38624    -18.359043    -18.359043
   0.40053    -18.361011    -18.361011
   0.41483    -18.362883    -18.362883
   0.42912    -18.364567    -18.364567
   0.44342    -18.366026    -18.366026
   0.45771    -18.367261    -18.367261
   0.45771    -18.367261    -18.367261
   0.46317    -18.367378    -18.367378
   0.46863    -18.367512    -18.367512
   0.47409    -18.367654    -18.367654
   0.47956    -18.367797    -18.367797
   0.48502    -18.367928    -18.367928
   0.49048    -18.368040    -18.368040
   0.49594    -18.368127    -18.368127
   0.50140    -18.368182    -18.368182
   0.50686    -18.368200    -18.368200
   0.50686    -18.368200    -18.368200
   0.52366    -18.368222    -18.368222
   0.54047    -18.368295    -18.368295
   0.55727    -18.368436    -18.368436
   0.57408    -18.368678    -18.368678
   0.59088    -18.369077    -18.369077
   0.60769    -18.369715    -18.369715
   0.62450    -18.370655    -18.370655
   0.64130    -18.371740    -18.371740
   0.65811    -18.372291    -18.372291
 
 
# Band-Index    4
   0.65811    -18.354001    -18.354001
   0.64130    -18.353342    -18.353342
   0.62450    -18.351478    -18.351478
   0.60769    -18.348725    -18.348725
   0.59088    -18.345488    -18.345488
   0.57408    -18.342136    -18.342136
   0.55727    -18.338985    -18.338985
   0.54047    -18.336341    -18.336341
   0.52366    -18.334541    -18.334541
   0.50686    -18.333897    -18.333897
   0.50686    -18.333897    -18.333897
   0.50140    -18.333850    -18.333850
   0.49594    -18.333713    -18.333713
   0.49048    -18.333490    -18.333490
   0.48502    -18.333191    -18.333191
   0.47956    -18.332831    -18.332831
   0.47409    -18.332425    -18.332425
   0.46863    -18.332001    -18.332001
   0.46317    -18.331586    -18.331586
   0.45771    -18.331213    -18.331213
   0.45771    -18.331213    -18.331213
   0.44342    -18.329401    -18.329401
   0.42912    -18.327752    -18.327752
   0.41483    -18.326280    -18.326280
   0.40053    -18.325002    -18.325002
   0.38624    -18.323932    -18.323932
   0.37194    -18.323085    -18.323085
   0.35764    -18.322472    -18.322472
   0.34335    -18.322098    -18.322098
   0.32905    -18.321973    -18.321973
   0.32905    -18.321973    -18.321973
   0.31476    -18.322098    -18.322098
   0.30046    -18.322472    -18.322472
   0.28617    -18.323085    -18.323085
   0.27187    -18.323932    -18.323932
   0.25758    -18.325002    -18.325002
   0.24328    -18.326280    -18.326280
